GO_cat,aging
aging,FBgn0000097
aging,FBgn0000257
aging,FBgn0000261
aging,FBgn0000330
aging,FBgn0000482
aging,FBgn0000546
aging,FBgn0000565
aging,FBgn0001087
aging,FBgn0001202
aging,FBgn0001223
aging,FBgn0001225
aging,FBgn0001226
aging,FBgn0001230
aging,FBgn0001247
aging,FBgn0001257
aging,FBgn0001291
aging,FBgn0002525
aging,FBgn0002566
aging,FBgn0002719
aging,FBgn0002774
aging,FBgn0002921
aging,FBgn0003068
aging,FBgn0003118
aging,FBgn0003205
aging,FBgn0003210
aging,FBgn0003256
aging,FBgn0003301
aging,FBgn0003308
aging,FBgn0003360
aging,FBgn0003435
aging,FBgn0003462
aging,FBgn0003502
aging,FBgn0003731
aging,FBgn0004373
aging,FBgn0004406
aging,FBgn0004507
aging,FBgn0004647
aging,FBgn0004657
aging,FBgn0004901
aging,FBgn0005198
aging,FBgn0005278
aging,FBgn0010213
aging,FBgn0010303
aging,FBgn0010531
aging,FBgn0011300
aging,FBgn0011455
aging,FBgn0012051
aging,FBgn0013672
aging,FBgn0013762
aging,FBgn0014141
aging,FBgn0014391
aging,FBgn0015269
aging,FBgn0015575
aging,FBgn0015765
aging,FBgn0015805
aging,FBgn0015946
aging,FBgn0016076
aging,FBgn0016120
aging,FBgn0020238
aging,FBgn0020653
aging,FBgn0021796
aging,FBgn0022764
aging,FBgn0023000
aging,FBgn0023511
aging,FBgn0024248
aging,FBgn0024291
aging,FBgn0024432
aging,FBgn0024846
aging,FBgn0025352
aging,FBgn0025800
aging,FBgn0026317
aging,FBgn0026404
aging,FBgn0026439
aging,FBgn0027111
aging,FBgn0027491
aging,FBgn0027492
aging,FBgn0027779
aging,FBgn0028479
aging,FBgn0028707
aging,FBgn0028956
aging,FBgn0029002
aging,FBgn0029840
aging,FBgn0029856
aging,FBgn0029976
aging,FBgn0030057
aging,FBgn0030092
aging,FBgn0030350
aging,FBgn0030501
aging,FBgn0030695
aging,FBgn0030718
aging,FBgn0030766
aging,FBgn0031148
aging,FBgn0031263
aging,FBgn0031461
aging,FBgn0031820
aging,FBgn0031885
aging,FBgn0032210
aging,FBgn0032699
aging,FBgn0032840
aging,FBgn0033096
aging,FBgn0033127
aging,FBgn0033448
aging,FBgn0033799
aging,FBgn0033846
aging,FBgn0034009
aging,FBgn0034219
aging,FBgn0034312
aging,FBgn0034366
aging,FBgn0034521
aging,FBgn0034877
aging,FBgn0034897
aging,FBgn0035131
aging,FBgn0035132
aging,FBgn0035468
aging,FBgn0035623
aging,FBgn0035789
aging,FBgn0035847
aging,FBgn0035977
aging,FBgn0036046
aging,FBgn0036191
aging,FBgn0036568
aging,FBgn0036756
aging,FBgn0036816
aging,FBgn0037574
aging,FBgn0037802
aging,FBgn0037873
aging,FBgn0037960
aging,FBgn0038074
aging,FBgn0038167
aging,FBgn0038197
aging,FBgn0038476
aging,FBgn0038519
aging,FBgn0038570
aging,FBgn0038788
aging,FBgn0038880
aging,FBgn0039003
aging,FBgn0039044
aging,FBgn0039576
aging,FBgn0040070
aging,FBgn0040294
aging,FBgn0040309
aging,FBgn0041342
aging,FBgn0042132
aging,FBgn0043792
aging,FBgn0045442
aging,FBgn0045443
aging,FBgn0050410
aging,FBgn0051148
aging,FBgn0051216
aging,FBgn0051414
aging,FBgn0052475
aging,FBgn0052672
aging,FBgn0053126
aging,FBgn0053138
aging,FBgn0083087
aging,FBgn0086355
aging,FBgn0086361
aging,FBgn0243512
aging,FBgn0259170
aging,FBgn0259176
aging,FBgn0260466
aging,FBgn0261545
aging,FBgn0261560
aging,FBgn0262169
aging,FBgn0262368
aging,FBgn0262866
aging,FBgn0262975
aging,FBgn0263316
aging,FBgn0263397
aging,FBgn0263490
