Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Signal	42	75.0	1.9615404235739242E-18	FBGN0028544, FBGN0265266, FBGN0034317, FBGN0053346, FBGN0037178, FBGN0003358, FBGN0020638, FBGN0033294, FBGN0032066, FBGN0020637, FBGN0033327, FBGN0032538, FBGN0043576, FBGN0031654, FBGN0020906, FBGN0038484, FBGN0052570, FBGN0036024, FBGN0036948, FBGN0051789, FBGN0034291, FBGN0000639, FBGN0036023, FBGN0020508, FBGN0033999, FBGN0004554, FBGN0015035, FBGN0036361, FBGN0036362, FBGN0028945, FBGN0039768, FBGN0028573, FBGN0035022, FBGN0034712, FBGN0036607, FBGN0002562, FBGN0002565, FBGN0028920, FBGN0051626, FBGN0043791, FBGN0036469, FBGN0030824	54	512	2385	3.6230468750000004	6.47308339779395E-17	6.47308339779395E-17	1.7121334378931545E-15
INTERPRO	IPR018114:Peptidase S1, trypsin family, active site	7	12.5	2.374098606641681E-6	FBGN0020906, FBGN0053459, FBGN0038484, FBGN0036024, FBGN0003358, FBGN0031654, FBGN0036023	40	23	2074	15.780434782608696	1.7092069397706133E-4	1.7092069397706133E-4	0.002471116096702808
INTERPRO	IPR001314:Peptidase S1A, chymotrypsin-type	7	12.5	8.269329193193248E-6	FBGN0020906, FBGN0053459, FBGN0038484, FBGN0036024, FBGN0003358, FBGN0031654, FBGN0036023	40	28	2074	12.962499999999999	5.952169517343675E-4	2.976527744542601E-4	0.008607016454220684
INTERPRO	IPR009003:Trypsin-like cysteine/serine peptidase domain	7	12.5	1.55052235390218E-5	FBGN0020906, FBGN0053459, FBGN0038484, FBGN0036024, FBGN0003358, FBGN0031654, FBGN0036023	40	31	2074	11.708064516129031	0.0011157618241024458	3.720590187797912E-4	0.01613784725637002
INTERPRO	IPR001254:Peptidase S1	7	12.5	1.55052235390218E-5	FBGN0020906, FBGN0053459, FBGN0038484, FBGN0036024, FBGN0003358, FBGN0031654, FBGN0036023	40	31	2074	11.708064516129031	0.0011157618241024458	3.720590187797912E-4	0.01613784725637002
UP_SEQ_FEATURE	signal peptide	9	16.071428571428573	1.7110779459903083E-5	FBGN0004554, FBGN0002562, FBGN0002565, FBGN0003358, FBGN0000639, FBGN0020638, FBGN0020637, FBGN0033327, FBGN0043576	11	99	587	4.8512396694214885	3.7636952393471645E-4	3.7636952393471645E-4	0.013390699275328544
GOTERM_CC_DIRECT	GO:0005576~extracellular region	9	16.071428571428573	2.1887406688197085E-5	FBGN0020508, FBGN0040609, FBGN0036948, FBGN0036361, FBGN0036362, FBGN0020638, FBGN0020637, FBGN0033327, FBGN0043576	24	103	1790	6.516990291262136	3.063801031210067E-4	3.063801031210067E-4	0.014866969312810063
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	7	12.5	5.7704357403607295E-5	FBGN0020906, FBGN0053459, FBGN0038484, FBGN0036024, FBGN0003358, FBGN0031654, FBGN0036023	36	36	1717	9.27391975308642	0.002075260468277773	0.002075260468277773	0.051456374336233957
SMART	SM00020:Tryp_SPc	7	12.5	6.708090045018437E-5	FBGN0020906, FBGN0053459, FBGN0038484, FBGN0036024, FBGN0003358, FBGN0031654, FBGN0036023	25	31	945	8.535483870967743	0.0011397635336451994	0.0011397635336451994	0.04855985553403608
UP_KEYWORDS	Hydrolase	18	32.142857142857146	1.5620815507579955E-4	FBGN0033999, FBGN0063667, FBGN0053346, FBGN0003358, FBGN0028945, FBGN0033294, FBGN0032066, FBGN0039768, FBGN0031654, FBGN0043576, FBGN0033327, FBGN0020906, FBGN0034712, FBGN0053459, FBGN0038484, FBGN0036024, FBGN0043791, FBGN0036023	54	302	2385	2.6324503311258276	0.005142006167917712	0.0025743166370326698	0.13626424362555012
UP_KEYWORDS	Serine protease	6	10.714285714285714	1.697133702233995E-4	FBGN0020906, FBGN0038484, FBGN0036024, FBGN0003358, FBGN0031654, FBGN0036023	54	25	2385	10.6	0.0055853600658287705	0.0018652637341937117	0.14803745223934683
