Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	dme01100:Metabolic pathways	261	10.592532467532468	1.2872826730555977E-12	FBGN0034988, FBGN0034417, FBGN0036545, FBGN0030662, FBGN0027785, FBGN0030761, FBGN0259113, FBGN0037744, FBGN0036942, FBGN0020930, FBGN0022359, FBGN0265190, FBGN0037146, FBGN0263241, FBGN0003423, FBGN0039360, FBGN0052495, FBGN0032820, FBGN0047038, FBGN0033961, FBGN0032015, FBGN0003141, FBGN0037801, FBGN0034276, FBGN0034277, FBGN0035435, FBGN0036662, FBGN0036663, FBGN0000052, FBGN0027506, FBGN0036183, FBGN0000053, FBGN0010611, FBGN0086254, FBGN0010612, FBGN0000055, FBGN0263852, FBGN0038619, FBGN0032811, FBGN0035107, FBGN0039094, FBGN0035521, FBGN0037165, FBGN0024289, FBGN0037164, FBGN0010222, FBGN0036551, FBGN0052230, FBGN0036381, FBGN0261625, FBGN0023537, FBGN0036959, FBGN0037684, FBGN0010548, FBGN0026314, FBGN0039112, FBGN0053303, FBGN0011770, FBGN0039776, FBGN0266582, FBGN0035032, FBGN0022029, FBGN0039774, FBGN0267823, FBGN0030914, FBGN0262782, FBGN0013307, FBGN0013308, FBGN0032002, FBGN0011361, FBGN0033999, FBGN0019643, FBGN0011762, FBGN0000592, FBGN0030300, FBGN0036975, FBGN0261363, FBGN0029801, FBGN0030612, FBGN0037108, FBGN0030718, FBGN0031479, FBGN0250814, FBGN0031771, FBGN0034035, FBGN0031066, FBGN0001092, FBGN0015781, FBGN0033294, FBGN0016123, FBGN0037279, FBGN0038922, FBGN0030041, FBGN0015277, FBGN0032726, FBGN0039909, FBGN0086532, FBGN0031908, FBGN0267350, FBGN0039241, FBGN0031661, FBGN0031663, FBGN0053138, FBGN0029823, FBGN0034649, FBGN0034712, FBGN0037958, FBGN0034141, FBGN0024958, FBGN0032713, FBGN0024957, FBGN0035147, FBGN0030737, FBGN0051075, FBGN0035600, FBGN0014028, FBGN0034364, FBGN0030853, FBGN0040773, FBGN0263911, FBGN0039738, FBGN0030431, FBGN0032222, FBGN0003748, FBGN0042083, FBGN0019624, FBGN0037873, FBGN0026754, FBGN0034877, FBGN0033377, FBGN0029118, FBGN0015011, FBGN0034629, FBGN0052549, FBGN0011336, FBGN0030968, FBGN0019932, FBGN0002891, FBGN0260746, FBGN0250906, FBGN0025742, FBGN0032393, FBGN0028325, FBGN0026756, FBGN0023477, FBGN0041629, FBGN0012036, FBGN0029975, FBGN0265262, FBGN0053977, FBGN0262512, FBGN0020389, FBGN0033246, FBGN0283494, FBGN0270927, FBGN0014417, FBGN0028497, FBGN0086355, FBGN0020385, FBGN0032775, FBGN0030592, FBGN0042627, FBGN0028336, FBGN0085453, FBGN0032382, FBGN0043002, FBGN0040251, FBGN0001258, FBGN0036300, FBGN0035639, FBGN0028833, FBGN0015031, FBGN0034605, FBGN0038763, FBGN0041630, FBGN0066114, FBGN0014427, FBGN0036030, FBGN0010352, FBGN0036762, FBGN0035445, FBGN0027579, FBGN0039580, FBGN0043783, FBGN0027945, FBGN0033518, FBGN0051472, FBGN0061356, FBGN0039877, FBGN0030670, FBGN0031824, FBGN0030478, FBGN0040377, FBGN0037064, FBGN0030687, FBGN0043799, FBGN0033500, FBGN0001125, FBGN0020506, FBGN0029888, FBGN0261436, FBGN0038742, FBGN0004516, FBGN0034390, FBGN0027560, FBGN0032076, FBGN0037607, FBGN0037709, FBGN0017566, FBGN0261439, FBGN0032358, FBGN0261020, FBGN0261575, FBGN0259749, FBGN0032350, FBGN0031830, FBGN0004654, FBGN0000079, FBGN0000078, FBGN0043791, FBGN0004463, FBGN0001124, FBGN0022097, FBGN0039464, FBGN0067102, FBGN0014455, FBGN0027552, FBGN0261445, FBGN0041342, FBGN0033101, FBGN0262559, FBGN0016691, FBGN0037339, FBGN0003076, FBGN0038463, FBGN0000150, FBGN0038467, FBGN0003074, FBGN0035964, FBGN0000536, FBGN0003071, FBGN0037728, FBGN0030882, FBGN0033520, FBGN0036824, FBGN0037723, FBGN0030884, FBGN0030239, FBGN0032684, FBGN0032052, FBGN0035679, FBGN0014869, FBGN0014868, FBGN0020236, FBGN0014032, FBGN0020235, FBGN0035978, FBGN0021906, FBGN0025885, FBGN0036622, FBGN0034997	573	901	2737	1.3836807270571965	1.583383424375029E-10	1.583383424375029E-10	1.4843459794633418E-9
UP_KEYWORDS	Oxidoreductase	169	6.858766233766234	9.27724429205739E-12	FBGN0031418, FBGN0032614, FBGN0051075, FBGN0032945, FBGN0014028, FBGN0034364, FBGN0030853, FBGN0029648, FBGN0036290, FBGN0040773, FBGN0263911, FBGN0037354, FBGN0263392, FBGN0030332, FBGN0031726, FBGN0019624, FBGN0037873, FBGN0036749, FBGN0034877, FBGN0086712, FBGN0263047, FBGN0034629, FBGN0039827, FBGN0022359, FBGN0031689, FBGN0030968, FBGN0011828, FBGN0037146, FBGN0030966, FBGN0038981, FBGN0261673, FBGN0038033, FBGN0003423, FBGN0038038, FBGN0037933, FBGN0036125, FBGN0028325, FBGN0032116, FBGN0034387, FBGN0012036, FBGN0030597, FBGN0029975, FBGN0033820, FBGN0263830, FBGN0033961, FBGN0047038, FBGN0031432, FBGN0039756, FBGN0030451, FBGN0037801, FBGN0032775, FBGN0020385, FBGN0034276, FBGN0031126, FBGN0030592, FBGN0034075, FBGN0040309, FBGN0042627, FBGN0040308, FBGN0036663, FBGN0033631, FBGN0001258, FBGN0036183, FBGN0034500, FBGN0015035, FBGN0086254, FBGN0000055, FBGN0015033, FBGN0033830, FBGN0051810, FBGN0025628, FBGN0015031, FBGN0029866, FBGN0024289, FBGN0010222, FBGN0010226, FBGN0010352, FBGN0052230, FBGN0051809, FBGN0036762, FBGN0030073, FBGN0023537, FBGN0013773, FBGN0035904, FBGN0035906, FBGN0010548, FBGN0030575, FBGN0051674, FBGN0010044, FBGN0033518, FBGN0040529, FBGN0039776, FBGN0051472, FBGN0061356, FBGN0266582, FBGN0037298, FBGN0033079, FBGN0034748, FBGN0267823, FBGN0033980, FBGN0031824, FBGN0262782, FBGN0034067, FBGN0029888, FBGN0030519, FBGN0040512, FBGN0034390, FBGN0038742, FBGN0041337, FBGN0037709, FBGN0017566, FBGN0261439, FBGN0035914, FBGN0037974, FBGN0030588, FBGN0037973, FBGN0036262, FBGN0032350, FBGN0038076, FBGN0033065, FBGN0031830, FBGN0261363, FBGN0030304, FBGN0004654, FBGN0030615, FBGN0032259, FBGN0050491, FBGN0030718, FBGN0038236, FBGN0031479, FBGN0033679, FBGN0250814, FBGN0261445, FBGN0027552, FBGN0031771, FBGN0015714, FBGN0050489, FBGN0031066, FBGN0033101, FBGN0001092, FBGN0053503, FBGN0015781, FBGN0262559, FBGN0038271, FBGN0002937, FBGN0038922, FBGN0032729, FBGN0039043, FBGN0030041, FBGN0033190, FBGN0040349, FBGN0035964, FBGN0039909, FBGN0038519, FBGN0033520, FBGN0033521, FBGN0036824, FBGN0085201, FBGN0051548, FBGN0032055, FBGN0030367, FBGN0014032, FBGN0034442, FBGN0032889, FBGN0021906, FBGN0003388, FBGN0033188, FBGN0030737, FBGN0014469	2385	601	13921	1.6413238592562363	3.265590464707202E-9	3.265590464707202E-9	1.2699041818109436E-8
GOTERM_CC_DIRECT	GO:0012505~endomembrane system	76	3.0844155844155843	1.2167063922546746E-10	FBGN0035909, FBGN0037718, FBGN0025682, FBGN0005585, FBGN0037312, FBGN0053523, FBGN0032514, FBGN0004003, FBGN0053303, FBGN0039776, FBGN0035519, FBGN0021795, FBGN0266449, FBGN0032704, FBGN0035206, FBGN0029709, FBGN0037443, FBGN0027095, FBGN0000083, FBGN0031544, FBGN0052069, FBGN0035916, FBGN0036643, FBGN0010638, FBGN0011016, FBGN0030099, FBGN0011336, FBGN0265190, FBGN0052506, FBGN0053113, FBGN0052451, FBGN0038039, FBGN0010470, FBGN0030306, FBGN0037933, FBGN0045073, FBGN0261800, FBGN0037074, FBGN0038535, FBGN0037756, FBGN0028327, FBGN0010391, FBGN0034962, FBGN0027554, FBGN0027497, FBGN0004132, FBGN0069242, FBGN0039562, FBGN0032015, FBGN0038950, FBGN0024234, FBGN0086357, FBGN0266369, FBGN0040348, FBGN0034277, FBGN0030456, FBGN0037084, FBGN0034075, FBGN0041723, FBGN0040308, FBGN0014002, FBGN0262801, FBGN0045866, FBGN0032643, FBGN0034500, FBGN0033663, FBGN0031996, FBGN0263852, FBGN0034753, FBGN0014868, FBGN0025678, FBGN0263260, FBGN0037917, FBGN0030329, FBGN0050291, FBGN0014469	1790	206	10026	2.0664316320442584	6.6432185530374E-8	6.6432185530374E-8	1.7737804558493053E-7
KEGG_PATHWAY	dme01130:Biosynthesis of antibiotics	69	2.800324675324675	5.459182595619796E-8	FBGN0051075, FBGN0037684, FBGN0039580, FBGN0036298, FBGN0043783, FBGN0014028, FBGN0027945, FBGN0039112, FBGN0031099, FBGN0061356, FBGN0031824, FBGN0262782, FBGN0037873, FBGN0013307, FBGN0013308, FBGN0033377, FBGN0029118, FBGN0001125, FBGN0032076, FBGN0037607, FBGN0037709, FBGN0261439, FBGN0259749, FBGN0003423, FBGN0032350, FBGN0250906, FBGN0004654, FBGN0030612, FBGN0001124, FBGN0031633, FBGN0028325, FBGN0023477, FBGN0012036, FBGN0032820, FBGN0020389, FBGN0001092, FBGN0015781, FBGN0283494, FBGN0262559, FBGN0038922, FBGN0086355, FBGN0037801, FBGN0003076, FBGN0028336, FBGN0000150, FBGN0038467, FBGN0003074, FBGN0036663, FBGN0001258, FBGN0003071, FBGN0000052, FBGN0000053, FBGN0010611, FBGN0000055, FBGN0030239, FBGN0039094, FBGN0035679, FBGN0014869, FBGN0039241, FBGN0020236, FBGN0029823, FBGN0014427, FBGN0036030, FBGN0035978, FBGN0010352, FBGN0024958, FBGN0024957, FBGN0025885, FBGN0036762	573	180	2737	1.8310354857475277	6.714772230798083E-6	3.3573917513907148E-6	6.294776266901891E-5
GOTERM_CC_DIRECT	GO:0005811~lipid particle	86	3.49025974025974	9.197223747637333E-8	FBGN0000046, FBGN0010548, FBGN0000042, FBGN0035600, FBGN0005585, FBGN0039114, FBGN0033226, FBGN0021795, FBGN0004045, FBGN0000557, FBGN0035206, FBGN0037298, FBGN0035032, FBGN0262782, FBGN0039674, FBGN0003885, FBGN0019624, FBGN0034877, FBGN0029118, FBGN0250848, FBGN0259682, FBGN0001125, FBGN0030519, FBGN0011016, FBGN0034390, FBGN0027560, FBGN0037607, FBGN0037146, FBGN0001220, FBGN0025700, FBGN0033446, FBGN0053113, FBGN0002562, FBGN0015245, FBGN0031830, FBGN0002565, FBGN0038038, FBGN0002031, FBGN0035121, FBGN0003360, FBGN0004363, FBGN0028327, FBGN0038535, FBGN0010391, FBGN0250814, FBGN0012036, FBGN0001092, FBGN0033246, FBGN0036334, FBGN0283494, FBGN0262559, FBGN0039562, FBGN0016691, FBGN0038271, FBGN0028646, FBGN0027932, FBGN0032729, FBGN0005391, FBGN0020385, FBGN0266369, FBGN0016075, FBGN0262743, FBGN0040793, FBGN0250788, FBGN0042627, FBGN0003074, FBGN0000639, FBGN0040340, FBGN0014002, FBGN0010551, FBGN0015790, FBGN0015035, FBGN0033663, FBGN0000055, FBGN0010612, FBGN0266599, FBGN0015031, FBGN0015795, FBGN0034753, FBGN0014868, FBGN0020236, FBGN0036449, FBGN0025678, FBGN0020235, FBGN0037912, FBGN0036762	1790	277	10026	1.7389750519331222	5.021558313567098E-5	2.510810677636144E-5	1.3408198606956745E-4
UP_KEYWORDS	Muscle protein	13	0.5275974025974026	5.71061285365229E-7	FBGN0283471, FBGN0002773, FBGN0002772, FBGN0264695, FBGN0005633, FBGN0011705, FBGN0013348, FBGN0003149, FBGN0004117, FBGN0010423, FBGN0004169, FBGN0002789, FBGN0010424	2385	16	13921	4.742479035639413	2.009934279598724E-4	1.0050176428222368E-4	7.816872657939733E-4
UP_KEYWORDS	Metal-binding	232	9.415584415584416	6.126662940235301E-7	FBGN0033038, FBGN0034988, FBGN0036298, FBGN0000346, FBGN0038603, FBGN0032691, FBGN0013348, FBGN0259113, FBGN0263392, FBGN0037744, FBGN0027526, FBGN0022359, FBGN0031689, FBGN0028945, FBGN0263241, FBGN0023171, FBGN0267978, FBGN0037933, FBGN0052495, FBGN0013751, FBGN0264442, FBGN0034420, FBGN0025879, FBGN0010015, FBGN0004687, FBGN0010014, FBGN0031432, FBGN0003141, FBGN0028646, FBGN0263980, FBGN0031126, FBGN0010423, FBGN0030788, FBGN0002573, FBGN0039494, FBGN0000320, FBGN0010424, FBGN0000052, FBGN0001319, FBGN0000053, FBGN0041582, FBGN0032189, FBGN0024289, FBGN0000459, FBGN0000455, FBGN0033426, FBGN0041191, FBGN0039380, FBGN0036959, FBGN0037220, FBGN0013773, FBGN0028979, FBGN0005585, FBGN0037011, FBGN0039112, FBGN0038295, FBGN0003719, FBGN0032907, FBGN0036986, FBGN0033980, FBGN0012051, FBGN0031450, FBGN0038546, FBGN0001990, FBGN0259481, FBGN0053532, FBGN0011769, FBGN0025186, FBGN0002868, FBGN0011762, FBGN0035021, FBGN0033782, FBGN0033065, FBGN0030304, FBGN0015247, FBGN0261363, FBGN0030615, FBGN0030305, FBGN0265464, FBGN0030718, FBGN0038236, FBGN0053503, FBGN0003514, FBGN0003002, FBGN0039252, FBGN0016123, FBGN0002937, FBGN0034728, FBGN0030600, FBGN0053653, FBGN0039140, FBGN0004395, FBGN0003507, FBGN0031663, FBGN0034442, FBGN0011640, FBGN0024958, FBGN0024957, FBGN0003117, FBGN0045852, FBGN0032516, FBGN0014028, FBGN0034364, FBGN0039734, FBGN0053144, FBGN0030853, FBGN0038772, FBGN0011837, FBGN0000139, FBGN0027094, FBGN0031099, FBGN0027091, FBGN0083968, FBGN0041789, FBGN0015553, FBGN0031726, FBGN0019624, FBGN0260635, FBGN0039348, FBGN0051064, FBGN0259680, FBGN0033377, FBGN0052549, FBGN0016687, FBGN0011828, FBGN0030966, FBGN0038788, FBGN0003651, FBGN0038981, FBGN0000568, FBGN0039626, FBGN0046689, FBGN0032393, FBGN0045073, FBGN0005616, FBGN0032116, FBGN0034387, FBGN0004885, FBGN0035626, FBGN0039420, FBGN0086350, FBGN0038956, FBGN0032247, FBGN0038950, FBGN0028497, FBGN0086359, FBGN0085354, FBGN0085453, FBGN0012037, FBGN0033631, FBGN0002773, FBGN0015035, FBGN0035333, FBGN0015033, FBGN0039740, FBGN0038965, FBGN0066114, FBGN0039016, FBGN0283471, FBGN0001138, FBGN0037583, FBGN0035246, FBGN0036839, FBGN0043578, FBGN0037580, FBGN0261565, FBGN0051721, FBGN0032652, FBGN0033327, FBGN0043576, FBGN0014931, FBGN0001320, FBGN0029885, FBGN0030480, FBGN0043799, FBGN0032253, FBGN0038439, FBGN0020506, FBGN0000384, FBGN0262018, FBGN0041337, FBGN0017566, FBGN0000482, FBGN0266918, FBGN0038072, FBGN0038076, FBGN0266100, FBGN0004858, FBGN0000667, FBGN0039073, FBGN0000079, FBGN0000078, FBGN0000524, FBGN0004463, FBGN0027657, FBGN0265356, FBGN0019982, FBGN0032536, FBGN0003598, FBGN0028509, FBGN0015714, FBGN0035766, FBGN0050489, FBGN0037734, FBGN0003866, FBGN0036926, FBGN0052702, FBGN0040298, FBGN0030878, FBGN0032066, FBGN0030358, FBGN0033739, FBGN0266410, FBGN0003076, FBGN0032069, FBGN0004926, FBGN0051352, FBGN0259209, FBGN0013263, FBGN0000150, FBGN0003071, FBGN0036826, FBGN0030882, FBGN0037470, FBGN0004910, FBGN0030367, FBGN0020236, FBGN0014863, FBGN0021906, FBGN0003388, FBGN0030230, FBGN0014469	2385	1008	13921	1.3434128647965125	2.1563534891766434E-4	7.188361676979671E-5	8.386373338220565E-4
INTERPRO	IPR016040:NAD(P)-binding domain	57	2.313311688311688	1.4211963109328505E-6	FBGN0031418, FBGN0032614, FBGN0029648, FBGN0051674, FBGN0037298, FBGN0033079, FBGN0267823, FBGN0037354, FBGN0030332, FBGN0262782, FBGN0015011, FBGN0022359, FBGN0034390, FBGN0030968, FBGN0038033, FBGN0032350, FBGN0004654, FBGN0038038, FBGN0030305, FBGN0050491, FBGN0033679, FBGN0261445, FBGN0014455, FBGN0029975, FBGN0263830, FBGN0001092, FBGN0015781, FBGN0262559, FBGN0030041, FBGN0039043, FBGN0020385, FBGN0040349, FBGN0042627, FBGN0035964, FBGN0036663, FBGN0001258, FBGN0034500, FBGN0000055, FBGN0051810, FBGN0051548, FBGN0029866, FBGN0024289, FBGN0031661, FBGN0032055, FBGN0020236, FBGN0036997, FBGN0014032, FBGN0010222, FBGN0033769, FBGN0032889, FBGN0030799, FBGN0025885, FBGN0051809, FBGN0035147, FBGN0030073, FBGN0033188, FBGN0030737	2074	162	10984	1.8634236937033466	0.003395148593215769	0.003395148593215769	0.0024946350436372278
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	125	5.073051948051948	3.4927122154057944E-6	FBGN0033038, FBGN0040237, FBGN0031419, FBGN0032595, FBGN0035600, FBGN0030853, FBGN0041164, FBGN0027786, FBGN0083968, FBGN0037873, FBGN0019624, FBGN0086712, FBGN0039827, FBGN0037146, FBGN0003423, FBGN0027085, FBGN0039360, FBGN0027088, FBGN0032393, FBGN0002031, FBGN0003360, FBGN0028325, FBGN0004363, FBGN0035298, FBGN0012036, FBGN0026741, FBGN0022344, FBGN0033961, FBGN0283494, FBGN0026261, FBGN0028646, FBGN0275436, FBGN0037801, FBGN0035228, FBGN0085452, FBGN0029161, FBGN0028336, FBGN0085453, FBGN0030786, FBGN0010551, FBGN0032430, FBGN0266599, FBGN0015031, FBGN0010222, FBGN0261381, FBGN0010352, FBGN0031039, FBGN0004407, FBGN0036381, FBGN0037778, FBGN0261625, FBGN0037912, FBGN0040660, FBGN0023537, FBGN0027579, FBGN0035906, FBGN0034259, FBGN0035980, FBGN0027945, FBGN0031651, FBGN0033413, FBGN0032907, FBGN0039588, FBGN0040529, FBGN0034191, FBGN0039115, FBGN0029891, FBGN0033274, FBGN0035587, FBGN0266582, FBGN0035032, FBGN0033079, FBGN0033712, FBGN0031824, FBGN0030478, FBGN0262782, FBGN0039674, FBGN0030480, FBGN0043799, FBGN0261985, FBGN0011361, FBGN0050022, FBGN0001125, FBGN0034390, FBGN0038742, FBGN0011769, FBGN0017566, FBGN0261439, FBGN0003997, FBGN0036702, FBGN0001220, FBGN0015245, FBGN0031830, FBGN0032256, FBGN0040070, FBGN0250814, FBGN0039561, FBGN0030246, FBGN0053503, FBGN0036334, FBGN0262559, FBGN0038271, FBGN0016691, FBGN0038662, FBGN0038922, FBGN0038923, FBGN0033190, FBGN0032720, FBGN0039909, FBGN0261938, FBGN0038519, FBGN0036824, FBGN0085483, FBGN0036208, FBGN0036892, FBGN0024556, FBGN0010052, FBGN0029823, FBGN0020235, FBGN0021906, FBGN0034792, FBGN0032744, FBGN0003388, FBGN0035473, FBGN0031814	1790	477	10026	1.4677980394223675	0.001905206984671226	6.3547273494724E-4	0.0050917428014662924
UP_KEYWORDS	Transferase	241	9.780844155844155	4.521426806741907E-6	FBGN0023169, FBGN0013749, FBGN0032945, FBGN0027538, FBGN0034989, FBGN0038603, FBGN0032691, FBGN0263199, FBGN0030662, FBGN0259113, FBGN0051637, FBGN0032329, FBGN0264848, FBGN0260935, FBGN0036942, FBGN0031896, FBGN0020930, FBGN0035953, FBGN0037044, FBGN0033853, FBGN0037146, FBGN0037347, FBGN0033160, FBGN0039360, FBGN0260945, FBGN0260942, FBGN0037554, FBGN0086657, FBGN0035298, FBGN0024179, FBGN0266195, FBGN0032015, FBGN0027932, FBGN0034277, FBGN0039091, FBGN0039690, FBGN0035435, FBGN0013762, FBGN0032447, FBGN0263855, FBGN0031032, FBGN0037770, FBGN0000053, FBGN0010611, FBGN0032430, FBGN0031428, FBGN0263852, FBGN0032811, FBGN0035107, FBGN0259229, FBGN0033817, FBGN0010226, FBGN0034817, FBGN0030796, FBGN0266064, FBGN0037778, FBGN0036381, FBGN0004407, FBGN0086674, FBGN0261524, FBGN0035904, FBGN0015663, FBGN0035906, FBGN0026314, FBGN0039273, FBGN0035039, FBGN0029813, FBGN0031043, FBGN0011774, FBGN0053303, FBGN0022029, FBGN0034748, FBGN0036787, FBGN0037293, FBGN0028970, FBGN0032006, FBGN0050021, FBGN0019643, FBGN0036266, FBGN0025186, FBGN0261988, FBGN0011762, FBGN0040212, FBGN0000723, FBGN0015380, FBGN0030300, FBGN0259146, FBGN0025837, FBGN0267339, FBGN0030612, FBGN0029944, FBGN0037108, FBGN0037106, FBGN0261873, FBGN0031777, FBGN0034035, FBGN0016126, FBGN0037279, FBGN0015277, FBGN0032726, FBGN0086532, FBGN0033381, FBGN0050008, FBGN0267350, FBGN0039241, FBGN0053138, FBGN0029823, FBGN0034649, FBGN0034141, FBGN0030801, FBGN0262733, FBGN0032713, FBGN0038873, FBGN0010389, FBGN0039543, FBGN0053147, FBGN0032618, FBGN0035484, FBGN0039738, FBGN0035207, FBGN0030431, FBGN0032222, FBGN0010282, FBGN0026754, FBGN0259680, FBGN0046685, FBGN0011336, FBGN0002891, FBGN0015925, FBGN0038039, FBGN0003366, FBGN0250906, FBGN0031730, FBGN0046689, FBGN0028484, FBGN0032393, FBGN0032117, FBGN0033375, FBGN0026756, FBGN0023477, FBGN0034383, FBGN0027497, FBGN0028841, FBGN0020389, FBGN0038755, FBGN0283494, FBGN0259678, FBGN0027074, FBGN0027070, FBGN0040505, FBGN0042627, FBGN0034073, FBGN0043002, FBGN0040251, FBGN0038366, FBGN0011802, FBGN0024912, FBGN0051683, FBGN0035639, FBGN0028833, FBGN0264492, FBGN0002905, FBGN0034605, FBGN0066114, FBGN0039015, FBGN0014427, FBGN0261381, FBGN0036030, FBGN0004107, FBGN0027579, FBGN0039580, FBGN0010044, FBGN0063494, FBGN0037613, FBGN0063493, FBGN0037612, FBGN0010043, FBGN0029891, FBGN0063497, FBGN0063495, FBGN0265045, FBGN0037315, FBGN0030670, FBGN0030478, FBGN0283473, FBGN0030687, FBGN0031974, FBGN0031975, FBGN0028427, FBGN0033500, FBGN0001125, FBGN0042175, FBGN0027560, FBGN0037607, FBGN0032668, FBGN0025702, FBGN0261020, FBGN0259749, FBGN0010039, FBGN0004654, FBGN0004463, FBGN0001124, FBGN0042179, FBGN0031633, FBGN0030484, FBGN0031632, FBGN0020392, FBGN0039464, FBGN0067102, FBGN0035766, FBGN0028507, FBGN0040298, FBGN0041342, FBGN0029693, FBGN0037339, FBGN0026079, FBGN0024230, FBGN0038463, FBGN0250785, FBGN0041723, FBGN0000150, FBGN0000536, FBGN0003071, FBGN0261938, FBGN0036485, FBGN0033215, FBGN0037470, FBGN0001149, FBGN0031995, FBGN0036208, FBGN0037723, FBGN0035082, FBGN0032684, FBGN0035083, FBGN0014868, FBGN0019990, FBGN0020236, FBGN0024245, FBGN0061469, FBGN0035978, FBGN0036622	2385	1081	13921	1.3012879215417046	0.0015902799965671344	3.978073121811976E-4	0.006188921001704095
