"","Var1","Freq"
"1","FBgn0000061",1
"2","FBgn0000094",2
"3","FBgn0000233",1
"4","FBgn0000280",2
"5","FBgn0000552",1
"6","FBgn0000560",3
"7","FBgn0001075",1
"8","FBgn0001147",1
"9","FBgn0001170",1
"10","FBgn0001311",3
"11","FBgn0001313",1
"12","FBgn0001983",1
"13","FBgn0002440",3
"14","FBgn0002533",2
"15","FBgn0002534",2
"16","FBgn0002535",2
"17","FBgn0002564",1
"18","FBgn0002855",1
"19","FBgn0002856",3
"20","FBgn0002862",2
"21","FBgn0002865",1
"22","FBgn0003009",2
"23","FBgn0003140",2
"24","FBgn0003145",2
"25","FBgn0003270",1
"26","FBgn0003372",1
"27","FBgn0003373",1
"28","FBgn0003375",1
"29","FBgn0003377",1
"30","FBgn0003378",1
"31","FBgn0003382",3
"32","FBgn0003720",1
"33","FBgn0003865",1
"34","FBgn0003886",1
"35","FBgn0003926",1
"36","FBgn0003936",1
"37","FBgn0004054",2
"38","FBgn0004171",1
"39","FBgn0004172",1
"40","FBgn0004173",1
"41","FBgn0004174",2
"42","FBgn0004175",1
"43","FBgn0004181",2
"44","FBgn0004197",2
"45","FBgn0004372",2
"46","FBgn0004414",2
"47","FBgn0004511",1
"48","FBgn0004588",1
"49","FBgn0004589",2
"50","FBgn0004590",1
"51","FBgn0004591",1
"52","FBgn0004592",1
"53","FBgn0004593",1
"54","FBgn0004594",1
"55","FBgn0004778",1
"56","FBgn0004782",1
"57","FBgn0004783",1
"58","FBgn0004863",1
"59","FBgn0004895",2
"60","FBgn0004897",2
"61","FBgn0004956",3
"62","FBgn0005778",1
"63","FBgn0010258",1
"64","FBgn0010433",1
"65","FBgn0011239",2
"66","FBgn0011244",1
"67","FBgn0011270",1
"68","FBgn0011273",2
"69","FBgn0011277",2
"70","FBgn0011278",1
"71","FBgn0011569",1
"72","FBgn0011653",2
"73","FBgn0011670",1
"74","FBgn0011694",2
"75","FBgn0011743",1
"76","FBgn0011812",2
"77","FBgn0011840",1
"78","FBgn0011848",1
"79","FBgn0011849",1
"80","FBgn0011850",1
"81","FBgn0011860",1
"82","FBgn0011861",1
"83","FBgn0011862",1
"84","FBgn0011863",1
"85","FBgn0011864",1
"86","FBgn0011865",1
"87","FBgn0011866",1
"88","FBgn0011867",1
"89","FBgn0011868",1
"90","FBgn0011869",1
"91","FBgn0011879",1
"92","FBgn0011896",1
"93","FBgn0011897",1
"94","FBgn0011904",1
"95","FBgn0011905",1
"96","FBgn0011944",1
"97","FBgn0011945",1
"98","FBgn0011948",1
"99","FBgn0011949",1
"100","FBgn0011950",1
"101","FBgn0011951",1
"102","FBgn0011952",1
"103","FBgn0011953",1
"104","FBgn0011956",1
"105","FBgn0011959",1
"106","FBgn0011960",1
"107","FBgn0011961",1
"108","FBgn0011962",1
"109","FBgn0011963",1
"110","FBgn0011965",1
"111","FBgn0011971",1
"112","FBgn0011974",1
"113","FBgn0011975",1
"114","FBgn0011976",1
"115","FBgn0011977",1
"116","FBgn0011980",1
"117","FBgn0011981",1
"118","FBgn0011982",1
"119","FBgn0011983",1
"120","FBgn0011986",1
"121","FBgn0011993",1
"122","FBgn0011994",1
"123","FBgn0011998",1
"124","FBgn0011999",1
"125","FBgn0012000",1
"126","FBgn0012001",1
"127","FBgn0012002",1
"128","FBgn0012004",1
"129","FBgn0012016",1
"130","FBgn0012017",1
"131","FBgn0012027",1
"132","FBgn0012028",1
"133","FBgn0013300",2
"134","FBgn0013301",1
"135","FBgn0013672",1
"136","FBgn0013673",1
"137","FBgn0013674",1
"138","FBgn0013675",1
"139","FBgn0013676",1
"140","FBgn0013678",1
"141","FBgn0013679",1
"142","FBgn0013680",1
"143","FBgn0013681",1
"144","FBgn0013683",1
"145","FBgn0013684",1
"146","FBgn0013685",1
"147","FBgn0013686",1
"148","FBgn0013687",1
"149","FBgn0013688",1
"150","FBgn0013689",1
"151","FBgn0013690",1
"152","FBgn0013691",1
"153","FBgn0013692",1
"154","FBgn0013693",1
"155","FBgn0013694",1
"156","FBgn0013695",1
"157","FBgn0013696",1
"158","FBgn0013697",1
"159","FBgn0013698",1
"160","FBgn0013699",1
"161","FBgn0013700",1
"162","FBgn0013701",1
"163","FBgn0013702",1
"164","FBgn0013703",1
"165","FBgn0013704",1
"166","FBgn0013705",1
"167","FBgn0013706",1
"168","FBgn0013707",1
"169","FBgn0013708",1
"170","FBgn0013709",1
"171","FBgn0013710",1
"172","FBgn0014179",2
"173","FBgn0014848",1
"174","FBgn0014849",2
"175","FBgn0014850",1
"176","FBgn0014851",1
"177","FBgn0015008",1
"178","FBgn0015300",1
"179","FBgn0015381",2
"180","FBgn0015550",1
"181","FBgn0015583",1
"182","FBgn0015584",1
"183","FBgn0015586",2
"184","FBgn0015770",1
"185","FBgn0017556",2
"186","FBgn0019809",1
"187","FBgn0019828",3
"188","FBgn0020280",2
"189","FBgn0020371",2
"190","FBgn0020376",1
"191","FBgn0020429",1
"192","FBgn0020546",4
"193","FBgn0020556",4
"194","FBgn0020640",1
"195","FBgn0020641",2
"196","FBgn0020643",1
"197","FBgn0020645",1
"198","FBgn0020765",1
"199","FBgn0020880",1
