"geneNames","geneIDs","feature","id","pval","qval"
"MSTRG.6917.1","MSTRG.6917","transcript","23473",2.61512509447392e-06,0.01607483850299
"FBtr0075375","MSTRG.7517","transcript","25446",3.49718134673438e-06,0.01607483850299
"FBtr0100384","MSTRG.13552","transcript","46683",3.70508588420915e-06,0.01607483850299
"FBtr0070197","MSTRG.12044","transcript","41016",4.33936275212599e-06,0.01607483850299
"FBtr0347403","MSTRG.1438","transcript","4731",4.99165062262108e-06,0.01607483850299
"FBtr0330118","MSTRG.6352","transcript","21497",5.20165198025779e-06,0.01607483850299
"FBtr0332668","MSTRG.5889","transcript","19959",1.04900939115193e-05,0.0277867601867702
"FBtr0301008","MSTRG.7918","transcript","26652",1.68363043809849e-05,0.0337642053056804
"FBtr0344173","MSTRG.13274","transcript","45464",1.86282007890171e-05,0.0337642053056804
"FBtr0075801","MSTRG.7249","transcript","24548",1.86727570350431e-05,0.0337642053056804
"FBtr0085571","MSTRG.11599","transcript","38834",2.00305392278333e-05,0.0337642053056804
"FBtr0078732","MSTRG.8693","transcript","29107",3.00839983871093e-05,0.0380703802931995
"FBtr0329992","MSTRG.4343","transcript","14627",3.01992186733102e-05,0.0380703802931995
"FBtr0087933","MSTRG.3806","transcript","12697",3.02285240849631e-05,0.0380703802931995
"FBtr0346363","MSTRG.10663","transcript","35799",3.13880697960789e-05,0.0380703802931995
"FBtr0078179","MSTRG.7994","transcript","26898",3.59033623544835e-05,0.0380703802931995
"FBtr0071837","MSTRG.5179","transcript","17681",3.63556460470926e-05,0.0380703802931995
"FBtr0089023","MSTRG.2996","transcript","9941",3.69575474747919e-05,0.0380703802931995
"FBtr0077822","MSTRG.331","transcript","906",5.05263233696596e-05,0.0449871165442331
"FBtr0080925","MSTRG.2067","transcript","6856",5.05866019013812e-05,0.0449871165442331
"FBtr0084425","MSTRG.10766","transcript","36162",5.18219292928723e-05,0.0449871165442331
"FBtr0073972","MSTRG.13404","transcript","46033",5.33770124028221e-05,0.0449871165442331
"FBtr0070134","MSTRG.12011","transcript","40894",5.92611066310145e-05,0.0456893865372206
"FBtr0080043","MSTRG.1420","transcript","4682",6.00381096740321e-05,0.0456893865372206
"FBtr0299685","MSTRG.2195","transcript","7354",6.34022216234875e-05,0.0456893865372206
"FBtr0084461","MSTRG.10812","transcript","36274",6.40666621706254e-05,0.0456893865372206
"FBtr0075471","MSTRG.7506","transcript","25420",6.99585729374563e-05,0.0469099251494236
"FBtr0079606","MSTRG.1115","transcript","3739",7.08379842618845e-05,0.0469099251494236
"MSTRG.4343.4","MSTRG.4343","transcript","14631",7.67930616960566e-05,0.0490998948264925
"FBtr0343596","MSTRG.13375","transcript","45948",8.78695190311696e-05,0.051096657597766
"FBtr0305337","MSTRG.9046","transcript","30256",8.85765145361983e-05,0.051096657597766
"FBtr0337074","MSTRG.9045","transcript","30252",9.2135862574283e-05,0.051096657597766
"FBtr0074691","MSTRG.13892","transcript","47868",9.31882593429023e-05,0.051096657597766
