"MMgrey60"	"MMblack"	"MMtan"	"MMgreenyellow"	"MMblue"	"MMmagenta"	"MMpink"	"MMcyan"	"MMpurple"	"MMsalmon"	"MMlightcyan"	"MMmidnightblue"	"MMlightgreen"	"MMred"	"MMbrown"	"MMturquoise"
"FBgn0036214"	-0.0158895113846306	-0.0977184407430942	0.0926066409916301	-0.556131260712605	-0.588075080049488	-0.393119218690563	-0.299326847851013	0.158190273482411	0.434441047377321	0.0896160877031461	0.294614909678663	-0.0106839368531748	0.397672203570796	0.627736412276282	0.609758535301015	0.437935986981993
"FBgn0014931"	-0.280826308300481	-0.33312989774592	-0.537850765206315	0.593844591303921	0.941333291226402	0.878154657011487	0.818140661994619	0.228037658443599	-0.189426422222412	0.364739075995288	-0.0282503482095145	0.442011500197312	-0.388936503184983	-0.705487429687678	-0.925237680721427	-0.907921703740214
"FBgn0014930"	0.508870134754261	0.188808009955375	0.64280290568279	-0.450130590366395	-0.837418650710977	-0.769453537989721	-0.863227924902163	-0.113453821577087	0.162305284034314	-0.442244886121822	-0.225009773744518	-0.638826086607497	0.0614346426686528	0.662355659603036	0.821385917416595	0.788883944584075
"FBgn0027562"	0.320642175961545	0.532736719840664	0.651359713540525	-0.505868939119528	-0.9321622940717	-0.973315742502082	-0.868797311528877	-0.44556157696975	-0.00103446996664847	-0.509953795991486	-0.0387186572829698	-0.482984109796885	0.41170322799032	0.578700775510398	0.903491552590009	0.993196537312137
"FBgn0027563"	0.345037405104599	0.531781427503726	0.675501002311265	-0.480236249790109	-0.922720502485825	-0.970027344493203	-0.880949085084279	-0.450457564975446	-0.0193611626271431	-0.533291002885057	-0.0731461770031589	-0.51087615259773	0.376541830332287	0.563174757066312	0.888941520158808	0.987716896673654
"FBgn0027560"	0.366283949792243	0.651939785402166	0.698706667913761	-0.377299599645157	-0.855332876918383	-0.969560750152768	-0.866916954453295	-0.576445254741007	-0.151244295509432	-0.597627134770379	-0.118266192208839	-0.519461891762204	0.364341607210501	0.429752666647663	0.808470786320375	0.978623921847879
"FBgn0027561"	-0.338483015363266	-0.756695254442451	-0.619206368733663	-0.562397236626542	-0.0748122044329848	0.350591206211021	0.340514796885191	0.840367957437806	0.829656891912978	0.742235796749934	0.498967916681307	0.404864769907417	0.135092011716935	0.558445859500109	0.171022793165106	-0.258825941146594
"FBgn0027567"	-0.575473320417122	-0.88016364950771	-0.868172516995932	-0.256907114813615	0.393998013664413	0.766237704702271	0.775419812737816	0.893466423643671	0.708418779987483	0.93124674331222	0.541145643505181	0.685639202137226	0.016525569527689	0.184117417697345	-0.290856661363474	-0.688683123663605
"FBgn0027564"	0.598903558895962	0.819437637047797	0.948818504492249	0.233377326301077	-0.461573544124171	-0.774660712721914	-0.873294750047165	-0.778878861812432	-0.606830154268247	-0.900690449898037	-0.623790822085242	-0.826166420257503	-0.150999656905928	-0.0654683747274983	0.374447415023384	0.728995520025121
"FBgn0027565"	-0.155105277775974	-0.376030881157831	-0.537516742338207	0.567759104045768	0.91791029065311	0.876014699654595	0.738749495230457	0.299787486581298	-0.153711618761293	0.326938431984437	-0.123160018628353	0.318225830153044	-0.491270082732325	-0.651126639239964	-0.882176661898925	-0.895340993253953
"FBgn0027568"	-0.524929988729253	-0.574558833573442	-0.715454638252475	0.352625706493848	0.818084168273621	0.930310568215967	0.916512194747608	0.502859869149364	0.157181209604694	0.654625407333349	0.260213270445218	0.638840882715246	-0.192962867502633	-0.430846975249442	-0.780863737427523	-0.925927246000562
"FBgn0027569"	0.196529729351881	0.444924362480992	0.692766009473134	-0.282542447534509	-0.770063623958572	-0.797201367124679	-0.761799796550972	-0.373569538998124	-0.0294362070278267	-0.455969723936939	-0.108005630762936	-0.478256599131739	0.257614702653211	0.453477840945468	0.703345342858421	0.797130474601061
"FBgn0266044"	0.36900347564852	0.587291622115473	0.674061537457128	-0.356928604860247	-0.809354790582537	-0.916818740434901	-0.82733078771822	-0.530155013805357	-0.136186861007253	-0.575915702668289	-0.121599145420473	-0.497729806322465	0.339657740689956	0.419757311147341	0.769456628859229	0.915298846233964
"FBgn0266046"	0.350648569715199	0.556626792904373	0.655537019782267	-0.459142107226388	-0.892724501461494	-0.951669383419611	-0.856745844961523	-0.468217973805308	-0.0366013722538066	-0.518347930879065	-0.0693280305724587	-0.496670541191968	0.373663573451471	0.530162377188282	0.863296291032361	0.97396565915288
"FBgn0010438"	-0.188195532401668	-0.341617199507441	-0.518553871696055	0.646517126282933	0.986518919907715	0.906925724949848	0.779485048982183	0.243773835705436	-0.224283020258593	0.313986692422169	-0.141208109464942	0.341375491198722	-0.51688439154368	-0.7378615290113	-0.957830972264203	-0.935401272828745
"FBgn0266042"	0.32620503932288	0.459275735027195	0.574166616455936	-0.474161147311709	-0.851851545763726	-0.881697199420885	-0.786997155822189	-0.388249491245782	0.0202174135508841	-0.450388734706969	-0.0180946282772008	-0.43156262182224	0.381837867819327	0.54313280327809	0.833229790652506	0.900056339922432
"FBgn0266048"	0.220291533209239	0.199737227311153	0.410639504730213	-0.702856734357353	-0.932948530555152	-0.819292442691261	-0.716132628073208	-0.124652489456235	0.305699167855661	-0.242711816013802	0.146397899778261	-0.314684965280653	0.455578615866735	0.771398082207143	0.937524955177644	0.860688428155372
"FBgn0037356"	0.69125980063141	0.477469230781995	0.746453579323184	0.645176034792327	0.090217609715567	-0.217750383296699	-0.509522346110868	-0.506085016905321	-0.669811211944714	-0.749117299430809	-0.847845377928067	-0.789769144447398	-0.645576063886621	-0.419164468411218	-0.168407114665598	0.148136690771179
"FBgn0262057"	0.358542609060407	0.54121464265831	0.676902159463853	-0.481282638670416	-0.92635670672688	-0.976173628864802	-0.886284994146536	-0.458274190426372	-0.022043180649571	-0.535239506951503	-0.0736722387494996	-0.51516410391564	0.379075080556853	0.563272884507048	0.893452391493343	0.994031835373646
"FBgn0030645"	0.414419287924383	-0.164885954963846	0.237195563936641	0.325735990411201	0.163057111235869	0.161313187582166	-0.161989776871131	0.161561442082354	-0.0714857299017899	-0.169313420285151	-0.500518346820067	-0.459669237659044	-0.616738126718252	-0.0868360046709158	-0.157762672139629	-0.166008511901459
"FBgn0085218"	0.272627451769207	0.355860548710565	0.539106823044345	-0.598462589275609	-0.934503761836209	-0.88335639344583	-0.791105282835331	-0.260611904561931	0.170019366102986	-0.364522942880886	0.0522479009230263	-0.40518429094375	0.415159368741643	0.685484021569362	0.91736504694628	0.920046111913292
"FBgn0085219"	0.352865755115393	0.728017340902577	0.734808353614494	-0.217356347350326	-0.739376956726213	-0.909656325496495	-0.839301646429374	-0.645549774942848	-0.276255539538335	-0.647050240632365	-0.217059798599203	-0.562429745242015	0.253163920659356	0.281516596368726	0.683271970752499	0.909405766003845
"FBgn0010435"	0.251280179697602	0.533086125746575	0.619093494766112	-0.521391451909447	-0.935152597784231	-0.970504085145587	-0.82704803171202	-0.449951172322765	0.0131535437534673	-0.478269694820894	0.0386171242031492	-0.406549733518813	0.496488367627517	0.580057855758786	0.899874775170255	0.984819245978918
"FBgn0259482"	-0.246710078355455	-0.74617386939367	-0.666254291662702	0.176978503491784	0.674692775883089	0.86533932364393	0.724398952904403	0.699023624469391	0.309312740038836	0.60239282146262	0.104240484529735	0.414199879521463	-0.380898667160258	-0.200306979156847	-0.599324146881625	-0.84254968854516
"FBgn0033579"	0.222024972638793	0.334756228280104	0.487168506576967	-0.640529522921415	-0.943873029857582	-0.882520292449778	-0.766354694876192	-0.248257688851127	0.202582038477387	-0.323441227352675	0.113134503942774	-0.352729188498147	0.481765051595553	0.7068967501277	0.93243355599065	0.919006241473709
"FBgn0085212"	0.121479529934797	0.479112119103038	0.146989439333006	0.824690434436827	0.638667807981002	0.250835799385878	0.184411925221913	-0.542316502895504	-0.80607458280331	-0.38390168792418	-0.473179017105304	-0.123941494143702	-0.405378585893888	-0.901417100026169	-0.699935927888384	-0.334509185103979
"FBgn0033434"	0.299682985599927	0.851776139877857	0.76527144109894	-0.0984752967072993	-0.674055597832815	-0.914049318017337	-0.793398017940422	-0.788235117455683	-0.405907134292469	-0.695084488560488	-0.195747012809071	-0.502494812816101	0.327948192970929	0.144995535265061	0.596026082599698	0.888984936942466
"FBgn0036117"	0.223448875541518	0.435502168162954	0.232298108497258	0.943059031338619	0.697695845037075	0.295984851001047	0.173420329307881	-0.539471541656322	-0.852681615539358	-0.435801039940153	-0.579012649266494	-0.196816466312849	-0.531378876277369	-0.957866979449875	-0.775695829086017	-0.393464046635174
"FBgn0266102"	-0.229667089533723	-0.379619687386682	-0.504435481188838	0.57755716068722	0.887006654561073	0.874972800701795	0.736337019809407	0.327544540131343	-0.103574290678415	0.376932549550077	-0.0881773503818034	0.326134755925743	-0.479685811615086	-0.611153095576334	-0.864898540985557	-0.890969989314848
