"","ModID","MS_ID","Genes","Percent","Diet","Tissue","Interaction","dietFDR","tissueFDR","interFDR"
"1","black","a",2886,22.9,"0.001984237","7.2e-42","0.226002186","0.00218266","2.2e-41","0.22600219"
"2","blue","b",1679,13.3,"0.000043496","9.3e-51","0.019047063","0.00007361","6.6e-50","0.02464914"
"3","brown","c",1042,8.3,"0.681350684","1.4e-48","0.035164862","0.68135068","6.3e-48","0.04170553"
"4","cyan","d",391,3.1,"0.000002808","1.2e-50","0.096622097","0.00001236","6.6e-50","0.10122315"
"5","darkgreen","e",68,0.5,"0.000373371","1.3e-14","0.047090541","0.00043232","2.0e-14","0.05179960"
"6","darkgrey","f",249,2,"0.000006157","5.3e-38","0.000005848","0.00002258","1.2e-37","0.00006433"
"7","darkred","g",60,0.5,"0.000172478","8.9e-10","0.001446661","0.00025297","1.1e-09","0.00256656"
"8","darkturquoise","h",65,0.5,"0.063349490","1.6e-43","0.036018410","0.06636613","5.7e-43","0.04170553"
"9","greenyellow","i",135,1.1,"0.000001383","3.6e-39","0.000013758","0.00000903","8.9e-39","0.00009252"
"10","grey","j",1049,8.3,"0.000008478","3.3e-20","0.001344497","0.00002665","5.7e-20","0.00256656"
"11","lightcyan","k",82,0.7,"0.000001643","3.1e-11","0.001312278","0.00000903","4.0e-11","0.00256656"
"12","lightgreen","l",102,0.8,"0.000013947","1.1e-19","0.001026741","0.00003068","1.7e-19","0.00250981"
"13","lightyellow","m",79,0.6,"0.000001488","1.3e-08","0.001516601","0.00000903","1.4e-08","0.00256656"
"14","pink","n",269,2.1,"0.000022299","1.0e-29","0.000742027","0.00004460","1.9e-29","0.00204057"
"15","red","o",759,6,"0.000000015","3.9e-56","0.000016823","0.00000032","4.3e-55","0.00009252"
"16","royalblue","p",85,0.7,"0.000010192","1.7e-06","0.003248858","0.00002803","1.9e-06","0.00510535"
"17","salmon","q",114,0.9,"0.000086339","8.7e-42","0.000000015","0.00013568","2.4e-41","0.00000033"
"18","skyblue","r",44,0.3,"0.000013615","2.3e-02","0.000442769","0.00003068","2.3e-02","0.00154657"
"19","steelblue","s",39,0.3,"0.000025873","2.4e-04","0.008184496","0.00004743","2.5e-04","0.01200393"
"20","tan","t",123,1,"0.000197741","2.8e-32","0.000492090","0.00025590","5.6e-32","0.00154657"
"21","turquoise","u",3240,25.7,"0.000193928","1.8e-56","0.015617650","0.00025590","4.0e-55","0.02147427"
"22","white","v",54,0.4,"0.000294361","2.2e-11","0.000029623","0.00035977","3.0e-11","0.00013034"
