"symbol","primary_FBgn","annotation_ID","pathway"
"Ilp1","FBgn0044051","CG14173","FOXO"
"hep","FBgn0010303","CG4353","FOXO"
"Cdc5","FBgn0265574","CG6905","FOXO"
"Ctf4","FBgn0033890","CG13350","FOXO"
"eIF3f1","FBgn0037270","CG9769","FOXO"
"eIF3h","FBgn0022023","CG9124","FOXO"
"Cdk2","FBgn0004107","CG10498","FOXO"
"Sos","FBgn0001965","CG7793","FOXO"
"Dark","FBgn0263864","CG6829","FOXO"
"Dronc","FBgn0026404","CG8091","FOXO"
"Tor","FBgn0021796","CG5092","FOXO"
"Ilp3","FBgn0044050","CG14167","FOXO"
"brm","FBgn0000212","CG5942","FOXO"
"srl","FBgn0037248","CG9809","FOXO"
"arm","FBgn0000117","CG11579","FOXO"
"S6k","FBgn0283472","CG10539","FOXO"
"Usp7","FBgn0030366","CG1490","FOXO"
"rl","FBgn0003256","CG12559","FOXO"
"Pdk1","FBgn0020386","CG1210","FOXO"
"nej","FBgn0261617","CG15319","FOXO"
"alphaCOP","FBgn0025725","CG7961","FOXO"
"beta'COP","FBgn0025724","CG6699","FOXO"
"Cat","FBgn0000261","CG6871","FOXO"
"grim","FBgn0015946","CG4345","FOXO"
"Raf","FBgn0003079","CG2845","FOXO"
"IKKbeta","FBgn0024222","CG4201","FOXO"
"p38c","FBgn0267339","CG33338","FOXO"
"p38a","FBgn0015765","CG5475","FOXO"
"AMPKalpha","FBgn0023169","CG3051","FOXO"
"Rpt4","FBgn0028685","CG3455","FOXO"
"Ilp5","FBgn0044048","CG33273","FOXO"
"rpr","FBgn0011706","CG4319","FOXO"
"rictor","FBgn0031006","CG8002","FOXO"
"p38b","FBgn0024846","CG7393","FOXO"
"Egfr","FBgn0003731","CG10079","FOXO"
"Pi3K21B","FBgn0020622","CG2699","FOXO"
"alpha-Spec","FBgn0250789","CG1977","FOXO"
"14-3-3zeta","FBgn0004907","CG17870","FOXO"
"CG5059","FBgn0037007","CG5059","FOXO"
"pan","FBgn0085432","CG34403","FOXO"
"RpS6","FBgn0261592","CG10944","FOXO"
"pzg","FBgn0259785","CG7752","FOXO"
"Sf3b2","FBgn0031493","CG3605","FOXO"
"TBPH","FBgn0025790","CG10327","FOXO"
"Gycbeta100B","FBgn0013973","CG1470","FOXO"
"pav","FBgn0011692","CG1258","FOXO"
"sqd","FBgn0263396","CG16901","FOXO"
"Tsc1","FBgn0026317","CG6147","FOXO"
"mts","FBgn0004177","CG7109","FOXO"
"Rheb","FBgn0041191","CG1081","FOXO"
"RpL13A","FBgn0037351","CG1475","FOXO"
"nmo","FBgn0011817","CG7892","FOXO"
"mnb","FBgn0259168","CG42273","FOXO"
"Akt1","FBgn0010379","CG4006","FOXO"
