"module","size","p-val","Bonf","nInTerm","ont","term name"
"black",2722,6.5e-05,0.55,8,"MF","potassium ion antiporter activity"
"black",2722,0.0015,1,18,"BP","regulation of cell adhesion"
"black",2722,0.002,1,14,"MF","antiporter activity"
"black",2722,0.003,1,4,"MF","potassium:proton antiporter activity"
"black",2722,0.0034,1,5,"BP","regulation of cell-matrix adhesion"
"black",2722,0.0034,1,5,"MF","solute:proton antiporter activity"
"black",2722,0.0051,1,86,"BP","DNA metabolic process"
"black",2722,0.0063,1,15,"MF","glycosaminoglycan binding"
"black",2722,0.0064,1,14,"BP","pyruvate metabolic process"
"black",2722,0.0072,1,6,"BP","contractile actin filament bundle assemb"
"blue",1621,0.00038,1,43,"CC","mitochondrial membrane"
"blue",1621,0.001,1,44,"CC","mitochondrial envelope"
"blue",1621,0.0014,1,12,"BP","glial cell differentiation"
"blue",1621,0.0017,1,4,"BP","rRNA pseudouridine synthesis"
"blue",1621,0.0017,1,23,"BP","RNA modification"
"blue",1621,0.0018,1,6,"BP","pseudouridine synthesis"
"blue",1621,0.0018,1,6,"MF","intramolecular transferase activity"
"blue",1621,0.0022,1,19,"BP","centrosome cycle"
"blue",1621,0.0025,1,33,"CC","mitochondrial inner membrane"
"blue",1621,0.0025,1,33,"MF","small GTPase binding"
"brown",994,0.00068,1,4,"BP","post-mating behavior"
"brown",994,0.0017,1,60,"MF","oxidoreductase activity"
"brown",994,0.002,1,6,"BP","cellular response to ecdysone"
"brown",994,0.0027,1,11,"BP","tissue homeostasis"
"brown",994,0.0039,1,23,"MF","oxidoreductase activity, acting on paire"
"brown",994,0.0046,1,4,"BP","regulation of oviposition"
"brown",994,0.0054,1,3,"BP","regulation of post-mating oviposition"
"brown",994,0.0058,1,55,"BP","oxidation-reduction process"
"brown",994,0.0066,1,6,"BP","epithelial structure maintenance"
"brown",994,0.0066,1,6,"BP","establishment of mitotic spindle localiz"
"cyan",471,0.00035,1,15,"MF","phosphatase activity"
"cyan",471,0.00077,1,29,"MF","hydrolase activity, acting on ester bond"
"cyan",471,0.0011,1,16,"MF","phosphoric ester hydrolase activity"
"cyan",471,0.0012,1,14,"BP","dephosphorylation"
"cyan",471,0.0016,1,2,"BP","rRNA 2'-O-methylation"
"cyan",471,0.0016,1,2,"BP","renal protein absorption"
"cyan",471,0.0016,1,2,"MF","non-membrane spanning protein tyrosine p"
"cyan",471,0.0016,1,2,"MF","high voltage-gated calcium channel activ"
"cyan",471,0.002,1,3,"BP","male germ-line stem cell asymmetric divi"
"cyan",471,0.0031,1,3,"CC","chaperonin-containing T-complex"
"darkgreen",185,0.002,1,3,"BP","salivary gland boundary specification"
"darkgreen",185,0.0024,1,17,"MF","RNA binding"
"darkgreen",185,0.0029,1,35,"MF","nucleic acid binding"
"darkgreen",185,0.0078,1,2,"MF","NADH dehydrogenase (ubiquinone) activity"
"darkgreen",185,0.0097,1,2,"MF","oxidoreductase activity, acting on NAD(P"
"darkgreen",185,0.011,1,3,"BP","positive regulation of establishment of "
"darkgreen",185,0.012,1,10,"BP","mRNA processing"
