"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"black",2956,2620,1,6.00608024506447e-174,5.09615908793721e-170,1157,0.441603053435115,0.482083333333333,2400,"GO:0005634","CC","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"black",2956,2620,2,6.64083627486441e-120,5.63474957922245e-116,511,0.195038167938931,0.620145631067961,824,"GO:0031981","CC","nuclear lumen","The volume enclosed by the nuclear inner membrane."
"black",2956,2620,3,1.72260065117912e-115,1.46162665252549e-111,1484,0.566412213740458,0.380903490759754,3896,"GO:0043231","CC","intracellular membrane-bounded organelle","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"black",2956,2620,4,1.88227167392223e-109,1.59710751532301e-105,1665,0.635496183206107,0.359223300970874,4635,"GO:0043229","CC","intracellular organelle","Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
"black",2956,2620,5,2.27195597729409e-101,1.92775464673403e-97,1054,0.402290076335878,0.421262989608313,2502,"GO:0032991","CC","protein-containing complex","A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."
"black",2956,2620,6,1.83109894228739e-96,1.55368745253085e-92,982,0.374809160305344,0.42677096914385,2301,"GO:0006139","BP","nucleobase-containing compound metabolic process","Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."
"black",2956,2620,7,4.63879943302375e-86,3.93602131892065e-82,927,0.35381679389313,0.421939007737824,2197,"GO:0010467","BP","gene expression","The process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."
"black",2956,2620,8,3.39723194398978e-85,2.88255130447533e-81,737,0.281297709923664,0.458904109589041,1606,"GO:0003676","MF","nucleic acid binding","Interacting selectively and non-covalently with any nucleic acid."
"black",2956,2620,9,1.85922742988753e-84,1.57755447425957e-80,787,0.300381679389313,0.446145124716553,1764,"GO:0016070","BP","RNA metabolic process","The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"black",2956,2620,10,1.02449022402774e-83,8.69279955087538e-80,356,0.13587786259542,0.627865961199294,567,"GO:0006396","BP","RNA processing","Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."
"blue",1747,1296,1,1.05627489399191e-34,8.96249247552139e-31,174,0.134259259259259,0.320441988950276,543,"GO:0042995","CC","cell projection","A prolongation or process extending from a cell, e.g. a flagellum or axon."
"blue",1747,1296,2,2.61483955775181e-32,2.21869136475241e-28,277,0.213734567901235,0.245785270629991,1127,"GO:0005886","CC","plasma membrane","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"blue",1747,1296,3,8.9808423903531e-29,7.62024476821461e-25,148,0.114197530864198,0.316239316239316,468,"GO:0050877","BP","nervous system process","A organ system process carried out by any of the organs or tissues of neurological system."
"blue",1747,1296,4,4.44727489698968e-28,3.77351275009575e-24,128,0.0987654320987654,0.338624338624339,378,"GO:0043005","CC","neuron projection","A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."
"blue",1747,1296,5,4.1953117998594e-27,3.5597220621807e-23,138,0.106481481481481,0.317972350230415,434,"GO:0005887","CC","integral component of plasma membrane","The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"blue",1747,1296,6,6.70241368964817e-27,5.68699801566647e-23,287,0.221450617283951,0.226162332545311,1269,"GO:0071944","CC","cell periphery","The part of a cell encompassing the cell cortex, the plasma membrane, and any external encapsulating structures."
"blue",1747,1296,7,1.22125626245319e-26,1.03623593869153e-22,140,0.108024691358025,0.3125,448,"GO:0031226","CC","intrinsic component of plasma membrane","The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane."
"blue",1747,1296,8,4.01851521837392e-25,3.40971016279027e-21,280,0.216049382716049,0.222929936305732,1256,"GO:0031224","CC","intrinsic component of membrane","The component of a membrane consisting of the gene products having some covalently attached portion, for example part of a peptide sequence or some other covalently attached group such as a GPI anchor, which spans or is embedded in one or both leaflets of the membrane."
"blue",1747,1296,9,6.529319687649e-25,5.54012775497017e-21,276,0.212962962962963,0.223481781376518,1235,"GO:0016021","CC","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"blue",1747,1296,10,3.79573946768414e-24,3.22068493833e-20,101,0.0779320987654321,0.355633802816901,284,"GO:0004888","MF","transmembrane signaling receptor activity","Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction."
"brown",1084,851,1,1.00945564183051e-37,8.5652311209319e-34,85,0.099882491186839,0.397196261682243,214,"GO:0008236","MF","serine-type peptidase activity","Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"brown",1084,851,2,1.5446367122389e-37,1.3106242503347e-33,85,0.099882491186839,0.395348837209302,215,"GO:0017171","MF","serine hydrolase activity","Catalysis of the hydrolysis of a substrate by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"brown",1084,851,3,9.25283327300125e-33,7.85102903214156e-29,75,0.0881316098707403,0.390625,192,"GO:0004252","MF","serine-type endopeptidase activity","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"brown",1084,851,4,7.89412890473873e-31,6.69816837567081e-27,120,0.141010575793184,0.25369978858351,473,"GO:0008233","MF","peptidase activity","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"brown",1084,851,5,1.14348340670191e-22,9.70245670586571e-19,85,0.099882491186839,0.259938837920489,327,"GO:0004175","MF","endopeptidase activity","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain."
"brown",1084,851,6,1.97278068589329e-20,1.67390441198046e-16,142,0.166862514688602,0.180432020330368,787,"GO:0006508","BP","proteolysis","The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."
"brown",1084,851,7,4.67000538246974e-20,3.96249956702557e-16,233,0.2737955346651,0.144094001236858,1617,"GO:0016787","MF","hydrolase activity","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."
"brown",1084,851,8,5.61304967616036e-15,4.76267265022206e-11,36,0.0423031727379553,0.36,100,"GO:0006030","BP","chitin metabolic process","The chemical reactions and pathways involving chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues."
"brown",1084,851,9,2.8735495831007e-14,2.43820682126094e-10,33,0.0387779083431257,0.370786516853933,89,"GO:0008238","MF","exopeptidase activity","Catalysis of the hydrolysis of a peptide bond not more than three residues from the N- or C-terminus of a polypeptide chain, in a reaction that requires a free N-terminal amino group, C-terminal carboxyl group or both."
"brown",1084,851,10,1.9276972075841e-13,1.63565108063511e-09,35,0.0411280846063455,0.333333333333333,105,"GO:0008061","MF","chitin binding","Interacting selectively and non-covalently with chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues."
"cyan",507,392,1,3.82969015799089e-09,3.24949209905527e-05,50,0.127551020408163,0.0922509225092251,542,"GO:0031090","CC","organelle membrane","A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."
"cyan",507,392,2,2.24526110005253e-08,0.000190510404339457,47,0.119897959183673,0.0903846153846154,520,"GO:0055114","BP","oxidation-reduction process","A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons."
"cyan",507,392,3,4.63796876610352e-08,0.000393531649803884,13,0.0331632653061225,0.25,52,"GO:1902600","BP","proton transmembrane transport",NA
"cyan",507,392,4,7.04481317301749e-08,0.000597752397730534,12,0.0306122448979592,0.266666666666667,45,"GO:0042625","MF","ATPase coupled ion transmembrane transporter activity","Enables the transfer of an ion from one side of a membrane to the other, driven by the reaction: ATP + H2O = ADP + phosphate."
"cyan",507,392,5,7.65160881101188e-08,0.000649239007614358,9,0.0229591836734694,0.391304347826087,23,"GO:0046961","MF","proton-transporting ATPase activity, rotational mechanism","Enables the transfer of protons from one side of a membrane to the other according to the reaction: ATP + H2O + H+(in) = ADP + phosphate + H+(out), by a rotational mechanism."
"cyan",507,392,6,7.6576167131714e-08,0.000649748778112594,22,0.0561224489795918,0.142857142857143,154,"GO:0098662","BP","inorganic cation transmembrane transport","A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."
"cyan",507,392,7,1.17084906848409e-07,0.000993465434608751,16,0.0408163265306122,0.186046511627907,86,"GO:0015078","MF","proton transmembrane transporter activity","Enables the transfer of a proton from one side of a membrane to the other."
"cyan",507,392,8,1.89107303679491e-07,0.00160457547172048,46,0.11734693877551,0.0851851851851852,540,"GO:0055085","BP","transmembrane transport","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"cyan",507,392,9,4.48422438560343e-07,0.00380486439118451,5,0.0127551020408163,0.833333333333333,6,"GO:0046688","BP","response to copper ion","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a copper ion stimulus."
"cyan",507,392,10,6.09945875373088e-07,0.00517539075254065,22,0.0561224489795918,0.127167630057803,173,"GO:0098655","BP","cation transmembrane transport","The process in which a cation is transported across a membrane."
"darkgreen",199,183,1,3.18309086583257e-15,2.70085259965894e-11,86,0.469945355191257,0.0394676457090408,2179,"GO:0005515","MF","protein binding","Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"darkgreen",199,183,2,7.03898315395429e-15,5.97257720613022e-11,71,0.387978142076503,0.0447385003150599,1587,"GO:0007154","BP","cell communication","Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
"darkgreen",199,183,3,1.70312103300375e-14,1.44509819650368e-10,45,0.245901639344262,0.0638297872340425,705,"GO:0009966","BP","regulation of signal transduction","Any process that modulates the frequency, rate or extent of signal transduction."
"darkgreen",199,183,4,2.38044416850386e-14,2.01980687697552e-10,69,0.377049180327869,0.0446313065976714,1546,"GO:0023052","BP","signaling","The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."
"darkgreen",199,183,5,3.67036990417659e-14,3.11430886369384e-10,56,0.306010928961749,0.0518999073215941,1079,"GO:0007399","BP","nervous system development","The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."
"darkgreen",199,183,6,1.27525078879384e-13,1.08205029429157e-09,66,0.360655737704918,0.0445644834571236,1481,"GO:0009653","BP","anatomical structure morphogenesis","The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."
"darkgreen",199,183,7,2.07190606693044e-13,1.75801229779048e-09,69,0.377049180327869,0.0427509293680297,1614,"GO:0030154","BP","cell differentiation","The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."
"darkgreen",199,183,8,2.07263884762782e-13,1.7586340622122e-09,49,0.26775956284153,0.0554298642533937,884,"GO:0022008","BP","neurogenesis","Generation of cells within the nervous system."
"darkgreen",199,183,9,3.41578555712842e-13,2.89829404522346e-09,93,0.508196721311475,0.0347663551401869,2675,"GO:0016043","BP","cellular component organization","A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."
