"module","size","p-val","Bonf","nInTerm","ont","term name"
"black",1459,3.8e-32,3.2e-28,91,"MF","serine hydrolase activity"
"black",1459,1.5e-31,1.3e-27,90,"MF","serine-type peptidase activity"
"black",1459,9.4e-28,7.9e-24,80,"MF","serine-type endopeptidase activity"
"black",1459,8e-23,6.7e-19,127,"MF","peptidase activity"
"black",1459,3.3e-21,2.8e-17,48,"BP","chitin metabolic process"
"black",1459,5e-20,4.2e-16,48,"MF","chitin binding"
"black",1459,1.1e-17,9e-14,281,"MF","hydrolase activity"
"black",1459,3.8e-17,3.2e-13,91,"MF","endopeptidase activity"
"black",1459,6.8e-16,5.7e-12,172,"CC","extracellular region"
"black",1459,4.3e-15,3.6e-11,15,"CC","plasma membrane proton-transporting V-ty"
"blue",2332,4.1e-92,3.4e-88,833,"CC","nucleus"
"blue",2332,3.9e-91,3.2e-87,1519,"CC","intracellular"
"blue",2332,1.6e-84,1.4e-80,848,"CC","protein-containing complex"
"blue",2332,2e-77,1.6e-73,1132,"CC","intracellular membrane-bounded organelle"
"blue",2332,5.3e-75,4.4e-71,1278,"CC","intracellular organelle"
"blue",2332,1.3e-65,1.1e-61,728,"BP","gene expression"
"blue",2332,4.2e-65,3.5e-61,279,"CC","ribonucleoprotein complex"
"blue",2332,6.4e-62,5.3e-58,281,"BP","RNA processing"
"blue",2332,6.6e-55,5.6e-51,727,"BP","nucleobase-containing compound metabolic"
"blue",2332,7.7e-52,6.5e-48,268,"MF","RNA binding"
"brown",1953,3.2e-39,2.6e-35,188,"CC","cell projection"
"brown",1953,2.3e-35,2e-31,295,"CC","plasma membrane"
"brown",1953,4.1e-32,3.4e-28,140,"CC","neuron projection"
"brown",1953,5.2e-31,4.4e-27,152,"CC","integral component of plasma membrane"
"brown",1953,1.9e-30,1.6e-26,154,"CC","intrinsic component of plasma membrane"
"brown",1953,1.9e-30,1.6e-26,174,"BP","nervous system process"
"brown",1953,2.1e-29,1.8e-25,306,"CC","cell periphery"
"brown",1953,2.5e-29,2.1e-25,308,"CC","intrinsic component of membrane"
"brown",1953,4e-29,3.4e-25,304,"CC","integral component of membrane"
"brown",1953,1.1e-28,9e-25,115,"MF","transmembrane signaling receptor activit"
"cyan",117,0.00014,1,3,"BP","anterograde axonal transport"
"cyan",117,0.00028,1,2,"BP","negative regulation of compound eye cone"
"cyan",117,0.00091,1,2,"BP","G protein-coupled glutamate receptor sig"
"cyan",117,0.00091,1,2,"BP","regulation of compound eye cone cell fat"
"cyan",117,0.0022,1,3,"BP","axonal transport"
"cyan",117,0.0027,1,6,"BP","Ras protein signal transduction"
"cyan",117,0.0032,1,2,"BP","compound eye cone cell fate commitment"
"cyan",117,0.0049,1,6,"BP","small GTPase mediated signal transductio"
"cyan",117,0.0072,1,3,"BP","axo-dendritic transport"
"cyan",117,0.0077,1,3,"BP","Rab protein signal transduction"
"greenyellow",177,2.5e-40,2.1e-36,29,"CC","proteasome complex"
"greenyellow",177,4.3e-24,3.6e-20,14,"CC","proteasome core complex"
"greenyellow",177,2.4e-23,2e-19,14,"MF","threonine-type endopeptidase activity"
"greenyellow",177,1.3e-21,1.1e-17,13,"BP","proteasomal ubiquitin-independent protei"
"greenyellow",177,1.9e-21,1.6e-17,30,"BP","proteasomal protein catabolic process"
"greenyellow",177,5.7e-21,4.7e-17,29,"BP","proteasome-mediated ubiquitin-dependent "
"greenyellow",177,1.1e-17,9.3e-14,13,"CC","proteasome regulatory particle"
"greenyellow",177,2.1e-17,1.8e-13,110,"CC","cytoplasm"
"greenyellow",177,7.5e-17,6.3e-13,29,"BP","ubiquitin-dependent protein catabolic pr"
"greenyellow",177,1.1e-16,9.5e-13,29,"BP","modification-dependent protein catabolic"
"grey60",61,2.1e-96,1.8e-92,49,"CC","cytosolic ribosome"
"grey60",61,3.2e-83,2.7e-79,46,"BP","cytoplasmic translation"
"grey60",61,5.1e-80,4.3e-76,49,"CC","ribosome"
"grey60",61,2.1e-77,1.7e-73,47,"MF","structural constituent of ribosome"
"grey60",61,9.9e-67,8.3e-63,51,"BP","translation"
"grey60",61,2.3e-60,1.9e-56,51,"BP","peptide metabolic process"
"grey60",61,7.9e-58,6.7e-54,51,"CC","cytosol"
"grey60",61,8.4e-58,7e-54,50,"CC","ribonucleoprotein complex"
"grey60",61,1.1e-55,9e-52,47,"MF","structural molecule activity"
"grey60",61,6.7e-52,5.6e-48,28,"CC","cytosolic large ribosomal subunit"
"lightcyan",85,9.4e-08,0.00079,39,"MF","protein binding"
"lightcyan",85,6.3e-07,0.0053,42,"BP","cellular component organization"
"lightcyan",85,6.5e-07,0.0055,10,"CC","cell junction"
"lightcyan",85,8.4e-07,0.007,32,"BP","organelle organization"
"lightcyan",85,1.3e-06,0.011,31,"BP","cell differentiation"
"lightcyan",85,1.7e-06,0.014,18,"BP","locomotion"
"lightcyan",85,2.2e-06,0.018,39,"CC","protein-containing complex"
"lightcyan",85,2.2e-06,0.019,8,"CC","cell-cell junction"
"lightcyan",85,2.7e-06,0.023,21,"BP","gamete generation"
"lightcyan",85,3e-06,0.025,25,"BP","animal organ development"
"lightgreen",51,5.4e-05,0.45,5,"BP","spermatid differentiation"
"lightgreen",51,7.7e-05,0.65,7,"BP","muscle structure development"
"lightgreen",51,8.2e-05,0.69,25,"BP","cellular component organization"
"lightgreen",51,8.4e-05,0.7,17,"BP","cell development"
"lightgreen",51,0.00011,0.94,19,"BP","organelle organization"
"lightgreen",51,0.00012,0.99,22,"MF","protein binding"
"lightgreen",51,0.00021,1,2,"BP","perineurial glial growth"
"lightgreen",51,0.00024,1,18,"BP","cell differentiation"
"lightgreen",51,0.00025,1,17,"BP","anatomical structure morphogenesis"
"lightgreen",51,0.00027,1,5,"BP","muscle cell differentiation"
"magenta",1221,1.1e-42,9.2e-39,425,"CC","nucleus"
"magenta",1221,6.3e-28,5.3e-24,551,"CC","intracellular membrane-bounded organelle"
"magenta",1221,3.2e-27,2.7e-23,729,"CC","intracellular"
"magenta",1221,1.6e-26,1.3e-22,307,"BP","RNA metabolic process"
"magenta",1221,1.8e-26,1.5e-22,623,"CC","intracellular organelle"
"magenta",1221,1.7e-23,1.4e-19,116,"CC","nucleoplasm"
"magenta",1221,1.7e-23,1.5e-19,363,"BP","nucleobase-containing compound metabolic"
"magenta",1221,6.3e-22,5.2e-18,345,"BP","gene expression"
"magenta",1221,9.6e-21,8.1e-17,271,"MF","nucleic acid binding"
"magenta",1221,2.1e-17,1.8e-13,302,"BP","regulation of metabolic process"
"midnightblue",87,7.6e-12,6.4e-08,43,"BP","regulation of metabolic process"
"midnightblue",87,2.9e-11,2.4e-07,40,"BP","regulation of cellular metabolic process"
"midnightblue",87,6.6e-10,5.5e-06,34,"BP","regulation of gene expression"
"midnightblue",87,1.2e-09,9.9e-06,29,"BP","regulation of transcription, DNA-templat"
"midnightblue",87,1.3e-09,1.1e-05,21,"CC","chromosome"
"midnightblue",87,3.2e-09,2.7e-05,29,"BP","transcription, DNA-templated"
"midnightblue",87,3.5e-09,2.9e-05,17,"BP","chromatin organization"
"midnightblue",87,4.6e-09,3.8e-05,13,"CC","polytene chromosome"
"midnightblue",87,7.1e-09,5.9e-05,29,"BP","regulation of RNA metabolic process"
"midnightblue",87,2.4e-08,2e-04,20,"BP","chromosome organization"
"pink",279,3.4e-20,2.9e-16,126,"CC","nucleus"
"pink",279,4.7e-18,4e-14,207,"CC","intracellular"
"pink",279,2.1e-15,1.8e-11,85,"BP","regulation of gene expression"
"pink",279,4.7e-15,3.9e-11,102,"BP","regulation of metabolic process"
"pink",279,2.7e-13,2.2e-09,48,"BP","chromosome organization"
"pink",279,3e-13,2.5e-09,223,"BP","cellular process"
"pink",279,3e-13,2.5e-09,172,"CC","intracellular organelle"
"pink",279,3.7e-13,3.1e-09,121,"BP","cellular component organization"
"pink",279,3.7e-11,3.1e-07,87,"BP","regulation of cellular metabolic process"
"pink",279,4.9e-11,4.1e-07,100,"BP","gene expression"
"purple",201,4.4e-10,3.7e-06,19,"MF","GTPase binding"
"purple",201,5.1e-10,4.2e-06,18,"MF","Ras GTPase binding"
"purple",201,6.8e-10,5.7e-06,18,"MF","small GTPase binding"
"purple",201,8.5e-08,0.00071,11,"BP","regulation of Ras protein signal transdu"
"purple",201,1.5e-07,0.0012,14,"BP","Ras protein signal transduction"
"purple",201,2.3e-07,0.002,11,"BP","regulation of small GTPase mediated sign"
"purple",201,6.5e-07,0.0055,10,"MF","guanyl-nucleotide exchange factor activi"
"purple",201,6.8e-07,0.0057,14,"BP","small GTPase mediated signal transductio"
"purple",201,6.9e-07,0.0058,9,"MF","Ras guanyl-nucleotide exchange factor ac"
"purple",201,1.4e-06,0.012,23,"MF","enzyme binding"
"red",760,8.2e-25,6.9e-21,99,"CC","cell projection"
"red",760,2.8e-24,2.3e-20,99,"BP","nervous system process"
"red",760,6e-22,5e-18,53,"BP","sensory perception of chemical stimulus"
"red",760,9.1e-20,7.7e-16,36,"BP","detection of chemical stimulus"
"red",760,9.8e-20,8.2e-16,26,"MF","olfactory receptor activity"
"red",760,1.6e-19,1.3e-15,37,"BP","detection of stimulus involved in sensor"
"red",760,4e-19,3.4e-15,31,"BP","detection of chemical stimulus involved "
"red",760,1.4e-18,1.2e-14,36,"BP","sensory perception of smell"
"red",760,2.1e-18,1.8e-14,27,"BP","phototransduction"
"red",760,3.4e-18,2.9e-14,22,"CC","rhabdomere"
"salmon",124,1.1e-13,9.3e-10,43,"BP","regulation of RNA metabolic process"
"salmon",124,2e-13,1.7e-09,41,"BP","regulation of transcription, DNA-templat"
"salmon",124,7.6e-13,6.4e-09,52,"BP","regulation of cellular metabolic process"
"salmon",124,3.9e-12,3.3e-08,40,"BP","transcription, DNA-templated"
"salmon",124,7.5e-12,6.3e-08,45,"BP","regulation of gene expression"
"salmon",124,1.1e-11,9.1e-08,53,"BP","regulation of metabolic process"
"salmon",124,6e-10,5e-06,47,"BP","RNA metabolic process"
"salmon",124,2.7e-09,2.3e-05,54,"BP","multicellular organism development"
"salmon",124,3.9e-09,3.2e-05,58,"BP","anatomical structure development"
"salmon",124,6.8e-09,5.7e-05,59,"BP","developmental process"
"tan",158,1.6e-24,1.4e-20,46,"CC","organelle membrane"
"tan",158,8.9e-23,7.5e-19,25,"BP","ATP metabolic process"
"tan",158,4.6e-22,3.9e-18,48,"CC","mitochondrion"
"tan",158,4.4e-21,3.7e-17,27,"BP","generation of precursor metabolites and "
"tan",158,5.2e-21,4.4e-17,30,"CC","mitochondrial membrane"
"tan",158,3e-20,2.5e-16,30,"CC","mitochondrial envelope"
"tan",158,3.7e-20,3.1e-16,27,"CC","mitochondrial inner membrane"
"tan",158,3.7e-19,3.1e-15,21,"BP","cellular respiration"
"tan",158,4e-19,3.3e-15,28,"BP","ribose phosphate metabolic process"
"tan",158,4.1e-19,3.4e-15,18,"BP","mitochondrial ATP synthesis coupled elec"
"turquoise",3549,3.8e-49,3.2e-45,420,"CC","extracellular region"
"turquoise",3549,2e-38,1.6e-34,280,"MF","oxidoreductase activity"
"turquoise",3549,3.7e-38,3.1e-34,273,"BP","oxidation-reduction process"
"turquoise",3549,1.1e-36,9.3e-33,246,"CC","extracellular space"
"turquoise",3549,4.1e-22,3.5e-18,176,"MF","cofactor binding"
"turquoise",3549,1.1e-16,9.4e-13,176,"BP","carboxylic acid metabolic process"
"turquoise",3549,1.3e-16,1.1e-12,85,"MF","iron ion binding"
"turquoise",3549,2.6e-16,2.2e-12,181,"BP","organic acid metabolic process"
"turquoise",3549,5.5e-16,4.6e-12,76,"MF","heme binding"
"turquoise",3549,1.9e-15,1.6e-11,94,"BP","generation of precursor metabolites and "
