"FBgn","ModID"
"FBgn0036214","red"
"FBgn0014931","black"
"FBgn0014930","blue"
"FBgn0027562","turquoise"
"FBgn0027563","turquoise"
"FBgn0027560","turquoise"
"FBgn0027561","darkgrey"
"FBgn0027567","salmon"
"FBgn0027564","grey"
"FBgn0027565","black"
"FBgn0027568","pink"
"FBgn0027569","turquoise"
"FBgn0266044","turquoise"
"FBgn0266046","turquoise"
"FBgn0010438","black"
"FBgn0266042","turquoise"
"FBgn0266048","blue"
"FBgn0037356","skyblue"
"FBgn0262057","turquoise"
"FBgn0030645","lightgreen"
"FBgn0085218","turquoise"
"FBgn0085219","turquoise"
"FBgn0010435","turquoise"
"FBgn0259482","black"
"FBgn0033579","turquoise"
"FBgn0085212","grey"
"FBgn0033434","cyan"
"FBgn0036117","greenyellow"
"FBgn0266102","black"
"FBgn0036111","black"
"FBgn0036110","cyan"
"FBgn0036112","white"
"FBgn0010431","black"
"FBgn0033439","turquoise"
"FBgn0033438","red"
"FBgn0032082","black"
"FBgn0040752","salmon"
"FBgn0015553","black"
"FBgn0015550","turquoise"
"FBgn0029174","black"
"FBgn0040754","turquoise"
"FBgn0039294","blue"
"FBgn0015558","red"
"FBgn0040759","brown"
"FBgn0010043","brown"
"FBgn0038247","pink"
"FBgn0036090","cyan"
"FBgn0038244","grey"
"FBgn0038243","turquoise"
"FBgn0051233","brown"
"FBgn0029170","blue"
"FBgn0038248","red"
"FBgn0039293","black"
"FBgn0036094","turquoise"
"FBgn0036373","grey"
"FBgn0036372","black"
"FBgn0036374","grey"
"FBgn0036377","turquoise"
"FBgn0036376","black"
"FBgn0051909","turquoise"
"FBgn0051908","black"
"FBgn0051729","blue"
"FBgn0005614","red"
"FBgn0005617","grey"
"FBgn0005612","turquoise"
"FBgn0025809","black"
"FBgn0027338","black"
"FBgn0005619","blue"
"FBgn0039419","turquoise"
"FBgn0266041","turquoise"
"FBgn0267270","red"
"FBgn0262351","red"
"FBgn0262352","black"
"FBgn0262353","turquoise"
"FBgn0267277","blue"
"FBgn0267278","black"
"FBgn0265813","blue"
"FBgn0265810","black"
"FBgn0265811","darkgrey"
"FBgn0265814","red"
"FBgn0260933","red"
"FBgn0035876","brown"
"FBgn0035875","brown"
"FBgn0265819","blue"
"FBgn0035873","red"
"FBgn0035872","black"
"FBgn0035871","turquoise"
"FBgn0035870","blue"
"FBgn0036565","black"
"FBgn0028646","turquoise"
"FBgn0028863","blue"
"FBgn0028644","red"
"FBgn0028645","red"
"FBgn0028648","black"
"FBgn0025549","pink"
"FBgn0262689","turquoise"
"FBgn0032478","turquoise"
"FBgn0032479","darkgrey"
"FBgn0262682","darkgrey"
"FBgn0032477","turquoise"
"FBgn0032474","red"
"FBgn0032475","pink"
"FBgn0262686","tan"
"FBgn0032473","blue"
"FBgn0039350","black"
"FBgn0025355","blue"
"FBgn0086898","pink"
"FBgn0086895","black"
"FBgn0036567","blue"
"FBgn0031412","grey"
"FBgn0003048","royalblue"
"FBgn0003511","black"
"FBgn0003510","brown"
"FBgn0003513","blue"
"FBgn0003512","black"
"FBgn0003515","turquoise"
"FBgn0003514","brown"
"FBgn0003041","black"
"FBgn0042627","brown"
"FBgn0042199","cyan"
"FBgn0053465","blue"
"FBgn0053467","black"
"FBgn0053460","turquoise"
"FBgn0046756","blue"
"FBgn0035293","turquoise"
"FBgn0267554","red"
"FBgn0035290","blue"
"FBgn0053468","turquoise"
"FBgn0053469","grey"
"FBgn0035295","black"
"FBgn0035294","black"
"FBgn0263087","black"
"FBgn0032228","black"
"FBgn0263083","turquoise"
"FBgn0263081","brown"
"FBgn0035204","lightgreen"
"FBgn0052594","turquoise"
"FBgn0052591","grey"
"FBgn0052590","salmon"
"FBgn0039092","brown"
"FBgn0035206","skyblue"
"FBgn0039417","black"
"FBgn0261020","grey"
"FBgn0039943","black"
"FBgn0032222","grey"
"FBgn0039941","cyan"
"FBgn0030341","grey"
"FBgn0036035","black"
"FBgn0038404","turquoise"
"FBgn0038401","black"
"FBgn0035120","tan"
"FBgn0263556","turquoise"
"FBgn0039945","turquoise"
"FBgn0032224","turquoise"
"FBgn0004430","grey"
"FBgn0029502","grey"
"FBgn0266692","blue"
"FBgn0266694","black"
"FBgn0266697","blue"
"FBgn0266696","blue"
"FBgn0031972","red"
"FBgn0031970","turquoise"
"FBgn0031976","blue"
"FBgn0031977","black"
"FBgn0031974","turquoise"
"FBgn0060296","turquoise"
"FBgn0034184","red"
"FBgn0034186","black"
"FBgn0038749","red"
"FBgn0034180","blue"
