"","ModID","no_rows","key"
"1","black",2886,"a"
"2","blue",1679,"b"
"3","brown",1042,"c"
"4","cyan",391,"d"
"5","darkgreen",68,"e"
"6","darkgrey",249,"f"
"7","darkred",60,"g"
"8","darkturquoise",65,"h"
"9","greenyellow",135,"i"
"10","grey",1049,"j"
"11","lightcyan",82,"k"
"12","lightgreen",102,"l"
"13","lightyellow",79,"m"
"14","pink",269,"n"
"15","red",759,"o"
"16","royalblue",85,"p"
"17","salmon",114,"q"
"18","skyblue",44,"r"
"19","steelblue",39,"s"
"20","tan",123,"t"
"21","turquoise",3240,"u"
"22","white",54,"v"
