"module","size","p-val","Bonf","nInTerm","ont","termName"
"black",2886,1e-165,8.8e-162,1125,"CC","nucleus"
"black",2886,2.8e-114,2.4e-110,497,"CC","nuclear lumen"
"black",2886,1.1e-108,9e-105,1441,"CC","intracellular membrane-bounded organelle"
"black",2886,1.3e-103,1.1e-99,1619,"CC","intracellular organelle"
"black",2886,8.7e-99,7.4e-95,1030,"CC","protein-containing complex"
"black",2886,1.1e-93,9.3e-90,959,"BP","nucleobase-containing compound metabolic"
"black",2886,3.1e-84,2.6e-80,723,"MF","nucleic acid binding"
"black",2886,1.8e-83,1.5e-79,905,"BP","gene expression"
"black",2886,1.5e-82,1.3e-78,350,"BP","RNA processing"
"black",2886,3.1e-81,2.6e-77,767,"BP","RNA metabolic process"
"black",2886,1.8e-73,1.5e-69,345,"BP","chromosome organization"
"black",2886,4.4e-60,3.7e-56,313,"CC","chromosome"
"black",2886,5.8e-60,4.9e-56,212,"BP","DNA metabolic process"
"black",2886,1.4e-53,1.2e-49,261,"BP","mitotic cell cycle"
"black",2886,2.9e-53,2.4e-49,311,"MF","RNA binding"
"black",2886,1.3e-50,1.1e-46,679,"BP","organelle organization"
"black",2886,5e-49,4.3e-45,1433,"BP","nitrogen compound metabolic process"
"black",2886,1.8e-46,1.5e-42,144,"CC","nucleolus"
"black",2886,5.3e-46,4.5e-42,1466,"BP","cellular metabolic process"
"black",2886,7.1e-44,6e-40,182,"BP","nuclear division"
"black",2886,6.1e-43,5.2e-39,1964,"BP","cellular process"
"black",2886,3.7e-41,3.2e-37,275,"CC","ribonucleoprotein complex"
"black",2886,1.1e-40,9.7e-37,131,"BP","chromosome segregation"
"black",2886,2.1e-38,1.8e-34,305,"BP","female gamete generation"
"black",2886,1.9e-37,1.6e-33,118,"BP","nuclear chromosome segregation"
"black",2886,2.6e-36,2.2e-32,232,"CC","nucleoplasm"
"black",2886,1.6e-35,1.4e-31,178,"BP","mRNA processing"
"black",2886,1.7e-35,1.4e-31,140,"BP","cellular response to DNA damage stimulus"
"black",2886,8.5e-34,7.3e-30,369,"BP","gamete generation"
"black",2886,2.2e-33,1.9e-29,117,"BP","DNA repair"
"black",2886,2.4e-33,2e-29,155,"CC","nuclear chromosome"
"black",2886,3.1e-33,2.7e-29,172,"BP","regulation of cell cycle"
"black",2886,3.7e-33,3.2e-29,198,"BP","chromatin organization"
"black",2886,1.1e-32,9.3e-29,86,"BP","DNA replication"
"black",2886,2.7e-31,2.3e-27,890,"BP","cellular component organization"
"black",2886,3.8e-31,3.3e-27,123,"BP","ribosome biogenesis"
"black",2886,1.8e-30,1.5e-26,131,"BP","meiotic cell cycle"
"black",2886,2.1e-30,1.8e-26,158,"CC","chromatin"
"black",2886,9.7e-30,8.2e-26,153,"BP","RNA splicing"
"black",2886,3.3e-29,2.8e-25,267,"BP","oogenesis"
"black",2886,3.4e-29,2.9e-25,145,"BP","RNA splicing, via transesterification re"
"black",2886,3.4e-29,2.9e-25,145,"BP","mRNA splicing, via spliceosome"
"black",2886,6.4e-29,5.4e-25,299,"BP","germ cell development"
"black",2886,7.4e-28,6.3e-24,87,"BP","rRNA processing"
"black",2886,2e-26,1.7e-22,427,"BP","reproductive process"
"black",2886,3.3e-26,2.8e-22,87,"BP","sister chromatid segregation"
"black",2886,1.2e-25,1e-21,75,"BP","DNA recombination"
"black",2886,1.3e-25,1.1e-21,70,"BP","DNA-dependent DNA replication"
"black",2886,1.4e-24,1.2e-20,90,"BP","tRNA metabolic process"
"black",2886,3.6e-24,3.1e-20,109,"BP","regulation of mitotic cell cycle"
"black",2886,1.8e-23,1.5e-19,432,"BP","reproduction"
"black",2886,1.1e-22,9.7e-19,66,"MF","helicase activity"
"black",2886,2.5e-22,2.2e-18,333,"MF","DNA binding"
"black",2886,5.2e-22,4.4e-18,655,"BP","regulation of metabolic process"
"black",2886,6.6e-22,5.6e-18,75,"BP","mitotic sister chromatid segregation"
"black",2886,1.1e-21,9e-18,64,"CC","spliceosomal complex"
"black",2886,8.5e-21,7.2e-17,101,"BP","regulation of cell cycle process"
"black",2886,3.3e-20,2.8e-16,72,"BP","nucleocytoplasmic transport"
"black",2886,1.2e-19,1e-15,199,"BP","cellular protein-containing complex asse"
"black",2886,2e-19,1.7e-15,380,"BP","multicellular organism reproduction"
"black",2886,2.9e-19,2.5e-15,497,"BP","regulation of gene expression"
"black",2886,4.7e-19,4e-15,77,"BP","cell cycle phase transition"
"black",2886,6.4e-19,5.4e-15,96,"BP","RNA localization"
"black",2886,6.7e-19,5.7e-15,59,"CC","chromosome, centromeric region"
"black",2886,1.2e-18,1.1e-14,73,"BP","mitotic cell cycle phase transition"
"black",2886,2.5e-18,2.1e-14,44,"BP","female meiotic nuclear division"
"black",2886,2.6e-18,2.2e-14,95,"CC","nuclear chromatin"
"black",2886,3.1e-18,2.6e-14,61,"BP","protein-DNA complex assembly"
"black",2886,3.7e-18,3.2e-14,49,"MF","ATP-dependent helicase activity"
"black",2886,4.1e-18,3.5e-14,71,"CC","nuclear envelope"
"black",2886,7.4e-18,6.2e-14,55,"BP","RNA 3'-end processing"
"black",2886,1.1e-17,9.6e-14,32,"CC","small-subunit processome"
"black",2886,1.2e-17,9.8e-14,47,"BP","meiotic chromosome segregation"
"black",2886,2.1e-17,1.8e-13,103,"MF","chromatin binding"
"black",2886,3.4e-17,2.9e-13,71,"BP","eggshell formation"
"black",2886,4.4e-17,3.7e-13,70,"BP","chorion-containing eggshell formation"
"black",2886,6.3e-17,5.3e-13,406,"BP","cellular protein modification process"
"black",2886,8.6e-17,7.3e-13,35,"CC","chorion"
"black",2886,1.1e-16,9.8e-13,45,"BP","protein localization to nucleus"
"black",2886,1.9e-16,1.6e-12,64,"BP","regulation of cell cycle phase transitio"
"black",2886,3.7e-16,3.2e-12,31,"CC","replication fork"
"black",2886,8.6e-16,7.3e-12,71,"BP","spindle organization"
"black",2886,9.4e-16,8e-12,46,"BP","chromatin assembly or disassembly"
"black",2886,1.1e-15,9.1e-12,40,"MF","DNA-dependent ATPase activity"
"black",2886,1.3e-15,1.1e-11,59,"BP","double-strand break repair"
"black",2886,1.3e-15,1.1e-11,731,"BP","biosynthetic process"
"black",2886,1.6e-15,1.4e-11,95,"BP","histone modification"
"black",2886,2.8e-15,2.4e-11,45,"CC","RNA polymerase II, holoenzyme"
"black",2886,3.4e-15,2.8e-11,61,"BP","RNA modification"
"black",2886,5e-15,4.3e-11,48,"BP","nucleosome organization"
"black",2886,8.4e-15,7.1e-11,140,"BP","microtubule cytoskeleton organization"
"black",2886,8.6e-15,7.3e-11,60,"BP","RNA catabolic process"
"black",2886,9e-15,7.6e-11,2294,"CC","cellular_component"
"black",2886,1.1e-14,9.3e-11,38,"BP","protein import into nucleus"
"black",2886,1.1e-14,9.4e-11,39,"BP","import into nucleus"
"black",2886,1.2e-14,1e-10,68,"MF","methyltransferase activity"
"black",2886,1.9e-14,1.6e-10,45,"CC","condensed chromosome"
"black",2886,3.3e-14,2.8e-10,568,"BP","regulation of cellular metabolic process"
"black",2886,3.4e-14,2.9e-10,47,"BP","mitotic spindle organization"
"black",2886,4.6e-14,3.9e-10,225,"BP","cellular macromolecule localization"
"black",2886,4.7e-14,4e-10,56,"BP","microtubule cytoskeleton organization in"
"black",2886,5.2e-14,4.4e-10,65,"MF","nuclease activity"
"black",2886,7.3e-14,6.2e-10,42,"BP","double-strand break repair via homologou"
"black",2886,7.3e-14,6.2e-10,42,"BP","recombinational repair"
"black",2886,2.4e-13,2e-09,40,"BP","chromosome condensation"
"black",2886,2.6e-13,2.2e-09,95,"BP","gene silencing"
"black",2886,2.7e-13,2.3e-09,39,"BP","chromosome separation"
"black",2886,3.2e-13,2.7e-09,37,"BP","RNA export from nucleus"
"black",2886,3.3e-13,2.8e-09,36,"CC","kinetochore"
"black",2886,3.4e-13,2.9e-09,34,"CC","nuclear pore"
"black",2886,3.9e-13,3.3e-09,64,"BP","negative regulation of cell cycle"
"black",2886,4.4e-13,3.7e-09,69,"BP","methylation"
"black",2886,5.4e-13,4.6e-09,121,"BP","cell division"
"black",2886,6.9e-13,5.9e-09,98,"BP","protein localization to organelle"
"black",2886,8.9e-13,7.6e-09,30,"CC","catalytic step 2 spliceosome"
"black",2886,9.4e-13,8e-09,25,"CC","90S preribosome"
"black",2886,1.1e-12,9e-09,42,"BP","nuclear export"
"black",2886,1.1e-12,9.1e-09,34,"MF","RNA methyltransferase activity"
"black",2886,1.1e-12,9.1e-09,49,"MF","nucleotidyltransferase activity"
"black",2886,1.2e-12,9.9e-09,81,"BP","regulation of chromosome organization"
"black",2886,1.2e-12,1e-08,85,"CC","transcription factor complex"
"black",2886,1.9e-12,1.6e-08,52,"BP","tRNA processing"
"black",2886,2.9e-12,2.4e-08,35,"BP","mitotic cell cycle checkpoint"
"black",2886,3.1e-12,2.6e-08,34,"CC","pole plasm"
"black",2886,3.1e-12,2.7e-08,225,"BP","negative regulation of gene expression"
"black",2886,3.4e-12,2.9e-08,32,"BP","mRNA transport"
"black",2886,3.4e-12,2.9e-08,24,"BP","nucleotide-excision repair"
"black",2886,3.4e-12,2.9e-08,665,"MF","protein binding"
"black",2886,4.5e-12,3.8e-08,222,"MF","ATP binding"
"black",2886,4.8e-12,4e-08,51,"BP","DNA-templated transcription, initiation"
"black",2886,5e-12,4.3e-08,38,"BP","protein export from nucleus"
"black",2886,5.9e-12,5e-08,37,"BP","chromosome organization involved in meio"
"black",2886,9.1e-12,7.7e-08,46,"BP","transcription initiation from RNA polyme"
"black",2886,9.1e-12,7.7e-08,46,"BP","negative regulation of mitotic cell cycl"
"black",2886,1e-11,8.6e-08,32,"BP","ribonucleoprotein complex export from nu"
"black",2886,1e-11,8.8e-08,29,"BP","nucleosome assembly"
"black",2886,1e-11,8.8e-08,29,"MF","ATP-dependent RNA helicase activity"
"black",2886,1e-11,8.8e-08,29,"MF","RNA-dependent ATPase activity"
"black",2886,1.1e-11,8.9e-08,31,"MF","RNA helicase activity"
"black",2886,1.4e-11,1.2e-07,37,"BP","chromatin assembly"
"black",2886,1.4e-11,1.2e-07,94,"BP","posttranscriptional regulation of gene e"
"black",2886,1.4e-11,1.2e-07,77,"BP","oocyte differentiation"
"black",2886,1.8e-11,1.5e-07,159,"BP","translation"
"black",2886,1.9e-11,1.6e-07,163,"BP","microtubule-based process"
"black",2886,1.9e-11,1.6e-07,43,"BP","positive regulation of cell cycle"
"black",2886,2.2e-11,1.9e-07,39,"BP","ribosomal small subunit biogenesis"
"black",2886,2.4e-11,2e-07,25,"BP","reciprocal meiotic recombination"
"black",2886,2.4e-11,2.1e-07,42,"BP","nucleus organization"
"black",2886,2.6e-11,2.2e-07,21,"BP","DNA replication initiation"
"black",2886,2.8e-11,2.4e-07,26,"BP","mRNA export from nucleus"
"black",2886,2.9e-11,2.4e-07,49,"BP","mRNA catabolic process"
"black",2886,3.1e-11,2.6e-07,31,"BP","tRNA aminoacylation"
"black",2886,3.1e-11,2.6e-07,41,"BP","nucleic acid phosphodiester bond hydroly"
"black",2886,3.3e-11,2.8e-07,30,"BP","tRNA aminoacylation for protein translat"
"black",2886,3.9e-11,3.3e-07,43,"BP","regulation of mitotic nuclear division"
"black",2886,3.9e-11,3.3e-07,50,"BP","protein acetylation"
"black",2886,4.3e-11,3.6e-07,68,"BP","ribonucleoprotein complex assembly"
"black",2886,4.4e-11,3.8e-07,19,"MF","structural constituent of nuclear pore"
"black",2886,4.5e-11,3.8e-07,45,"CC","small nuclear ribonucleoprotein complex"
"black",2886,4.6e-11,3.9e-07,223,"MF","adenyl ribonucleotide binding"
"black",2886,4.7e-11,4e-07,269,"MF","purine nucleotide binding"
"black",2886,4.8e-11,4e-07,17,"MF","DNA replication origin binding"
"black",2886,5e-11,4.2e-07,60,"BP","chromatin remodeling"
"black",2886,5e-11,4.2e-07,47,"CC","cytoplasmic ribonucleoprotein granule"
"black",2886,8.1e-11,6.8e-07,40,"BP","nuclear-transcribed mRNA catabolic proce"
"black",2886,9.2e-11,7.8e-07,47,"CC","ribonucleoprotein granule"
"black",2886,9.4e-11,8e-07,25,"BP","homologous recombination"
"black",2886,9.7e-11,8.2e-07,20,"BP","snRNA 3'-end processing"
"black",2886,1.6e-10,1.4e-06,21,"BP","snRNA processing"
"black",2886,1.8e-10,1.5e-06,366,"BP","transcription, DNA-templated"
"black",2886,1.9e-10,1.6e-06,32,"BP","RNA methylation"
"black",2886,1.9e-10,1.6e-06,32,"MF","single-stranded DNA binding"
"black",2886,1.9e-10,1.6e-06,126,"BP","ovarian follicle cell development"
"black",2886,2.2e-10,1.9e-06,46,"BP","histone acetylation"
"black",2886,2.2e-10,1.9e-06,48,"BP","intracellular mRNA localization"
"black",2886,2.3e-10,1.9e-06,86,"BP","regulation of gene expression, epigeneti"
"black",2886,2.5e-10,2.1e-06,41,"BP","spindle assembly"
"black",2886,2.8e-10,2.3e-06,29,"BP","DNA biosynthetic process"
"black",2886,3.7e-10,3.1e-06,42,"MF","endonuclease activity"
"black",2886,3.7e-10,3.2e-06,55,"CC","spindle"
"black",2886,4e-10,3.4e-06,46,"BP","peptidyl-lysine acetylation"
"black",2886,4.4e-10,3.8e-06,59,"CC","nuclear transcription factor complex"
"black",2886,5.7e-10,4.8e-06,20,"CC","nuclear replication fork"
"black",2886,6.3e-10,5.3e-06,50,"BP","establishment of RNA localization"
"black",2886,7e-10,5.9e-06,46,"BP","eggshell chorion assembly"
"black",2886,7.1e-10,6e-06,67,"MF","transcription coregulator activity"
"black",2886,8.2e-10,7e-06,28,"BP","maturation of SSU-rRNA"
"black",2886,8.9e-10,7.5e-06,36,"BP","tRNA modification"
"black",2886,8.9e-10,7.5e-06,376,"BP","regulation of RNA metabolic process"
