"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000639",251.507139147576,1.96432017213053,0.24024069365697,8.17646728466118,2.92286836598206e-16,3.48464366592381e-12
"FBgn0035022",71.7418670487766,1.34863407436815,0.167160804503171,8.067884564067,7.15266241924125e-16,4.26370206810971e-12
"FBgn0039748",133.005205153799,-0.605220572263302,0.0810379829504513,-7.46835681526463,8.12024087265061e-14,3.22698372279135e-10
"FBgn0038981",902.487854271923,-0.377107482405741,0.0525381126434544,-7.17778891230735,7.08478318339049e-13,2.11161962780953e-09
"FBgn0039677",54.5710093461248,0.916706044514308,0.130353017230394,7.03248811566875,2.02882592197828e-12,4.83753252836501e-09
"FBgn0004554",84.4354035080524,1.73960153254336,0.253610527070504,6.85934275930015,6.91780756665208e-12,1.37456836349377e-08
"FBgn0039767",1808.94281667757,0.27018967549387,0.0406961030670302,6.63920265409302,3.15384535010597e-11,5.37144918056619e-08
"FBgn0002868",4691.04567202806,-0.867123571332267,0.134318370436814,-6.45573325906435,1.07696156962044e-10,1.60494197912686e-07
"FBgn0039226",391.176998331761,-0.416828102742647,0.0658390218260754,-6.33101907017646,2.43547238215334e-10,3.2261890822258e-07
"FBgn0043791",733.145676893822,-3.38114468378311,0.539387219930238,-6.26849239071776,3.64560434364037e-10,4.34628949848805e-07
"FBgn0058160",1913.88768641777,0.331372427656743,0.0534319260941119,6.20176834114277,5.58322217312775e-10,6.05119770436628e-07
"FBgn0000346",2287.32835002024,-0.326688134372293,0.0529143217567414,-6.17390762134585,6.66224771014877e-10,6.56539910354086e-07
"FBgn0038321",702.218210453068,-0.376562608738697,0.0612218181711641,-6.15079100862216,7.70974563408589e-10,6.56539910354086e-07
"FBgn0027657",4696.69018982305,0.503707143746942,0.0818030021342279,6.15756305520946,7.38728343716381e-10,6.56539910354086e-07
"FBgn0034761",1214.54266213462,-0.58487856644905,0.0957286900924535,-6.10975211176693,9.97860083332643e-10,7.93099194232785e-07
"FBgn0031322",619.93817739426,-0.389720708466849,0.0643225069675379,-6.05885446385869,1.37094359967568e-09,9.6143468207844e-07
"FBgn0030347",718.121955040182,-0.481064851441295,0.0792844406295029,-6.067582083215,1.2985025803374e-09,9.6143468207844e-07
"FBgn0004117",4053.82186836528,-0.47250942185604,0.0781829223039232,-6.04363981201979,1.50675687065931e-09,9.97975300666681e-07
"FBgn0051664",670.002432035623,0.835239822264326,0.139745021007837,5.97688430142697,2.27445610796323e-09,1.40798961321416e-06
"FBgn0035264",143.719962290346,-0.613777987834411,0.102797883325138,-5.97072593307295,2.36200237076691e-09,1.40798961321416e-06
"FBgn0039679",38.2244956203602,0.860075217115732,0.145129324738684,5.92626761451804,3.09897409832249e-09,1.75933186667622e-06
"FBgn0040609",1561.78360768139,-1.07708455540265,0.183354048467802,-5.87434291417784,4.24523807517986e-09,2.30053310601337e-06
"FBgn0002609",98.5009864346576,-0.818187413999575,0.139601497124002,-5.86087850671696,4.60424762078312e-09,2.38660174499897e-06
"FBgn0025628",2288.00821997944,-0.364374316009431,0.0628982794321355,-5.7930728677972,6.91101039292862e-09,3.43304441268729e-06
"FBgn0014029",1177.01653476368,-0.212278586843991,0.0367300484298185,-5.77942572685685,7.49560352509692e-09,3.57450340904822e-06
"FBgn0004885",3579.88351140921,0.408396603292839,0.0709685479327717,5.75461405353413,8.68399600094465e-09,3.93039720712953e-06
"FBgn0041096",292.380564760148,-0.428390352189247,0.0744969946341654,-5.75043804509103,8.90125185308652e-09,3.93039720712953e-06
"FBgn0031053",59.5393098252447,-0.581950758247808,0.10204966809823,-5.70262274334534,1.17977899128482e-08,5.02333040503486e-06
"FBgn0037835",946.473090026237,-0.443234090320217,0.0780344638669453,-5.67997867039831,1.347115400463e-08,5.53803786355857e-06
"FBgn0032358",1259.14408743177,0.368381060571479,0.0650915297842634,5.65943160027772,1.51875164762114e-08,6.0355190476464e-06
"FBgn0037130",541.812170885307,-0.424689467989985,0.0752541232415025,-5.64340463614318,1.66719889788107e-08,6.21135789391817e-06
"FBgn0033128",702.777474607449,-0.388257152889433,0.0687927241284379,-5.64386943253687,1.66270188060707e-08,6.21135789391817e-06
"FBgn0028983",676.150760321341,-0.569415446981536,0.101243527204874,-5.62421581608158,1.86352556501983e-08,6.58667972832783e-06
"FBgn0025885",5958.73259428479,-0.363658369607643,0.0646752142933426,-5.62283980936228,1.87843575543656e-08,6.58667972832783e-06
"FBgn0002773",11020.7566243113,-0.59310686867359,0.106104394311955,-5.58984264996427,2.27275466337557e-08,7.61322756878163e-06
"FBgn0250785",935.536394952716,-0.349346246051203,0.0625188430312461,-5.58785526271822,2.29891119339153e-08,7.61322756878163e-06
"FBgn0030993",724.684017848098,-0.55399419271939,0.0992801318782163,-5.58011137010733,2.40364630805031e-08,7.74493818502047e-06
"FBgn0052056",1392.64806533543,-0.205810739895327,0.0369633486450165,-5.56796793147351,2.57727240536093e-08,7.89041190541628e-06
"FBgn0029771",473.835393562097,-0.310496651623268,0.0558116903453501,-5.56329058844097,2.64734504459529e-08,7.89041190541628e-06
"FBgn0003137",2593.80819140454,-0.851180108218197,0.152957643500195,-5.5648092422208,2.62439337205735e-08,7.89041190541628e-06
"FBgn0265266",18.4927455433436,1.38989147667842,0.250244293760458,5.5541385411524,2.78984155805142e-08,8.11231489148514e-06
"FBgn0050418",150.556542160898,-0.427706015588739,0.0771247650727823,-5.54563784000009,2.92884494550846e-08,8.31373558103617e-06
"FBgn0003514",2326.9315982652,-0.238393184074712,0.0431832051293431,-5.52050695080812,3.38023021498667e-08,8.57427757937682e-06
"FBgn0028482",1003.58767183847,-0.687414076887375,0.124449984841874,-5.52361720060316,3.32090588323912e-08,8.57427757937682e-06
"FBgn0035995",1169.76526795129,-0.278291110284186,0.0504048199272421,-5.52112100957589,3.36843691337712e-08,8.57427757937682e-06
"FBgn0050021",757.372015744955,-0.413471435812482,0.0747889186025169,-5.52851202475559,3.22958292840412e-08,8.57427757937682e-06
"FBgn0000083",4631.03382768594,-0.317526636129348,0.0574391352506908,-5.52805390860283,3.23802561733523e-08,8.57427757937682e-06
"FBgn0266417",744.682476455257,-0.41855918620754,0.0760159422848129,-5.50620269415726,3.66656349933173e-08,9.10682709146518e-06
"FBgn0265356",1639.8441838427,-0.500437279765991,0.0910462026100248,-5.49652006805268,3.87359031764881e-08,9.38006743884782e-06
"FBgn0263118",126.243852540357,-0.523974588359831,0.0953757555309223,-5.49379226872756,3.93393199079342e-08,9.38006743884782e-06
"FBgn0004133",239.785322968227,-0.368236488836222,0.0671731231689544,-5.48190215765359,4.20776937252282e-08,9.64712047292635e-06
"FBgn0031805",697.28331823603,-0.913264261183048,0.166501606764976,-5.48501770599825,4.1342800660004e-08,9.64712047292635e-06
"FBgn0036369",336.45797315673,-0.579900911690355,0.105876455412321,-5.47714701471649,4.32238092974658e-08,9.72291046121485e-06
"FBgn0050287",17.2950452621132,1.09488270311746,0.200271864509418,5.46698212352226,4.57762198518553e-08,1.01063720939596e-05
"FBgn0033502",161.323416562535,-0.833549757039249,0.153006176881415,-5.44781768964319,5.09915840410076e-08,1.08557440167302e-05
"FBgn0053523",2006.62367824471,-0.241379487175537,0.0442826512243524,-5.45088156426359,5.01207422144228e-08,1.08557440167302e-05
"FBgn0016693",2893.04415627531,-0.255171179584462,0.0468816408707393,-5.44288072783144,5.24257513732654e-08,1.09652597872293e-05
"FBgn0039877",1715.82649779911,0.231629544413989,0.0426114339499593,5.43585425184241,5.45345195298791e-08,1.12096645144003e-05
"FBgn0033232",614.935929442721,0.218647879312565,0.0403257951879396,5.42203515872532,5.89242886955477e-08,1.19067011835308e-05
"FBgn0037447",949.622426068333,-0.549036982913272,0.101807791221817,-5.3928778566371,6.93380878092121e-08,1.37774780476904e-05
"FBgn0029118",803.556235241201,-0.295599682401461,0.0551008672866601,-5.36470108289976,8.10833848867241e-08,1.58471494199922e-05
"FBgn0024230",811.148481180728,0.258039668475699,0.0482131815104822,5.35205643750346,8.69602659077852e-08,1.65906650500087e-05
"FBgn0028895",169.253488787181,0.269402396060046,0.0503500920001576,5.35058398819216,8.76708520508763e-08,1.65906650500087e-05
"FBgn0265262",2727.7598844563,-0.425001513293132,0.0799391935276854,-5.31655993184296,1.05747402919201e-07,1.96987584000425e-05
"FBgn0032400",27005.282877936,0.334855069661726,0.0631581009094423,5.30185462893905,1.14632108778756e-07,2.10252923209281e-05
"FBgn0003261",15284.6710628388,-0.187028707937647,0.0357329881402891,-5.2340629113738,1.6582397073575e-07,2.96794308203448e-05
"FBgn0053503",750.954228819762,0.878047155411654,0.167878719707229,5.23024691243129,1.69283785923792e-07,2.96794308203448e-05
"FBgn0050489",890.486741771015,0.877691283584405,0.167752796929582,5.23205156425997,1.6763896866929e-07,2.96794308203448e-05
"FBgn0031836",3729.00867793033,-0.265326390582194,0.0507597630137736,-5.22710065667954,1.7218877140349e-07,2.97512251111943e-05
"FBgn0035621",13.4938705354752,-7.4219527929366,1.42783514511727,-5.19804601975043,2.01394276265664e-07,3.4300322309132e-05
"FBgn0004169",5531.9288263229,-0.476576239916396,0.091740895688463,-5.19480692160202,2.0493241738548e-07,3.44113278883056e-05
"FBgn0027578",2177.19108806852,0.569607049857831,0.109947608546388,5.18071340876423,2.21038878379278e-07,3.66003542783021e-05
"FBgn0003890",2045.74655020976,-0.421029262111024,0.0815909930936639,-5.16024191086504,2.46630946654276e-07,4.02785499453737e-05
"FBgn0011828",996.178664591637,-0.764377146091888,0.148538001581089,-5.14600397174863,2.66093790242612e-07,4.2869867125303e-05
"FBgn0033153",266.547697416156,-0.419209229204967,0.0815703636311607,-5.13923452763456,2.75859921363637e-07,4.38506930999637e-05
"FBgn0039017",201.764068403406,0.430849031077372,0.0847273720081104,5.08512209060526,3.67389660984249e-07,5.69688216948848e-05
"FBgn0003495",1071.84642286291,0.468232284615255,0.0920840269738718,5.08483718623766,3.67941559344584e-07,5.69688216948848e-05
"FBgn0260635",4377.06513269046,-0.188491436592341,0.0372376806431104,-5.06184685342949,4.15214504467855e-07,6.34639400290482e-05
"FBgn0036988",550.48866049142,0.279471736799796,0.0552614555941461,5.05726339986963,4.25315605835478e-07,6.41849702882351e-05
