"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0284234",11.6162245621127,16.8451349428531,1.49450951590807,11.2713467285071,1.8176816141463e-29,2.10978304953961e-25
"FBgn0267243",103.129155196633,-2.70193004247478,0.366972831404083,-7.36275225644597,1.80156542382207e-13,9.46435097277864e-10
"FBgn0002868",4691.04567202806,-1.41264212325023,0.192935780706444,-7.32182552182789,2.44620082005134e-13,9.46435097277864e-10
"FBgn0267507",444.830872865753,-4.54692151351795,0.636126022838892,-7.14783132629291,8.81595426111891e-13,2.55816952772018e-09
"FBgn0033448",1730.31448897012,-0.608983306445407,0.0895450499381521,-6.80085953233625,1.03996785772896e-11,2.414181384932e-08
"FBgn0035267",444.65445322306,0.97641901462458,0.145884646583454,6.69308962589161,2.1850721467022e-11,4.22702206779541e-08
"FBgn0263116",231.840600269233,1.15132415662261,0.185901057994346,6.19320927510605,5.89513728518084e-10,9.77497978129914e-07
"FBgn0030347",718.121955040182,-0.706476060788953,0.116604623539067,-6.05873111499955,1.37199513445269e-09,1.99059344069905e-06
"FBgn0000639",251.507139147576,2.17792466619576,0.363790740974796,5.98675123055606,2.14073820832391e-09,2.76083870933507e-06
"FBgn0042201",1365.47378108029,-1.15651370098207,0.194970900964918,-5.93172465869751,2.99769029084717e-09,3.47941912058631e-06
"FBgn0033486",1163.44004127866,0.372224556064702,0.0634521651780867,5.86622308348353,4.45833869825139e-09,4.70435793369126e-06
"FBgn0004554",84.4354035080524,2.02781677804345,0.346629541858635,5.85009796675219,4.91283562813756e-09,4.75194026131606e-06
"FBgn0004598",5068.91165498119,0.595646545367657,0.102634415954546,5.80357514414516,6.49156397713057e-09,5.79596792942727e-06
"FBgn0039767",1808.94281667757,0.31799901033664,0.0557645139969557,5.70253352076196,1.18039689022082e-08,9.78633336056646e-06
"FBgn0028983",676.150760321341,-0.906225283031917,0.161794538011228,-5.60108699694811,2.13011790103611e-08,1.64828523182174e-05
"FBgn0033038",548.085943374025,-0.353684837373123,0.0633083410726541,-5.5867020266291,2.31422296196071e-08,1.67882411996738e-05
"FBgn0266441",354.43963404418,0.799408828198543,0.143970720209725,5.5525792121761,2.81485092901741e-08,1.92188086665324e-05
"FBgn0052368",215.751172470887,-1.21663606295948,0.222643311366795,-5.4645075816139,4.64193542668705e-08,2.9932746943087e-05
"FBgn0266521",4076.13845596711,0.81133323906417,0.148975627554453,5.44608035812846,5.14918808694926e-08,3.14561190132737e-05
"FBgn0035022",71.7418670487766,1.39010237784672,0.257341027787792,5.40179072803355,6.59788972452696e-08,3.64674790631355e-05
"FBgn0283536",7569.39087594225,-0.387965832389924,0.071787955269854,-5.40433044696069,6.50509233320896e-08,3.64674790631355e-05
"FBgn0015520",574.838951655745,0.620591033416673,0.115443392275194,5.37571723409952,7.62784223174631e-08,4.02438021744906e-05
"FBgn0030090",679.118859193986,0.651545054789249,0.122868146997292,5.30279873760615,1.1404062908234e-07,5.74671280996337e-05
"FBgn0035309",192.399686215955,-0.720463346653648,0.136057317642499,-5.29529288933006,1.1882580118818e-07,5.74671280996337e-05
"FBgn0000042",36097.081442408,-0.6647369328025,0.127933519938366,-5.19595593963763,2.03670497568219e-07,9.45601386109725e-05
"FBgn0038815",419.934411642187,0.676010062957912,0.130591960155477,5.17650598209172,2.2607980681706e-07,0.000100927242989447
"FBgn0038873",22.28747701537,3.81687072704519,0.738485151446909,5.16851384156719,2.35962815413881e-07,0.000101437792537367
"FBgn0052283",11.9183788981564,-2.0751635415275,0.402030978639176,-5.16170059469463,2.44716470790804e-07,0.000101443717016745
"FBgn0040298",376.911436663386,0.369702706515779,0.0717346346333766,5.15375464592893,2.55321959438602e-07,0.000102190413213926
"FBgn0025628",2288.00821997944,-0.492565854980736,0.0959593174570569,-5.13306959692754,2.85054438014227e-07,0.000110287562067704
"FBgn0039748",133.005205153799,-0.721172147004511,0.140927576687119,-5.11732454326966,3.09900119346375e-07,0.000116032602750109
"FBgn0004687",3809.93133438398,-0.498978653477226,0.0982335103828761,-5.0795156513536,3.78398351134513e-07,0.000137252176925572
"FBgn0031968",955.513782168667,-0.660578836754889,0.131009684317876,-5.04221378895999,4.60176740951672e-07,0.000152607755206459
