gene_symbol,organism_abbreviation,primary_FBgn,annotation_ID,secondary_FBgn,secondary_annotation_ID
Ilp1,Dmel,FBgn0044051,CG14173,FBgn0036045,
hep,Dmel,FBgn0010303,CG4353,"FBgn0013490,FBgn0029076,FBgn0030446,FBgn0040188",CG2190
Cdc5,Dmel,FBgn0265574,CG6905,"FBgn0035136,FBgn0025183",
Ctf4,Dmel,FBgn0033890,CG13350,FBgn0044696,
eIF3f1,Dmel,FBgn0037270,CG9769,,
eIF3h,Dmel,FBgn0022023,CG9124,FBgn0027910,
Cdk2,Dmel,FBgn0004107,CG10498,,
Sos,Dmel,FBgn0001965,CG7793,"FBgn0013235,FBgn0026802",
Dark,Dmel,FBgn0263864,CG6829,"FBgn0065914,FBgn0024252,FBgn0028733",
Dronc,Dmel,FBgn0026404,CG8091,"FBgn0025326,FBgn0062102",CG8090
Tor,Dmel,FBgn0021796,CG5092,FBgn0032466,
Ilp3,Dmel,FBgn0044050,CG14167,FBgn0036047,
brm,Dmel,FBgn0000212,CG5942,FBgn0036554,CG18438
srl,Dmel,FBgn0037248,CG9809,,
arm,Dmel,FBgn0000117,CG11579,"FBgn0029069,FBgn0040191,FBgn0045040",
S6k,Dmel,FBgn0283472,CG10539,"FBgn0015806,FBgn0010455,FBgn0011551,FBgn0004460",
Usp7,Dmel,FBgn0030366,CG1490,,
rl,Dmel,FBgn0003256,CG12559,"FBgn0005693,FBgn0039983,FBgn0042217,FBgn0047177",CG18732
Pdk1,Dmel,FBgn0020386,CG1210,FBgn0035098,CG1201
nej,Dmel,FBgn0261617,CG15319,"FBgn0015624,FBgn0030149,FBgn0066809,FBgn0028319,FBgn0027307,FBgn0040152,FBgn0030150",CG15321
alphaCOP,Dmel,FBgn0025725,CG7961,,
beta'COP,Dmel,FBgn0025724,CG6699,,
Cat,Dmel,FBgn0000261,CG6871,"FBgn0011460,FBgn0026841",
grim,Dmel,FBgn0015946,CG4345,FBgn0064894,
Raf,Dmel,FBgn0003079,CG2845,FBgn0040149,
IKKbeta,Dmel,FBgn0024222,CG4201,"FBgn0028725,FBgn0028726,FBgn0029099,FBgn0029160",
p38c,Dmel,FBgn0267339,CG33338,"FBgn0046322,FBgn0053338,FBgn0020401",
p38a,Dmel,FBgn0015765,CG5475,"FBgn0013952,FBgn0022991",
AMPKalpha,Dmel,FBgn0023169,CG3051,"FBgn0004836,FBgn0029574",
Rpt4,Dmel,FBgn0028685,CG3455,"FBgn0027213,FBgn0029070,FBgn0040197",
Ilp5,Dmel,FBgn0044048,CG33273,FBgn0053273,
rpr,Dmel,FBgn0011706,CG4319,FBgn0045867,
rictor,Dmel,FBgn0031006,CG8002,,
p38b,Dmel,FBgn0024846,CG7393,"FBgn0014421,FBgn0024951,FBgn0027921",
Egfr,Dmel,FBgn0003731,CG10079,"FBgn0010599,FBgn0022793",
Pi3K21B,Dmel,FBgn0020622,CG2699,"FBgn0020262,FBgn0024844",
alpha-Spec,Dmel,FBgn0250789,CG1977,"FBgn0026231,FBgn0064128,FBgn0025219,FBgn0002180,FBgn0003470",
14-3-3zeta,Dmel,FBgn0004907,CG17870,"FBgn0010635,FBgn0019723,FBgn0023038,FBgn0046306,FBgn0064146",
CG5059,Dmel,FBgn0037007,CG5059,,
pan,Dmel,FBgn0085432,CG34403,"FBgn0022393,FBgn0052005,FBgn0019664","CG32005,CG17964"
RpS6,Dmel,FBgn0261592,CG10944,"FBgn0004922,FBgn0004371,FBgn0004388,FBgn0065997,FBgn0005276,FBgn0004405,FBgn0002584,FBgn0002585",
pzg,Dmel,FBgn0259785,CG7752,"FBgn0083067,FBgn0037066",
Sf3b2,Dmel,FBgn0031493,CG3605,,
TBPH,Dmel,FBgn0025790,CG10327,,
Gycbeta100B,Dmel,FBgn0013973,CG1470,,
pav,Dmel,FBgn0011692,CG1258,FBgn0022345,
sqd,Dmel,FBgn0263396,CG16901,"FBgn0053328,FBgn0047283,FBgn0086897,FBgn0003498,FBgn0010257,FBgn0010299,FBgn0011398,FBgn0011413,FBgn0027643,FBgn0040556,FBgn0011363","CR33328,CG17791"
Tsc1,Dmel,FBgn0026317,CG6147,,
mts,Dmel,FBgn0004177,CG7109,"FBgn0010514,FBgn0010703,FBgn0031953",
Rheb,Dmel,FBgn0041191,CG1081,FBgn0037343,
RpL13A,Dmel,FBgn0037351,CG1475,"FBgn0025276,FBgn0026282",
nmo,Dmel,FBgn0011817,CG7892,"FBgn0014365,FBgn0019910,FBgn0023460,FBgn0044612,FBgn0046458,FBgn0062087",
mnb,Dmel,FBgn0259168,CG42273,"FBgn0002777,FBgn0030879","CG7826,CG7835"
Akt1,Dmel,FBgn0010379,CG4006,"FBgn0010837,FBgn0013324,FBgn0017365",
abd-A,Dmel,FBgn0000014,CG10325,,
CycG,Dmel,FBgn0039858,CG11525,"FBgn0025961,FBgn0026001",
CG9962,Dmel,FBgn0031441,CG9962,,
Smox,Dmel,FBgn0025800,CG2262,"FBgn0024186,FBgn0024304,FBgn0040171",
tefu,Dmel,FBgn0045035,CG6535,FBgn0038308,
drk,Dmel,FBgn0004638,CG6033,FBgn0021869,
ey,Dmel,FBgn0005558,CG1464,"FBgn0000616,FBgn0004525,FBgn0004547,FBgn0010156",
Gycalpha99B,Dmel,FBgn0013972,CG1912,FBgn0010227,
Ilp6,Dmel,FBgn0044047,CG14049,FBgn0029612,
Nup358,Dmel,FBgn0039302,CG11856,,
homer,Dmel,FBgn0025777,CG11324,FBgn0026588,
msn,Dmel,FBgn0010909,CG16973,"FBgn0010797,FBgn0024520,FBgn0035351",
Ilp2,Dmel,FBgn0036046,CG8167,FBgn0044432,
Atg1,Dmel,FBgn0260945,CG10967,"FBgn0010715,FBgn0036313,FBgn0062118,FBgn0064136,FBgn0044321",
hid,Dmel,FBgn0003997,CG5123,FBgn0010852,
Prp8,Dmel,FBgn0033688,CG8877,,
pic,Dmel,FBgn0260962,CG7769,"FBgn0003084,FBgn0027049",
Thor,Dmel,FBgn0261560,CG8846,"FBgn0022073,FBgn0017459,FBgn0020516,FBgn0027067,FBgn0046442,FBgn0010616",
kst,Dmel,FBgn0004167,CG12008,FBgn0010743,
Dsor1,Dmel,FBgn0010269,CG15793,,
usp,Dmel,FBgn0003964,CG4380,,
Iswi,Dmel,FBgn0011604,CG8625,"FBgn0010436,FBgn0066055",
qkr58E-3,Dmel,FBgn0022984,CG3584,FBgn0025581,
for,Dmel,FBgn0000721,CG10033,"FBgn0000443,FBgn0010629,FBgn0031555,FBgn0044607,FBgn0063202,FBgn0066013",
puc,Dmel,FBgn0243512,CG7850,"FBgn0011600,FBgn0004210,FBgn0011369",
Diap1,Dmel,FBgn0260635,CG12284,"FBgn0016903,FBgn0003691,FBgn0011383,FBgn0015246,FBgn0046835,FBgn0046836",
trbl,Dmel,FBgn0028978,CG5408,FBgn0036983,
Ilp4,Dmel,FBgn0044049,CG6736,"FBgn0019856,FBgn0036048,FBgn0047136",
Ras85D,Dmel,FBgn0003205,CG9375,"FBgn0011008,FBgn0011548",
Pten,Dmel,FBgn0026379,CG5671,FBgn0032201,
chico,Dmel,FBgn0024248,CG5686,"FBgn0013449,FBgn0014169,FBgn0028483,FBgn0043507,FBgn0043508",
bsk,Dmel,FBgn0000229,CG5680,"FBgn0015248,FBgn0032199",
14-3-3epsilon,Dmel,FBgn0020238,CG31196,"FBgn0011329,FBgn0016739,FBgn0016743,FBgn0046456,FBgn0051196,FBgn0064146,FBgn0066007",
wdb,Dmel,FBgn0027492,CG5643,"FBgn0026590,FBgn0043349",
DOR,Dmel,FBgn0035542,CG11347,,
CycD,Dmel,FBgn0010315,CG9096,,
pnt,Dmel,FBgn0003118,CG17077,"FBgn0004060,FBgn0005657,FBgn0010925,FBgn0011309",
dco,Dmel,FBgn0002413,CG2048,"FBgn0011349,FBgn0011508,FBgn0024895,FBgn0027967,FBgn0028129",
Pi3K92E,Dmel,FBgn0015279,CG4141,FBgn0014938,
Ref1,Dmel,FBgn0010774,CG1101,FBgn0027857,
pll,Dmel,FBgn0010441,CG5974,,
aop,Dmel,FBgn0000097,CG3166,"FBgn0003123,FBgn0005623,FBgn0026827",
slp2,Dmel,FBgn0004567,CG2939,,
Pak3,Dmel,FBgn0044826,CG14895,"FBgn0038430,FBgn0062119",
Med,Dmel,FBgn0011655,CG1775,"FBgn0002479,FBgn0002509,FBgn0013946,FBgn0027760",
foxo,Dmel,FBgn0038197,CG3143,FBgn0062059,
babo,Dmel,FBgn0011300,CG8224,"FBgn0004835,FBgn0015469,FBgn0021802",
Sod2,Dmel,FBgn0010213,CG8905,,
Ect4,Dmel,FBgn0262579,CG43119,"FBgn0035832,FBgn0085402,FBgn0062127,FBgn0035834,FBgn0035835,FBgn0040834","CG34373,CG7915,CG13680,CG13681,CG7905"
Rpt2,Dmel,FBgn0015282,CG5289,,
InR,Dmel,FBgn0283499,CG18402,"FBgn0013984,FBgn0000456,FBgn0000457,FBgn0002393,FBgn0010868,FBgn0264663",
Sirt4,Dmel,FBgn0029783,CG3187,,
Sirt2,Dmel,FBgn0038788,CG5085,,
Sirt7,Dmel,FBgn0039631,CG11305,,
Sirt6,Dmel,FBgn0037802,CG6284,,
Sirt1,Dmel,FBgn0024291,CG5216,FBgn0046250,
