gene_symbol,organism_abbreviation,primary_FBgn,annotation_ID,secondary_FBgn,,secondary_annotation_ID
gd,Dmel,FBgn0000808,CG1505,,,
phyl,Dmel,FBgn0013725,CG10108,,,
sty,Dmel,FBgn0014388,CG1921,,,
Acn,Dmel,FBgn0263198,CG10473,"FBgn0086441,FBgn0002020,FBgn0032745,FBgn0262596",,CG10437
vap,Dmel,FBgn0003969,CG9209,FBgn0020383,,
cic,Dmel,FBgn0262582,CG43122,"FBgn0028386,FBgn0010023,FBgn0038782,FBgn0038780",,"CG5067,CG5060"
CG14977,Dmel,FBgn0035469,CG14977,FBgn0061380,,
RagC-D,Dmel,FBgn0033272,CG8707,,,
chb,Dmel,FBgn0021760,CG32435,"FBgn0041101,FBgn0041587,FBgn0043506,FBgn0045153,FBgn0045266,FBgn0045320,FBgn0047200,FBgn0052435",,
eIF4E1,Dmel,FBgn0015218,CG4035,"FBgn0002202,FBgn0010921,FBgn0013947,FBgn0028178,FBgn0035984,FBgn0060598,FBgn0060792,FBgn0061015",,
Sos,Dmel,FBgn0001965,CG7793,"FBgn0013235,FBgn0026802",,
Nprl2,Dmel,FBgn0030800,CG9104,,,
Nprl3,Dmel,FBgn0036397,CG8783,,,
PRAS40,Dmel,FBgn0267824,CG46146,"FBgn0001332,FBgn0010518,FBgn0033940",,CG10109
Tor,Dmel,FBgn0021796,CG5092,FBgn0032466,,
Ilp3,Dmel,FBgn0044050,CG14167,FBgn0036047,,
sev,Dmel,FBgn0003366,CG18085,"FBgn0022796,FBgn0026795,FBgn0026831,FBgn0026832",,
dpp,Dmel,FBgn0000490,CG9885,FBgn0010065,,
bnl,Dmel,FBgn0014135,CG4608,"FBgn0010906,FBgn0013633",,
ATPsynD,Dmel,FBgn0016120,CG6030,,,
Src42A,Dmel,FBgn0264959,CG44128,"FBgn0004603,FBgn0010284,FBgn0014884,FBgn0021964,FBgn0022795,FBgn0024932,FBgn0033049",,"CG7873,CG14471"
srl,Dmel,FBgn0037248,CG9809,,,
arm,Dmel,FBgn0000117,CG11579,"FBgn0029069,FBgn0040191,FBgn0045040",,
dos,Dmel,FBgn0016794,CG1044,,,
S6k,Dmel,FBgn0283472,CG10539,"FBgn0015806,FBgn0010455,FBgn0011551,FBgn0004460",,
Ptth,Dmel,FBgn0013323,CG13687,FBgn0031269,,
rl,Dmel,FBgn0003256,CG12559,"FBgn0005693,FBgn0039983,FBgn0042217,FBgn0047177",,CG18732
Pdk1,Dmel,FBgn0020386,CG1210,FBgn0035098,,CG1201
Mipp2,Dmel,FBgn0026060,CG4317,"FBgn0026701,FBgn0029065",,
Cul1,Dmel,FBgn0015509,CG1877,"FBgn0020308,FBgn0022252",,
kis,Dmel,FBgn0266557,CG3696,"FBgn0062647,FBgn0086902,FBgn0010642,FBgn0010689,FBgn0010697,FBgn0010698,FBgn0021918,FBgn0026596,FBgn0031234,FBgn0031236,FBgn0046436,FBgn0063789,FBgn0021813,FBgn0001309",,"CG3660,CG18326"
Myd88,Dmel,FBgn0033402,CG2078,,,
clos,Dmel,FBgn0261016,CG42600,"FBgn0033432,FBgn0085393,FBgn0033433,FBgn0033435,FBgn0053479",,"CG12928,CG34364,CG12927,CG1863,CG33479"
Sik3,Dmel,FBgn0262103,CG42856,"FBgn0034376,FBgn0034378",,"CG18604,CG15072"
CG16908,Dmel,FBgn0037741,CG16908,,,
Hsc70-4,Dmel,FBgn0266599,CG4264,"FBgn0001219,FBgn0010802,FBgn0011400,FBgn0024549,FBgn0062154,FBgn0066308",,
Cat,Dmel,FBgn0000261,CG6871,"FBgn0011460,FBgn0026841",,
Raf,Dmel,FBgn0003079,CG2845,FBgn0040149,,
slmb,Dmel,FBgn0283468,CG3412,"FBgn0260565,FBgn0267841,FBgn0023423,FBgn0016060,FBgn0023437,FBgn0063206,FBgn0067639",,
tor,Dmel,FBgn0003733,CG1389,,,
PCNA,Dmel,FBgn0005655,CG9193,"FBgn0002895,FBgn0003045,FBgn0004700,FBgn0010513,FBgn0010677",,
SelD,Dmel,FBgn0261270,CG8553,"FBgn0020615,FBgn0021903,FBgn0046452,FBgn0046453,FBgn0065403",,
AMPKalpha,Dmel,FBgn0023169,CG3051,"FBgn0004836,FBgn0029574",,
Atg9,Dmel,FBgn0034110,CG3615,,,
Wdr24,Dmel,FBgn0027518,CG7609,,,
Wdr59,Dmel,FBgn0032339,CG4705,,,
CG5110,Dmel,FBgn0032642,CG5110,FBgn0047173,,
rictor,Dmel,FBgn0031006,CG8002,,,
Pdfr,Dmel,FBgn0260753,CG13758,"FBgn0040378,FBgn0029622,FBgn0046581,FBgn0046582,FBgn0082641",,
dome,Dmel,FBgn0043903,CG14226,"FBgn0019901,FBgn0027236,FBgn0028267,FBgn0028288,FBgn0028311,FBgn0028326,FBgn0028335,FBgn0028344,FBgn0031056",,
Dcr-2,Dmel,FBgn0034246,CG6493,,,
MESR4,Dmel,FBgn0034240,CG4903,"FBgn0043379,FBgn0043387",,
Akap200,Dmel,FBgn0027932,CG13388,"FBgn0061414,FBgn0062168,FBgn0062223",,
hppy,Dmel,FBgn0263395,CG7097,"FBgn0065486,FBgn0259477,FBgn0045883,FBgn0034421,FBgn0263255",,
CG5189,Dmel,FBgn0034350,CG5189,,,
shi,Dmel,FBgn0003392,CG18102,"FBgn0030705,FBgn0045942,FBgn0045943,FBgn0045944",,
Egfr,Dmel,FBgn0003731,CG10079,"FBgn0010599,FBgn0022793",,
ebi,Dmel,FBgn0263933,CG4063,"FBgn0023444,FBgn0021820,FBgn0085068",,
Pi3K21B,Dmel,FBgn0020622,CG2699,"FBgn0020262,FBgn0024844",,
Cdc37,Dmel,FBgn0011573,CG12019,FBgn0004640,,
14-3-3zeta,Dmel,FBgn0004907,CG17870,"FBgn0010635,FBgn0019723,FBgn0023038,FBgn0046306,FBgn0064146",,
cathD,Dmel,FBgn0029093,CG1548,FBgn0033227,,
wrd,Dmel,FBgn0042693,CG7913,"FBgn0038572,FBgn0038573,FBgn0047274,FBgn0062021",,CG7901
Mad,Dmel,FBgn0011648,CG12399,"FBgn0000105,FBgn0013945,FBgn0022270,FBgn0024356",,
Shc,Dmel,FBgn0015296,CG3715,FBgn0035990,,
Tap42,Dmel,FBgn0051852,CG31852,FBgn0032510,,CG6537
Dcp-1,Dmel,FBgn0010501,CG5370,FBgn0010509,,
htl,Dmel,FBgn0010389,CG7223,"FBgn0004599,FBgn0022791",,
dl,Dmel,FBgn0260632,CG6667,"FBgn0000462,FBgn0025325,FBgn0260285",,
tup,Dmel,FBgn0003896,CG10619,"FBgn0002017,FBgn0015395",,
csw,Dmel,FBgn0000382,CG3954,"FBgn0004637,FBgn0026663,FBgn0029599,FBgn0066824,FBgn0066826,FBgn0066827",,
NFAT,Dmel,FBgn0030505,CG11172,"FBgn0043371,FBgn0043579",,
Lst8,Dmel,FBgn0264691,CG3004,"FBgn0086734,FBgn0030142",,
ed,Dmel,FBgn0000547,CG12676,"FBgn0022256,FBgn0031582,FBgn0031583,FBgn0031584",,"CG16842,CG15424"
Atg5,Dmel,FBgn0029943,CG1643,,,
btl,Dmel,FBgn0285896,CG32134,"FBgn0005592,FBgn0000436,FBgn0000654,FBgn0004412,FBgn0004420,FBgn0004600,FBgn0019834,FBgn0022794,FBgn0052134,FBgn0063611,FBgn0011339",,CG6714
Nup44A,Dmel,FBgn0033247,CG8722,,,
Tsc1,Dmel,FBgn0026317,CG6147,,,
tll,Dmel,FBgn0003720,CG1378,,,
put,Dmel,FBgn0003169,CG7904,"FBgn0000467,FBgn0004912,FBgn0004920,FBgn0010942,FBgn0011375",,
alph,Dmel,FBgn0086361,CG1906,"FBgn0084988,FBgn0043570,FBgn0039672",,
fs(1)M3,Dmel,FBgn0005390,CG4790,"FBgn0000816,FBgn0004681,FBgn0029829",,
mts,Dmel,FBgn0004177,CG7109,"FBgn0010514,FBgn0010703,FBgn0031953",,
Rheb,Dmel,FBgn0041191,CG1081,FBgn0037343,,
ImpL2,Dmel,FBgn0001257,CG15009,,,
tkv,Dmel,FBgn0003716,CG14026,FBgn0010572,,
Vha68-1,Dmel,FBgn0265262,CG12403,"FBgn0013354,FBgn0013355,FBgn0020368",,
gig,Dmel,FBgn0005198,CG6975,,,
Fbw5,Dmel,FBgn0031773,CG9144,,,
fs(1)N,Dmel,FBgn0004650,CG11411,"FBgn0000750,FBgn0000914,FBgn0024367",,
Tl,Dmel,FBgn0262473,CG5490,"FBgn0003717,FBgn0062707",,
tub,Dmel,FBgn0003882,CG10520,FBgn0015226,,
hkb,Dmel,FBgn0261434,CG9768,"FBgn0086720,FBgn0001204,FBgn0014111",,
TfIIA-S,Dmel,FBgn0013347,CG5163,"FBgn0010326,FBgn0010327,FBgn0063013",,
ksr,Dmel,FBgn0015402,CG2899,FBgn0011387,,
N,Dmel,FBgn0004647,CG3936,"FBgn0000311,FBgn0002916,FBgn0017616,FBgn0024967,FBgn0026804",,
CycE,Dmel,FBgn0010382,CG3938,"FBgn0001984,FBgn0010318,FBgn0015389,FBgn0022237",,
Akt1,Dmel,FBgn0010379,CG4006,"FBgn0010837,FBgn0013324,FBgn0017365",,
fog,Dmel,FBgn0000719,CG9559,"FBgn0069907,FBgn0069908,FBgn0069909",,"CR41108,CR41109,CR41110"
Socs36E,Dmel,FBgn0041184,CG15154,"FBgn0025963,FBgn0032667",,
mio,Dmel,FBgn0031399,CG7074,FBgn0031400,,CG15384
cnk,Dmel,FBgn0286070,CG6556,"FBgn0021818,FBgn0044753,FBgn0063794,FBgn0024192",,
Sin1,Dmel,FBgn0033935,CG10105,,,
scyl,Dmel,FBgn0041094,CG7590,"FBgn0036151,FBgn0062166",,
ato,Dmel,FBgn0010433,CG7508,,,
drk,Dmel,FBgn0004638,CG6033,FBgn0021869,,
RagA-B,Dmel,FBgn0037647,CG11968,,,
Gug,Dmel,FBgn0010825,CG6964,"FBgn0011373,FBgn0011523,FBgn0020427,FBgn0024868,FBgn0035897",,
Hsp83,Dmel,FBgn0001233,CG1242,"FBgn0004639,FBgn0010233,FBgn0011792,FBgn0016742,FBgn0024852,FBgn0044664",,
msn,Dmel,FBgn0010909,CG16973,"FBgn0010797,FBgn0024520,FBgn0035351",,
stumps,Dmel,FBgn0020299,CG31317,"FBgn0024898,FBgn0025779,FBgn0028088,FBgn0038245,FBgn0051317,FBgn0063634",,"CG18485,CG3375"
rept,Dmel,FBgn0040075,CG9750,"FBgn0010908,FBgn0036854,FBgn0044525",,
Atg1,Dmel,FBgn0260945,CG10967,"FBgn0010715,FBgn0036313,FBgn0062118,FBgn0064136,FBgn0044321",,
hid,Dmel,FBgn0003997,CG5123,FBgn0010852,,
Thor,Dmel,FBgn0261560,CG8846,"FBgn0022073,FBgn0017459,FBgn0020516,FBgn0027067,FBgn0046442,FBgn0010616",,
Dsor1,Dmel,FBgn0010269,CG15793,,,
byn,Dmel,FBgn0011723,CG7260,FBgn0014890,,
dlg1,Dmel,FBgn0001624,CG1725,"FBgn0010108,FBgn0027239,FBgn0027662,FBgn0028321,FBgn0029052,FBgn0030295,FBgn0066811,FBgn0066812,FBgn0066813",,CG1730
Btk29A,Dmel,FBgn0003502,CG8049,FBgn0032011,,CG18355
Ras85D,Dmel,FBgn0003205,CG9375,"FBgn0011008,FBgn0011548",,
trk,Dmel,FBgn0003751,CG5619,,,
Pten,Dmel,FBgn0026379,CG5671,FBgn0032201,,
chico,Dmel,FBgn0024248,CG5686,"FBgn0013449,FBgn0014169,FBgn0028483,FBgn0043507,FBgn0043508",,
chrb,Dmel,FBgn0036165,CG7533,"FBgn0025947,FBgn0046799",,
14-3-3epsilon,Dmel,FBgn0020238,CG31196,"FBgn0011329,FBgn0016739,FBgn0016743,FBgn0046456,FBgn0051196,FBgn0064146,FBgn0066007",,
svp,Dmel,FBgn0003651,CG11502,"FBgn0011337,FBgn0011492,FBgn0011510,FBgn0038010,FBgn0063263",,CG18158
Ilp8,Dmel,FBgn0036690,CG14059,,,
tsl,Dmel,FBgn0003867,CG6705,,,
Stat92E,Dmel,FBgn0016917,CG4257,"FBgn0010885,FBgn0011396,FBgn0015512",,
pnt,Dmel,FBgn0003118,CG17077,"FBgn0004060,FBgn0005657,FBgn0010925,FBgn0011309",,
spen,Dmel,FBgn0016977,CG18497,"FBgn0010537,FBgn0016056,FBgn0016624,FBgn0022059,FBgn0022080,FBgn0022115,FBgn0026182,FBgn0031230,FBgn0040065,FBgn0047291",,
Pi3K92E,Dmel,FBgn0015279,CG4141,FBgn0014938,,
PIP4K,Dmel,FBgn0039924,CG17471,,,
aop,Dmel,FBgn0000097,CG3166,"FBgn0003123,FBgn0005623,FBgn0026827",,
slp1,Dmel,FBgn0003430,CG16738,FBgn0010610,,
poly,Dmel,FBgn0086371,CG9829,"FBgn0014374,FBgn0010858,FBgn0002506,FBgn0004732,FBgn0023020,FBgn0038141",,
pont,Dmel,FBgn0040078,CG4003,"FBgn0028192,FBgn0037803,FBgn0061742",,
unk,Dmel,FBgn0004395,CG4620,,,
foxo,Dmel,FBgn0038197,CG3143,FBgn0062059,,
bcd,Dmel,FBgn0000166,CG1034,"FBgn0040059,FBgn0014130,FBgn0014131,FBgn0015909,FBgn0015910,FBgn0015911,FBgn0015912",,
Lpin,Dmel,FBgn0263593,CG8709,"FBgn0033269,FBgn0062224,FBgn0044466",,
gcl,Dmel,FBgn0005695,CG8411,FBgn0004886,,
fkh,Dmel,FBgn0000659,CG10002,FBgn0015292,,
CG14812,Dmel,FBgn0026090,CG14812,FBgn0062994,,
S,Dmel,FBgn0003310,CG4385,"FBgn0010102,FBgn0010674,FBgn0069199",,
Sesn,Dmel,FBgn0034897,CG11299,"FBgn0045816,FBgn0063233",,
grh,Dmel,FBgn0259211,CG42311,"FBgn0004586,FBgn0000572,FBgn0001136,FBgn0010628,FBgn0010683,FBgn0013964,FBgn0014968,FBgn0026798,FBgn0050111,FBgn0047195",,"CG30111,CG5058"
raptor,Dmel,FBgn0029840,CG4320,,,
Iml1,Dmel,FBgn0035227,CG12090,,,
Myc,Dmel,FBgn0262656,CG10798,"FBgn0000472,FBgn0028362,FBgn0066838,FBgn0028316,FBgn0040170",,
Rap1,Dmel,FBgn0004636,CG1956,"FBgn0003190,FBgn0003207,FBgn0045818",,
TBC1d7,Dmel,FBgn0039158,CG6182,FBgn0063155,,
