"","x"
"1","Ahcy"
"2","CG40486"
"3","Cda4"
"4","Tsp42Eg"
"5","Drat"
"6","blow"
"7","PGRP-SC1a"
"8","Inos"
"9","Spn43Ad"
"10","Odc1"
"11","CG12159"
"12","Coop"
"13","Pgm2a"
"14","Non1"
"15","Gadd45"
"16","CG1814"
"17","Tsp42Ef"
"18","Tsp42Ee"
"19","CG42326"
"20","Obp44a"
"21","CG1882"
"22","Hydr1"
"23","PGRP-SC1b"
"24","Cyp4e2"
"25","CG30491"
"26","Tsp42El"
"27","Tsp42Ej"
"28","Tsp42Ei"
"29","hig"
"30","CG30431"
"31","Epac"
"32","CG11125"
"33","CG18659"
"34","RyR"
"35","Cyp6w1"
"36","Tsp42Ea"
"37","prel"
"38","CG11191"
"39","CG8728"
"40","rnh1"
"41","Odc2"
"42","CG30158"
"43","so"
"44","Tsp42En"
"45","Spn42Da"
"46","l(2)01289"
"47","ced-6"
"48","Dgat2"
"49","Pgi"
"50","Jon44E"
"51","CG14757"
"52","CG33774"
"53","lncRNA:CR45267"
"54","Mccc2"
"55","Tsp42Eb"
"56","CG8272"
"57","ACC"
"58","lncRNA:CR44283"
"59","PIG-G"
"60","CG1358"
"61","Corin"
"62","CG8078"
"63","sut2"
"64","stmA"
"65","Adf1"
"66","CG8712"
"67","mus205"
"68","Rab2"
"69","Dbp45A"
"70","GstE13"
"71","Aldh-III"
"72","CG44286"
"73","l(2)k14710"
"74","CG30159"
"75","CG1902"
"76","ptc"
"77","Fmo-2"
"78","gcl"
"79","CG30157"
"80","CG30493"
"81","CG30338"
"82","lbm"
"83","DCTN4-p62"
"84","Gpo2"
"85","slv"
"86","Ptr"
"87","boca"
"88","Wnt2"
"89","CG34430"
"90","CG15236"
"91","kermit"
"92","Mal-A4"
"93","CG9436"
"94","Tsp42Eh"
"95","sced"
"96","Tsp42Er"
"97","Mad1"
"98","CG8740"
"99","coil"
"100","Nup44A"
"101","CG12822"
"102","CG9410"
"103","spab"
"104","SdhB"
"105","Dhx15"
"106","Drsl3"
"107","CG42456"
"108","ntc"
"109","Ids"
"110","CG10357"
"111","CG14968"
"112","armi"
"113","Drsl4"
"114","ZnT63C"
"115","Strip"
"116","Drs"
"117","PIG-C"
"118","CG14971"
"119","Spn43Ab"
"120","Ance-4"
"121","CG8586"
"122","Zip42C.1"
"123","sPLA2"
"124","nec"
"125","CG14762"
"126","Spn42Dd"
"127","CG34141"
"128","Cyp4p1"
"129","CG2065"
"130","Cyp6a13"
"131","Cyp9b1"
"132","tsu"
"133","esn"
"134","CG34215"
"135","CG12926"
"136","CG2064"
"137","Hey"
"138","Pgant3"
"139","Cyp6a2"
