"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0284234",11.6162245621127,-16.5748095868406,1.49637074339849,-11.0766731172495,1.62810297197315e-28,2.04847915933662e-24
"FBgn0052368",215.751172470887,1.90101567111317,0.223969945258066,8.48781593853031,2.10556705990469e-17,1.32461223738604e-13
"FBgn0034186",354.939632677704,0.933872353446847,0.122324656498249,7.6343754413912,2.26917753402631e-14,9.51693057770633e-11
"FBgn0034047",11.4727121393459,3.37194623229041,0.445375383816779,7.57102065990601,3.70303149235772e-14,1.16478855592112e-10
"FBgn0034739",1.94159135951021,-15.1487388731803,2.03041525696724,-7.46090673875622,8.59290593037163e-14,2.16231884831872e-10
"FBgn0031853",1.63110962678682,-17.8255212933903,2.49168441305673,-7.15400441564045,8.42823532781005e-13,1.76740094824177e-09
"FBgn0040850",280.548341422757,0.929915500813986,0.143099763327458,6.498372039135,8.11938130497894e-11,1.27697569474056e-07
"FBgn0002868",4691.04567202806,1.25605145637354,0.192976279656076,6.50883859203878,7.57340430642381e-11,1.27697569474056e-07
"FBgn0036023",240.036634356136,2.68665288212516,0.417750160420837,6.43124320866484,1.26564460075056e-10,1.76937115184929e-07
"FBgn0260761",1.83992613283454,23.4383505160186,3.66173994471963,6.40087796235165,1.54486018031188e-10,1.9437430788684e-07
"FBgn0031437",725.851628757766,0.322788666411157,0.0523315194504479,6.16815009005809,6.90935460417815e-10,7.83430382914435e-07
"FBgn0260479",5.78971596989451,-16.6226537108466,2.70034221780289,-6.15575818548342,7.47191590762455e-10,7.83430382914435e-07
"FBgn0031449",4212.66060638178,-0.593146482430667,0.0973724733733498,-6.09152116488198,1.11842795255118e-09,1.00514717849992e-06
"FBgn0038873",22.28747701537,-4.48912775270703,0.736741485251286,-6.0932197284586,1.10662000371035e-09,1.00514717849992e-06
"FBgn0000043",2784.03568481598,1.09910982727681,0.183280013886424,5.99688860760298,2.01133926110093e-09,1.68711137221146e-06
"FBgn0284237",5.87208025744438,29.4211106828432,5.00798291304559,5.8748424652573,4.23245643509639e-09,3.32829792914892e-06
"FBgn0035743",179.943167910069,2.56724335887481,0.447040727164937,5.74275049872048,9.31509297647557e-09,6.89426469588328e-06
"FBgn0267507",444.830872865753,3.60597984725994,0.634176747151661,5.6860802031229,1.2998836590258e-08,9.08618677659035e-06
"FBgn0038199",78.6903013370031,0.930771266103671,0.164078018410535,5.67273590405517,1.40534797103452e-08,9.30636219555595e-06
"FBgn0260437",14.7031636440235,2.18246246139493,0.390528892814121,5.58847885919086,2.2906725760436e-08,1.44106211758903e-05
"FBgn0050090",111.192490138662,1.01760410327486,0.183502832940301,5.5454408358149,2.93214472570599e-08,1.75677356851585e-05
"FBgn0000042",36097.081442408,0.694640578849638,0.127983290195137,5.42758806864956,5.71206839321657e-08,3.26678384197504e-05
"FBgn0264983",22.9148138658844,33.6413264437229,6.21014147837691,5.41715942557164,6.05533441770284e-08,3.31253120189292e-05
"FBgn0086359",1386.45781135647,-0.842688683197023,0.15599117961112,-5.40215597636876,6.58446559615321e-08,3.45190608878332e-05
"FBgn0010403",1843.73750047867,-1.57963424072214,0.294786214536873,-5.35857568239354,8.38805981360455e-08,4.2215427429909e-05
"FBgn0029118",803.556235241201,0.432700975626302,0.0815257179066269,5.30753959286668,1.11114875026851e-07,5.37710522149168e-05
"FBgn0001565",2657.13244527466,-0.347621197544381,0.0655979288472976,-5.29927093206849,1.162660011333e-07,5.41799565281179e-05
