"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0262057",1496.9055706051,-7.2462900756011,0.165593336487703,-43.7595511347115,0,0
"FBgn0010225",13716.5339484839,-6.36545163302436,0.145793146857873,-43.6608425719061,0,0
"FBgn0000346",2287.32835002024,-4.08198852175364,0.0890761743995346,-45.8258176136375,0,0
"FBgn0039430",2939.84973152931,-4.63145068844263,0.112055938484894,-41.3315951931186,0,0
"FBgn0051038",1769.46554454214,-3.81304207922966,0.0885293215996068,-43.070951073984,0,0
"FBgn0040733",5615.61842293161,-9.5015245163649,0.235676796540292,-40.3159099913363,0,0
"FBgn0023507",4909.19475542513,-5.44845096235171,0.130799170199337,-41.6550881328092,0,0
"FBgn0032472",5249.37906304001,-9.09471413480551,0.19544207802897,-46.5340638337738,0,0
"FBgn0026592",1692.37804907255,-8.64309758254461,0.194030604584157,-44.5450221683757,0,0
"FBgn0032287",2199.56206192002,-8.64546084161613,0.22886354990384,-37.7756127843365,0,0
"FBgn0259715",3792.97727242784,-9.00907210823672,0.227384106665358,-39.620500484211,0,0
"FBgn0050046",757.776498667776,-6.10383780118661,0.138783076417242,-43.9811391904575,0,0
"FBgn0001145",14205.8004212825,-8.28295667660947,0.193662198580014,-42.7701262163831,0,0
"FBgn0035880",2994.20877826174,-6.67527446180226,0.138519009463156,-48.1903132838804,0,0
"FBgn0033134",853.213811043031,-5.22294052414537,0.133787712143499,-39.0390151716125,0,0
"FBgn0041194",5953.70598238736,-8.99435986961937,0.235830083685103,-38.1391539581069,0,0
"FBgn0029769",2446.73086359969,-8.68448050352012,0.211830686998926,-40.9972729945598,0,0
"FBgn0265045",2026.1949248465,-5.15034685458962,0.12431961100696,-41.4282735674043,0,0
"FBgn0001208",9345.51329720238,-9.47941585784444,0.212130762227786,-44.6866628785571,0,0
"FBgn0038930",4958.59161907122,-8.67237996455051,0.198605786171397,-43.6663006236195,0,0
"FBgn0265182",1672.44130299616,-8.87134457544579,0.234443361937147,-37.8400330985875,0,0
"FBgn0034290",6324.39768475199,-8.91642468515245,0.209928400645907,-42.4736465276658,0,0
"FBgn0002773",11020.7566243113,-6.51380609528059,0.172824420381843,-37.690310668416,0,0
"FBgn0025625",802.948900665658,-7.78549638655997,0.19569178369373,-39.7844827187265,0,0
"FBgn0027654",2150.54317687844,-7.94146846324908,0.149168881237867,-53.2381043374958,0,0
"FBgn0051183",735.738411912197,-6.52957689634983,0.170799686605899,-38.2294430751275,0,0
"FBgn0005564",726.581731504059,-5.4759434844006,0.136312508715444,-40.1719808108863,0,0
"FBgn0030157",2562.84538103931,-9.18342588049342,0.236093159308162,-38.8974670312523,0,0
"FBgn0014031",4589.25426033364,-8.16497456299338,0.200201716909809,-40.7837389659935,0,0
"FBgn0263397",2132.76215782084,-7.33812999967308,0.163218206021733,-44.9590163899729,0,0
"FBgn0004575",2702.70743659689,-10.2055567191453,0.255267642191473,-39.9798291374911,0,0
"FBgn0035023",1427.54099385148,-5.67239708748553,0.13916473628218,-40.7603049380542,0,0
"FBgn0027586",2978.91227731465,-8.8117602423409,0.21385738001949,-41.2039100148792,0,0
"FBgn0033320",3267.90236776081,-9.38868331521795,0.236857150082968,-39.6385893857509,0,0
"FBgn0032614",1821.38455307929,-6.13829328712476,0.150944856926492,-40.6657994986476,0,0
"FBgn0033543",1998.72559442307,-4.56018697517773,0.114680219688708,-39.7643725095404,0,0
"FBgn0283509",2576.62958481128,-2.98934596077938,0.069337161808121,-43.1131861014429,0,0
"FBgn0003162",2106.78315192942,-6.83583883634554,0.144446453336946,-47.3243799236785,0,0
"FBgn0053120",2494.67841235945,-8.4698135693348,0.219153899488562,-38.6477885590937,0,0
"FBgn0020416",3227.09638845088,-8.93307367378177,0.21518956976893,-41.512577414296,0,0
"FBgn0265356",1639.8441838427,-6.78105841550425,0.178443708950852,-38.0011066535941,0,0
"FBgn0011695",25757.4211663605,-10.1668366837141,0.261797739847749,-38.8346999849071,0,0
"FBgn0023479",8808.46455903132,-8.83437220585383,0.194499836890753,-45.4209748814132,0,0
"FBgn0030041",9787.38759408224,-6.98249692962911,0.171278431564257,-40.7669364196015,0,0
"FBgn0038693",1320.22371743478,-8.06087768916256,0.210668956136393,-38.263244082074,0,0
"FBgn0039900",1054.00084999644,-7.21811887292359,0.18655431120152,-38.6917827116115,0,0
"FBgn0037057",1633.35935213569,-5.62537172936813,0.135440191703709,-41.5339911927641,0,0
"FBgn0030425",3455.94403818684,-8.87791090755036,0.202723704259138,-43.793156503306,0,0
"FBgn0004885",3579.88351140921,-6.16044084101778,0.127076598478107,-48.4781691892633,0,0
"FBgn0033192",600.617330647921,-6.86639887986101,0.168741327752854,-40.6918623392477,0,0
"FBgn0028527",766.459815580089,-3.67755401573377,0.0947990644916569,-38.7931466987992,0,0
"FBgn0039738",982.588688807755,-5.05638118348005,0.106061890673346,-47.6738737295654,0,0
"FBgn0001114",15242.5168398771,-9.7912545432419,0.221365256398908,-44.2312163278131,0,0
"FBgn0034512",26394.9938247962,-9.24530837446566,0.208606734536263,-44.3193188130678,0,0
"FBgn0086450",3805.84768083988,-7.22845563708624,0.175342302895951,-41.2248243447312,0,0
"FBgn0004921",11371.9820495043,-3.42806317641963,0.0901460143183824,-38.02789510263,0,0
"FBgn0085405",1976.42309509752,-4.46103888903079,0.0918715304658794,-48.5573590252488,0,0
"FBgn0043841",13288.4409652483,-5.65483854689233,0.136582306550401,-41.4024238549932,0,0
"FBgn0033710",3337.01072320245,-9.93378388050218,0.22916000528961,-43.3486806214199,0,0
"FBgn0024293",6696.7189031901,-8.39292153499663,0.214614348057956,-39.1069917316532,0,0
"FBgn0039620",2890.71968261455,-8.42458485749371,0.214171026757389,-39.3357821785905,0,0
"FBgn0041723",430.916073401161,-5.56990869443271,0.147314547030377,-37.8096312055601,0,0
"FBgn0051313",2959.95158785853,-8.54087005294253,0.211847579294781,-40.3161087862048,0,0
"FBgn0032285",26772.6514327756,-11.6160332374696,0.23997661744166,-48.404854445011,0,0
"FBgn0031702",1388.98089103365,-8.28360902862272,0.214372268512477,-38.6412341768944,0,0
"FBgn0033250",5540.52392677032,-9.84090632279105,0.242937543670514,-40.5079683201945,0,0
