"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0027562",1221.53854745406,0.350639102606087,0.0925791397063021,6149.57917158752,0,0
"FBgn0027563",815.606161564324,-0.0818549110908731,0.142692499165173,2037.0221950703,0,0
"FBgn0266046",39.0752885068597,0.26571217459243,0.111017252747503,1621.87467805321,0,0
"FBgn0262057",1496.9055706051,0.116410704468982,0.0905267822476021,3667.84884155049,0,0
"FBgn0010435",4798.8527223857,0.0240642820497082,0.0813471412774839,1847.11102099364,0,0
"FBgn0033439",152.821453949016,-0.204425875068589,0.111490214820966,2758.14644182023,0,0
"FBgn0029170",100.910637205275,-0.124146036850212,0.129728885601602,2468.15828026143,0,0
"FBgn0039293",797.446176171577,-0.133175100083525,0.0553184864301032,1511.72235104441,0,0
"FBgn0036094",99.6804604224651,0.428415064074581,0.113012434610278,2574.25600100598,0,0
"FBgn0005614",8883.06571543189,0.468536967956672,0.31964150888462,1751.6758947649,0,0
"FBgn0005619",524.24755645031,0.401192990021028,0.214550052591098,1804.3158781189,0,0
"FBgn0262353",797.042705381035,-0.24484448411478,0.0816058708021696,2401.26238108081,0,0
"FBgn0035873",80.4006442683195,0.390359366023153,0.240614752795256,2052.1370205218,0,0
"FBgn0028863",568.186884082322,0.466102051198867,0.15605364280033,1620.22964685398,0,0
"FBgn0028644",213.849754864964,0.270273845995216,0.107700631687956,4448.22805439015,0,0
"FBgn0028645",192.802844988561,0.168460340679573,0.129798997092137,1920.23911467226,0,0
"FBgn0003513",111.2392806482,0.410529555011322,0.150934684616856,2580.23778730058,0,0
"FBgn0003515",429.761596333714,0.48484403433447,0.0958625881788115,1825.58964000599,0,0
"FBgn0035290",1669.49152016581,-0.214304098647881,0.0955626301610551,1927.68636079681,0,0
"FBgn0038404",131.238229598082,0.0919808889136594,0.149292412831293,1668.30907954666,0,0
"FBgn0034184",1680.75931752697,0.0541837267037937,0.03581748309353,1784.64352226307,0,0
"FBgn0038749",157.861202715123,0.109970742118731,0.227903656991108,2813.11070559091,0,0
"FBgn0034182",175.949657232981,0.108199400794944,0.0794284500275014,2359.59240220095,0,0
"FBgn0029720",420.475917458691,0.253178573189655,0.105156633437242,3684.42562559134,0,0
"FBgn0030519",3807.67898766088,0.106131875058287,0.064218917323904,2109.23586571073,0,0
"FBgn0266100",258.391577896874,0.379181532016022,0.102018344260891,6461.5757501826,0,0
"FBgn0052333",445.834703857248,0.447136615807839,0.200566817928852,1968.54274167816,0,0
"FBgn0010225",13716.5339484839,-0.160348360237783,0.109287799641368,1806.45471847207,0,0
"FBgn0037754",970.794614627566,0.654316529714973,0.153213944385108,3260.59140481473,0,0
"FBgn0031515",391.649579438946,-0.191227458072403,0.123574218592824,2498.19025748241,0,0
"FBgn0051221",4115.0684863365,0.466709604953736,0.14176634199004,4945.56960519097,0,0
"FBgn0000346",2287.32835002024,0.39212358629031,0.0528017563471456,7599.83280623339,0,0
"FBgn0039430",2939.84973152931,0.389383060715127,0.062419580917957,4587.80084966552,0,0
"FBgn0036259",77.4419011486949,0.172895760698974,0.138191684296321,1744.59235042517,0,0
"FBgn0024913",677.210854161181,-0.0405754494487784,0.13938804522973,3335.09160330241,0,0
"FBgn0032800",324.366759355909,0.280957817401262,0.0771665837579617,3663.34196742068,0,0
"FBgn0050172",207.238135640657,0.258855176892417,0.115877990650713,3404.62822987223,0,0
"FBgn0263316",1045.1249247942,0.198550015293015,0.0903265685007541,2001.87369501441,0,0
"FBgn0033437",262.043396363625,-0.0307632528317154,0.100312900565061,1664.139309038,0,0
"FBgn0020647",2300.86266043795,0.183723347401781,0.0380419808488529,1528.17663476011,0,0
"FBgn0033602",179.895991607134,0.582285975396689,0.132921854112761,3367.36703731726,0,0
"FBgn0032879",343.001151966724,0.327250667163631,0.109681847384387,5417.17200495209,0,0
"FBgn0044050",506.82911919746,-0.0601188457152191,0.232564152859926,1987.41575697205,0,0
"FBgn0034471",5042.16922672652,-0.542283376924654,0.249929755708331,2106.30727596184,0,0
"FBgn0041706",62.3325067888886,0.347860637655692,0.133115080964649,2703.88248118262,0,0
"FBgn0039862",532.213681467384,0.104049376667383,0.116637684668207,2267.73979312214,0,0
"FBgn0025680",2035.37198962386,0.0550572247203933,0.1049614647578,1728.66341694424,0,0
"FBgn0025687",1090.51572303691,-0.10513853677359,0.108613309134416,2251.44344045359,0,0
"FBgn0034346",738.636064008263,0.0306892873759736,0.0367872467900981,1554.09916978726,0,0
"FBgn0040658",288.90283689649,0.143618192019565,0.069948842882695,2565.6371554393,0,0
"FBgn0039864",719.585489856698,0.333159750829279,0.112176774915471,5593.56086812344,0,0
"FBgn0036937",79.667830409379,0.402761600477108,0.200743682464798,1978.95794698121,0,0
"FBgn0265002",165.263676179842,0.039475928305413,0.158620593342095,1637.1143794519,0,0
"FBgn0037974",178.875624645186,-0.601253488685377,0.109779898165832,1531.99056509531,0,0
"FBgn0259736",2015.65035106338,0.480076230763518,0.107357489793599,3041.49710073788,0,0
"FBgn0039609",478.591031732898,-0.401841456015533,0.151567315077232,1547.66855501691,0,0
"FBgn0030723",337.225444474057,0.292298342971823,0.179072233098293,1882.65837058014,0,0
"FBgn0051030",1500.60916376229,0.413390641101104,0.170081845162616,3078.36102242018,0,0
"FBgn0051036",90.1219664702117,0.517966259959161,0.189365917483372,1544.04809550296,0,0
"FBgn0051038",1769.46554454214,0.174112054816502,0.0557302581729344,4830.025872505,0,0
"FBgn0085369",106.31790948707,0.230041497907988,0.112834539640322,3817.33250725714,0,0
"FBgn0005616",303.648309752982,0.341306895449221,0.0489451125478192,5165.70102632848,0,0
"FBgn0052225",421.618150466087,0.437975268105833,0.1432494915474,2463.68723705773,0,0
"FBgn0005613",64.2008754020575,0.0517516471031458,0.137827956838028,1543.85150971328,0,0
"FBgn0030230",250.97507335487,0.370306387098391,0.141705587343449,2855.74018004652,0,0
"FBgn0085237",291.00246312915,0.0854070761089909,0.215723520050996,1821.72723445907,0,0
"FBgn0036179",100.933718184041,0.361366729340238,0.144341544837336,2355.66331894787,0,0
"FBgn0015919",113.571633308075,0.219653205441256,0.141884839404902,1772.93354360131,0,0
