From,To,Species,Gene Name
FBgn0265048,41921,Drosophila melanogaster,crossveinless d(cv-d)
FBgn0001228,3771872,Drosophila melanogaster,Heat shock gene 67Bb(Hsp67Bb)
FBgn0022023,45682,Drosophila melanogaster,Eukaryotic initiation factor 3 p40 subunit(eIF-3p40)
FBgn0267978,35509,Drosophila melanogaster,apterous(ap)
FBgn0041337,33439,Drosophila melanogaster,CG18559 gene product from transcript CG18559-RA(Cyp309a2)
FBgn0024944,43982,Drosophila melanogaster,Octopamine receptor in mushroom bodies(Oamb)
FBgn0001223,3772576,Drosophila melanogaster,Heat shock protein 22(Hsp22)
FBgn0039530,43317,Drosophila melanogaster,CG5586 gene product from transcript CG5586-RE(Tusp)
FBgn0031860,33955,Drosophila melanogaster,CG11236 gene product from transcript CG11236-RA(CG11236)
FBgn0050421,37954,Drosophila melanogaster,Ubiquitin specific protease 15/31(Usp15-31)
FBgn0003366,32039,Drosophila melanogaster,sevenless(sev)
FBgn0004896,37631,Drosophila melanogaster,forkhead domain 59A(fd59A)
FBgn0266175,19835348,Drosophila melanogaster,CG44881 gene product from transcript CG44881-RA(pre-mod(mdg4)-P)
FBgn0043578,39870,Drosophila melanogaster,CG9681 gene product from transcript CG9681-RA(PGRP-SB1)
FBgn0038897,42556,Drosophila melanogaster,CG5849 gene product from transcript CG5849-RB(CG5849)
FBgn0004620,33788,Drosophila melanogaster,Glutamate receptor IIA(GluRIIA)
FBgn0034201,36938,Drosophila melanogaster,CG17290 gene product from transcript CG17290-RC(CG17290)
FBgn0032350,34554,Drosophila melanogaster,CG6287 gene product from transcript CG6287-RA(CG6287)
FBgn0034200,36937,Drosophila melanogaster,CG11395 gene product from transcript CG11395-RB(CG11395)
FBgn0001942,33835,Drosophila melanogaster,Eukaryotic initiation factor 4a(eIF-4a)
FBgn0263199,39031,Drosophila melanogaster,Galactokinase(Galk)
FBgn0032358,34564,Drosophila melanogaster,Palmitoyl-protein Thioesterase 2(Ppt2)
FBgn0041150,249663,Drosophila melanogaster,hoepel1(hoe1)
FBgn0039356,43100,Drosophila melanogaster,CG5039 gene product from transcript CG5039-RA(CG5039)
FBgn0032731,35158,Drosophila melanogaster,Swiprosin-1(Swip-1)
FBgn0001208,38871,Drosophila melanogaster,Henna(Hn)
FBgn0029835,31538,Drosophila melanogaster,CG5921 gene product from transcript CG5921-RC(CG5921)
FBgn0031489,33510,Drosophila melanogaster,CG17224 gene product from transcript CG17224-RC(CG17224)
FBgn0033378,35924,Drosophila melanogaster,tsunagi(tsu)
FBgn0033377,35923,Drosophila melanogaster,Phosphomannomutase 45A(Pmm45A)
FBgn0038173,41680,Drosophila melanogaster,Adenosine deaminase-related growth factor C(Adgf-C)
FBgn0267714,26067366,Drosophila melanogaster,ncRNA(CR46047)
FBgn0038172,41679,Drosophila melanogaster,Adenosine deaminase-related growth factor D(Adgf-D)
FBgn0034218,36958,Drosophila melanogaster,CG18467 gene product from transcript CG18467-RA(CG18467)
FBgn0085256,36186,Drosophila melanogaster,CG34227 gene product from transcript CG34227-RA(CG34227)
FBgn0042627,117361,Drosophila melanogaster,Fatty acid synthase 2(FASN2)
FBgn0040298,38649,Drosophila melanogaster,CG32417 gene product from transcript CG32417-RA(Myt1)
FBgn0034214,36954,Drosophila melanogaster,CG6550 gene product from transcript CG6550-RA(CG6550)
FBgn0265038,14462431,Drosophila melanogaster,ncRNA(CR44155)
FBgn0038873,42522,Drosophila melanogaster,CG5892 gene product from transcript CG5892-RB(CG5892)
FBgn0053094,42467,Drosophila melanogaster,Syndapin(Synd)
FBgn0035348,38315,Drosophila melanogaster,CG16758 gene product from transcript CG16758-RD(CG16758)
FBgn0283494,37834,Drosophila melanogaster,Adenylate kinase 2(Adk2)
FBgn0040092,53522,Drosophila melanogaster,CG1652 gene product from transcript CG1652-RB(lectin-46Cb)
FBgn0029823,31524,Drosophila melanogaster,CG3011 gene product from transcript CG3011-RA(CG3011)
FBgn0034611,37427,Drosophila melanogaster,Major Facilitator Superfamily Transporter 16(MFS16)
FBgn0029828,31529,Drosophila melanogaster,CG6067 gene product from transcript CG6067-RA(CG6067)
FBgn0038183,41690,Drosophila melanogaster,CG9286 gene product from transcript CG9286-RA(CG9286)
FBgn0030991,32903,Drosophila melanogaster,CG7453 gene product from transcript CG7453-RA(CG7453)
FBgn0039543,43332,Drosophila melanogaster,CG12428 gene product from transcript CG12428-RB(CG12428)
FBgn0033366,35909,Drosophila melanogaster,CG8196 gene product from transcript CG8196-RA(Ance-4)
FBgn0261931,31905,Drosophila melanogaster,CG42797 gene product from transcript CG42797-RE(CG42797)
FBgn0038878,42528,Drosophila melanogaster,CG3301 gene product from transcript CG3301-RB(CG3301)
FBgn0085244,5740170,Drosophila melanogaster,CG34215 gene product from transcript CG34215-RA(CG34215)
FBgn0034229,36973,Drosophila melanogaster,CG4847 gene product from transcript CG4847-RA(CG4847)
FBgn0262111,32718,Drosophila melanogaster,forked(f)
FBgn0031850,33941,Drosophila melanogaster,Thrombospondin(Tsp)
FBgn0032796,35237,Drosophila melanogaster,CG10188 gene product from transcript CG10188-RB(CG10188)
FBgn0283461,38419,Drosophila melanogaster,Drosomycin(Drs)
FBgn0032799,35240,Drosophila melanogaster,CG10166 gene product from transcript CG10166-RA(CG10166)
FBgn0058470,3355093,Drosophila melanogaster,CG40470 gene product from transcript CG40470-RA(CG40470)
FBgn0038865,42512,Drosophila melanogaster,Common Dpr-interacting protein(cDIP)
FBgn0265002,34341,Drosophila melanogaster,CG44153 gene product from transcript CG44153-RB(CG44153)
FBgn0038199,41711,Drosophila melanogaster,CCHamide-1(CCHa1)
FBgn0030981,32893,Drosophila melanogaster,CG14191 gene product from transcript CG14191-RA(CG14191)
FBgn0031824,33911,Drosophila melanogaster,CG9547 gene product from transcript CG9547-RA(CG9547)
FBgn0038453,42027,Drosophila melanogaster,CG10326 gene product from transcript CG10326-RA(CG10326)
FBgn0030985,32897,Drosophila melanogaster,Odorant-binding protein 18a(Obp18a)
FBgn0024293,45040,Drosophila melanogaster,Serpin 43Ab(Spn43Ab)
FBgn0051785,318940,Drosophila melanogaster,CG31785 gene product from transcript CG31785-RB(CG31785)
FBgn0051997,319064,Drosophila melanogaster,CG31997 gene product from transcript CG31997-RB(CG31997)
FBgn0038858,42505,Drosophila melanogaster,CG5793 gene product from transcript CG5793-RE(CG5793)
FBgn0038467,42051,Drosophila melanogaster,Adenylosuccinate Lyase(AdSL)
FBgn0039564,43356,Drosophila melanogaster,CG5527 gene product from transcript CG5527-RA(CG5527)
FBgn0030973,32885,Drosophila melanogaster,CG7332 gene product from transcript CG7332-RB(CG7332)
FBgn0038463,42047,Drosophila melanogaster,CG3534 gene product from transcript CG3534-RA(CG3534)
FBgn0033101,35586,Drosophila melanogaster,CG9436 gene product from transcript CG9436-RA(CG9436)
FBgn0283478,34294,Drosophila melanogaster,uninitiated(und)
FBgn0033304,35837,Drosophila melanogaster,CG2397 gene product from transcript CG2397-RA(Cyp6a13)
FBgn0015801,37968,Drosophila melanogaster,Rhythmically expressed gene 5(Reg-5)
FBgn0051778,261616,Drosophila melanogaster,CG31778 gene product from transcript CG31778-RA(CG31778)
FBgn0032779,35218,Drosophila melanogaster,CG16771 gene product from transcript CG16771-RE(CG16771)
FBgn0051777,261617,Drosophila melanogaster,CG31777 gene product from transcript CG31777-RA(CG31777)
FBgn0032773,35211,Drosophila melanogaster,fondue(fon)
FBgn0032774,35212,Drosophila melanogaster,CG17549 gene product from transcript CG17549-RB(CG17549)
FBgn0015623,33883,Drosophila melanogaster,Cytochrome P450 reductase(Cpr)
FBgn0004837,34881,Drosophila melanogaster,Suppressor of Hairless(Su(H))
FBgn0038840,42476,Drosophila melanogaster,CG5621 gene product from transcript CG5621-RA(CG5621)
FBgn0032382,34598,Drosophila melanogaster,Maltase B2(Mal-B2)
FBgn0039593,43390,Drosophila melanogaster,Stress induced DNase(Sid)
FBgn0040257,53508,Drosophila melanogaster,CG4739 gene product from transcript CG4739-RA(Ugt86Dc)
FBgn0030968,32880,Drosophila melanogaster,CG7322 gene product from transcript CG7322-RA(CG7322)
FBgn0003388,39592,Drosophila melanogaster,shade(shd)
FBgn0030966,32878,Drosophila melanogaster,CG7280 gene product from transcript CG7280-RA(CG7280)
FBgn0266199,19835647,Drosophila melanogaster,ncRNA(CR44894)
FBgn0004240,37183,Drosophila melanogaster,Diptericin(Dpt)
FBgn0020909,32338,Drosophila melanogaster,CG11130 gene product from transcript CG11130-RA(Rtc1)
FBgn0015032,43663,Drosophila melanogaster,Cytochrome P450-4c3(Cyp4c3)
FBgn0032770,35208,Drosophila melanogaster,CG13086 gene product from transcript CG13086-RB(CG13086)
FBgn0015038,35634,Drosophila melanogaster,Cytochrome P450-9b1(Cyp9b1)
FBgn0013949,42970,Drosophila melanogaster,Elastin-like(Elal)
FBgn0015037,45524,Drosophila melanogaster,Cytochrome P450-4p1(Cyp4p1)
FBgn0033320,35854,Drosophila melanogaster,CG8586 gene product from transcript CG8586-RC(CG8586)
FBgn0051769,318934,Drosophila melanogaster,CG31769 gene product from transcript CG31769-RA(CG31769)
FBgn0039304,43043,Drosophila melanogaster,CG10425 gene product from transcript CG10425-RA(CG10425)
FBgn0032785,35226,Drosophila melanogaster,CG10026 gene product from transcript CG10026-RA(CG10026)
FBgn0263740,41843,Drosophila melanogaster,Eukaryotic initiation factor 2gamma(eIF-2gamma)
FBgn0051974,33174,Drosophila melanogaster,CG31974 gene product from transcript CG31974-RB(CG31974)
FBgn0004432,32595,Drosophila melanogaster,Cyclophilin 1(Cyp1)
FBgn0038830,42465,Drosophila melanogaster,CG17272 gene product from transcript CG17272-RA(CG17272)
FBgn0262353,14462753,Drosophila melanogaster,ncRNA(CR43051)
FBgn0052695,31918,Drosophila melanogaster,CG32695 gene product from transcript CG32695-RC(CG32695)
