"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0032066",442.962598441255,-18.7535312085963,2.03067661942011,-9.23511455701485,2.5800977849537e-20,3.2545353459406e-16
"FBgn0000406",17261.0846163109,1.94676007559766,0.273575703770574,7.11598306708644,1.11117937822991e-12,7.00820833849607e-09
"FBgn0051086",1930.35468987762,16.1431458161927,2.29191605307292,7.04351531311477,1.87449389495861e-12,7.88162199700263e-09
"FBgn0037801",2024.83480089935,1.77056700126261,0.255511107971212,6.92951087458044,4.22298165478912e-12,1.33171726483775e-08
"FBgn0015570",1988.63453262899,1.89924748526557,0.276021024663745,6.88080731378804,5.95143070153994e-12,1.5014269373845e-08
"FBgn0028526",11918.6869359193,1.77093851352604,0.261447568015191,6.77358954596641,1.25625758922872e-11,2.64107220508851e-08
"FBgn0032836",6581.84491959774,1.69051902179628,0.252105042151253,6.70561368932096,2.00561669626839e-11,3.61412128667565e-08
"FBgn0011722",2695.14859508887,1.97406933673815,0.296075205457872,6.66745914668981,2.60269876072321e-11,4.10380527097032e-08
"FBgn0030425",3455.94403818684,1.78537146011986,0.269655801355681,6.62092731231443,3.56952473885638e-11,5.00288722843715e-08
"FBgn0259715",3792.97727242784,2.00654983682055,0.305647008084453,6.56492549819471,5.20588839832787e-11,5.96973420513707e-08
"FBgn0265048",1882.45891526885,1.07734591393462,0.164014352106054,6.56860756452576,5.07879385768342e-11,5.96973420513707e-08
"FBgn0029769",2446.73086359969,1.78441634520763,0.276476976058048,6.45412276511943,1.08847549357335e-10,1.14416915632785e-07
"FBgn0039241",12346.7909096625,1.93651495548684,0.301043085069927,6.43268373042689,1.25370343886319e-10,1.21647809060156e-07
"FBgn0025595",2234.97210717838,1.86026865083403,0.290556739634351,6.40242815628739,1.52925094607232e-10,1.37785510241116e-07
"FBgn0041194",5953.70598238736,2.05567013637451,0.323493480858721,6.35459524846584,2.0897612830218e-10,1.75734992160247e-07
"FBgn0030926",1276.90562463524,2.07618607834805,0.328541863058742,6.31939582681687,2.62587889876708e-10,2.0701772768155e-07
"FBgn0024293",6696.7189031901,1.85244541660951,0.296449156849027,6.24877950842986,4.13672405046612e-10,3.06944924544586e-07
"FBgn0026721",2987.89181221601,2.00499919582302,0.323850771825032,6.19112063412423,5.97379663953949e-10,4.18630393395284e-07
"FBgn0034200",6124.99566247036,1.60030558214986,0.262081761096534,6.10613106175064,1.02075198364423e-09,6.77671869562543e-07
"FBgn0039800",4239.32250166868,1.81989589659178,0.298844353705777,6.08977842152418,1.1306706803851e-09,6.84445818020441e-07
"FBgn0263971",9.34886022085225,15.1618874229493,2.49023524470251,6.08853619560771,1.13947694454013e-09,6.84445818020441e-07
"FBgn0064237",1084.91847932763,2.17552441802962,0.358027411601536,6.07641858565525,1.22896354201904e-09,7.0464300541037e-07
"FBgn0260474",709.440531516322,2.83830835287823,0.468951478970164,6.05245634177605,1.42653667617128e-09,7.80699023908774e-07
"FBgn0032773",11592.701921668,1.60989927152727,0.266326615183169,6.0448305942688,1.49567071123656e-09,7.80699023908774e-07
"FBgn0032774",6341.20227622326,1.45603463371693,0.241090965492369,6.0393579275911,1.54728679227203e-09,7.80699023908774e-07
"FBgn0014031",4589.25426033364,1.66414274568315,0.276233648450674,6.02440272941734,1.69735246191585e-09,8.23477075177173e-07
"FBgn0050046",757.776498667776,1.13209952945402,0.188774077394104,5.99711329586072,2.00855933876206e-09,9.38369166634986e-07
"FBgn0031561",18934.5315147099,1.74679813163156,0.29203846985492,5.98139735665424,2.21231449837239e-09,9.96647681516763e-07
"FBgn0032287",2199.56206192002,1.84525204557744,0.309073062469444,5.9702778069178,2.36849941925174e-09,1.03021557498074e-06
"FBgn0035090",7614.0581592566,1.43539870039825,0.24073882541828,5.96247280804942,2.48449006573025e-09,1.04464525630404e-06
"FBgn0034788",151.618479408464,1.90859684175376,0.321351913333054,5.93927330930706,2.86288243435221e-09,1.1550758834627e-06
"FBgn0040606",16916.9039850496,1.84416886253884,0.310703737098345,5.93545761554557,2.93027019746364e-09,1.1550758834627e-06
"FBgn0027550",794.906510262183,1.83997635053928,0.311209222715189,5.91234518850742,3.37270791373398e-09,1.28919204920729e-06
"FBgn0030251",2981.83713120866,1.49301929892257,0.252996028621181,5.90135468552399,3.60528890050096e-09,1.33756218208586e-06
"FBgn0031538",4241.65861750136,1.84236743673652,0.312642096482718,5.89289624610215,3.7948469829869e-09,1.36766285266848e-06
"FBgn0262888",2.35125498033541,-16.9324714538614,2.87799535010257,-5.88342557720183,4.01860840240764e-09,1.40807573299917e-06
"FBgn0031937",1303.78483702452,1.58300961791621,0.269519508767084,5.87345096151918,4.26815328227806e-09,1.45509420277447e-06
"FBgn0266488",51911.4758377446,1.61699491665458,0.276813990209247,5.84144939868206,5.17485977404761e-09,1.71778108394307e-06
