"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.31",140.348203138202,47.6812990800831,3.62289905612153,13.1610895974364,1.46951249239663e-39,1.65555277393404e-35
"MSTRG.11102",116.432532306682,41.8268956549865,3.63503098425683,11.5066132410252,1.22183054487271e-30,6.88257145926798e-27
"MSTRG.79",89.7088721732556,39.3035546500123,3.63260422053955,10.8196633224674,2.77795963712989e-27,1.04321644239685e-23
"MSTRG.8470",9.06130236334067,-35.9923959992583,3.63309274993587,-9.90682002266349,3.88825029472537e-23,1.0951256955094e-19
"MSTRG.1264",3083.83400301261,-2.13515467025849,0.298522200316478,-7.15241502305328,8.52643151768547e-13,1.92117554956489e-09
"MSTRG.859",10654.1026526188,0.430042539029539,0.0609031539831759,7.06108815232025,1.65203744335961e-12,3.10197563948157e-09
"MSTRG.2170",30.1995550273809,9.00931289746756,1.29912650927267,6.93490036048262,4.06507574450557e-12,6.54244904822854e-09
"MSTRG.4844",2778.93784276227,-0.985357826171527,0.142956719693755,-6.89270031015249,5.47431261668971e-12,7.70920074245328e-09
"MSTRG.1297",3959.87214036232,0.520305117862086,0.0761695604999508,6.83087987441416,8.43953827361774e-12,1.05644264656197e-08
"MSTRG.7483",4429.79245283776,0.462159534907215,0.0680285908605515,6.79360735039439,1.09363789488345e-11,1.2320924523757e-08
"MSTRG.1263",13.8958939803606,-1.71018918845705,0.25418389477417,-6.72815714770785,1.71825297898659e-11,1.75980346011481e-08
"MSTRG.4092",3735.90190823761,0.415515158293872,0.0624322535291484,6.65545667192482,2.8242174877981e-11,2.65146951812778e-08
"MSTRG.10009",2049.3441290701,0.322100035326173,0.048766722920507,6.60491449981616,3.9774683167388e-11,3.4469352351061e-08
"MSTRG.29",437.827950218958,23.7524247723925,3.63882685109197,6.52749519127701,6.68786541495721e-11,5.38182084035057e-08
"MSTRG.13940",2998.42722415809,0.477713935311725,0.0733532385940819,6.51251320961126,7.39037126718656e-11,5.55066151307492e-08
"MSTRG.4352",61.3033759583815,1.15577922034258,0.179586834591021,6.43576809499801,1.22850480690841e-10,8.65020947164382e-08
"MSTRG.53",244.56004941622,23.1129363025718,3.6231785023019,6.37918785615658,1.78029549068334e-10,1.17981229400227e-07
"MSTRG.3650",3174.95541510571,0.400927594565839,0.0637731633089727,6.28677603184582,3.24126455485347e-10,2.02867147083218e-07
"MSTRG.12893",7621.25503334074,0.346682095277458,0.0567405050877957,6.10995786415771,9.96574479210616e-10,5.90916214883516e-07
"MSTRG.7375",20766.4505805397,0.388063171769461,0.0636190717304443,6.09979305283949,1.06205877317329e-09,5.98257706928514e-07
"MSTRG.177",2778.44600538652,0.363363152163163,0.0596782370687009,6.08870452632278,1.13827972611827e-09,6.10659971164211e-07
"MSTRG.6812",3827.41491894604,2.49370481565298,0.425782773539137,5.85675365615459,4.72002450923814e-09,2.41708164186713e-06
"MSTRG.12038",2316.43079140503,0.419105063306301,0.07463617883543,5.61530707822559,1.96213468329552e-08,9.61104754000319e-06
"MSTRG.11475",677.295280421496,0.283251601607669,0.050979876320794,5.55614532733054,2.75797274217167e-08,1.29463837138775e-05
"MSTRG.11831",100.251041496453,9.02960192394458,1.63060361935717,5.53758241227521,3.06675399928023e-08,1.33206873946342e-05
