Category	Term	Count	Percent	PValue	Genes	ListTotal	PopHits	PopTotal	FoldEnrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Oxidoreductase	101	10.42311662	1.01E-17	"FBGN0031418, FBGN0032614, FBGN0037057, FBGN0032945, FBGN0031417, FBGN0029648, FBGN0032615, FBGN0000449, FBGN0022160, FBGN0015623, FBGN0023507, FBGN0037354, FBGN0037749, FBGN0031860, FBGN0010383, FBGN0031726, FBGN0038878, FBGN0039827, FBGN0031689, FBGN0030968, FBGN0030966, FBGN0037146, FBGN0038033, FBGN0003423, FBGN0033543, FBGN0086450, FBGN0033820, FBGN0036857, FBGN0030451, FBGN0037801, FBGN0020385, FBGN0001112, FBGN0039006, FBGN0031126, FBGN0086687, FBGN0042627, FBGN0015038, FBGN0015037, FBGN0034500, FBGN0086254, FBGN0000055, FBGN0015032, FBGN0025628, FBGN0034756, FBGN0039099, FBGN0010222, FBGN0003965, FBGN0037819, FBGN0038610, FBGN0013773, FBGN0011676, FBGN0039131, FBGN0000406, FBGN0036157, FBGN0030575, FBGN0000473, FBGN0051673, FBGN0051674, FBGN0061356, FBGN0033079, FBGN0039304, FBGN0031824, FBGN0052068, FBGN0029155, FBGN0034390, FBGN0041337, FBGN0037709, FBGN0036262, FBGN0037973, FBGN0025456, FBGN0025454, FBGN0037975, FBGN0033065, FBGN0032350, FBGN0011576, FBGN0033204, FBGN0031479, FBGN0050489, FBGN0033205, FBGN0003312, FBGN0033101, FBGN0033304, FBGN0053503, FBGN0039040, FBGN0030041, FBGN0038795, FBGN0040349, FBGN0038519, FBGN0036620, FBGN0036824, FBGN0036147, FBGN0038516, FBGN0030367, FBGN0003308, FBGN0001208, FBGN0005670, FBGN0032889, FBGN0003204, FBGN0015040, FBGN0003388, FBGN0030737"	942	598	13837	2.480911247	2.58E-15	2.58E-15	1.31E-14
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	77	7.946336429	4.48E-15	"FBGN0031418, FBGN0037057, FBGN0011676, FBGN0032945, FBGN0031417, FBGN0036157, FBGN0030575, FBGN0032801, FBGN0000473, FBGN0051673, FBGN0051674, FBGN0000449, FBGN0061356, FBGN0033079, FBGN0015623, FBGN0023507, FBGN0031824, FBGN0031860, FBGN0010383, FBGN0031726, FBGN0052068, FBGN0029155, FBGN0031689, FBGN0034390, FBGN0041337, FBGN0030966, FBGN0037146, FBGN0036262, FBGN0037973, FBGN0025456, FBGN0025454, FBGN0037975, FBGN0033065, FBGN0032350, FBGN0011576, FBGN0033543, FBGN0031479, FBGN0086450, FBGN0050489, FBGN0036857, FBGN0003312, FBGN0033101, FBGN0033304, FBGN0053503, FBGN0037801, FBGN0030451, FBGN0020385, FBGN0001112, FBGN0038795, FBGN0039006, FBGN0031126, FBGN0086687, FBGN0042627, FBGN0038519, FBGN0015038, FBGN0036620, FBGN0015037, FBGN0036824, FBGN0036147, FBGN0034797, FBGN0086254, FBGN0038516, FBGN0015032, FBGN0034756, FBGN0025628, FBGN0039099, FBGN0003308, FBGN0030367, FBGN0010222, FBGN0001208, FBGN0005670, FBGN0032889, FBGN0003204, FBGN0015040, FBGN0003388, FBGN0030737, FBGN0013773"	726	410	10147	2.624870658	5.44E-12	5.44E-12	7.19E-12
KEGG_PATHWAY	dme01100:Metabolic pathways	134	13.82868937	1.54E-12	"FBGN0034988, FBGN0034417, FBGN0003189, FBGN0032799, FBGN0033170, FBGN0031860, FBGN0035348, FBGN0033377, FBGN0029118, FBGN0029906, FBGN0030968, FBGN0037146, FBGN0038172, FBGN0003423, FBGN0034356, FBGN0026755, FBGN0031489, FBGN0035401, FBGN0023477, FBGN0012034, FBGN0086450, FBGN0028540, FBGN0032820, FBGN0037186, FBGN0036857, FBGN0020389, FBGN0011205, FBGN0033246, FBGN0283494, FBGN0270927, FBGN0028916, FBGN0032779, FBGN0014417, FBGN0027073, FBGN0037801, FBGN0051414, FBGN0020385, FBGN0001112, FBGN0034277, FBGN0042627, FBGN0085453, FBGN0032382, FBGN0015754, FBGN0027506, FBGN0000052, FBGN0000053, FBGN0037163, FBGN0086254, FBGN0000055, FBGN0001187, FBGN0035107, FBGN0005278, FBGN0011740, FBGN0010222, FBGN0041194, FBGN0014427, FBGN0036030, FBGN0003965, FBGN0023535, FBGN0036381, FBGN0037818, FBGN0027579, FBGN0037684, FBGN0030421, FBGN0043783, FBGN0036157, FBGN0027945, FBGN0022774, FBGN0053303, FBGN0011770, FBGN0061356, FBGN0039877, FBGN0039304, FBGN0031824, FBGN0013307, FBGN0052068, FBGN0029155, FBGN0030518, FBGN0263200, FBGN0001125, FBGN0034390, FBGN0261436, FBGN0032076, FBGN0027560, FBGN0037607, FBGN0037709, FBGN0032358, FBGN0261020, FBGN0037513, FBGN0261575, FBGN0004797, FBGN0032350, FBGN0030612, FBGN0001124, FBGN0034521, FBGN0263236, FBGN0039464, FBGN0035266, FBGN0031479, FBGN0014455, FBGN0032287, FBGN0034035, FBGN0030407, FBGN0036927, FBGN0033101, FBGN0015570, FBGN0029720, FBGN0038326, FBGN0030041, FBGN0032726, FBGN0038463, FBGN0027558, FBGN0038467, FBGN0031907, FBGN0036824, FBGN0037723, FBGN0038516, FBGN0039849, FBGN0030239, FBGN0039241, FBGN0003308, FBGN0014031, FBGN0020236, FBGN0029823, FBGN0001208, FBGN0003067, FBGN0035978, FBGN0003204, FBGN0024957, FBGN0035147, FBGN0027348, FBGN0036622, FBGN0030737, FBGN0034997"	249	899	2727	1.632416205	1.59E-10	1.59E-10	1.72E-09
KEGG_PATHWAY	dme01130:Biosynthesis of antibiotics	47	4.850361197	8.79E-12	"FBGN0023477, FBGN0012034, FBGN0037684, FBGN0032287, FBGN0028540, FBGN0043783, FBGN0032820, FBGN0036857, FBGN0027945, FBGN0020389, FBGN0283494, FBGN0022774, FBGN0061356, FBGN0037801, FBGN0031824, FBGN0031860, FBGN0038467, FBGN0013307, FBGN0033377, FBGN0000052, FBGN0029118, FBGN0000053, FBGN0001125, FBGN0000055, FBGN0038516, FBGN0001187, FBGN0032076, FBGN0037607, FBGN0030239, FBGN0037709, FBGN0039241, FBGN0020236, FBGN0014031, FBGN0029823, FBGN0003067, FBGN0003423, FBGN0041194, FBGN0014427, FBGN0032350, FBGN0036030, FBGN0023535, FBGN0035978, FBGN0034356, FBGN0030612, FBGN0024957, FBGN0001124, FBGN0037818"	249	179	2727	2.875614189	9.06E-10	4.53E-10	9.81E-09
UP_KEYWORDS	Signal	298	30.75335397	1.17E-10	"FBGN0031558, FBGN0036299, FBGN0025686, FBGN0035806, FBGN0024293, FBGN0038211, FBGN0030160, FBGN0036547, FBGN0259715, FBGN0038214, FBGN0032322, FBGN0087002, FBGN0260474, FBGN0022160, FBGN0010406, FBGN0004047, FBGN0033170, FBGN0028526, FBGN0041579, FBGN0034290, FBGN0040832, FBGN0010403, FBGN0051769, FBGN0004569, FBGN0030766, FBGN0030763, FBGN0034974, FBGN0022355, FBGN0004554, FBGN0032836, FBGN0032835, FBGN0030157, FBGN0030090, FBGN0035544, FBGN0003944, FBGN0020414, FBGN0020415, FBGN0037553, FBGN0020416, FBGN0034162, FBGN0051778, FBGN0033543, FBGN0027790, FBGN0051777, FBGN0054054, FBGN0026562, FBGN0044050, FBGN0033821, FBGN0029769, FBGN0033820, FBGN0028542, FBGN0028543, FBGN0031538, FBGN0038829, FBGN0040582, FBGN0037627, FBGN0033439, FBGN0035112, FBGN0034277, FBGN0039091, FBGN0037230, FBGN0029765, FBGN0046876, FBGN0030270, FBGN0034407, FBGN0038105, FBGN0035932, FBGN0046878, FBGN0250862, FBGN0067903, FBGN0030174, FBGN0028396, FBGN0039099, FBGN0260462, FBGN0010225, FBGN0037433, FBGN0039486, FBGN0026403, FBGN0037635, FBGN0037779, FBGN0039682, FBGN0013770, FBGN0030773, FBGN0030425, FBGN0053307, FBGN0040734, FBGN0040733, FBGN0040736, FBGN0040735, FBGN0038299, FBGN0039113, FBGN0033593, FBGN0085244, FBGN0053303, FBGN0030521, FBGN0052667, FBGN0040321, FBGN0025583, FBGN0037396, FBGN0034512, FBGN0000206, FBGN0039678, FBGN0028988, FBGN0085195, FBGN0036970, FBGN0038930, FBGN0038126, FBGN0039102, FBGN0085256, FBGN0004595, FBGN0040606, FBGN0025456, FBGN0263083, FBGN0030051, FBGN0031305, FBGN0030926, FBGN0002565, FBGN0030828, FBGN0034321, FBGN0026721, FBGN0063923, FBGN0263236, FBGN0034030, FBGN0040717, FBGN0042129, FBGN0054003, FBGN0016122, FBGN0029720, FBGN0034638, FBGN0030603, FBGN0266369, FBGN0040813, FBGN0085360, FBGN0002930, FBGN0051091, FBGN0034331, FBGN0031907, FBGN0034330, FBGN0036147, FBGN0051089, FBGN0042119, FBGN0031563, FBGN0036891, FBGN0263321, FBGN0038147, FBGN0261341, FBGN0038914, FBGN0034140, FBGN0031560, FBGN0031561, FBGN0034717, FBGN0032613, FBGN0039630, FBGN0038873, FBGN0033366, FBGN0036875, FBGN0035076, FBGN0052573, FBGN0034788, FBGN0016675, FBGN0029990, FBGN0000551, FBGN0025615, FBGN0061492, FBGN0019929, FBGN0039203, FBGN0050046, FBGN0032796, FBGN0039024, FBGN0039022, FBGN0023495, FBGN0051431, FBGN0032896, FBGN0034229, FBGN0052017, FBGN0010385, FBGN0036023, FBGN0265002, FBGN0052191, FBGN0036323, FBGN0262057, FBGN0032494, FBGN0011722, FBGN0038172, FBGN0085320, FBGN0033232, FBGN0038173, FBGN0066365, FBGN0035496, FBGN0039031, FBGN0039628, FBGN0039629, FBGN0083972, FBGN0265266, FBGN0052695, FBGN0034200, FBGN0034201, FBGN0039611, FBGN0023479, FBGN0040257, FBGN0038897, FBGN0032770, FBGN0001114, FBGN0270927, FBGN0262838, FBGN0014417, FBGN0027073, FBGN0051414, FBGN0001112, FBGN0032774, FBGN0040398, FBGN0032773, FBGN0051313, FBGN0014000, FBGN0014002, FBGN0030985, FBGN0035186, FBGN0034500, FBGN0050438, FBGN0039801, FBGN0030981, FBGN0051683, FBGN0031959, FBGN0040104, FBGN0265137, FBGN0030841, FBGN0051997, FBGN0033250, FBGN0085345, FBGN0039239, FBGN0039238, FBGN0039800, FBGN0031850, FBGN0052726, FBGN0050289, FBGN0262574, FBGN0053493, FBGN0053494, FBGN0050287, FBGN0034198, FBGN0030991, FBGN0265048, FBGN0043578, FBGN0261563, FBGN0051676, FBGN0004003, FBGN0021795, FBGN0031627, FBGN0000477, FBGN0033320, FBGN0030262, FBGN0050280, FBGN0050281, FBGN0030261, FBGN0038738, FBGN0033710, FBGN0283461, FBGN0036463, FBGN0039593, FBGN0031389, FBGN0042175, FBGN0011016, FBGN0038840, FBGN0032358, FBGN0261575, FBGN0031110, FBGN0033603, FBGN0051326, FBGN0030251, FBGN0035791, FBGN0030245, FBGN0027550, FBGN0019985, FBGN0064237, FBGN0044812, FBGN0039564, FBGN0031275, FBGN0028703, FBGN0262569, FBGN0037727, FBGN0050090, FBGN0004240, FBGN0030562, FBGN0039472, FBGN0038865, FBGN0010052, FBGN0013949, FBGN0050151, FBGN0038199, FBGN0032136, FBGN0032889, FBGN0039703, FBGN0085407, FBGN0044011, FBGN0040092, FBGN0003388, FBGN0032472, FBGN0040364"	942	3161	13837	1.384786453	2.99E-08	1.49E-08	1.52E-07
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme axial ligand)	27	2.786377709	3.83E-10	"FBGN0011676, FBGN0050489, FBGN0000406, FBGN0003312, FBGN0000473, FBGN0033304, FBGN0053503, FBGN0000449, FBGN0039006, FBGN0031126, FBGN0010383, FBGN0015038, FBGN0015037, FBGN0031689, FBGN0015032, FBGN0041337, FBGN0034756, FBGN0030966, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0003965, FBGN0003388, FBGN0015040, FBGN0013773"	215	95	3078	4.068837209	1.98E-07	1.98E-07	5.54E-07
UP_KEYWORDS	Heme	30	3.095975232	4.37E-10	"FBGN0011676, FBGN0050489, FBGN0000406, FBGN0003312, FBGN0000473, FBGN0053503, FBGN0033304, FBGN0000449, FBGN0087002, FBGN0039006, FBGN0031126, FBGN0010383, FBGN0031726, FBGN0015038, FBGN0015037, FBGN0031689, FBGN0015032, FBGN0041337, FBGN0034756, FBGN0030966, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0003965, FBGN0003388, FBGN0015040, FBGN0027657, FBGN0013773"	942	115	13837	3.83190252	1.12E-07	3.73E-08	5.70E-07
INTERPRO	IPR016040:NAD(P)-binding domain	37	3.818369453	1.24E-09	"FBGN0031418, FBGN0033204, FBGN0032614, FBGN0031417, FBGN0014455, FBGN0033205, FBGN0039131, FBGN0051673, FBGN0029648, FBGN0051674, FBGN0032615, FBGN0039040, FBGN0030041, FBGN0020385, FBGN0033079, FBGN0039304, FBGN0037354, FBGN0040349, FBGN0037749, FBGN0042627, FBGN0031860, FBGN0038878, FBGN0036620, FBGN0029155, FBGN0034500, FBGN0000055, FBGN0038516, FBGN0034390, FBGN0030968, FBGN0020236, FBGN0010222, FBGN0038033, FBGN0032350, FBGN0032889, FBGN0038610, FBGN0035147, FBGN0030737"	801	162	10906	3.109708543	1.56E-06	1.56E-06	2.02E-06
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	34	3.50877193	3.79E-09	"FBGN0036299, FBGN0011676, FBGN0050489, FBGN0003312, FBGN0000473, FBGN0053503, FBGN0033304, FBGN0000449, FBGN0038795, FBGN0039006, FBGN0031126, FBGN0086687, FBGN0010383, FBGN0031726, FBGN0052068, FBGN0015038, FBGN0015037, FBGN0036147, FBGN0031689, FBGN0015032, FBGN0041337, FBGN0034756, FBGN0036262, FBGN0030367, FBGN0003308, FBGN0025454, FBGN0001208, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0003388, FBGN0015040, FBGN0027657, FBGN0013773"	672	147	9200	3.166504697	2.49E-06	2.49E-06	5.67E-06
UP_KEYWORDS	Iron	37	3.818369453	1.21E-08	"FBGN0011676, FBGN0050489, FBGN0000406, FBGN0003312, FBGN0000473, FBGN0053503, FBGN0033304, FBGN0000449, FBGN0087002, FBGN0039006, FBGN0031126, FBGN0010383, FBGN0031726, FBGN0052068, FBGN0015038, FBGN0015037, FBGN0263200, FBGN0031689, FBGN0015032, FBGN0041337, FBGN0034756, FBGN0030966, FBGN0030367, FBGN0003308, FBGN0025454, FBGN0001208, FBGN0041194, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0003965, FBGN0034214, FBGN0003388, FBGN0024957, FBGN0015040, FBGN0027657, FBGN0013773"	942	188	13837	2.890912274	3.11E-06	7.77E-07	1.58E-05
