"","x"
"1","FBgn0035022"
"2","FBgn0000639"
"3","FBgn0026563"
"4","FBgn0053459"
"5","FBgn0015035"
"6","FBgn0004554"
"7","FBgn0040609"
"8","FBgn0265266"
"9","FBgn0035282"
"10","FBgn0024289"
"11","FBgn0038484"
"12","FBgn0036024"
"13","FBgn0002562"
"14","FBgn0034276"
"15","FBgn0037612"
"16","FBgn0043791"
"17","FBgn0043576"
"18","FBgn0036023"
"19","FBgn0030824"
"20","FBgn0063667"
"21","FBgn0034291"
"22","FBgn0034712"
"23","FBgn0040730"
"24","FBgn0033327"
"25","FBgn0031432"
"26","FBgn0036607"
"27","FBgn0028544"
"28","FBgn0032538"
"29","FBgn0003358"
"30","FBgn0033999"
"31","FBgn0032066"
"32","FBgn0020906"
"33","FBgn0028573"
"34","FBgn0052570"
"35","FBgn0036469"
"36","FBgn0051626"
"37","FBgn0267601"
"38","FBgn0028920"
"39","FBgn0002565"
"40","FBgn0031654"
"41","FBgn0036361"
"42","FBgn0036362"
"43","FBgn0020637"
"44","FBgn0039768"
"45","FBgn0266173"
"46","FBgn0036948"
"47","FBgn0053346"
"48","FBgn0020638"
"49","FBgn0034317"
"50","FBgn0051789"
"51","FBgn0020508"
"52","FBgn0033294"
"53","FBgn0028945"
"54","FBgn0267246"
"55","FBgn0267964"
"56","FBgn0037178"
