Category	Term	Count	percent	PValue	Genes	List_Total	Pop_Hits	Pop_Total	Fold_Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	dme01100:Metabolic pathways	247	0.55618104	2.11E-11	"CG15117, PRX6005, BETAGLU, CG8207, ND-B15, PGD, PRX2540-1, AMY-D, DNAPOL-ALPHA50, UQCR-C2, OSTGAMMA, PRX2540-2, GOT2, CG33303, ND-ASHI, GOT1, AMY-P, PGI, CG15661, ATPSYNGAMMA, ADE3, PGM, HEXO1, ADE2, CG3999, CG15771, HEXO2, PGK, L(2)K01209, PH4ALPHAEFB, ND-20, CG7470, ND-24, CG8093, SUCB, MGAT2, RFESP, ADSL, CG8353, PFK, MDH2, CDASE, MDH1, SK1, ND-30, PPT2, CG9220, ACC, CG12264, MMY, PIS, CG7328, CG17896, CYPE, GAD1, CG6083, CG6084, MOCS1, CG9706, CG7322, ODC1, ALDH, ODC2, IRP-1B, IRP-1A, ND-49, CG2118, COX8, GFAT2, CG17333, ATPSYNO, OST48, TOBI, CG9389, GAPDH2, CG9436, SARDH, VHA68-1, SODH-2, SODH-1, GIP, PAPSS, CG32549, CG17544, PI4KIIIALPHA, CG9784, CG7430, CG6287, INOS, EST-6, PR, ATPSYNF, ADH, CG8199, ATPSYNG, PI3K59F, CG18003, DAK1, SPDS, AWD, CG5177, CG5037, DNAPOL-ALPHA180, ARC42, CG10621, CG11089, CG7685, ATPCL, SGL, ALP4, ALDH-III, NP15.6, CG11899, SDHA, SDHB, CHRAC-14, CG17029, SDHC, SDHD, CG9547, SAMDC, IMPL3, ND-13B, CG13397, CG6962, CG5493, HMGS, CG3902, COX5A, COX5B, CG17323, CG9674, CG9914, RPIII128, CG12116, CG6767, UGP, CG11437, CG11438, DAT, CG34424, CG3264, PI4KIIALPHA, CG6951, CG3267, SPT-I, CG10184, VHAM9.7-A, PIG-S, COX6B, SPTR, UGT37A1, PIG-U, CG32444, CG3534, ADK2, PIG-C, CG3530, CG5599, NC73EF, CLS, CG6330, CG6847, CG1640, COX7C, ND-ACP, ND-MLRQ, DHPD, LEVY, CG9514, MAL-B2, VHA36-3, PPL, PMM45A, CG4407, MUS205, GALE, VHA36-1, MAL-A4, GMD, CG10268, FASN2, L(1)G0334, CG10467, CG9510, SLGA, GLS, OSTDELTA, VHA14-1, MTM, CG12913, TPS1, AMYREL, CG15093, EAS, CG32495, TPI, CG6106, GSS, CG16817, ACOX57D-D, TREH, CG3376, TALDO, CG10863, GLCAT-I, CG8311, PPO3, NMDMC, UGT35B, L(1)G0255, ECT3, CG4753, PGLYM78, MRI, CG11306, DHPR, CN-IIIB, ND-51, EDTP, GMER, GXIVSPLA2, MINO, UGT86DI, CG10178, WOL, CG31075, CG8891, AGBE, CG8417, CG17209, CG1129, CG8129, CG8036, CG8745, CG5618, UGT37C1, GLCT-1, CYT-C1, SGLL, FBP, P5CR, DGKEPSILON, PUG, CG31381, CG33977, ND-75"	538	809	2402	1.363135911	2.56E-09	2.56E-09	2.43E-08
GOTERM_CC_DIRECT	GO:0005811~lipid particle	83	0.186894844	3.44E-10	"ATPSYNO, OST48, CG2852, CYP4E3, COX5A, CG11151, COX5B, BETA-SPEC, ALPHATUB84D, UQCR-C2, TAPDELTA, UQCR-C1, GOT2, LSD-1, GAPDH2, PGI, TRAM, PORIN, ATPSYNGAMMA, GP93, CG5885, 26-29-P, AKAP200, ALT, LSP1ALPHA, CG7470, FBP1, ARALAR1, CG7430, CG11267, SUCB, ACT87E, SEA, ATPSYNF, ADH, ADK2, RAB11, YP1, MDH2, ATPSYNG, YP2, MDH1, HSC70-5, HSC70-4, L(2)37CC, FS(2)KET, CABP1, L(1)G0320, LEVY, ERP60, CALR, CG1648, RAB7, GTP-BP, ACT5C, ACC, JABBA, CG8036, TUDOR-SN, CG9186, CYPE, CG7630, CYT-C1, PDI, ALDH, BMM, FASN2, ATPCL, RTNL1, ALDH-III, CG1907, LSP2, PUG, CG1882, CG5167, MTP, PHB2, SSRBETA, CG2604, VKG, TPS1, CG15093, SESB"	1705	210	8313	1.927046502	1.81E-07	1.81E-07	5.00E-07
KEGG_PATHWAY	dme01130:Biosynthesis of antibiotics	67	0.150866922	2.37E-09	"GFAT2, CG17333, IMPL3, TPI, PGD, HMGS, GOT2, NST, CG9674, FNTA, GOT1, GAPDH2, PGI, CG6767, UGP, ADE3, ADE2, PGM, CG3999, TALDO, PGK, PAPSS, L(1)G0255, CG7430, CG10184, CG6287, INOS, SUCB, PGLYM78, CG32444, ADSL, ADH, CG8199, PFK, ADK2, CG5599, MDH2, MDH1, NC73EF, CG18003, CG31075, AWD, MMY, PPL, CG8129, PMM45A, CG8036, ODC1, ALDH, CG17065, ODC2, IRP-1B, CG11089, IRP-1A, CG10467, L(1)G0334, ATPCL, FBP, P5CR, CG11899, SDHA, SDHB, CG9510, SLGA, SDHC, SDHD, CG9547"	538	153	2402	1.955123065	2.87E-07	1.44E-07	2.73E-06
UP_KEYWORDS	Oxidoreductase	165	0.371537942	2.54E-09	"PRX6005, CG10097, IMPL3, ND-B15, ND-13B, PGD, CYP4E2, CYP4E3, CG5493, CG3902, COX5A, PRX2540-1, COX5B, UQCR-C2, PRX2540-2, UQCR-C1, CG34172, CG11257, CG9674, SHD, ND-ASHI, CG9914, CG30491, CG12116, CG10962, ASPH, CYP12D1-D, CG3999, CYP309A2, CYP309A1, PH4ALPHAEFB, CG2137, ND-20, CG40486, CG7470, ND-24, CYP12D1-P, CYP4D8, CG4716, COX6B, SPTR, RFESP, EO, CG6144, CG5321, CYP12B2, CYP6W1, CG9331, MDH2, MDH1, NC73EF, CG7460, ND-30, COX7A, COX7C, CG3842, ND-MLRQ, GSTS1, LEVY, PXN, CG9514, CG9521, CYP311A1, EGM, CG12171, CYP6A22, CG17896, CYP6A20, CG6083, GSTD8, CYPE, CG6084, CG7322, CG8665, ALDH, ND-49, FASN2, CG31548, L(1)G0334, NINAB, SLGA, CYP6A16, CYP6A17, DRAT, CG17121, ZETACOP, CG15093, COX8, CYP4S3, HO, CG31810, CG5346, CG11151, GAPDH2, CYP28D1, ACOX57D-D, CG9436, SARDH, CG10863, SODH-2, SODH-1, FMO-2, PPO3, NMDMC, CG17544, CG4199, CG6282, CYP313A4, CG7430, CG6287, CYP313A1, CG8399, CG43342, JAFRAC2, JAFRAC1, DHPR, CG6910, ADH, CG8199, CG17807, ND-51, CG10638, GMER, CG18003, CG31674, CG31075, CG3609, CG15717, NEMY, CYP6V1, CG8888, CG9360, CG11200, CG3603, PRX3, GSTO2, GSTO3, CG12224, TET, CG9743, CG31809, ARC42, SGLL, CG12896, SGL, CG3699, MCO1, ALDH-III, CG13091, SOD3, P5CR, SDHA, SDHB, PUG, CG18547, CG5167, SDHC, CG9547, CG2604, CYP4G15, CG10814, CG1544, CG7280, ND-75, CG13284"	2291	538	11424	1.529307343	8.87E-07	8.87E-07	3.48E-06
GOTERM_CC_DIRECT	GO:0012505~endomembrane system	73	0.164377392	1.03E-07	"STIM, DMTN, WKD, HO, OST48, WBL, CG2852, CYP4E2, ERGIC53, GCS2BETA, PRTP, SYX8, RHO-5, TAPDELTA, SYX6, OSTGAMMA, CG33303, CG12056, ASPH, GP93, CG4332, CHOP24, PH4ALPHAEFB, ALT, CG32506, CG32069, GAPSEC, SEC61ALPHA, SEL, MADM, PIG-S, CG8507, SEC61BETA, MAN1, ANXB9, CG5196, FKBP14, CG17593, JAFRAC2, P58IPK, CG8042, CABP1, L(1)G0320, ERP60, CALR, MANF, GTP-BP, JWA, ECA, TWR, CG8460, CG11200, CG9186, CG7324, GBB, PDI, SCF, CG9302, BAI, LANB1, SPASE25, SPOCK, RTNL1, CG1309, CG11999, BOCA, CG5382, KR-H2, CG3703, MTP, SSRBETA, OSTDELTA, CG30291"	1705	197	8313	1.806716585	5.42E-05	2.71E-05	1.49E-04
UP_KEYWORDS	Muscle protein	13	0.029272686	3.32E-06	"MLC2, WUPA, MLC1, MP20, TPNC41C, UP, TM2, TPNC73F, FLN, PRM, ROST, MHC, TPNC47D"	2291	16	11424	4.051505893	0.001158223	5.79E-04	0.004539501
KEGG_PATHWAY	dme00051:Fructose and mannose metabolism	15	0.033776177	1.61E-05	"SODH-2, SODH-1, GMER, CG8207, TPI, GMD, FBP, CG8417, CG1129, CG7328, PFK, CG9436, CG6083, CG6084, CG10863"	538	21	2402	3.189060011	0.001943109	6.48E-04	0.018478303
INTERPRO	IPR016040:NAD(P)-binding domain	53	0.11934249	4.90E-05	"CG10097, IMPL3, PGD, CG31810, CG9674, CG9914, GAPDH2, CG30491, CG12116, CG10962, CG8768, SODH-2, SODH-1, FMO-2, CG40486, NMDMC, CG6287, SPTR, INOS, CG5955, DHPR, ADH, CG9331, MDH2, MDH1, GMER, CG31674, CG3842, CG3609, CG8888, CG4872, CG9360, CG11200, CG3603, CG12171, GALE, CG7322, CG31809, GMD, CG31548, FASN2, ATPCL, SGL, CG3699, CG13091, P5CR, PUG, CG5167, CG2604, CG17121, DRAT, CG15093, CG13284"	1985	150	9553	1.700450042	0.105813245	0.105813245	0.085458487
KEGG_PATHWAY	dme00520:Amino sugar and nucleotide sugar metabolism	22	0.049538392	6.70E-05	"GFAT2, GMER, CG6218, CG8207, CG17065, GMD, SGL, CHT7, CG1969, NST, CG11257, CG8417, CG1129, MMY, PMM45A, PGI, GALE, UGP, PGM, HEXO1, HEXO2, CG15771"	538	42	2402	2.338644008	0.008077864	0.002025612	0.077032158
KEGG_PATHWAY	dme00052:Galactose metabolism	17	0.038279667	1.13E-04	"MAL-A4, CG7685, CG10467, ECT3, CG7997, MAL-B2, CG32444, TOBI, PMM45A, GALE, UGP, PFK, CG9436, PGM, CG6083, CG6084, CG10863"	538	29	2402	2.61722856	0.01355507	0.002725834	0.129587544
