"","x"
"1","CG11413"
"2","ppk30"
"3","Fbp1"
"4","CG1979"
"5","CG33459"
"6","AkhR"
"7","Cyp12b2"
"8","CG33494"
"9","Cyp4e3"
"10","CG8654"
"11","sug"
"12","Edg91"
"13","ppk19"
"14","CG3348"
"15","CG31664"
"16","comt"
"17","CG13639"
"18","CNMa"
"19","CG15529"
"20","Sodh-1"
"21","Root"
"22","Rm62"
"23","CG5707"
"24","atk"
"25","CG1648"
"26","CG8745"
"27","Ude"
"28","CG5246"
"29","CG30287"
"30","CG5346"
"31","glob1"
"32","CG14526"
"33","CG18180"
"34","CG18477"
"35","CG31780"
"36","msl-2"
"37","wit"
"38","CG2218"
"39","CG2118"
"40","ppk20"
"41","CG40160"
"42","CG13575"
"43","Lip2"
"44","Lsp1alpha"
"45","Sec61alpha"
"46","Sardh"
"47","Sobp"
"48","CG9505"
"49","CG8112"
"50","MtnA"
"51","CG5001"
"52","Tsp42Eg"
"53","CG5885"
"54","Arc1"
"55","CG10361"
"56","Alp4"
"57","nord"
"58","CG5955"
"59","fit"
"60","Tm2"
"61","CG42751"
"62","Manf"
"63","SsRbeta"
"64","CG14527"
"65","Mec2"
"66","CG6084"
"67","vari"
"68","CG4199"
"69","CG4250"
"70","Drsl3"
"71","Jabba"
"72","bdl"
"73","CG5455"
"74","CG6218"
"75","CG16965"
"76","CG14964"
"77","metro"
"78","CG14223"
"79","Syn1"
"80","CG17121"
"81","Drat"
"82","tn"
"83","CG15739"
"84","blow"
"85","AdSL"
"86","rols"
"87","Sec61beta"
"88","Cks85A"
"89","CG11089"
"90","CG11200"
"91","Got2"
"92","CG11668"
"93","phu"
"94","CG2698"
"95","Oseg4"
"96","Neurochondrin"
"97","Sec61gamma"
"98","PGRP-SC1a"
"99","Vha68-1"
"100","Lsd-1"
"101","CG10089"
"102","CG3534"
"103","Sep2"
"104","kar"
"105","CG6985"
"106","Spase25"
"107","Mtp"
"108","Tapdelta"
"109","Pdi"
"110","CG3513"
"111","Rbp9"
"112","CG3699"
"113","Mlc2"
"114","Inos"
"115","CG18179"
"116","tok"
"117","Ppn"
"118","CG12910"
"119","E(spl)m3-HLH"
"120","PKD"
"121","CG7227"
"122","Spn55B"
"123","CG11050"
"124","TpnC73F"
"125","CG2678"
"126","Sucb"
"127","tx"
"128","Ppt2"
"129","Tsp"
"130","CR45485"
"131","CG42821"
"132","Hlc"
"133","Syt7"
"134","Spn43Ad"
"135","CG5484"
"136","ade3"
"137","CG10184"
"138","CG14687"
"139","CG14196"
"140","Cyp12d1-p"
"141","Odc1"
"142","Cyp12d1-d"
"143","CR43242"
"144","CG12428"
"145","CG43448"
"146","CG10737"
"147","Spp"
"148","CG17145"
"149","CG17378"
"150","CG32368"
"151","Hs2st"
"152","scramb1"
"153","pn"
"154","SP1173"
"155","fau"
"156","loj"
"157","CG12730"
"158","sqh"
"159","l(1)G0320"
"160","CG12194"
"161","ringer"
"162","CG3529"
"163","kay"
"164","Past1"
"165","CG5070"
"166","Tsf1"
"167","LTV1"
"168","by"
"169","Stt3B"
"170","CG32335"
"171","AnxB9"
"172","CG4552"
"173","RhoGAP16F"
"174","5-HT1B"
"175","CG3902"
"176","TBC1D16"
"177","CG12224"
"178","CG6767"
"179","CG33523"
"180","Pxn"
"181","Invadolysin"
"182","CG8861"
"183","Gip"
"184","Ugt37a1"
"185","pug"
"186","CR10102"
"187","CG12159"
"188","ERp60"
"189","Nplp1"
"190","Coop"
"191","Cpr67B"
"192","CG10467"
"193","HDAC11"
"194","CG4630"
"195","CG12112"
"196","OstDelta"
"197","Mst85C"
"198","CG13091"
"199","VGAT"
"200","CG30289"
"201","CG17328"
"202","Gasp"
"203","Spase12"
"204","CG6770"
"205","CG4757"
"206","CR44662"
"207","Pmm45A"
"208","up"
"209","rost"
"210","CG5262"
"211","Cyp28d1"
"212","PVRAP"
"213","CG3376"
"214","CG9914"
"215","CG14445"
"216","CG31689"
"217","Mp20"
"218","Mlp84B"
"219","dpr15"
"220","f-cup"
"221","Non1"
"222","Ance-3"
"223","Mlc1"
"224","CG6225"
"225","CG5770"
"226","Gadd45"
"227","Mf"
"228","TRAM"
"229","CG4341"
"230","l(2)efl"
"231","CG32115"
"232","CG1814"
"233","klu"
"234","CG12970"
"235","CG7966"
"236","CG5597"
"237","CG17739"
"238","CG4325"
"239","CG3264"
"240","MFS14"
"241","Sirt2"
"242","spz"
"243","CG3257"
"244","CG7203"
"245","CG13631"
"246","CG13384"
"247","KrT95D"
"248","betaTub97EF"
"249","bmm"
"250","Gbs-76A"
"251","CG7280"
