"","FBgn","symbol","ModID","baseMean","lfcSE","stat","pvalue","padj","FC_DR_B","FC_HS_B","FC_DRHS_B","FC_DR_H","FC_HS_H","FC_DRHS_H","FC_DR_O","FC_HS_O","FC_DRHS_O"
"1","FBgn0000032","Acph-1","black",1260.03918541636,0.0574521341575274,16.7084224520401,0.000235403092497907,0.00342736046170975,-0.285819157806614,-0.26298659622685,-0.0228325615797649,-0.253007570979531,-0.208963834564191,-0.0440437364153401,-0.125441087045445,-0.083196529755142,-0.0422445572903034
"2","FBgn0000039","nAChRalpha2","blue",237.418995863604,0.0909175814183159,10.7755837721477,0.00457205782233868,0.028227593161641,0.338269717032008,0.390593324736176,-0.0523236077041675,0.245270965040889,0.225446301145169,0.0198246638957201,0,0,0
"3","FBgn0000042","Act5C","greenyellow",36097.081442408,0.0851960150234966,23.3519182461876,8.49562593250638e-06,0.000275216018336413,0.663791757057533,-0.0318926687799104,0.695684425837443,0.3872502656218,0.136317413282926,0.250932852338873,0.0204458623557484,-0.0344120462750796,0.0548579086308279
"4","FBgn0000044","Act57B","turquoise",13501.9928509471,0.100816545970328,22.8237413082416,1.10633727938767e-05,0.000345195075318621,0.256014620880765,0.375196457210888,-0.119181836330123,0.480789810312854,0.349382613224361,0.131407197088494,0.552869267019392,0.551624050518125,0.00124521650126709
"5","FBgn0000046","Act87E","turquoise",2232.63159550929,0.0955354258661688,18.0453090788939,0.000120645442706819,0.00205026596412599,0.336600681129088,0.314100021464137,0.0225006596649518,0.475801925369734,0.485574101399247,-0.00977217602951315,0.294391523370829,0.0694678230300364,0.224923700340792
"6","FBgn0000052","Pfas","turquoise",7317.78298376812,0.120525525694663,23.9615241101445,6.26355868043773e-06,0.000219640862851483,-0.368237972241161,-0.93538997192837,0.567151999687208,-0.549758388080354,-1.05386511649571,0.504106728415358,0.366346612108921,0.251476048325878,0.114870563783043
"7","FBgn0000053","Gart","turquoise",7219.48148917856,0.161402164252923,32.5519474010498,8.53953915668913e-08,7.28811992585962e-06,-0.581887445770613,-1.22914948826103,0.647262042490415,-0.849577735506969,-1.73744215230962,0.887864416802655,0.407129797743371,0.207646148294413,0.199483649448958
"8","FBgn0000055","Adh","turquoise",134485.886420469,0.0907710332103007,21.257933583154,2.42046258661004e-05,0.000631332791972646,-0.193556261549791,-0.529642766155837,0.336086504606046,-0.435408513594049,-0.811387882073662,0.375979368479613,-0.0172888845156437,0.0802088653834358,-0.0974977498990795
"9","FBgn0000061","al","turquoise",8.98286989297594,0.280245559361711,12.0825334375217,0.00237854405815107,0.0177770514378361,0.358870754567381,1.15573251260436,-0.796861758036979,0.694900577450027,0.858706519242154,-0.163805941792126,0,0,0
"10","FBgn0000078","Amy-d","cyan",12386.5500227974,0.32539287611212,12.0852535968786,0.00237531124765153,0.017768113971226,-0.317154044085362,-1.61141931802655,1.29426527394119,-0.269809494359296,-1.34982838804705,1.08001889368775,-0.369079620678591,-0.465830508482366,0.0967508878037747
