"","Gene","symbol","annotation_ID","pathway","baseMean","lfcSE","stat","pvalue","padj","FC_DR_B","FC_HS_B","FC_DRHS_B","FC_DR_H","FC_HS_H","FC_DRHS_H","FC_DR_O","FC_HS_O","FC_DRHS_O"
"1","FBgn0265262","Vha68-1","CG12403","TOR",2727.7598844563,0.0799299862929417,35.9568900677369,1.55618250511618e-08,1.8245060946347e-06,0.21244238120049,0.352481623486449,-0.140039242285959,0.322199965151549,0.361241444910953,-0.0390414797594034,0.84458224609981,0.612192063238617,0.232390182861193
"2","FBgn0038788","Sirt2","CG5085","FOXO",504.378141995988,0.0461206369421765,27.0225778430923,1.35556946635853e-06,6.51505057820804e-05,0.201392651698672,0.263136556188745,-0.0617439044900732,0.183402342450654,0.233771179816458,-0.0503688373658036,0.27402788173123,0.0911651473689087,0.182862734362321
"3","FBgn0260635","Diap1","CG12284","FOXO",4377.06513269046,0.0372701523305106,26.0683218768119,2.18441841077415e-06,9.98210413143918e-05,0.282327666206135,0.216980401680415,0.0653472645257197,0.118647682839073,0.0941548824549038,0.0244928003841691,0.164590409460661,0.0450416923337279,0.119548717126933
"4","FBgn0003867","tsl","CG6705","TOR",1545.29947511186,0.0789973527783029,25.7676876492419,2.53873705096313e-06,0.000112900846553751,-0.203179226250047,-0.370075616073753,0.166896389823705,-0.478473901848357,-0.597085904430565,0.118612002582208,-0.0347580561353213,-0.0996588612899039,0.0649008051545826
"5","FBgn0041184","Socs36E","CG15154","TOR",715.359648347814,0.106802074473867,24.304348208994,5.27688759605088e-06,0.000195059981934276,0.603974000493944,0.148666597890158,0.455307402603786,0.330499918721788,0.248460513376876,0.0820394053449112,0.656969614896482,0.540185274780201,0.116784340116281
"6","FBgn0025724","beta'COP","CG6699","FOXO",2877.95838775311,0.0444833998500012,23.8626475546373,6.58100046838057e-06,0.000227338310822897,0.188418134840436,-0.0931269102629148,0.281545045103351,0.00817609569846811,-0.163463458690224,0.171639554388692,0.176211055359897,-0.0166078563304754,0.192818911690372
"7","FBgn0266599","Hsc70-4","CG4264","TOR",81470.8084777573,0.0393352349406387,23.3293672379987,8.59196048718778e-06,0.000276251760040966,0.239472630726507,0.266178092710331,-0.0267054619838247,0.0974512553067756,0.0849651298546715,0.0124861254521041,0.19044791412711,0.110883111478394,0.0795648026487157
"8","FBgn0037007","CG5059","CG5059","FOXO",6650.6630702515,0.0698807829721692,20.5205220491525,3.49965516863315e-05,0.00083926647814721,-0.0125960393627059,0.428101383943867,-0.440697423306573,-0.0923656933241053,0.151132402603583,-0.243498095927689,0.198737945955427,0.274354342599786,-0.0756163966443596
"9","FBgn0013973","Gycbeta100B","CG1470","FOXO",517.980721803208,0.0950250873621243,20.1737005420459,4.16233075053301e-05,0.000947297510224247,0.3367296134665,0.641099892646094,-0.304370279179594,0.285920167518727,0.316307375548164,-0.0303872080294368,0,0,0
"10","FBgn0035542","DOR","CG11347","FOXO",4315.53102775397,0.0836774261806708,17.9923140859795,0.000123884975104535,0.00209720552066279,0.200905980055535,0.644269612991154,-0.443363632935619,0.245011353045257,0.402529310674822,-0.157517957629565,-0.0899487736664445,-0.0137869689423656,-0.0761618047240789
"11","FBgn0003366","sev","CG18085","TOR",1179.11715956613,0.142089904277145,17.6925985474536,0.000143913335880434,0.00235932498526017,0.198575299936713,0.0925516788890391,0.106023621047674,0.348108415620008,0.337389081482975,0.0107193341370331,1.2396894236421,1.19209717893465,0.0475922447074564
"12","FBgn0037741","CG16908","CG16908","TOR",362.02644524492,0.0432908091286684,16.8863601258068,0.000215364188492193,0.00320068135189357,-0.247197476841091,0.0473696059743866,-0.294567082815478,0.014563385557508,0.165918624250848,-0.15135523869334,-0.0362458584354627,0.0808514620688867,-0.117097320504349
"13","FBgn0003882","tub","CG10520","TOR",1226.19109472798,0.0272849726402113,15.9785318925922,0.000339082897087477,0.00448772541219423,-0.118213820598506,-0.0304449923777086,-0.0877688282207977,-0.0507080696375614,-0.0114730722249185,-0.0392349974126429,-0.133599677153703,-0.0163478148239262,-0.117251862329776
"14","FBgn0000490","dpp","CG9885","TOR",323.763465707765,0.102519865171843,15.0083584472012,0.000550777730234266,0.00638649062420492,0.0835031940412259,0.426462237693606,-0.34295904365238,0.372439395961078,0.541461263440248,-0.16902186747917,0.0965757481485525,0.161919141362767,-0.0653433932142146
"15","FBgn0015218","eIF4E1","CG4035","TOR",7053.23973592251,0.0529496036453974,14.6874438300449,0.000646639300023073,0.00714813557654077,-0.146105564513511,-0.212581517924582,0.066475953411071,-0.0986099347315607,-0.133631598524715,0.0350216637931543,-0.295073996066402,-0.162392788588472,-0.132681207477929
"16","FBgn0025790","TBPH","CG10327","FOXO",1151.06507494297,0.0416217972288085,14.3176373980044,0.000777973030929144,0.00820902997272234,0.0550438888007079,0.11716668063157,-0.062122791830862,0.22031386597019,0.224217082557503,-0.00390321658731248,0.126176727829566,0.0702870193716071,0.0558897084579588
"17","FBgn0003997","hid","CG5123","FOXO",285.371862077848,0.0732279763729353,12.9153005228942,0.00156847689441857,0.013386258318762,-0.178756121122568,0.111974329967194,-0.290730451089762,0.156825354336135,0.420996473788197,-0.264171119452063,0.184590368563188,0.222600502127453,-0.0380101335642653
