gene_symbol,organism_abbreviation,primary_FBgn,secondary_FBgn,annotation_ID,secondary_annotation_IDs
d,Dmel,FBgn0262029,"FBgn0032045,FBgn0086896,FBgn0000410,FBgn0025975,FBgn0032046,FBgn0051610,FBgn0069196",CG42840,"CG10595,CG13087,CG31610"
CG32532,Dmel,FBgn0052532,"FBgn0031027,FBgn0031028,FBgn0031029",CG32532,"CG14203,CG14202,CG14201"
CG3156,Dmel,FBgn0023536,,CG3156,
mRpL30,Dmel,FBgn0029718,,CG7038,
CG1631,Dmel,FBgn0031101,,CG1631,
CG12609,Dmel,FBgn0030952,,CG12609,
TER94,Dmel,FBgn0261014,"FBgn0024923,FBgn0010554,FBgn0015484,FBgn0019709,FBgn0019722,FBgn0025353,FBgn0027618,FBgn0064213,FBgn0082213,FBgn0082214,FBgn0024280",CG2331,
zyd,Dmel,FBgn0265767,"FBgn0243503,FBgn0025689,FBgn0058147,FBgn0040030",CG2893,CG40147
CG9941,Dmel,FBgn0030514,,CG9941,
unc,Dmel,FBgn0003950,FBgn0031160,CG1501,
p120ctn,Dmel,FBgn0260799,"FBgn0015587,FBgn0032995,FBgn0041583",CG17484,
CG9572,Dmel,FBgn0031089,,CG9572,
sno,Dmel,FBgn0265630,"FBgn0005410,FBgn0001525,FBgn0003452,FBgn0265628",CG44436,CG1903
CG44774,Dmel,FBgn0266000,"FBgn0029738,FBgn0263836,FBgn0263837",CG44774,"CG4068,CR43698,CR43699"
e(y)2b,Dmel,FBgn0040670,,CG14612,
CG33919,Dmel,FBgn0053919,,CG33919,
Rep,Dmel,FBgn0026378,,CG8432,
Hrd3,Dmel,FBgn0028475,,CG10221,
CG43789,Dmel,FBgn0264330,,CG43789,
Doa,Dmel,FBgn0265998,"FBgn0024584,FBgn0028087,FBgn0053553,FBgn0000480,FBgn0010760,FBgn0014864,FBgn0051049,FBgn0053204,FBgn0259220",CG42320,"CG1658,CG33204,CG33553,CG31049"
CG30060,Dmel,FBgn0265272,"FBgn0050060,FBgn0066869",CG30060,
CG1603,Dmel,FBgn0033185,,CG1603,
cn,Dmel,FBgn0000337,,CG1555,
CG8152,Dmel,FBgn0034008,,CG8152,
CG44303,Dmel,FBgn0265362,,CG44303,CG3184
CG7194,Dmel,FBgn0035868,"FBgn0025703,FBgn0041577",CG7194,
CG42660,Dmel,FBgn0261536,,CG42660,
