FBgn_ID,GO_Term,GO_Category
FBgn0043467,GO:0048149,P
FBgn0043467,GO:0005575,C
FBgn0043467,GO:0003674,F
FBgn0026615,GO:0008150,P
FBgn0026615,GO:0003674,F
FBgn0070057,GO:0005575,C
FBgn0070057,GO:0003674,F
FBgn0010339,GO:0005525,F
FBgn0020238,GO:0000077,P
FBgn0020238,GO:0000077,P
FBgn0020238,GO:0007093,P
FBgn0020238,GO:0009314,P
FBgn0020238,GO:0007444,P
FBgn0020238,GO:0005694,C
FBgn0020238,GO:0007088,P
FBgn0020238,GO:0000077,P
FBgn0020238,GO:0005737,C
FBgn0020238,GO:0005634,C
FBgn0020238,GO:0008103,P
FBgn0020238,GO:0007294,P
FBgn0020238,GO:0045172,C
FBgn0020238,GO:0019904,F
FBgn0020238,GO:0048190,P
FBgn0020238,GO:0005515,F
FBgn0020238,GO:0040008,P
FBgn0020238,GO:0008340,P
FBgn0020238,GO:0009411,P
FBgn0020238,GO:0045927,P
FBgn0020238,GO:0046982,F
FBgn0020238,GO:0008134,F
FBgn0020238,GO:0042994,P
FBgn0020238,GO:0035332,P
FBgn0020238,GO:0005886,C
FBgn0020238,GO:0007280,P
FBgn0020238,GO:0007411,P
FBgn0020238,GO:0050815,F
FBgn0020238,GO:0046579,P
FBgn0020238,GO:0005737,C
FBgn0020238,GO:0005634,C
FBgn0020238,GO:0005813,C
FBgn0020238,GO:0005737,C
FBgn0020238,GO:0005654,C
FBgn0004907,GO:0005515,F
FBgn0004907,GO:0008355,P
FBgn0004907,GO:0005634,C
FBgn0004907,GO:0045448,P
FBgn0004907,GO:0007059,P
FBgn0004907,GO:0007611,P
FBgn0004907,GO:0007611,P
FBgn0004907,GO:0008426,F
FBgn0004907,GO:0007294,P
FBgn0004907,GO:0008103,P
FBgn0004907,GO:0045172,C
FBgn0004907,GO:0019904,F
FBgn0004907,GO:0006457,P
FBgn0004907,GO:0006457,P
FBgn0004907,GO:0050821,P
FBgn0004907,GO:0050821,P
FBgn0004907,GO:0005515,F
FBgn0004907,GO:0040040,P
FBgn0004907,GO:0042803,F
FBgn0004907,GO:0046982,F
FBgn0004907,GO:0035332,P
FBgn0004907,GO:0042994,P
FBgn0004907,GO:0008134,F
FBgn0004907,GO:0005886,C
FBgn0004907,GO:0046579,P
FBgn0004907,GO:0031965,C
FBgn0004907,GO:0005634,C
FBgn0004907,GO:0005737,C
FBgn0004907,GO:0005515,F
FBgn0010340,GO:0007275,P
FBgn0266130,GO:0042332,P
FBgn0266131,GO:0042332,P
FBgn0004364,GO:0009653,P
FBgn0004364,GO:0005886,C
FBgn0004364,GO:0004888,F
FBgn0004364,GO:0007155,P
FBgn0004364,GO:0019731,P
FBgn0004364,GO:0005886,C
FBgn0004364,GO:0006955,P
FBgn0004364,GO:0048598,P
FBgn0004364,GO:0006952,P
FBgn0004364,GO:0007275,P
FBgn0004364,GO:0019731,P
FBgn0004364,GO:0019730,P
FBgn0004364,GO:0007165,P
FBgn0004364,GO:0030703,P
FBgn0004364,GO:0007297,P
FBgn0004364,GO:0060026,P
FBgn0004364,GO:0003401,P
FBgn0004364,GO:0007419,P
