sn,pl3c
1,FBgn0036214
2,FBgn0014931
3,FBgn0014930
4,FBgn0032868
5,FBgn0264483
6,FBgn0027562
7,FBgn0027563
8,FBgn0027560
9,FBgn0027561
10,FBgn0027567
11,FBgn0027564
12,FBgn0027565
13,FBgn0027568
14,FBgn0027569
15,FBgn0266044
16,FBgn0266045
17,FBgn0266046
18,FBgn0266047
19,FBgn0266040
20,FBgn0010438
21,FBgn0266042
22,FBgn0266043
23,FBgn0266048
24,FBgn0266049
25,FBgn0037356
26,FBgn0262057
27,FBgn0030645
28,FBgn0040354
29,FBgn0085218
30,FBgn0085219
31,FBgn0010435
32,FBgn0259482
33,FBgn0033579
34,FBgn0085210
35,FBgn0085211
36,FBgn0085212
37,FBgn0085213
38,FBgn0085214
39,FBgn0040353
40,FBgn0262899
41,FBgn0033434
42,FBgn0036117
43,FBgn0266102
44,FBgn0036111
45,FBgn0036110
46,FBgn0036112
47,FBgn0010431
48,FBgn0033439
49,FBgn0033438
50,FBgn0032082
51,FBgn0040752
52,FBgn0015553
53,FBgn0015550
54,FBgn0029174
55,FBgn0040754
56,FBgn0040755
57,FBgn0039294
58,FBgn0015558
59,FBgn0040759
60,FBgn0010043
61,FBgn0267445
62,FBgn0038247
63,FBgn0036090
64,FBgn0038244
65,FBgn0038243
66,FBgn0038242
67,FBgn0038241
68,FBgn0038240
69,FBgn0051233
70,FBgn0029170
71,FBgn0038248
72,FBgn0033573
73,FBgn0039293
74,FBgn0036094
75,FBgn0036373
76,FBgn0036372
77,FBgn0036374
78,FBgn0036377
79,FBgn0036376
80,FBgn0265703
81,FBgn0267319
82,FBgn0267318
83,FBgn0051909
84,FBgn0051908
85,FBgn0267313
86,FBgn0051729
87,FBgn0267311
88,FBgn0267310
89,FBgn0267317
90,FBgn0267316
91,FBgn0267315
92,FBgn0267314
93,FBgn0267030
94,FBgn0266939
95,FBgn0262327
96,FBgn0005614
97,FBgn0052847
98,FBgn0005617
99,FBgn0005612
100,FBgn0025809
101,FBgn0027338
102,FBgn0005619
103,FBgn0039419
104,FBgn0266041
105,FBgn0267270
106,FBgn0262351
107,FBgn0262352
108,FBgn0262353
109,FBgn0267274
110,FBgn0262355
111,FBgn0267276
112,FBgn0267277
113,FBgn0267278
114,FBgn0262359
115,FBgn0265812
116,FBgn0265813
117,FBgn0265810
118,FBgn0265811
119,FBgn0265816
120,FBgn0265817
121,FBgn0265814
122,FBgn0265815
123,FBgn0260933
124,FBgn0035876
125,FBgn0035875
126,FBgn0265819
127,FBgn0035873
128,FBgn0035872
129,FBgn0035871
130,FBgn0035870
131,FBgn0028866
132,FBgn0028867
133,FBgn0036565
134,FBgn0028646
135,FBgn0028863
136,FBgn0028644
137,FBgn0028645
138,FBgn0028648
139,FBgn0028868
140,FBgn0025549
141,FBgn0261847
142,FBgn0262688
143,FBgn0262689
144,FBgn0032478
145,FBgn0032479
146,FBgn0262682
147,FBgn0032477
148,FBgn0032474
149,FBgn0032475
150,FBgn0262686
151,FBgn0032473
152,FBgn0039350
153,FBgn0032471
154,FBgn0025355
155,FBgn0086898
156,FBgn0086895
157,FBgn0261846
158,FBgn0011888
159,FBgn0011889
160,FBgn0266010
161,FBgn0011880
162,FBgn0011881
163,FBgn0011882
164,FBgn0011883
165,FBgn0011884
166,FBgn0011885
167,FBgn0036567
168,FBgn0011887
169,FBgn0031412
170,FBgn0003048
171,FBgn0003511
172,FBgn0003510
173,FBgn0003513
174,FBgn0003512
175,FBgn0003515
176,FBgn0003514
177,FBgn0003041
178,FBgn0042627
179,FBgn0042198
180,FBgn0042199
181,FBgn0053465
182,FBgn0035299
183,FBgn0053467
184,FBgn0053460
185,FBgn0053461
186,FBgn0046756
187,FBgn0053463
188,FBgn0035293
189,FBgn0267554
190,FBgn0035290
191,FBgn0053468
192,FBgn0053469
193,FBgn0035295
194,FBgn0035294
195,FBgn0263087
196,FBgn0263086
197,FBgn0263085
198,FBgn0032228
199,FBgn0263083
200,FBgn0263082
201,FBgn0263081
202,FBgn0052598
203,FBgn0035204
204,FBgn0052594
205,FBgn0052591
206,FBgn0052590
207,FBgn0039092
208,FBgn0035206
209,FBgn0039417
210,FBgn0261020
211,FBgn0039943
212,FBgn0032222
213,FBgn0039941
214,FBgn0263559
215,FBgn0030341
216,FBgn0036035
217,FBgn0263551
218,FBgn0038404
219,FBgn0263553
220,FBgn0263552
221,FBgn0038401
222,FBgn0035120
223,FBgn0263557
224,FBgn0263556
225,FBgn0039945
226,FBgn0032224
227,FBgn0004430
228,FBgn0029502
229,FBgn0266691
230,FBgn0029726
231,FBgn0036442
232,FBgn0266692
233,FBgn0266694
234,FBgn0266697
235,FBgn0266696
236,FBgn0031972
237,FBgn0266698
238,FBgn0031970
239,FBgn0060292
240,FBgn0031976
241,FBgn0031977
242,FBgn0031974
243,FBgn0060296
244,FBgn0034184
245,FBgn0034186
246,FBgn0038749
247,FBgn0034180
248,FBgn0034181
249,FBgn0034182
250,FBgn0034183
251,FBgn0038742
252,FBgn0029722
253,FBgn0038740
254,FBgn0038741
255,FBgn0038746
256,FBgn0038747
257,FBgn0038744
258,FBgn0267020
259,FBgn0032615
260,FBgn0266101
261,FBgn0031512
262,FBgn0031737
263,FBgn0029720
264,FBgn0030519
265,FBgn0266100
266,FBgn0052333
267,FBgn0263386
268,FBgn0030514
269,FBgn0030512
270,FBgn0030511
271,FBgn0030510
272,FBgn0036964
273,FBgn0036967
274,FBgn0000964
275,FBgn0036962
276,FBgn0033431
277,FBgn0036969
278,FBgn0036440
279,FBgn0267553
280,FBgn0031608
281,FBgn0031609
282,FBgn0050287
283,FBgn0038052
284,FBgn0034988
285,FBgn0034989
286,FBgn0010228
287,FBgn0040107
288,FBgn0010226
289,FBgn0010225
290,FBgn0040104
291,FBgn0034232
292,FBgn0010222
293,FBgn0034982
294,FBgn0015300
295,FBgn0265632
296,FBgn0044508
297,FBgn0265633
298,FBgn0029501
299,FBgn0267552
300,FBgn0265631
301,FBgn0037899
302,FBgn0037754
303,FBgn0265252
304,FBgn0265253
305,FBgn0265254
306,FBgn0265255
307,FBgn0037911
308,FBgn0265257
309,FBgn0085771
310,FBgn0037756
311,FBgn0037757
312,FBgn0031515
313,FBgn0262029
314,FBgn0033661
315,FBgn0051739
316,FBgn0051730
317,FBgn0051735
318,FBgn0051224
319,FBgn0051225
320,FBgn0051226
321,FBgn0040751
322,FBgn0051220
323,FBgn0051221
324,FBgn0043900
325,FBgn0051223
326,FBgn0037181
327,FBgn0037180
328,FBgn0039868
329,FBgn0037182
330,FBgn0037185
331,FBgn0051229
332,FBgn0026570
333,FBgn0037186
334,FBgn0260855
335,FBgn0260857
336,FBgn0260856
337,FBgn0000346
338,FBgn0260859
339,FBgn0260858
340,FBgn0033729
341,FBgn0039439
342,FBgn0039438
343,FBgn0085512
344,FBgn0085511
345,FBgn0267169
346,FBgn0039431
347,FBgn0039430
348,FBgn0039437
349,FBgn0039436
350,FBgn0039435
351,FBgn0039434
352,FBgn0263383
353,FBgn0032110
354,FBgn0275433
355,FBgn0275432
356,FBgn0032115
357,FBgn0275434
358,FBgn0032117
359,FBgn0032116
360,FBgn0032119
361,FBgn0026879
362,FBgn0036258
363,FBgn0265649
364,FBgn0265648
365,FBgn0037765
366,FBgn0037764
367,FBgn0265645
368,FBgn0037766
369,FBgn0265643
370,FBgn0037760
371,FBgn0037763
372,FBgn0265640
373,FBgn0039511
374,FBgn0038246
375,FBgn0036259
376,FBgn0024913
377,FBgn0036586
378,FBgn0036587
379,FBgn0036584
380,FBgn0036585
381,FBgn0011239
382,FBgn0036583
383,FBgn0036580
384,FBgn0036581
385,FBgn0036595
386,FBgn0036588
387,FBgn0036589
388,FBgn0032805
389,FBgn0032804
390,FBgn0032803
391,FBgn0032801
392,FBgn0032800
393,FBgn0032809
394,FBgn0050178
395,FBgn0050172
396,FBgn0053642
397,FBgn0050177
398,FBgn0053437
399,FBgn0263316
400,FBgn0263314
401,FBgn0020509
402,FBgn0020508
403,FBgn0020506
404,FBgn0020503
405,FBgn0052203
406,FBgn0033437
407,FBgn0030466
408,FBgn0051267
409,FBgn0031715
410,FBgn0030465
411,FBgn0265500
412,FBgn0053673
413,FBgn0053859
414,FBgn0053858
415,FBgn0032873
416,FBgn0053855
417,FBgn0053854
418,FBgn0053857
419,FBgn0053856
420,FBgn0053851
421,FBgn0053850
422,FBgn0053853
423,FBgn0024555
424,FBgn0032453
425,FBgn0035461
426,FBgn0035462
427,FBgn0030276
428,FBgn0035464
429,FBgn0037891
430,FBgn0035468
431,FBgn0032692
432,FBgn0020640
433,FBgn0020641
434,FBgn0020646
435,FBgn0020647
436,FBgn0020644
437,FBgn0032693
438,FBgn0033602
439,FBgn0033603
440,FBgn0033600
441,FBgn0033601
442,FBgn0266848
443,FBgn0266849
444,FBgn0044051
445,FBgn0033605
446,FBgn0266844
447,FBgn0028416
448,FBgn0033608
449,FBgn0266847
450,FBgn0266840
451,FBgn0266841
452,FBgn0028411
453,FBgn0261811
454,FBgn0266363
455,FBgn0031975
456,FBgn0032879
457,FBgn0044050
458,FBgn0024889
459,FBgn0266788
460,FBgn0039860
461,FBgn0024887
462,FBgn0024330
463,FBgn0263766
464,FBgn0263767
465,FBgn0263764
466,FBgn0035607
467,FBgn0263762
468,FBgn0035601
469,FBgn0263760
470,FBgn0263761
471,FBgn0035608
472,FBgn0263768
473,FBgn0263769
474,FBgn0039861
475,FBgn0262027
476,FBgn0033663
477,FBgn0267242
478,FBgn0034471
479,FBgn0266365
480,FBgn0003720
481,FBgn0003721
482,FBgn0085360
483,FBgn0041706
484,FBgn0039862
485,FBgn0052100
486,FBgn0052102
487,FBgn0052103
488,FBgn0052104
489,FBgn0052105
490,FBgn0052106
491,FBgn0052107
492,FBgn0025681
493,FBgn0025680
494,FBgn0025683
495,FBgn0025682
496,FBgn0085361
497,FBgn0025684
498,FBgn0025687
499,FBgn0025686
500,FBgn0034346
501,FBgn0039863
502,FBgn0040658
503,FBgn0014022
504,FBgn0262544
505,FBgn0262547
506,FBgn0262546
507,FBgn0262541
508,FBgn0262540
509,FBgn0262543
510,FBgn0262542
511,FBgn0039864
512,FBgn0036937
513,FBgn0026015
514,FBgn0043470
515,FBgn0043471
516,FBgn0010173
517,FBgn0266366
518,FBgn0260468
519,FBgn0265001
520,FBgn0265000
521,FBgn0265003
522,FBgn0265002
523,FBgn0041709
524,FBgn0035205
525,FBgn0033167
526,FBgn0003187
527,FBgn0003189
528,FBgn0037978
529,FBgn0037979
530,FBgn0051573
531,FBgn0267312
532,FBgn0037970
533,FBgn0037972
534,FBgn0037973
535,FBgn0037974
536,FBgn0037975
537,FBgn0037976
538,FBgn0030313
539,FBgn0000578
540,FBgn0000579
541,FBgn0039296
542,FBgn0051901
543,FBgn0000576
544,FBgn0000577
545,FBgn0000575
546,FBgn0259738
547,FBgn0259739
548,FBgn0038903
549,FBgn0051579
550,FBgn0259730
551,FBgn0259731
552,FBgn0259732
553,FBgn0051902
554,FBgn0259734
555,FBgn0259735
556,FBgn0259736
557,FBgn0259737
558,FBgn0039600
559,FBgn0039601
560,FBgn0039602
561,FBgn0039609
562,FBgn0259728
563,FBgn0031452
564,FBgn0030724
565,FBgn0265508
566,FBgn0030720
567,FBgn0030721
568,FBgn0030722
569,FBgn0030723
570,FBgn0030729
571,FBgn0011327
572,FBgn0050042
573,FBgn0034152
574,FBgn0011638
575,FBgn0029903
576,FBgn0029906
577,FBgn0029907
578,FBgn0265152
579,FBgn0029909
580,FBgn0031773
581,FBgn0260431
582,FBgn0051030
583,FBgn0266648
584,FBgn0265150
585,FBgn0262969
586,FBgn0051036
587,FBgn0262967
588,FBgn0051038
589,FBgn0262965
590,FBgn0262964
591,FBgn0262963
592,FBgn0262962
593,FBgn0262961
594,FBgn0260436
595,FBgn0050340
596,FBgn0052845
597,FBgn0050342
598,FBgn0050343
599,FBgn0050344
600,FBgn0050345
601,FBgn0053869
602,FBgn0086022
603,FBgn0265154
604,FBgn0085369
605,FBgn0005616
606,FBgn0027504
607,FBgn0027505
608,FBgn0027506
609,FBgn0027507
610,FBgn0027500
611,FBgn0266639
612,FBgn0266068
613,FBgn0027503
614,FBgn0266066
615,FBgn0266067
616,FBgn0266064
617,FBgn0029822
618,FBgn0027508
619,FBgn0260439
620,FBgn0058469
621,FBgn0052225
622,FBgn0260386
623,FBgn0052843
624,FBgn0005613
625,FBgn0053860
626,FBgn0037518
627,FBgn0030239
628,FBgn0030319
629,FBgn0053861
630,FBgn0037512
631,FBgn0037513
632,FBgn0030230
633,FBgn0037516
634,FBgn0037517
635,FBgn0037514
636,FBgn0065035
637,FBgn0085232
638,FBgn0035028
639,FBgn0085230
640,FBgn0085231
641,FBgn0085236
642,FBgn0085237
643,FBgn0036179
644,FBgn0036178
645,FBgn0033457
646,FBgn0036176
647,FBgn0085239
648,FBgn0036173
649,FBgn0033451
650,FBgn0036170
651,FBgn0030318
652,FBgn0015919
653,FBgn0263089
654,FBgn0053867
655,FBgn0264546
656,FBgn0038269
657,FBgn0040735
658,FBgn0040736
659,FBgn0040737
660,FBgn0040730
661,FBgn0051698
662,FBgn0040732
663,FBgn0040733
664,FBgn0038261
665,FBgn0051694
666,FBgn0051697
667,FBgn0036751
668,FBgn0051690
669,FBgn0051693
670,FBgn0038266
671,FBgn0035020
672,FBgn0020767
673,FBgn0035021
674,FBgn0038542
675,FBgn0036393
676,FBgn0005585
677,FBgn0036391
678,FBgn0036390
679,FBgn0036397
680,FBgn0036396
