probe,id,CG
Dm01792789_g1,slif,CG11128
Dm01798946_g1,AMPKalpha,CG3051
Dm01793858_g1,SREBP,CG8522
Dm01798339_g1,Ilp5,CG33273
Dm01798691_g1,CrebA,CG7450
Dm01801937_g1,Ilp3,CG14167
Dm01798992_g1,sgg,CG2621
Dm01799655_g1,CrebB,CG6103
Dm01801936_s1,Ilp1,CG14173
Dm01825738_m1,tribbles,CG5408
Dm01829117_g1,Pdk1,CG1210
Dm01829677_g1,Sik2,CG4290
Dm01829746_g1,Ilp6,CG14049
Dm01829971_g1,Ilp7,CG13317
Dm01837277_g1,PRAS40,CG10109
Dm01842621_g1,Pi3K59F,CG5373
Dm01842882_m1,Pi3K21B,CG2699
Dm01842928_g1,Thor,CG8846
Dm01843300_g1,Tor,CG5092
Dm01843706_m1,Myc,CG10798
Dm01844965_g1,Pten,CG5671
Dm01845207_g1,rictor,CG8002
Dm01846623_g1,Tif-IA,CG3278
Dm02135088_g1,Tsc1,CG6147
Dm02136225_g1,InR,CG18402
Dm02138179_g1,RagA-B,CG11968
Dm02140028_g1,Lkb1,CG9374
Dm02140207_g1,foxo,CG3143
Dm02141794_g1,PP2A-B',CG7913
Dm02142684_g1,Pi3K92E,CG4141
Dm02144162_s1,Orct2,CG13610
Dm02144278_g1,REPTOR,CG13624
Dm02144969_g1,Lnk,CG17367
Dm02147969_g1,Rheb,CG1081
Dm01801938_g1,Ilp4,CG6736
Dm01802841_g1,Atg1,CG10967
Dm01803993_g1,chico,CG5686
Dm01807222_m1,bun,CG42281
Dm01810402_g1,Lip4,CG6113
Dm01813055_g1,Mipp2,CG4317
Dm01813266_g1,Dsor1,CG15793
Dm01815101_g1,step,CG11628
Dm01816738_g1,hppy,CG7097
Dm01818330_g1,RagC-D,CG8707
Dm01822194_m1,S6k,CG10539
Dm01822280_g1,melt,CG8624
Dm01822534_g1,Ilp2,CG8167
Dm01823183_g1,gig,CG6975
Dm01825257_g1,ras,CG1799
Dm02149812_m1,14-3-3_,CG31196
Dm02151827_g1,RpL32,CG7939
Dm02154337_g1,p53,CG33336
Dm02362162_s1,Act42A,CG12051
Dm02371846_s1,dsh,CG18361
Dm02773276_u1,eIF-4B,CG10837
Dm02149560_g1,Akt1,CG4006
