"","FC_DR_B.greater.p.geomean","FC_DR_B.greater.stat.mean","FC_DR_B.greater.p.val","FC_DR_B.greater.q.val","FC_DR_B.greater.set.size","FC_DR_B.greater.exp1","FC_DR_B.less.p.geomean","FC_DR_B.less.stat.mean","FC_DR_B.less.p.val","FC_DR_B.less.q.val","FC_DR_B.less.set.size","FC_DR_B.less.exp1","FC_DR_B.stats.stat.mean","FC_DR_B.stats.exp1","FC_DR_O.greater.p.geomean","FC_DR_O.greater.stat.mean","FC_DR_O.greater.p.val","FC_DR_O.greater.q.val","FC_DR_O.greater.set.size","FC_DR_O.greater.exp1","FC_DR_O.less.p.geomean","FC_DR_O.less.stat.mean","FC_DR_O.less.p.val","FC_DR_O.less.q.val","FC_DR_O.less.set.size","FC_DR_O.less.exp1","FC_DR_O.stats.stat.mean","FC_DR_O.stats.exp1","FC_DR_H.greater.p.geomean","FC_DR_H.greater.stat.mean","FC_DR_H.greater.p.val","FC_DR_H.greater.q.val","FC_DR_H.greater.set.size","FC_DR_H.greater.exp1","FC_DR_H.less.p.geomean","FC_DR_H.less.stat.mean","FC_DR_H.less.p.val","FC_DR_H.less.q.val","FC_DR_H.less.set.size","FC_DR_H.less.exp1","FC_DR_H.stats.stat.mean","FC_DR_H.stats.exp1","FC_HS_B.greater.p.geomean","FC_HS_B.greater.stat.mean","FC_HS_B.greater.p.val","FC_HS_B.greater.q.val","FC_HS_B.greater.set.size","FC_HS_B.greater.exp1","FC_HS_B.less.p.geomean","FC_HS_B.less.stat.mean","FC_HS_B.less.p.val","FC_HS_B.less.q.val","FC_HS_B.less.set.size","FC_HS_B.less.exp1","FC_HS_B.stats.stat.mean","FC_HS_B.stats.exp1","FC_HS_O.greater.p.geomean","FC_HS_O.greater.stat.mean","FC_HS_O.greater.p.val","FC_HS_O.greater.q.val","FC_HS_O.greater.set.size","FC_HS_O.greater.exp1","FC_HS_O.less.p.geomean","FC_HS_O.less.stat.mean","FC_HS_O.less.p.val","FC_HS_O.less.q.val","FC_HS_O.less.set.size","FC_HS_O.less.exp1","FC_HS_O.stats.stat.mean","FC_HS_O.stats.exp1","FC_HS_H.greater.p.geomean","FC_HS_H.greater.stat.mean","FC_HS_H.greater.p.val","FC_HS_H.greater.q.val","FC_HS_H.greater.set.size","FC_HS_H.greater.exp1","FC_HS_H.less.p.geomean","FC_HS_H.less.stat.mean","FC_HS_H.less.p.val","FC_HS_H.less.q.val","FC_HS_H.less.set.size","FC_HS_H.less.exp1","FC_HS_H.stats.stat.mean","FC_HS_H.stats.exp1","FC_DRHS_B.greater.p.geomean","FC_DRHS_B.greater.stat.mean","FC_DRHS_B.greater.p.val","FC_DRHS_B.greater.q.val","FC_DRHS_B.greater.set.size","FC_DRHS_B.greater.exp1","FC_DRHS_B.less.p.geomean","FC_DRHS_B.less.stat.mean","FC_DRHS_B.less.p.val","FC_DRHS_B.less.q.val","FC_DRHS_B.less.set.size","FC_DRHS_B.less.exp1","FC_DRHS_B.stats.stat.mean","FC_DRHS_B.stats.exp1","FC_DRHS_O.greater.p.geomean","FC_DRHS_O.greater.stat.mean","FC_DRHS_O.greater.p.val","FC_DRHS_O.greater.q.val","FC_DRHS_O.greater.set.size","FC_DRHS_O.greater.exp1","FC_DRHS_O.less.p.geomean","FC_DRHS_O.less.stat.mean","FC_DRHS_O.less.p.val","FC_DRHS_O.less.q.val","FC_DRHS_O.less.set.size","FC_DRHS_O.less.exp1","FC_DRHS_O.stats.stat.mean","FC_DRHS_O.stats.exp1","FC_DRHS_H.greater.p.geomean","FC_DRHS_H.greater.stat.mean","FC_DRHS_H.greater.p.val","FC_DRHS_H.greater.q.val","FC_DRHS_H.greater.set.size","FC_DRHS_H.greater.exp1","FC_DRHS_H.less.p.geomean","FC_DRHS_H.less.stat.mean","FC_DRHS_H.less.p.val","FC_DRHS_H.less.q.val","FC_DRHS_H.less.set.size","FC_DRHS_H.less.exp1","FC_DRHS_H.stats.stat.mean","FC_DRHS_H.stats.exp1"
"dme00190 Oxidative phosphorylation",0.00133820428349609,3.2020470609593,0.00133820428349609,0.0736012355922851,39,0.00133820428349609,0.0227601687337766,-2.08575296062707,0.0227601687337767,0.695427480170784,18,0.0227601687337766,3.2020470609593,3.2020470609593,0.0762854493607626,1.48038837481911,0.0762854493607626,0.914018345195536,15,0.0762854493607626,0.0553060506825365,-1.67109689283368,0.0553060506825365,0.646387709952063,16,0.0553060506825365,1.48038837481911,1.48038837481911,0.0717105839630653,1.51353412477029,0.0717105839630654,0.999851706970071,13,0.0717105839630653,0.000148293029928937,-3.63968432341213,0.000148293029928937,0.00815611664609155,317,0.000148293029928937,1.51353412477029,1.51353412477029,0.0819557556619974,1.43617197188571,0.0819557556619974,0.999486410737186,13,0.0819557556619974,0.00051358926281388,-3.29859581224899,0.00051358926281388,0.0282474094547634,317,0.00051358926281388,1.43617197188571,1.43617197188571,0.115706295554772,1.23206617471455,0.115706295554772,0.958959159593215,12,0.115706295554772,0.0410408404067848,-1.78293724236114,0.0410408404067848,0.513895481841488,39,0.0410408404067848,1.23206617471455,1.23206617471455,0.103755801755403,1.31481809004442,0.103755801755403,0.9999961916896,14,0.103755801755403,3.80831040032399e-06,-4.51390448202767,3.80831040032399e-06,0.000209457072017819,317,3.80831040032399e-06,1.31481809004442,1.31481809004442,5.34397766801421e-08,5.37822866024434,5.34397766801419e-08,2.9391877174078e-06,317,5.34397766801421e-08,0.0389103661868341,-1.81550869309607,0.0389103661868341,0.999999946560223,20,0.0389103661868341,5.37822866024434,5.37822866024434,0.0555348118364886,1.62695050522625,0.0555348118364886,0.691483221621246,39,0.0555348118364886,0.138818062172764,-1.12064828933635,0.138818062172764,0.92276634314027,12,0.138818062172764,1.62695050522625,1.62695050522625,0.00672672605447592,2.47881620060938,0.00672672605447591,0.369969932996175,317,0.00672672605447592,0.165517472238714,-0.993920234470017,0.165517472238714,0.993273273945524,15,0.165517472238714,2.47881620060938,2.47881620060938
"dme04145 Phagosome",0.0161655257397518,2.2486282425866,0.0161655257397518,0.444551957843174,24,0.0161655257397518,0.0305967650399371,-1.94544833576745,0.0305967650399371,0.695427480170784,16,0.0305967650399371,2.2486282425866,2.2486282425866,0.0924683461996089,1.36999991016775,0.0924683461996089,0.914018345195536,13,0.0924683461996088,0.0848266706539139,-1.42528848524721,0.0848266706539139,0.646387709952063,18,0.0848266706539139,1.36999991016775,1.36999991016775,0.0814033381226739,1.42249570214894,0.081403338122674,0.999851706970071,24,0.0814033381226739,0.00272519119508033,-2.8864835613955,0.00272519119508033,0.0749427578647092,41,0.00272519119508033,1.42249570214894,1.42249570214894,0.133478783745733,1.14961033960838,0.133478783745733,0.999486410737186,15,0.133478783745733,0.00226727123686853,-2.94103596014221,0.00226727123686853,0.0623499590138845,41,0.00226727123686853,1.14961033960838,1.14961033960838,0.150771820532805,1.05834400400501,0.150771820532805,0.958959159593215,13,0.150771820532805,0.0497620521729518,-1.68580532306992,0.0497620521729518,0.513895481841488,25,0.0497620521729518,1.05834400400501,1.05834400400501,0.105140235949094,1.33838147105659,0.105140235949094,0.9999961916896,10,0.105140235949094,0.000153209297360452,-3.783121157854,0.000153209297360452,0.00421325567741242,41,0.000153209297360451,1.33838147105659,1.33838147105659,0.000823051813901261,3.3106450027373,0.00082305181390126,0.0226339248822847,41,0.000823051813901261,0.115591385042058,-1.2606419646673,0.115591385042058,0.999999946560223,11,0.115591385042058,3.3106450027373,3.3106450027373,0.0935947926138527,1.33476289363997,0.0935947926138527,0.691483221621246,39,0.0935947926138527,0.167284260501046,-0.991965423379993,0.167284260501046,0.92276634314027,15,0.167284260501046,1.33476289363997,1.33476289363997,0.0221550443761815,2.05605829268899,0.0221550443761815,0.391025032450925,41,0.0221550443761815,0.19219899453263,-0.892474085159405,0.19219899453263,0.993273273945524,18,0.19219899453263,2.05605829268899,2.05605829268899
"dme00790 Folate biosynthesis",0.100566297194992,1.32693779874809,0.100566297194992,0.890228255986776,15,0.100566297194992,0.0438520975238326,-1.77353574189154,0.0438520975238326,0.695427480170784,16,0.0438520975238326,1.32693779874809,1.32693779874809,0.168971352906153,0.977156488485166,0.168971352906153,0.914018345195536,14,0.168971352906153,0.0852450136892839,-1.40867033114809,0.0852450136892839,0.646387709952063,18,0.0852450136892839,0.977156488485166,0.977156488485166,0.173264692881824,0.964844377822499,0.173264692881824,0.999851706970071,12,0.173264692881824,0.00650973208418247,-2.5864714291784,0.00650973208418247,0.119345088210012,25,0.00650973208418247,0.964844377822499,0.964844377822499,0.217917395793736,0.78805604346413,0.217917395793736,0.999486410737186,24,0.217917395793736,0.00443955642195126,-2.72816549754113,0.00443955642195126,0.0666592177600194,25,0.00443955642195126,0.78805604346413,0.78805604346413,0.17097616067771,0.976710925811627,0.17097616067771,0.958959159593215,15,0.17097616067771,0.0519842286650846,-1.69064469385195,0.0519842286650846,0.513895481841488,17,0.0519842286650846,0.976710925811627,0.976710925811627,0.110592349249599,1.26498981134826,0.110592349249599,0.9999961916896,13,0.110592349249599,0.000757976537229915,-3.9088366641052,0.000757976537229914,0.0138962365158817,12,0.000757976537229915,1.26498981134826,1.26498981134826,0.00259920762661351,2.9461435328305,0.00259920762661352,0.0452359543465616,39,0.00259920762661351,0.129212716734419,-1.1590645964674,0.129212716734419,0.999999946560223,13,0.129212716734419,2.9461435328305,2.9461435328305,0.0957142155157218,1.34210152972323,0.0957142155157218,0.691483221621246,17,0.0957142155157218,0.191716615672365,-0.884658703729714,0.191716615672365,0.92276634314027,16,0.191716615672365,1.34210152972323,1.34210152972323,0.0270195613711463,2.1192125338649,0.0270195613711464,0.391025032450925,12,0.0270195613711463,0.197623846016246,-0.864872249088246,0.197623846016246,0.993273273945524,18,0.197623846016246,2.1192125338649,2.1192125338649
"dme04141 Protein processing in endoplasmic reticulum",0.120022123507328,1.19076984833077,0.120022123507328,0.890228255986776,39,0.120022123507328,0.055337353265228,-1.63110329074336,0.055337353265228,0.695427480170784,25,0.055337353265228,1.19076984833077,1.19076984833077,0.206976404261846,0.825472016585324,0.206976404261846,0.914018345195536,22,0.206976404261846,0.132783939150291,-1.16933160054895,0.132783939150291,0.646387709952063,11,0.132783939150291,0.825472016585324,0.825472016585324,0.174199379223112,0.951151778557322,0.174199379223112,0.999851706970071,21,0.174199379223112,0.0127348880956988,-2.34279630549647,0.0127348880956988,0.132428987821455,24,0.0127348880956988,0.951151778557322,0.951151778557322,0.222617996647532,0.771645624751169,0.222617996647532,0.999486410737186,21,0.222617996647532,0.0051673445210238,-2.71543497892913,0.00516734452102381,0.0666592177600194,18,0.0051673445210238,0.771645624751169,0.771645624751169,0.236389041534935,0.733443067486876,0.236389041534935,0.958959159593215,10,0.236389041534935,0.0621882979465241,-1.57741452338222,0.0621882979465241,0.513895481841488,18,0.0621882979465241,0.733443067486876,0.733443067486876,0.122525777752035,1.17764217508464,0.122525777752035,0.9999961916896,24,0.122525777752035,0.00195450180895419,-3.11845378243933,0.0019545018089542,0.0265741289106817,18,0.00195450180895419,1.17764217508464,1.17764217508464,0.00328988758884084,2.82862258164763,0.00328988758884084,0.0452359543465616,39,0.00328988758884084,0.146719952220103,-1.07939115181207,0.146719952220103,0.999999946560223,18,0.146719952220103,2.82862258164763,2.82862258164763,0.127566366485563,1.16187888630678,0.127566366485563,0.691483221621246,19,0.127566366485563,0.206404086118204,-0.838392340859067,0.206404086118204,0.92276634314027,10,0.206404086118204,1.16187888630678,1.16187888630678,0.0350132491431122,1.90355901575187,0.0350132491431122,0.391025032450925,16,0.0350132491431121,0.227637336784553,-0.775428200975996,0.227637336784553,0.993273273945524,11,0.227637336784553,1.90355901575187,1.90355901575187
"dme04214 Apoptosis - fly",0.153443843206392,1.04941063994112,0.153443843206392,0.890228255986776,14,0.153443843206392,0.0949733281686441,-1.35155401268809,0.0949733281686441,0.695427480170784,15,0.0949733281686441,1.04941063994112,1.04941063994112,0.248284489217791,0.694566677232241,0.248284489217791,0.914018345195536,10,0.248284489217791,0.142590320007279,-1.08086653548364,0.142590320007279,0.646387709952063,25,0.142590320007279,0.694566677232241,0.694566677232241,0.175538734303833,0.947210539393011,0.175538734303833,0.999851706970071,24,0.175538734303833,0.0143525398432723,-2.45487049915383,0.0143525398432723,0.132428987821455,12,0.0143525398432723,0.947210539393011,0.947210539393011,0.231240585069289,0.76214037340636,0.231240585069289,0.999486410737186,10,0.231240585069289,0.0060599288872745,-2.68423142935623,0.00605992888727449,0.0666592177600194,16,0.0060599288872745,0.76214037340636,0.76214037340636,0.290258597083166,0.556952357558662,0.290258597083166,0.958959159593215,22,0.290258597083166,0.0778433340701942,-1.44379860755769,0.0778433340701942,0.513895481841488,30,0.0778433340701942,0.556952357558662,0.556952357558662,0.162821797934668,1.0000699460141,0.162821797934668,0.9999961916896,21,0.162821797934668,0.00268262667828294,-2.92462661864472,0.00268262667828294,0.0265741289106817,24,0.00268262667828294,1.0000699460141,1.0000699460141,0.00790796913062388,2.51580281954649,0.00790796913062387,0.0869876604368626,24,0.00790796913062388,0.229860111459138,-0.757337065707854,0.229860111459138,0.999999946560223,10,0.229860111459138,2.51580281954649,2.51580281954649,0.14004237645338,1.11549583831845,0.14004237645338,0.691483221621246,17,0.14004237645338,0.352645770804137,-0.383692116952198,0.352645770804137,0.92276634314027,11,0.352645770804137,1.11549583831845,1.11549583831845,0.0414620318365445,1.80292103177681,0.0414620318365446,0.391025032450925,15,0.0414620318365446,0.228249042464599,-0.766348705882338,0.228249042464599,0.993273273945524,14,0.228249042464599,1.80292103177681,1.80292103177681
"dme03010 Ribosome",0.163377825267497,1.00746278949128,0.163377825267497,0.890228255986776,17,0.163377825267497,0.106981768511648,-1.27610896303824,0.106981768511648,0.695427480170784,18,0.106981768511648,1.00746278949128,1.00746278949128,0.334466749873573,0.431971056381896,0.334466749873573,0.914018345195536,24,0.334466749873573,0.147284604553754,-1.06737926204221,0.147284604553754,0.646387709952063,16,0.147284604553754,0.431971056381896,0.431971056381896,0.179814664596098,0.937603806790124,0.179814664596098,0.999851706970071,14,0.179814664596098,0.0157320747309958,-2.37326652828017,0.0157320747309958,0.132428987821455,11,0.0157320747309958,0.937603806790124,0.937603806790124,0.295572273531768,0.548549511529371,0.295572273531768,0.999486410737186,14,0.295572273531768,0.00985806829709011,-2.42403343365737,0.00985806829709012,0.0903656260566594,24,0.00985806829709011,0.548549511529371,0.548549511529371,0.317269422488048,0.485176672957952,0.317269422488048,0.958959159593215,10,0.317269422488048,0.0893372881777115,-1.3693394883003,0.0893372881777115,0.513895481841488,25,0.0893372881777115,0.485176672957952,0.485176672957952,0.177605450848001,0.950172792176915,0.177605450848001,0.9999961916896,15,0.177605450848001,0.00289899588116526,-2.89026645598254,0.00289899588116527,0.0265741289106817,25,0.00289899588116526,0.950172792176915,0.950172792176915,0.0103838464100602,2.37713649063615,0.0103838464100602,0.0906317136359222,30,0.0103838464100602,0.231659191290445,-0.744309546649048,0.231659191290445,0.999999946560223,15,0.231659191290445,2.37713649063615,2.37713649063615,0.146263423377347,1.06757167665244,0.146263423377347,0.691483221621246,24,0.146263423377347,0.35393807530001,-0.385219412867378,0.35393807530001,0.92276634314027,11,0.35393807530001,1.06757167665244,1.06757167665244,0.0587843173037554,1.60100868459873,0.0587843173037555,0.391025032450925,24,0.0587843173037554,0.243052977875664,-0.712159267282654,0.243052977875664,0.993273273945524,16,0.243052977875664,1.60100868459873,1.60100868459873
"dme00480 Glutathione metabolism",0.165350590092569,0.985110392076511,0.165350590092569,0.890228255986776,22,0.165350590092569,0.123002778260215,-1.20607458811011,0.123002778260215,0.695427480170784,11,0.123002778260215,0.985110392076511,0.985110392076511,0.364450234113192,0.350430496365146,0.364450234113192,0.914018345195536,15,0.364450234113192,0.185692747007613,-0.911535846807834,0.185692747007613,0.646387709952063,14,0.185692747007613,0.350430496365146,0.350430496365146,0.219808258200559,0.800536967821654,0.219808258200559,0.999851706970071,10,0.219808258200559,0.0197322707690219,-2.17552611229464,0.019732270769022,0.132428987821455,15,0.019732270769022,0.800536967821654,0.800536967821654,0.307049432114317,0.509570730042085,0.307049432114317,0.999486410737186,20,0.307049432114317,0.0133853961621464,-2.34317711926652,0.0133853961621464,0.105170969845436,15,0.0133853961621464,0.509570730042085,0.509570730042085,0.349796165426106,0.389860535811011,0.349796165426106,0.958959159593215,15,0.349796165426106,0.0897259634110668,-1.36267081382446,0.0897259634110669,0.513895481841488,39,0.0897259634110668,0.389860535811011,0.389860535811011,0.224833328805958,0.775050643869904,0.224833328805958,0.9999961916896,14,0.224833328805958,0.00346479811791009,-2.92625750487602,0.0034647981179101,0.0272234137835793,16,0.0034647981179101,0.775050643869904,0.775050643869904,0.0144585100052546,2.43533255705787,0.0144585100052546,0.0906317136359222,13,0.0144585100052546,0.2470550443509,-0.696783505638964,0.2470550443509,0.999999946560223,16,0.2470550443509,2.43533255705787,2.43533255705787,0.152721636297507,1.06891588644529,0.152721636297507,0.691483221621246,13,0.152721636297507,0.383951311646526,-0.300225153436116,0.383951311646526,0.92276634314027,11,0.383951311646526,1.06891588644529,1.06891588644529,0.0657961493800407,1.55735787192991,0.0657961493800407,0.391025032450925,18,0.0657961493800407,0.251012029574424,-0.69614979445292,0.251012029574424,0.993273273945524,10,0.251012029574424,1.55735787192991,1.55735787192991
"dme04080 Neuroactive ligand-receptor interaction",0.205193986832096,0.837847676772946,0.205193986832096,0.890228255986776,13,0.205193986832096,0.135353353457078,-1.13090202417539,0.135353353457078,0.695427480170784,14,0.135353353457078,0.837847676772946,0.837847676772946,0.371703253072804,0.329689861164163,0.371703253072804,0.914018345195536,21,0.371703253072804,0.194141288765347,-0.871086419293071,0.194141288765347,0.646387709952063,24,0.194141288765347,0.329689861164163,0.329689861164163,0.232781842485622,0.746495965086909,0.232781842485622,0.999851706970071,14,0.232781842485622,0.0212556099801253,-2.18652835889721,0.0212556099801253,0.132428987821455,12,0.0212556099801253,0.746495965086909,0.746495965086909,0.314934190506288,0.492552998793155,0.314934190506288,0.999486410737186,14,0.314934190506288,0.0164977802007394,-2.24312395139279,0.0164977802007394,0.10598614469553,19,0.0164977802007393,0.492552998793155,0.492552998793155,0.373606117106464,0.326509049088728,0.373606117106464,0.958959159593215,13,0.373606117106464,0.0906905422129146,-1.36142431373148,0.0906905422129147,0.513895481841488,24,0.0906905422129147,0.326509049088728,0.326509049088728,0.271838350577106,0.615957699731984,0.271838350577106,0.9999961916896,20,0.271838350577106,0.00420951461714499,-2.93139373176889,0.004209514617145,0.0289404129928719,11,0.00420951461714499,0.615957699731984,0.615957699731984,0.0177623028155386,2.21444046127434,0.0177623028155386,0.0906317136359222,19,0.0177623028155386,0.251191003993514,-0.683034024402481,0.251191003993514,0.999999946560223,15,0.251191003993514,2.21444046127434,2.21444046127434,0.17014032721983,0.985198756682095,0.17014032721983,0.691483221621246,15,0.17014032721983,0.390315224585645,-0.281327044191874,0.390315224585645,0.92276634314027,15,0.390315224585645,0.985198756682095,0.985198756682095,0.0721051954966577,1.49914037990441,0.0721051954966577,0.391025032450925,22,0.0721051954966577,0.264527422331546,-0.644277856525316,0.264527422331546,0.993273273945524,15,0.264527422331546,1.49914037990441,1.49914037990441
"dme00983 Drug metabolism - other enzymes",0.210447643503637,0.810881540213813,0.210447643503637,0.890228255986776,30,0.210447643503637,0.148970057603261,-1.05614215298095,0.148970057603262,0.695427480170784,19,0.148970057603261,0.810881540213813,0.810881540213813,0.396109979591778,0.267520930797905,0.396109979591778,0.914018345195536,16,0.396109979591778,0.19513328632671,-0.867040201001579,0.19513328632671,0.646387709952063,25,0.19513328632671,0.267520930797905,0.267520930797905,0.26025151698279,0.653229558804448,0.26025151698279,0.999851706970071,15,0.26025151698279,0.0246116789311907,-2.07190289122855,0.0246116789311906,0.132428987821455,17,0.0246116789311907,0.653229558804448,0.653229558804448,0.329497215582731,0.448947542657777,0.329497215582731,0.999486410737186,13,0.329497215582731,0.0178691913272751,-2.33605063592608,0.0178691913272752,0.10598614469553,12,0.0178691913272751,0.448947542657777,0.448947542657777,0.396352694385448,0.2664023452806,0.396352694385448,0.958959159593215,14,0.396352694385448,0.0907628176241326,-1.39934529855444,0.0907628176241327,0.513895481841488,16,0.0907628176241326,0.2664023452806,0.2664023452806,0.29714322747655,0.54001173832595,0.29714322747655,0.9999961916896,21,0.29714322747655,0.00531299164412856,-2.74427614989733,0.00531299164412857,0.0324682822696746,15,0.00531299164412856,0.54001173832595,0.54001173832595,0.0197122825072276,2.16092591814091,0.0197122825072276,0.0906317136359222,15,0.0197122825072276,0.354500020323324,-0.383537706397103,0.354500020323324,0.999999946560223,11,0.354500020323324,2.16092591814091,2.16092591814091,0.181807699574427,0.934494737736123,0.181807699574427,0.691483221621246,14,0.181807699574427,0.405406708033657,-0.2422395603201,0.405406708033657,0.92276634314027,14,0.405406708033657,0.934494737736123,0.934494737736123,0.0785219375218741,1.48696448900318,0.0785219375218741,0.391025032450925,11,0.0785219375218741,0.277860426946598,-0.60885917007518,0.277860426946598,0.993273273945524,11,0.277860426946598,1.48696448900318,1.48696448900318
"dme00020 Citrate cycle (TCA cycle)",0.211558859911734,0.819754569558913,0.211558859911734,0.890228255986776,15,0.211558859911734,0.151841320854377,-1.06322523327559,0.151841320854377,0.695427480170784,11,0.151841320854377,0.819754569558913,0.819754569558913,0.428171056503029,0.18203057830322,0.428171056503029,0.914018345195536,41,0.428171056503029,0.198336698796444,-0.853900397593343,0.198336698796444,0.646387709952063,30,0.198336698796444,0.18203057830322,0.18203057830322,0.263842973746215,0.641968410021214,0.263842973746215,0.999851706970071,13,0.263842973746215,0.0256973873761313,-2.05039895702479,0.0256973873761314,0.132428987821455,19,0.0256973873761313,0.641968410021214,0.641968410021214,0.331561030718985,0.439562885395599,0.331561030718985,0.999486410737186,18,0.331561030718985,0.01927020812646,-2.24182776784191,0.01927020812646,0.10598614469553,11,0.01927020812646,0.439562885395599,0.439562885395599,0.404032485358437,0.245792965658287,0.404032485358437,0.958959159593215,16,0.404032485358437,0.10093042728288,-1.3294138609507,0.100930427282879,0.513895481841488,17,0.10093042728288,0.245792965658287,0.245792965658287,0.325003812964736,0.45940049043216,0.325003812964736,0.9999961916896,16,0.325003812964736,0.00595793933032652,-2.66491896571373,0.00595793933032652,0.0327686663167959,19,0.00595793933032652,0.45940049043216,0.45940049043216,0.0206728641429044,2.09652918869077,0.0206728641429044,0.0906317136359222,25,0.0206728641429044,0.355217085473447,-0.376129470860779,0.355217085473447,0.999999946560223,16,0.355217085473447,2.09652918869077,2.09652918869077,0.194833898339587,0.874210592217466,0.194833898339587,0.691483221621246,23,0.194833898339587,0.410613682946868,-0.229287960521379,0.410613682946868,0.92276634314027,16,0.410613682946868,0.874210592217466,0.874210592217466,0.085989737456969,1.39955858318518,0.085989737456969,0.391025032450925,24,0.085989737456969,0.288441945020082,-0.564255476948195,0.288441945020082,0.993273273945524,20,0.288441945020082,1.39955858318518,1.39955858318518
