"","treatment","tissue","batch","SV1"
"C1_B","C","B","1",-0.0937370556492146
"C1_H","C","H","1",-0.0937370556492146
"C1_O","C","O","1",0.045665563379951
"C2_B","C","B","2",-0.0937370556492146
"C2_H","C","H","2",0.293465256059647
"C2_O","C","O","2",-0.0937370556492146
"C3_B","C","B","3",-0.0937370556492146
"C3_H","C","H","3",-0.0937370556492146
"C3_O","C","O","3",-0.0937370556492146
"C4_B","C","B","4",-0.0937370556492146
"C4_H","C","H","4",-0.0937370556492146
"C4_O","C","O","4",0.119111741618813
"C5_B","C","B","5",0.304833005131535
"C5_H","C","H","5",-0.0937370556492146
"C5_O","C","O","5",0.0247576747627542
"C6_B","C","B","6",-0.0937370556492146
"C6_H","C","H","6",0.158887942250478
"C6_O","C","O","6",-0.0937370556492146
"DR1_B","DR","B","1",-0.0937370556492146
"DR1_H","DR","H","1",-0.0937370556492146
"DR1_O","DR","O","1",-0.0937370556492146
"DR2_B","DR","B","2",-0.0937370556492146
"DR2_H","DR","H","2",0.264322671573149
"DR2_O","DR","O","2",0.145987797318767
"DR3_B","DR","B","3",0.142698110157981
"DR3_H","DR","H","3",-0.0937370556492146
"DR3_O","DR","O","3",-0.0937370556492146
"DR4_B","DR","B","4",-0.0937370556492146
"DR4_H","DR","H","4",-0.0937370556492146
"DR4_O","DR","O","4",0.0336124768373835
"DR5_B","DR","B","5",0.124590471813764
"DR5_H","DR","H","5",0.327116388722574
"DR5_O","DR","O","5",-0.0937370556492146
"DR6_B","DR","B","6",-0.0937370556492146
"DR6_H","DR","H","6",-0.0937370556492146
"DR6_O","DR","O","6",0.0373392222515431
"HS1_B","HS","B","1",-0.0937370556492146
"HS1_H","HS","H","1",-0.0937370556492146
"HS1_O","HS","O","1",-0.0937370556492146
"HS2_B","HS","B","2",-0.0937370556492146
"HS2_H","HS","H","2",0.294149141923293
"HS2_O","HS","O","2",-0.0937370556492146
"HS3_B","HS","B","3",0.111550507147175
"HS3_H","HS","H","3",-0.0937370556492146
"HS3_O","HS","O","3",0.205005582876335
"HS4_B","HS","B","4",0.263630442109636
"HS4_H","HS","H","4",0.118692666810588
"HS4_O","HS","O","4",0.131485189949448
"HS5_B","HS","B","5",-0.0937370556492146
"HS5_H","HS","H","5",-0.0937370556492146
"HS5_O","HS","O","5",-0.0937370556492146
"HS6_B","HS","B","6",-0.0937370556492146
"HS6_H","HS","H","6",-0.0937370556492146
"HS6_O","HS","O","6",0.0401580393784801
