id,treat_tissue,treatment,tissue,group
C-1_B,C_B,C,B,1
C-1_H,C_H,C,H,1
C-1_O,C_O,C,O,1
C-2_B,C_B,C,B,2
C-2_H,C_H,C,H,2
C-2_O,C_O,C,O,2
C-3_B,C_B,C,B,3
C-3_H,C_H,C,H,3
C-3_O,C_O,C,O,3
C-4_B,C_B,C,B,4
C-4_H,C_H,C,H,4
C-4_O,C_O,C,O,4
C-5_B,C_B,C,B,5
C-5_H,C_H,C,H,5
C-5_O,C_O,C,O,5
C-6_B,C_B,C,B,6
C-6_H,C_H,C,H,6
C-6_O,C_O,C,O,6
DR-1_B,DR_B,DR,B,1
DR-1_H,DR_H,DR,H,1
DR-1_O,DR_O,DR,O,1
DR-2_B,DR_B,DR,B,2
DR-2_H,DR_H,DR,H,2
DR-2_O,DR_O,DR,O,2
DR-3_B,DR_B,DR,B,3
DR-3_H,DR_H,DR,H,3
DR-3_O,DR_O,DR,O,3
DR-4_B,DR_B,DR,B,4
DR-4_H,DR_H,DR,H,4
DR-4_O,DR_O,DR,O,4
DR-5_B,DR_B,DR,B,5
DR-5_H,DR_H,DR,H,5
DR-5_O,DR_O,DR,O,5
DR-6_B,DR_B,DR,B,6
DR-6_H,DR_H,DR,H,6
DR-6_O,DR_O,DR,O,6
HS-1_B,HS_B,HS,B,1
HS-1_H,HS_H,HS,H,1
HS-1_O,HS_O,HS,O,1
HS-2_B,HS_B,HS,B,2
HS-2_H,HS_H,HS,H,2
HS-2_O,HS_O,HS,O,2
HS-3_B,HS_B,HS,B,3
HS-3_H,HS_H,HS,H,3
HS-3_O,HS_O,HS,O,3
HS-4_B,HS_B,HS,B,4
HS-4_H,HS_H,HS,H,4
HS-4_O,HS_O,HS,O,4
HS-5_B,HS_B,HS,B,5
HS-5_H,HS_H,HS,H,5
HS-5_O,HS_O,HS,O,5
HS-6_B,HS_B,HS,B,6
HS-6_H,HS_H,HS,H,6
HS-6_O,HS_O,HS,O,6
