treat_tissue,id,treatment,replic,tissue,replicate
C1,C-1_B,C,C-1,B,1
C1,C-1_H,C,C-1,H,1
C1,C-1_O,C,C-1,O,1
C2,C-2_B,C,C-2,B,2
C2,C-2_H,C,C-2,H,2
C2,C-2_O,C,C-2,O,2
C3,C-3_B,C,C-3,B,3
C3,C-3_H,C,C-3,H,3
C3,C-3_O,C,C-3,O,3
C4,C-4_B,C,C-4,B,4
C4,C-4_H,C,C-4,H,4
C4,C-4_O,C,C-4,O,4
C5,C-5_B,C,C-5,B,5
C5,C-5_H,C,C-5,H,5
C5,C-5_O,C,C-5,O,5
C6,C-6_B,C,C-6,B,6
C6,C-6_H,C,C-6,H,6
C6,C-6_O,C,C-6,O,6
DR1,DR-1_B,DR,DR-1,B,1
DR1,DR-1_H,DR,DR-1,H,1
DR1,DR-1_O,DR,DR-1,O,1
DR2,DR-2_B,DR,DR-2,B,2
DR2,DR-2_H,DR,DR-2,H,2
DR2,DR-2_O,DR,DR-2,O,2
DR3,DR-3_B,DR,DR-3,B,3
DR3,DR-3_H,DR,DR-3,H,3
DR3,DR-3_O,DR,DR-3,O,3
DR4,DR-4_B,DR,DR-4,B,4
DR4,DR-4_H,DR,DR-4,H,4
DR4,DR-4_O,DR,DR-4,O,4
DR5,DR-5_B,DR,DR-5,B,5
DR5,DR-5_H,DR,DR-5,H,5
DR5,DR-5_O,DR,DR-5,O,5
DR6,DR-6_B,DR,DR-6,B,6
DR6,DR-6_H,DR,DR-6,H,6
DR6,DR-6_O,DR,DR-6,O,6
HS1,HS-1_B,HS,HS-1,B,1
HS1,HS-1_H,HS,HS-1,H,1
HS1,HS-1_O,HS,HS-1,O,1
HS2,HS-2_B,HS,HS-2,B,2
HS2,HS-2_H,HS,HS-2,H,2
HS2,HS-2_O,HS,HS-2,O,2
HS3,HS-3_B,HS,HS-3,B,3
HS3,HS-3_H,HS,HS-3,H,3
HS3,HS-3_O,HS,HS-3,O,3
HS4,HS-4_B,HS,HS-4,B,4
HS4,HS-4_H,HS,HS-4,H,4
HS4,HS-4_O,HS,HS-4,O,4
HS5,HS-5_B,HS,HS-5,B,5
HS5,HS-5_H,HS,HS-5,H,5
HS5,HS-5_O,HS,HS-5,O,5
HS6,HS-6_B,HS,HS-6,B,6
HS6,HS-6_H,HS,HS-6,H,6
HS6,HS-6_O,HS,HS-6,O,6
