"feature","id","pval","qval","tname"
"gene","MSTRG.12600",1.92425648526395e-07,0.00185498325179445,"FBtr0070956"
"gene","MSTRG.440",2.13228561407597e-06,0.0102776166598462,"FBtr0077631"
"gene","MSTRG.878",3.34126719003791e-06,0.0107366052373218,"FBtr0079291"
"gene","MSTRG.9046",8.12806765360108e-06,0.0195886430451786,"FBtr0305337"
"gene","MSTRG.6779",1.56867778255965e-05,0.03024410764775,"FBtr0076461"
"gene","MSTRG.4007",4.69970859308111e-05,0.0755086513955032,"FBtr0087594"
"gene","MSTRG.6558",6.87611807117516e-05,0.0759565197177957,"FBtr0076766"
"gene","MSTRG.9616",6.96421784228685e-05,0.0759565197177957,"FBtr0082693"
"gene","MSTRG.11334",7.85332873565192e-05,0.0759565197177957,"FBtr0085239"
"gene","MSTRG.2996",9.62341554799906e-05,0.0759565197177957,"FBtr0089023"
"gene","MSTRG.6875",9.80758492196143e-05,0.0759565197177957,"FBtr0076302"
"gene","MSTRG.8394",0.000101998087283173,0.0759565197177957,"MSTRG.8394.1"
"gene","MSTRG.4975",0.000102430991320679,0.0759565197177957,"FBtr0071541"
"gene","MSTRG.318",0.000139964184789454,0.0834366503409233,"FBtr0077867"
"gene","MSTRG.7375",0.000141910874526641,0.0834366503409233,"FBtr0075648"
"gene","MSTRG.734",0.000143999748783097,0.0834366503409233,"MSTRG.734.1"
"gene","MSTRG.8606",0.000147139321140632,0.0834366503409233,"FBtr0078830"
"gene","MSTRG.10804",0.000176525422055485,0.094539170478604,"FBtr0084466"
"gene","MSTRG.7446",0.000217575604365861,0.110390990846679,"FBtr0075509"
"gene","MSTRG.9159",0.000231759151520405,0.111707911032835,"FBtr0082067"
"gene","MSTRG.7774",0.000274375427138596,0.125951386553146,"FBtr0345383"
"gene","MSTRG.9045",0.000312651720024926,0.132071397960455,"FBtr0337074"
"gene","MSTRG.12762",0.000315108107167061,0.132071397960455,"FBtr0071181"
"gene","MSTRG.13603",0.000384578823868109,0.154472494253691,"FBtr0330409"
"gene","MSTRG.4879",0.000450626787311559,0.173761689187337,"FBtr0086300"
"gene","MSTRG.3847",0.000474835032340359,0.176054219683118,"FBtr0087871"
"gene","MSTRG.4924",0.000519832729852898,0.185599537621553,"FBtr0086230"
"gene","MSTRG.6075",0.000604521062111507,0.201505568588386,"FBtr0073076"
"gene","MSTRG.13751",0.000622452216647917,0.201505568588386,"FBtr0074464"
"gene","MSTRG.664",0.000627092018428588,0.201505568588386,"FBtr0079057"
"gene","MSTRG.8214",0.000735979996815517,0.228866037719406,"FBtr0290247"
"gene","MSTRG.6987",0.000825402547731002,0.244189800159678,"FBtr0076139"
"gene","MSTRG.9141",0.000835919440380639,0.244189800159678,"FBtr0082060"
"gene","MSTRG.2993",0.000898495163061508,0.248626222616344,"FBtr0086180"
"gene","MSTRG.9187",0.000902688567590459,0.248626222616344,"FBtr0082098"
"gene","MSTRG.8905",0.00112637107391933,0.301617143127287,"FBtr0339180"
"gene","MSTRG.13599",0.00123991122098477,0.323047139737653,"MSTRG.13599.2"
"gene","MSTRG.2439",0.0012818222217128,0.325178058350301,"FBtr0081460"
"gene","MSTRG.13190",0.00156913497573119,0.387857978616633,"FBtr0073651"
"gene","MSTRG.420",0.00169316217726923,0.408052084721883,"FBtr0077734"
"gene","MSTRG.8030",0.00186056606193019,0.43745992285383,"MSTRG.8030.1"
"gene","MSTRG.8653",0.0021937339033451,0.503514162577303,"FBtr0078758"
"gene","MSTRG.4797",0.00242505111416458,0.543662621873175,"FBtr0086552"
"gene","MSTRG.6536",0.00282119932617353,0.616477170197296,"FBtr0076808"
"gene","MSTRG.9192",0.00288817241176442,0.616477170197296,"MSTRG.9192.2"
"gene","MSTRG.13418",0.00294169604036054,0.616477170197296,"FBtr0073966"
"gene","MSTRG.10503",0.0031899059679783,0.644568088413628,"FBtr0089519"
"gene","MSTRG.9247",0.00320946766015084,0.644568088413628,"FBtr0082204"
"gene","MSTRG.7293",0.00330589769121237,0.650384770271168,"FBtr0075718"
"gene","MSTRG.9033",0.00347414640761934,0.663818377231804,"FBtr0081879"
"gene","MSTRG.3270",0.00355061355871211,0.663818377231804,"FBtr0088644"
"gene","MSTRG.840",0.00363369122925083,0.663818377231804,"FBtr0079253"
"gene","MSTRG.4092",0.00371509260424818,0.663818377231804,"FBtr0087498"
"gene","MSTRG.11153",0.00371848468573832,0.663818377231804,"FBtr0084982"
"gene","MSTRG.6931",0.00384692228809458,0.673097292127266,"FBtr0076234"
"gene","MSTRG.9385",0.00391010875094677,0.673097292127266,"FBtr0082358"
"gene","MSTRG.7280",0.00427739003122851,0.686300863539608,"FBtr0075749"
"gene","MSTRG.10074",0.00428498601694305,0.686300863539608,"FBtr0083373"
"gene","MSTRG.3386",0.00437679584125372,0.686300863539608,"FBtr0339392"
"gene","MSTRG.5884",0.00439756575612771,0.686300863539608,"FBtr0332672"
"gene","MSTRG.3359",0.00444236712474244,0.686300863539608,"FBtr0300293"
"gene","MSTRG.7557",0.00445017075818166,0.686300863539608,"FBtr0075365"
"gene","MSTRG.12038",0.00448516124512399,0.686300863539608,"MSTRG.12038.1"
"gene","MSTRG.3319",0.00459145110760395,0.691587323082845,"FBtr0300180"
"gene","MSTRG.7483",0.00479227992504905,0.710456640370018,"FBtr0075453"
"gene","MSTRG.9269",0.00486412222659971,0.710456640370018,"FBtr0082181"
"gene","MSTRG.8011",0.00521374364956673,0.750156548982436,"FBtr0078230"
"gene","MSTRG.1297",0.00540199821932208,0.765812688739189,"FBtr0079900"
"gene","MSTRG.1603",0.0055781891225346,0.767803903874122,"FBtr0080306"
"gene","MSTRG.3650",0.00565999241635884,0.767803903874122,"FBtr0088153"
"gene","MSTRG.4728",0.00566247843301237,0.767803903874122,"FBtr0086639"
"gene","MSTRG.6761",0.00573463496669468,0.767803903874122,"FBtr0076453"
"gene","MSTRG.810",0.00582240631382169,0.768876669386865,"FBtr0343129"
"gene","MSTRG.6816",0.00591431089146877,0.770458878294039,"FBtr0345032"
