"feature","id","pval","qval","tname"
"gene","MSTRG.11626",4.84816956802803e-07,0.00359371356529001,"FBtr0085627"
"gene","MSTRG.13552",1.17463341131607e-06,0.00359371356529001,"FBtr0100384"
"gene","MSTRG.7670",1.46290875702171e-06,0.00359371356529001,"FBtr0075201"
"gene","MSTRG.6352",1.89997949218146e-06,0.00359371356529001,"FBtr0330118"
"gene","MSTRG.1438",2.3194227218859e-06,0.00359371356529001,"FBtr0347403"
"gene","MSTRG.12044",6.71518987549469e-06,0.00779145723941641,"FBtr0070197"
"gene","MSTRG.11599",7.26093413194739e-06,0.00779145723941641,"FBtr0085571"
"gene","MSTRG.7517",8.0459091151841e-06,0.00779145723941641,"FBtr0075375"
"gene","MSTRG.10425",9.10350057337084e-06,0.00780549991128926,"FBtr0083905"
"gene","MSTRG.1420",1.10509622710531e-05,0.00780549991128926,"FBtr0080043"
"gene","MSTRG.11334",1.31565535856915e-05,0.00780549991128926,"FBtr0085239"
"gene","MSTRG.3806",1.33317430804913e-05,0.00780549991128926,"FBtr0087933"
"gene","MSTRG.7918",1.35758326722524e-05,0.00780549991128926,"FBtr0301008"
"gene","MSTRG.10086",1.42293453329057e-05,0.00780549991128926,"FBtr0083400"
"gene","MSTRG.10766",1.51132694810041e-05,0.00780549991128926,"FBtr0084425"
"gene","MSTRG.1759",1.74291974242013e-05,0.00808699547929306,"FBtr0345438"
"gene","MSTRG.12315",1.87179368150714e-05,0.00808699547929306,"FBtr0070597"
"gene","MSTRG.12119",1.87899727155383e-05,0.00808699547929306,"FBtr0070364"
"gene","MSTRG.2195",2.15988571594661e-05,0.00811336417047845,"FBtr0299685"
"gene","MSTRG.7506",2.18134650360469e-05,0.00811336417047845,"FBtr0075471"
"gene","MSTRG.8693",2.3259509487783e-05,0.00811336417047845,"FBtr0334953"
"gene","MSTRG.12905",2.51377481410575e-05,0.00811336417047845,"FBtr0110850"
"gene","MSTRG.13404",2.88252667913769e-05,0.00811336417047845,"FBtr0073972"
"gene","MSTRG.1876",2.90699997271826e-05,0.00811336417047845,"MSTRG.1876.1"
"gene","MSTRG.5277",2.98848960270659e-05,0.00811336417047845,"FBtr0343189"
"gene","MSTRG.4723",3.00035515414798e-05,0.00811336417047845,"FBtr0086609"
"gene","MSTRG.2067",3.02278723725014e-05,0.00811336417047845,"FBtr0080925"
"gene","MSTRG.3873",3.12158431230447e-05,0.00811336417047845,"FBtr0089876"
"gene","MSTRG.12872",3.21919538269766e-05,0.00811336417047845,"FBtr0071335"
"gene","MSTRG.10133",3.32058346689257e-05,0.00811336417047845,"FBtr0300767"
"gene","MSTRG.5179",3.34860618640409e-05,0.00811336417047845,"FBtr0330229"
"gene","MSTRG.2996",3.35133152775668e-05,0.00811336417047845,"FBtr0089023"
"gene","MSTRG.10502",3.77763238710305e-05,0.00863685690785252,"FBtr0084039"
"gene","MSTRG.11703",3.97318488739584e-05,0.00863685690785252,"FBtr0085778"
"gene","MSTRG.406",4.06768922137646e-05,0.00863685690785252,"FBtr0334161"
"gene","MSTRG.10663",4.09395738310003e-05,0.00863685690785252,"FBtr0346363"
"gene","MSTRG.9097",4.17363102571677e-05,0.00863685690785252,"FBtr0081969"
"gene","MSTRG.10624",4.23648589774617e-05,0.00863685690785252,"FBtr0310473"
"gene","MSTRG.2570",4.78330690030226e-05,0.00915161321761881,"MSTRG.2570.2"
"gene","MSTRG.5341",4.91515723495262e-05,0.00915161321761881,"FBtr0336679"
"gene","MSTRG.434",4.95879661426279e-05,0.00915161321761881,"FBtr0077625"
"gene","MSTRG.9613",4.96150451968491e-05,0.00915161321761881,"FBtr0082686"
"gene","MSTRG.1015",5.28352381816699e-05,0.00938150328125935,"FBtr0290272"
"gene","MSTRG.9591",5.41613549240871e-05,0.00938150328125935,"FBtr0082649"
"gene","MSTRG.3347",5.55128976443831e-05,0.00938150328125935,"FBtr0088597"
"gene","MSTRG.9621",5.66136986743793e-05,0.00938150328125935,"FBtr0300278"
"gene","MSTRG.8944",5.69410022226435e-05,0.00938150328125935,"FBtr0081822"
"gene","MSTRG.4297",5.83558521585203e-05,0.00938150328125935,"FBtr0087247"
"gene","MSTRG.2241",5.95119275426104e-05,0.00938150328125935,"FBtr0081173"
"gene","MSTRG.1050",6.05492660465945e-05,0.00938150328125935,"FBtr0079534"
"gene","MSTRG.3431",6.45216189691933e-05,0.00955641861513299,"FBtr0088376"
"gene","MSTRG.1701",6.50744007816284e-05,0.00955641861513299,"FBtr0080436"
"gene","MSTRG.13930",6.7723637030892e-05,0.00955641861513299,"FBtr0074733"
"gene","MSTRG.10023",6.85046011719148e-05,0.00955641861513299,"FBtr0083289"
"gene","MSTRG.9275",6.92107130447761e-05,0.00955641861513299,"FBtr0082245"
"gene","MSTRG.13626",7.05429283976988e-05,0.00955641861513299,"FBtr0074364"
"gene","MSTRG.9046",7.18361049721894e-05,0.00955641861513299,"FBtr0305337"
"gene","MSTRG.11769",7.3037131173681e-05,0.00955641861513299,"FBtr0307551"
"gene","MSTRG.12483",7.56396526400138e-05,0.00955641861513299,"FBtr0070837"
"gene","MSTRG.4949",7.57795532904115e-05,0.00955641861513299,"FBtr0071519"
"gene","MSTRG.2043",7.6617394202616e-05,0.00955641861513299,"FBtr0080935"
"gene","MSTRG.4137",7.77194024892403e-05,0.00955641861513299,"FBtr0300127"
"gene","MSTRG.2846",7.8979003374946e-05,0.00955641861513299,"FBtr0086044"
"gene","MSTRG.10503",7.99220483068686e-05,0.00955641861513299,"FBtr0089519"
"gene","MSTRG.7457",8.01816457962623e-05,0.00955641861513299,"FBtr0075516"
"gene","MSTRG.7549",8.15602138433125e-05,0.00957343904006275,"FBtr0075408"
"gene","MSTRG.10540",8.29143134476462e-05,0.00958712218326739,"FBtr0084102"
"gene","MSTRG.10401",8.72462633298987e-05,0.00982056681350118,"FBtr0083866"
"gene","MSTRG.869",8.74685826941501e-05,0.00982056681350118,"FBtr0343155"
"gene","MSTRG.13634",9.07107972266674e-05,0.0100390935159285,"FBtr0074359"
"gene","MSTRG.9993",9.39009592101359e-05,0.0100853964393822,"MSTRG.9993.1"
"gene","MSTRG.10010",9.50385570543943e-05,0.0100853964393822,"MSTRG.10010.2"
"gene","MSTRG.5889",9.67941131668759e-05,0.0100853964393822,"FBtr0332668"
"gene","MSTRG.10997",9.87508431602446e-05,0.0100853964393822,"FBtr0337011"
"gene","MSTRG.10274",0.000102893570616103,0.0100853964393822,"FBtr0083697"
"gene","MSTRG.12344",0.000104423034852474,0.0100853964393822,"FBtr0343297"
"gene","MSTRG.9546",0.00010470810517349,0.0100853964393822,"FBtr0082583"
"gene","MSTRG.4045",0.000106063412315338,0.0100853964393822,"FBtr0087532"
"gene","MSTRG.12392",0.000106961324310428,0.0100853964393822,"FBtr0070690"
"gene","MSTRG.1539",0.000107222249292049,0.0100853964393822,"FBtr0080202"
"gene","MSTRG.10713",0.000107263545528591,0.0100853964393822,"FBtr0339164"
"gene","MSTRG.440",0.000107829187094399,0.0100853964393822,"FBtr0077631"
"gene","MSTRG.7164",0.00010925099770942,0.0100853964393822,"FBtr0332048"
"gene","MSTRG.1344",0.000109355014961676,0.0100853964393822,"FBtr0079957"
"gene","MSTRG.444",0.000111625653896663,0.0101736934204406,"FBtr0343784"
