"geneNames","geneIDs","feature","id","pval","qval"
"FBtr0087594","MSTRG.4007","transcript","13461",7.21308885642813e-06,0.0671659178082583
"FBtr0077631","MSTRG.440","transcript","1276",7.34016130732318e-06,0.0671659178082583
"FBtr0305337","MSTRG.9046","transcript","30256",9.7532367095976e-06,0.0671659178082583
"FBtr0075092","MSTRG.7774","transcript","26241",1.12755979029266e-05,0.0671659178082583
"MSTRG.1793.4","MSTRG.1793","transcript","5940",1.5306889968536e-05,0.0729434534560615
"FBtr0072569","MSTRG.5675","transcript","19292",4.30505063997444e-05,0.166067836491131
"FBtr0089023","MSTRG.2996","transcript","9941",4.87881334384488e-05,0.166067836491131
"FBtr0076766","MSTRG.6558","transcript","22195",6.91472805713911e-05,0.184692282704778
"FBtr0073966","MSTRG.13418","transcript","46079",6.97624772041383e-05,0.184692282704778
"FBtr0087871","MSTRG.3847","transcript","12842",0.000116240095935249,0.276965276584919
"FBtr0077867","MSTRG.318","transcript","873",0.00019327892176757,0.418659715359627
"FBtr0330409","MSTRG.13603","transcript","46964",0.000217614224634399,0.427638093517779
"MSTRG.4724.1","MSTRG.4724","transcript","15935",0.000233319142809885,0.427638093517779
"FBtr0086180","MSTRG.2993","transcript","9935",0.000272453906315251,0.461104331424924
"FBtr0075365","MSTRG.7557","transcript","25557",0.000308866807477104,0.461104331424924
"FBtr0076461","MSTRG.6779","transcript","22940",0.000309634838745909,0.461104331424924
"FBtr0290247","MSTRG.8214","transcript","27548",0.000332166880143592,0.465561191363609
"FBtr0070368","MSTRG.12113","transcript","41282",0.000463582429380383,0.613654363602576
"FBtr0070115","MSTRG.11998","transcript","40834",0.000506928777981086,0.635715368050281
"FBtr0083000","MSTRG.9827","transcript","32752",0.00064802053550439,0.742496162694405
"FBtr0087121","MSTRG.4363","transcript","14707",0.00065440128495331,0.742496162694405
"FBtr0083712","MSTRG.10293","transcript","34423",0.000690004319528814,0.745720734896464
"FBtr0303906","MSTRG.1344","transcript","4467",0.000766712233988387,0.745720734896464
"FBtr0071541","MSTRG.4975","transcript","17018",0.00077187746337859,0.745720734896464
"FBtr0082067","MSTRG.9159","transcript","30703",0.000783726497239567,0.745720734896464
"FBtr0080326","MSTRG.1611","transcript","5394",0.000826181406588078,0.745720734896464
"FBtr0089519","MSTRG.10503","transcript","35179",0.000845027063507975,0.745720734896464
"FBtr0084466","MSTRG.10804","transcript","36258",0.00102880420800366,0.861034958318588
"FBtr0078758","MSTRG.8653","transcript","28994",0.00104797136824775,0.861034958318588
"FBtr0073428","MSTRG.13038","transcript","44617",0.00125118443981787,0.993732388251342
"FBtr0078828","MSTRG.8606","transcript","28807",0.00141580599677305,0.999989508679083
"FBtr0080576","MSTRG.1793","transcript","5937",0.00155001382091591,0.999989508679083
"FBtr0331557","MSTRG.7556","transcript","25556",0.00161617158340577,0.999989508679083
"FBtr0080919","MSTRG.2058","transcript","6833",0.00166142983271533,0.999989508679083
"FBtr0071180","MSTRG.12762","transcript","43559",0.00166589407478579,0.999989508679083
