id,treatment,tissue
C-1_B,C,B
C-1_H,C,H
C-1_O,C,O
C-2_B,C,B
C-2_H,C,H
C-2_O,C,O
C-3_B,C,B
C-3_H,C,H
C-3_O,C,O
C-4_B,C,B
C-4_H,C,H
C-4_O,C,O
C-5_B,C,B
C-5_H,C,H
C-5_O,C,O
C-6_B,C,B
C-6_H,C,H
C-6_O,C,O
DR-1_B,DR,B
DR-1_H,DR,H
DR-1_O,DR,O
DR-2_B,DR,B
DR-2_H,DR,H
DR-2_O,DR,O
DR-3_B,DR,B
DR-3_H,DR,H
DR-3_O,DR,O
DR-4_B,DR,B
DR-4_H,DR,H
DR-4_O,DR,O
DR-5_B,DR,B
DR-5_H,DR,H
DR-5_O,DR,O
DR-6_B,DR,B
DR-6_H,DR,H
DR-6_O,DR,O
HS-1_B,HS,B
HS-1_H,HS,H
HS-1_O,HS,O
HS-2_B,HS,B
HS-2_H,HS,H
HS-2_O,HS,O
HS-3_B,HS,B
HS-3_H,HS,H
HS-3_O,HS,O
HS-4_B,HS,B
HS-4_H,HS,H
HS-4_O,HS,O
HS-5_B,HS,B
HS-5_H,HS,H
HS-5_O,HS,O
HS-6_B,HS,B
HS-6_H,HS,H
HS-6_O,HS,O
