"geneNames","geneIDs","feature","id","pval","qval"
".","MSTRG.4723","transcript","15932",1.14619425062301e-12,2.73103704095945e-08
".","MSTRG.1264","transcript","4258",9.81970060820458e-12,1.16987003195845e-07
".","MSTRG.591","transcript","1832",1.28438593094415e-10,1.02010211922021e-06
".","MSTRG.3411","transcript","11345",1.32420807652522e-09,5.7947672093788e-06
".","MSTRG.10658","transcript","35793",1.38193656518126e-09,5.7947672093788e-06
".","MSTRG.13892","transcript","47868",1.50066647996994e-09,5.7947672093788e-06
".","MSTRG.8905","transcript","29849",1.70241198915733e-09,5.7947672093788e-06
".","MSTRG.9363","transcript","31317",3.21872184461114e-09,9.5865606739437e-06
".","MSTRG.8597","transcript","28772",4.32928737303939e-09,1.14615478041566e-05
".","MSTRG.5752","transcript","19522",5.14710252197403e-09,1.22640011791075e-05
".","MSTRG.8784","transcript","29463",1.04268947920261e-08,2.24499974350589e-05
".","MSTRG.5511","transcript","18661",1.13064997364631e-08,2.24499974350589e-05
".","MSTRG.2996","transcript","9941",1.36385461813049e-08,2.49973569124578e-05
".","MSTRG.7774","transcript","26241",1.85532007535016e-08,3.15762224538345e-05
".","MSTRG.2997","transcript","9942",2.14081093963259e-08,3.33261619870351e-05
".","MSTRG.11594","transcript","38818",2.23787548492282e-08,3.33261619870351e-05
".","MSTRG.11589","transcript","38811",2.59540811065051e-08,3.63769347367469e-05
".","MSTRG.10293","transcript","34423",3.00671481046066e-08,3.98005521049146e-05
".","MSTRG.9939","transcript","33156",3.23435485061196e-08,4.05605121187007e-05
".","MSTRG.1680","transcript","5643",4.65794219861593e-08,5.34036116174467e-05
".","MSTRG.11685","transcript","39160",4.70674379471347e-08,5.34036116174467e-05
".","MSTRG.11299","transcript","37870",5.37978830372765e-08,5.82655526876903e-05
".","MSTRG.7249","transcript","24548",7.13734233936947e-08,7.39397634435462e-05
".","MSTRG.9827","transcript","32752",7.60781790898335e-08,7.55297822155609e-05
".","MSTRG.6767","transcript","22899",9.21343615845061e-08,8.7811417338961e-05
".","MSTRG.440","transcript","1276",1.05598557897935e-07,9.21118113861149e-05
".","MSTRG.5211","transcript","17748",1.06496726326455e-07,9.21118113861149e-05
".","MSTRG.3002","transcript","9952",1.08244039065397e-07,9.21118113861149e-05
".","MSTRG.7226","transcript","24466",1.23741211943695e-07,0.000101668339895946
".","MSTRG.10086","transcript","33739",1.37571674718728e-07,0.000109264009784105
".","MSTRG.13375","transcript","45948",1.65922518391426e-07,0.000127530188571371
".","MSTRG.7075","transcript","24026",1.75214836195536e-07,0.00013046387193847
".","MSTRG.3907","transcript","13081",2.29443199772916e-07,0.000165184209609491
".","MSTRG.4624","transcript","15612",2.35710040152881e-07,0.000165184209609491
".","MSTRG.6027","transcript","20500",3.24688602559853e-07,0.000221038723805532
".","MSTRG.8359","transcript","28025",3.9847237953694e-07,0.000263733371867408
".","MSTRG.9873","transcript","32935",4.13014833666736e-07,0.000264244985506016
".","MSTRG.11028","transcript","36992",4.25098627743203e-07,0.000264244985506016
".","MSTRG.5388","transcript","18283",4.45405801130505e-07,0.000264244985506016
".","MSTRG.10401","transcript","34778",4.47541654624573e-07,0.000264244985506016
".","MSTRG.7092","transcript","24091",4.54696118090681e-07,0.000264244985506016
".","MSTRG.10413","transcript","34853",4.68766596650738e-07,0.000265935754723741
".","MSTRG.11592","transcript","38815",5.4223667489417e-07,0.000287369615566807
".","MSTRG.10808","transcript","36265",5.65998931612022e-07,0.000287369615566807
".","MSTRG.10976","transcript","36874",5.82797634374188e-07,0.000287369615566807
".","MSTRG.1416","transcript","4673",5.84056554231438e-07,0.000287369615566807
".","MSTRG.3080","transcript","10214",5.86090329157685e-07,0.000287369615566807
".","MSTRG.11009","transcript","36946",5.86582340700303e-07,0.000287369615566807
".","MSTRG.6558","transcript","22195",5.90972894731756e-07,0.000287369615566807
".","MSTRG.11309","transcript","37903",6.92511772815152e-07,0.000330009560217333
".","MSTRG.2232","transcript","7462",7.27485699680841e-07,0.000339878466005792
".","MSTRG.4363","transcript","14707",7.90485591650736e-07,0.000362209619081963
".","MSTRG.13242","transcript","45377",8.53808940215472e-07,0.000376598046292898
".","MSTRG.6779","transcript","22940",8.56445460106769e-07,0.000376598046292898
".","MSTRG.12843","transcript","43871",8.81578491984669e-07,0.000376598046292898
".","MSTRG.3078","transcript","10212",8.85108934922663e-07,0.000376598046292898
".","MSTRG.10804","transcript","36258",9.0614089565122e-07,0.000378782791590905
".","MSTRG.9700","transcript","32391",9.39927888743419e-07,0.000380151480172885
".","MSTRG.12713","transcript","43371",9.41324435732582e-07,0.000380151480172885
".","MSTRG.13730","transcript","47323",9.77858482409388e-07,0.000387135166867042
".","MSTRG.4730","transcript","15959",9.91112820702966e-07,0.000387135166867042
".","MSTRG.9616","transcript","32085",1.10670547104341e-06,0.000421159578558568
".","MSTRG.6875","transcript","23290",1.11357088383723e-06,0.000421159578558568
".","MSTRG.5021","transcript","17171",1.15453920002118e-06,0.000426428956956673
".","MSTRG.3160","transcript","10502",1.16329719235253e-06,0.000426428956956673
".","MSTRG.1668","transcript","5563",1.21002772424106e-06,0.000431651008550456
".","MSTRG.4007","transcript","13461",1.22761069087929e-06,0.000431651008550456
".","MSTRG.9326","transcript","31219",1.23189107237298e-06,0.000431651008550456
".","MSTRG.4252","transcript","14343",1.32153980003658e-06,0.000456352591528572
".","MSTRG.6812","transcript","23041",1.35233662357237e-06,0.000460316067569412
".","MSTRG.1554","transcript","5135",1.48194794169498e-06,0.000497329205729104
".","MSTRG.5084","transcript","17353",1.57429979064094e-06,0.000520983904327802
".","MSTRG.13880","transcript","47839",1.63725759727562e-06,0.00053439639411351
".","MSTRG.5846","transcript","19804",1.77178227012131e-06,0.000570489947975413
".","MSTRG.3876","transcript","12937",1.80685100137357e-06,0.000574024517463039
".","MSTRG.4724","transcript","15935",1.8524789272556e-06,0.000580776518417356
".","MSTRG.9275","transcript","31057",2.05765176386485e-06,0.000605142001153814
".","MSTRG.5245","transcript","17846",2.06518642675846e-06,0.000605142001153814
".","MSTRG.4724","transcript","15942",2.07554837239332e-06,0.000605142001153814
".","MSTRG.9673","transcript","32247",2.08077049834721e-06,0.000605142001153814
".","MSTRG.8026","transcript","26987",2.08766965092977e-06,0.000605142001153814
".","MSTRG.2246","transcript","7499",2.1007161712383e-06,0.000605142001153814
".","MSTRG.1806","transcript","5964",2.1079777603461e-06,0.000605142001153814
".","MSTRG.12337","transcript","42103",2.15354055210781e-06,0.000610862032560391
".","MSTRG.12011","transcript","40894",2.19669190837379e-06,0.000615771507068499
".","MSTRG.2195","transcript","7354",2.32846902470385e-06,0.000641657784611632
".","MSTRG.437","transcript","1272",2.34289785794317e-06,0.000641657784611632
".","MSTRG.10812","transcript","36274",2.38459641077604e-06,0.000642441536425924
".","MSTRG.3847","transcript","12842",2.39968509430089e-06,0.000642441536425924
".","MSTRG.286","transcript","751",2.53409309491914e-06,0.000670887068584871
".","MSTRG.10907","transcript","36613",2.80225617454999e-06,0.000733729207373655
".","MSTRG.9412","transcript","31409",3.05718293713841e-06,0.000791777150469533
".","MSTRG.10009","transcript","33476",3.18731036141884e-06,0.000808842171009998
".","MSTRG.8631","transcript","28910",3.22269767483174e-06,0.000808842171009998
".","MSTRG.11103","transcript","37148",3.22491317605866e-06,0.000808842171009998
".","MSTRG.4873","transcript","16717",4.06505096406384e-06,0.00100893718042447
".","MSTRG.11998","transcript","40834",4.11211930240185e-06,0.00101009759400339
".","MSTRG.1611","transcript","5394",4.17749932180023e-06,0.00101568649327075
".","MSTRG.1793","transcript","5940",4.34727897791198e-06,0.0010454702112956
".","MSTRG.4730","transcript","15958",4.38775427580307e-06,0.0010454702112956
".","MSTRG.6032","transcript","20519",4.63389517690871e-06,0.00108922212638172
