"feature","id","pval","qval"
"gene","MSTRG.4723",7.33191285462453e-13,4.32222480029054e-09
"gene","MSTRG.11103",8.96727136989739e-13,4.32222480029054e-09
"gene","MSTRG.1264",8.29802893065335e-12,2.66643329638327e-08
"gene","MSTRG.591",1.207238753409e-10,2.90944539571569e-07
"gene","MSTRG.895",2.40810815732573e-10,4.35107887497566e-07
"gene","MSTRG.5920",2.70814037861555e-10,4.35107887497566e-07
"gene","MSTRG.8848",3.57042617693537e-10,4.91698690652242e-07
"gene","MSTRG.10808",4.87880291721865e-10,5.87895751524847e-07
"gene","MSTRG.9546",6.18553874787153e-10,6.62539928105351e-07
"gene","MSTRG.13268",7.09349912142443e-10,6.83813315305315e-07
"gene","MSTRG.10658",1.6957923953953e-09,1.19873982148041e-06
"gene","MSTRG.2438",1.72155345534719e-09,1.19873982148041e-06
"gene","MSTRG.10086",1.78093007008329e-09,1.19873982148041e-06
"gene","MSTRG.11312",1.81865855708452e-09,1.19873982148041e-06
"gene","MSTRG.13892",1.86525905832013e-09,1.19873982148041e-06
"gene","MSTRG.2232",3.05027536562363e-09,1.83779090778824e-06
"gene","MSTRG.10962",3.80063358562666e-09,2.15518280973182e-06
"gene","MSTRG.3411",4.89214557752859e-09,2.62001574263198e-06
"gene","MSTRG.3769",7.32450800011719e-09,3.71622405900683e-06
"gene","MSTRG.8905",7.8395447911106e-09,3.77866058931531e-06
"gene","MSTRG.5511",8.71756111742172e-09,3.82127764703649e-06
"gene","MSTRG.5752",8.72075811564343e-09,3.82127764703649e-06
"gene","MSTRG.8784",9.33129407076905e-09,3.83495790714505e-06
"gene","MSTRG.9875",9.83487635775049e-09,3.83495790714505e-06
"gene","MSTRG.2996",9.94543025711891e-09,3.83495790714505e-06
"gene","MSTRG.13242",1.1494117213573e-08,4.21580894967351e-06
"gene","MSTRG.11685",1.18077636557246e-08,4.21580894967351e-06
"gene","MSTRG.4879",1.26820054457966e-08,4.25602185249241e-06
"gene","MSTRG.9948",1.28033852409004e-08,4.25602185249241e-06
"gene","MSTRG.7774",1.58367214897481e-08,5.0888665053724e-06
"gene","MSTRG.2997",1.82439565676873e-08,5.67328197782276e-06
"gene","MSTRG.8229",2.02794105952364e-08,6.10917244181497e-06
"gene","MSTRG.11589",2.1446676212733e-08,6.20409898409528e-06
"gene","MSTRG.11028",2.18816769148589e-08,6.20409898409528e-06
"gene","MSTRG.11594",2.40976589793718e-08,6.63718378746125e-06
"gene","MSTRG.9939",2.90141883851902e-08,7.76935488981204e-06
"gene","MSTRG.11770",3.07134918609009e-08,8.00210977132661e-06
"gene","MSTRG.3002",3.19048135688504e-08,8.09374744220311e-06
"gene","MSTRG.13577",4.2842686953648e-08,1.0589833390594e-05
"gene","MSTRG.1680",4.71806769208882e-08,1.11631607423473e-05
"gene","MSTRG.3916",4.74781732817675e-08,1.11631607423473e-05
"gene","MSTRG.11769",5.17132655586394e-08,1.18694257139353e-05
"gene","MSTRG.7226",5.51713270624532e-08,1.23646568695395e-05
"gene","MSTRG.6254",5.74266860731143e-08,1.23646568695395e-05
"gene","MSTRG.4627",5.77188339345724e-08,1.23646568695395e-05
"gene","MSTRG.8930",6.65011360423406e-08,1.37195054277039e-05
"gene","MSTRG.7249",6.68897048861083e-08,1.37195054277039e-05
"gene","MSTRG.10503",7.30847384833311e-08,1.46778516454023e-05
"gene","MSTRG.1544",7.58564433489539e-08,1.49235941608962e-05
"gene","MSTRG.13925",7.78476272333961e-08,1.50090225305988e-05
"gene","MSTRG.12155",8.222102454436e-08,1.55413858158359e-05
"gene","MSTRG.810",8.65926707005471e-08,1.59534597324421e-05
"gene","MSTRG.12674",8.89264344383633e-08,1.59534597324421e-05
