"","FBgn","baseMean","padj","gname","chr","startp","stopp","effect","ModID","FC_DR_B","padj_DR_B","FC_HS_B","padj_HS_B","FC_DRHS_B","padj_DRHS_B","FC_DR_H","padj_DR_H","FC_HS_H","padj_HS_H","FC_DRHS_H","padj_DRHS_H","FC_DR_O","padj_DR_O","FC_HS_O","padj_HS_O","FC_DRHS_O","padj_DRHS_O"
"FBgn0001285","FBgn0001285",1229.80178765416,0.00686702831473249,"Jon44E","2R",8691448,8692844,"treat","cyan",-0.241096420145957,0.804008904706737,-0.700548382693004,0.459711651027909,0.459451962547047,0.638110287886701,-0.341672772914065,0.820977370091885,-0.791158978696157,0.36974187321341,0.449486205782091,1,-1.1300215073499,0.143017950361483,-1.91418799657989,0.00286418318307445,0.784166489229997,0.574493518481576
"FBgn0002891","FBgn0002891",335.876000478773,0.0113024855063968,"mus205","2R",7793625,7801044,"treat","grey",-0.402554341213358,0.0885416601833711,-0.197638569617359,0.563347989878856,-0.204915771596,0.5125863560902,-0.0885772643686274,0.798119255389005,-0.00714523613925082,0.988650319986869,-0.0814320282293765,1,-0.475924609001705,0.032145977805296,-0.249384675453665,0.638506693297609,-0.22653993354804,0.615226486069955
"FBgn0003074","FBgn0003074",11257.2709257595,0.0059257485548597,"Pgi","2R",8910900,8914069,"treat","turquoise",-0.0237896362008621,0.944595752942249,-0.331606004477578,0.178101749584765,0.307816368276716,0.239883918222824,-0.238208097478781,0.338759434920884,-0.739316192435707,1.43229947449915e-05,0.501108094956925,0.0447194203185814,0.0261353970778891,0.994676670353685,0.0066949836023744,1,0.0194404134755147,1
"FBgn0003892","FBgn0003892",164.606205220661,0.0239855363280216,"ptc","2R",8649649,8665223,"treat","turquoise",0.00340281523120753,0.994084821250255,0.270292774479166,0.561160778630825,-0.266889959247959,0.513865525488101,0.39570797728291,0.288474690317027,0.457962879216641,0.152002223111109,-0.0622549019337308,1,0.288075165114528,0.509455621569877,0.58750741891698,0.190771834103801,-0.299432253802453,0.68040996240293
"FBgn0005695","FBgn0005695",2007.17889702627,0.0255130284231268,"gcl","2R",8724258,8728999,"treat","black",-0.468440400179939,0.0152979007992958,-0.268320389019219,0.270265002007955,-0.20012001116072,0.438917473743532,-0.268042313027496,0.24311710626893,-0.191479371878256,0.373250606774349,-0.0765629411492398,1,-0.0538412868437613,0.902025925431325,-0.0213302191398628,1,-0.0325110677038984,1
"FBgn0010114","FBgn0010114",3050.02910022912,0.000607899833731069,"hig","2R",9227785,9247249,"treat","blue",0.134607759229686,0.597237814163805,0.474438962288898,0.0150479756050939,-0.339831203059212,0.13495340434942,0.369531325345029,0.0628694201584103,0.422714152123343,0.0117181073189273,-0.0531828267783147,1,0,1,0,1,0,1
"FBgn0010220","FBgn0010220",540.526990699727,0.0167651760451823,"Dbp45A","2R",9087834,9089802,"treat","black",0.0659859157741743,0.572334382381181,0.176429084552852,0.0791802922708318,-0.110443168778678,0.346823122397507,-0.0491116685499645,0.710181781871846,0.128856955915961,0.183842158305209,-0.177968624465925,0.252977292815749,0.0988761862271765,0.259204234535698,0.0806143681733746,0.726122857583007,0.0182618180538019,0.996538098706198
"FBgn0010504","FBgn0010504",778.030400904635,0.040993031568586,"kermit","2R",8146918,8156654,"treat","brown",0.357504037187048,0.0834810896810176,-0.0810987530729868,0.841556105074701,0.438602790260035,0.0495619085892164,0.0283375886401605,0.944963585406857,-0.120853584986479,0.647170952638895,0.149191173626639,1,0.149554429244939,0.577694670571258,0.0146799194018768,1,0.134874509843062,0.789420794485756
"FBgn0011286","FBgn0011286",1856.59009584057,0.00136087276077028,"RyR","2R",8860364,8888097,"treat","turquoise",0.224821972695574,0.503217103575145,0.364562103305673,0.291668119694929,-0.139740130610099,0.729742082470146,0.409253661396431,0.199498023536053,0.369039107495579,0.194552349945266,0.0402145539008528,1,1.04879627340464,0.0192075802692312,1.36324764751473,0.000299013608403342,-0.314451374110089,0.697800198107412
"FBgn0013307","FBgn0013307",2498.79616777947,8.34954892273508e-06,"Odc1","2R",8004824,8006672,"treat","turquoise",0.0416928102108485,0.931805979375399,0.560522255824511,0.0965420733763108,-0.518829445613663,0.152831691433987,-0.254610325396365,0.499553861443609,0.181648858028418,0.60143361082523,-0.436259183424783,0.616329751202538,0.970481666908996,0.00772305199606292,2.30520289911633,1.9904545964653e-17,-1.33472123220734,7.43311396670469e-06
