"","spp","gname","FBgn","v3","cyt","pos","chr","startp","stopp"
"1","Dmel","d","FBgn0262029","2-33","29D1-29D1","2L:8466817..8488671(1)","2L",8466817,8488671
"2","Dmel","CG32532","FBgn0052532","1-62","18C8-18C8","X:19531851..19547482(-1)","X",19531851,19547482
"3","Dmel","CG3156","FBgn0023536","1-0","1B5-1B5","X:487878..490725(1)","X",487878,490725
"4","Dmel","mRpL30","FBgn0029718","1-8","4C11-4C11","X:4647871..4648646(1)","X",4647871,4648646
"5","Dmel","CG1631","FBgn0031101","1-64","19C4-19C4","X:20327444..20328680(1)","X",20327444,20328680
"6","Dmel","CG12609","FBgn0030952","1-60","17D3-17D3","X:18746367..18748306(-1)","X",18746367,18748306
"7","Dmel","TER94","FBgn0261014","2-61","46D1-46D1","2R:9989159..9993559(1)","2R",9989159,9993559
"8","Dmel","zyd","FBgn0265767","1-66","-","X:23022898..23035550(1)","X",23022898,23035550
"9","Dmel","CG9941","FBgn0030514","1-45","12B4-12B4","X:13718734..13721977(-1)","X",13718734,13721977
"10","Dmel","unc","FBgn0003950","1-65","19F1-19F1","X:21111414..21116914(-1)","X",21111414,21116914
"11","Dmel","p120ctn","FBgn0260799","2-55","41B1-41B1","2R:4595288..4609492(1)","2R",4595288,4609492
"12","Dmel","CG9572","FBgn0031089","1-64","19B3-19B3","X:20148124..20155514(1)","X",20148124,20155514
"13","Dmel","sno","FBgn0265630","1-42","11E3-11E3","X:13195499..13211674(-1)","X",13195499,13211674
"14","Dmel","CG44774","FBgn0266000","1-9","4D6-4D7","X:4926664..4938105(-1)","X",4926664,4938105
"15","Dmel","e(y)2b","FBgn0040670","3-48","84B6-84B6","3R:7093935..7094727(1)","3R",7093935,7094727
"16","Dmel","CG33919","FBgn0053919","2-55","42C1-42C1","2R:6623832..6624577(-1)","2R",6623832,6624577
"17","Dmel","Rep","FBgn0026378","2-89","56D13-56D13","2R:19492087..19494125(1)","2R",19492087,19494125
"18","Dmel","Hrd3","FBgn0028475","3-80","95B1-95B1","3R:23754623..23758557(-1)","3R",23754623,23758557
"19","Dmel","CG43789","FBgn0264330","2-81","53E2-53E2","2R:16938696..16938995(1)","2R",16938696,16938995
"20","Dmel","Doa","FBgn0265998","3-97","98F1-98F2","3R:28888073..28922772(1)","3R",28888073,28922772
"21","Dmel","CG30060","FBgn0265272","2-68","50A7-50A7","2R:13422978..13423647(-1)","2R",13422978,13423647
"22","Dmel","CG1603","FBgn0033185","2-56","43D1-43D1","2R:7513846..7516390(-1)","2R",7513846,7516390
"23","Dmel","rad201","FBgn0260438","2-59.9 +/- 1.1","45B1-45B1","","",NA,NA
"24","Dmel","cn","FBgn0000337","2-57","43E16-43E16","2R:7782797..7785067(-1)","2R",7782797,7785067
"25","Dmel","CG8152","FBgn0034008","2-74","51F4-51F4","2R:15309931..15311134(-1)","2R",15309931,15311134
"26","Dmel","CG44303","FBgn0265362","1-18","6C6-6C6","X:6686963..6687420(-1)","X",6686963,6687420
"27","Dmel","CG7194","FBgn0035868","3-24","66C5-66C5","3L:8302364..8304059(-1)","3L",8302364,8304059
"28","Dmel","CG42660","FBgn0261536","3-21","66A2-66A2","3L:7465509..7468808(1)","3L",7465509,7468808
"29","Dmel","CG9686","FBgn0030158","1-30","9A3-9A3","X:9879870..9880535(1)","X",9879870,9880535
"30","Dmel","CG42661","FBgn0261537","3-21","66A2-66A2","3L:7465509..7468808(1)","3L",7465509,7468808
"31","Dmel","CG43774","FBgn0264296","2-11","24D3-24D3","2L:4008653..4009090(1)","2L",4008653,4009090
"32","Dmel","CG43776","FBgn0264298","2-106","60B11-60B11","2R:24123167..24126630(-1)","2R",24123167,24126630
"33","Dmel","CG13526","FBgn0034774","2-101","59A4-59A4","2R:22755219..22755896(1)","2R",22755219,22755896
"34","Dmel","CG43672","FBgn0263747","1-51","13E16-13E17","X:15773171..15778703(1)","X",15773171,15778703
"35","Dmel","beat-VI","FBgn0039584","3-96","98D1-98D2","3R:28418208..28474814(1)","3R",28418208,28474814
"36","Dmel","CG33993","FBgn0053993","3-16","65A1-65A1","3L:5933036..5950658(-1)","3L",5933036,5950658
"37","Dmel","CG12942","FBgn0033569","2-63","47C6-47C6","2R:10894459..10897222(1)","2R",10894459,10897222
"38","Dmel","CG43779","FBgn0264301","2-48","34B5-34B5","2L:13305920..13306755(-1)","2L",13305920,13306755
"39","Dmel","Wdr82","FBgn0032030","2-31","29B2-29B3","2L:8374461..8375549(1)","2L",8374461,8375549
"40","Dmel","CG43780","FBgn0264302","3-20","65F5-65F5","3L:7333544..7335226(-1)","3L",7333544,7335226
"41","Dmel","CG11112","FBgn0033164","2-56","43B2-43B2","2R:7400743..7401482(1)","2R",7400743,7401482
"42","Dmel","Octbeta2R","FBgn0038063","3-52","87C1-87C1","3R:12550625..12595725(-1)","3R",12550625,12595725
"43","Dmel","Neb-cGP","FBgn0083167","1-31","9C4-9C5","X:10460736..10461878(1)","X",10460736,10461878
"44","Dmel","BG01402","FBgn0264306","","","","",NA,NA
"45","Dmel","MESK2","FBgn0043070","2-95","57E8-57E9","2R:21502097..21517241(1)","2R",21502097,21517241
"46","Dmel","Nc73EF","FBgn0010352","3-45","73E1-73E1","3L:16954822..16968724(1)","3L",16954822,16968724
"47","Dmel","Mec2","FBgn0030993","1-62","18A6-18A6","X:19188035..19190193(1)","X",19188035,19190193
"48","Dmel","CG33970","FBgn0053970","3-90","97A8-97A10","3R:26318355..26362588(1)","3R",26318355,26362588
"49","Dmel","CG31515","FBgn0051515","3-79","94F1-94F1","3R:23388373..23388898(-1)","3R",23388373,23388898
"50","Dmel","Ate1","FBgn0025720","2-90","56F11-56F11","2R:20254966..20257390(-1)","2R",20254966,20257390
"51","Dmel","CG10051","FBgn0034437","2-89","56D2-56D2","2R:19363641..19367294(1)","2R",19363641,19367294
"52","Dmel","Evi5","FBgn0262740","1-34","10B11-10B14","X:11430523..11454386(-1)","X",11430523,11454386
"53","Dmel","Adar","FBgn0026086","1-0.2","2B9-2B9","X:1773725..1788065(1)","X",1773725,1788065
"54","Dmel","CG13579","FBgn0035010","2-107","60D1-60D1","2R:24455292..24490656(1)","2R",24455292,24490656
"55","Dmel","CG11951","FBgn0039656","3-98","99A1-99A1","3R:29235322..29238723(-1)","3R",29235322,29238723
"56","Dmel","Trim9","FBgn0051721","2-43","31F5-32A2","2L:10544883..10628054(1)","2L",10544883,10628054
"57","Dmel","CG34155","FBgn0083991","3-100","99F8-99F8","3R:30554554..30560199(-1)","3R",30554554,30560199
"58","Dmel","CG1124","FBgn0037290","3-47.1","82E4-82E4","3R:4965445..4968485(1)","3R",4965445,4968485
"59","Dmel","CG6891","FBgn0030955","1-60","17D4-17D5","X:18775228..18781345(1)","X",18775228,18781345
"60","Dmel","qin","FBgn0263974","3-64","91B7-91B8","3R:18591027..18650137(1)","3R",18591027,18650137
"61","Dmel","mus205","FBgn0002891","2-57","43E17-43E17","2R:7793625..7801044(1)","2R",7793625,7801044
"62","Dmel","CG5131","FBgn0032644","2-53","36C10-36C10","2L:17484501..17485624(1)","2L",17484501,17485624
"63","Dmel","CG45093","FBgn0266526","2-57","43E13-43E16","2R:7737019..7782637(-1)","2R",7737019,7782637
"64","Dmel","CG3294","FBgn0031628","2-13","25A6-25A6","2L:4794549..4796581(1)","2L",4794549,4796581
