"geneNames","geneIDs","feature","id","pval","qval"
"MSTRG.1793.4","MSTRG.1793","transcript","5940",3.20832249656178e-12,5.25491141711854e-08
"FBtr0334151","MSTRG.9910","transcript","33075",1.13760260100904e-08,8.82884156575929e-05
"FBtr0076389","MSTRG.6812","transcript","23041",1.61710267398973e-08,8.82884156575929e-05
"FBtr0076388","MSTRG.6811","transcript","23040",5.22829961546734e-08,0.000172004385319147
"FBtr0300506","MSTRG.7053","transcript","23964",5.25075967150457e-08,0.000172004385319147
"FBtr0085151","MSTRG.11252","transcript","37726",1.14042320698005e-07,0.000311316528452103
"FBtr0086609","MSTRG.4723","transcript","15932",2.32693683654972e-07,0.000544469977797827
"FBtr0079765","MSTRG.1209","transcript","4040",4.62311225524203e-07,0.000946524445357616
"FBtr0085511","MSTRG.11548","transcript","38706",5.72844890411872e-07,0.00104251405111734
"FBtr0077539","MSTRG.556","transcript","1669",8.59210746217975e-07,0.00140730128123042
"FBtr0077942","MSTRG.268","transcript","707",1.77447428884037e-06,0.00264219221608331
"FBtr0086475","MSTRG.4830","transcript","16489",3.88717357657775e-06,0.00530566800089725
"FBtr0071123","MSTRG.12730","transcript","43413",4.4762095008366e-06,0.00563967964724636
"FBtr0072305","MSTRG.5511","transcript","18661",5.30596937697858e-06,0.00593117109751156
"FBtr0076011","MSTRG.7092","transcript","24091",5.66892521880469e-06,0.00593117109751156
"FBtr0330606","MSTRG.3478","transcript","11577",6.0449146075392e-06,0.00593117109751156
"FBtr0100663","MSTRG.12501","transcript","42663",6.15604790632496e-06,0.00593117109751156
"FBtr0088192","MSTRG.3603","transcript","12138",6.58760070582076e-06,0.0059943506644799
"FBtr0335002","MSTRG.10808","transcript","36265",9.67753509839575e-06,0.00834254459876969
"FBtr0335216","MSTRG.9363","transcript","31317",1.25051703576684e-05,0.00909680022978881
"FBtr0085112","MSTRG.11272","transcript","37791",1.25190045116019e-05,0.00909680022978881
"FBtr0300286","MSTRG.3914","transcript","13047",1.27722714293732e-05,0.00909680022978881
"FBtr0076749","MSTRG.6553","transcript","22175",1.27740646733709e-05,0.00909680022978881
"FBtr0100081","MSTRG.12892","transcript","44047",1.3627506701086e-05,0.00930020551071201
"FBtr0075221","MSTRG.7650","transcript","25910",1.61496241000147e-05,0.0105805877253657
"FBtr0084466","MSTRG.10804","transcript","36258",1.70099441942906e-05,0.0107156106137802
"FBtr0074640","MSTRG.13854","transcript","47770",1.7793469743399e-05,0.0107940459602642
"FBtr0086733","MSTRG.4624","transcript","15612",1.96502076963423e-05,0.0114946697092282
"FBtr0086482","MSTRG.4828","transcript","16485",2.39450252408346e-05,0.0135239851179183
"FBtr0112396","MSTRG.5010","transcript","17136",2.50025324628478e-05,0.0136505493069661
"FBtr0301011","MSTRG.3982","transcript","13279",2.82885366258423e-05,0.0149463852062797
"FBtr0079925","MSTRG.1264","transcript","4258",2.97169319063428e-05,0.0152104258654372
"FBtr0304959","MSTRG.7292","transcript","24708",3.10138364283397e-05,0.0153932008139326
"FBtr0083992","MSTRG.10460","transcript","35048",3.28549755883589e-05,0.0158274013282862
"FBtr0100432","MSTRG.665","transcript","2084",3.61213933690596e-05,0.0165846382033221
"FBtr0084431","MSTRG.10764","transcript","36136",3.64519796886009e-05,0.0165846382033221
"FBtr0083823","MSTRG.10385","transcript","34738",4.16910593896702e-05,0.018344992207714
"FBtr0304676","MSTRG.3621","transcript","12188",4.38473281069163e-05,0.018344992207714
"FBtr0302992","MSTRG.1189","transcript","3943",4.38760504970492e-05,0.018344992207714
"FBtr0113232","MSTRG.9734","transcript","32493",4.52277920457433e-05,0.018344992207714
"FBtr0073076","MSTRG.6075","transcript","20641",4.59212821610766e-05,0.018344992207714
"FBtr0307520","MSTRG.7486","transcript","25366",4.88141599161995e-05,0.019036360125415
"FBtr0076510","MSTRG.6710","transcript","22658",5.63571609191182e-05,0.0209696013679332
"FBtr0346363","MSTRG.10663","transcript","35799",5.71453457194337e-05,0.0209696013679332
"FBtr0085210","MSTRG.11312","transcript","37910",5.76123122020267e-05,0.0209696013679332
"FBtr0078197","MSTRG.8026","transcript","26987",6.05338289907387e-05,0.0212740380418337
"FBtr0071091","MSTRG.12713","transcript","43371",6.19963017147729e-05,0.0212740380418337
"FBtr0076452","MSTRG.6757","transcript","22875",6.23453096042503e-05,0.0212740380418337
"FBtr0074444","MSTRG.13715","transcript","47246",6.8396664952175e-05,0.0228626321479934
"FBtr0302527","MSTRG.11388","transcript","38181",7.22630120861822e-05,0.0236719174991916
"FBtr0308753","MSTRG.1876","transcript","6167",7.65754206093483e-05,0.0245927218462846
"FBtr0087171","MSTRG.4339","transcript","14610",8.34455164058223e-05,0.0262771638544496
"FBtr0088972","MSTRG.3054","transcript","10137",8.5028981273938e-05,0.0262771638544496
"FBtr0089607","MSTRG.11103","transcript","37150",9.34054160963704e-05,0.0280000519429477
"FBtr0302437","MSTRG.8882","transcript","29799",9.40230085391125e-05,0.0280000519429477
"MSTRG.8216.1","MSTRG.8216","transcript","27557",9.76187798196193e-05,0.0280027197905479
"FBtr0290130","MSTRG.7086","transcript","24054",9.88223236519925e-05,0.0280027197905479
"MSTRG.4724.9","MSTRG.4724","transcript","15942",9.94775524757463e-05,0.0280027197905479
"FBtr0303377","MSTRG.302","transcript","803",0.00010177509820708,0.0280027197905479
"FBtr0080576","MSTRG.1793","transcript","5937",0.00010704574183984,0.0280027197905479
"MSTRG.1876.1","MSTRG.1876","transcript","6166",0.000107489201744304,0.0280027197905479
"FBtr0087004","MSTRG.4453","transcript","15023",0.000107568144008918,0.0280027197905479
"FBtr0085149","MSTRG.11253","transcript","37730",0.000108222595612273,0.0280027197905479
"FBtr0088707","MSTRG.3250","transcript","10810",0.000111108794796255,0.0280027197905479
"FBtr0086178","MSTRG.2989","transcript","9931",0.000111128688343953,0.0280027197905479
"FBtr0086029","MSTRG.2856","transcript","9495",0.00011462542895424,0.0284462106188106
