## FlyBase FBgn-Annotation ID Correspondence Table
## TOR pathway
## Generated: Fri Mar 22 19:39:04 2019
## Using datasource: dbi:Pg:dbname=fb_2019_02_reporting;host=flysql20;port=5432...
##gene_symbol	organism_abbreviation	primary_FBgn#	secondary_FBgn#(s)	annotation_ID	secondary_annotation_ID(s)
gd	Dmel	FBgn0000808		CG1505	
phyl	Dmel	FBgn0013725		CG10108	
sty	Dmel	FBgn0014388		CG1921	
Acn	Dmel	FBgn0263198	FBgn0086441,FBgn0002020,FBgn0032745,FBgn0262596	CG10473	CG10437
vap	Dmel	FBgn0003969	FBgn0020383	CG9209	
cic	Dmel	FBgn0262582	FBgn0028386,FBgn0010023,FBgn0038782,FBgn0038780	CG43122	CG5067,CG5060
CG14977	Dmel	FBgn0035469	FBgn0061380	CG14977	
RagC-D	Dmel	FBgn0033272		CG8707	
chb	Dmel	FBgn0021760	FBgn0041101,FBgn0041587,FBgn0043506,FBgn0045153,FBgn0045266,FBgn0045320,FBgn0047200,FBgn0052435	CG32435	
eIF4E1	Dmel	FBgn0015218	FBgn0002202,FBgn0010921,FBgn0013947,FBgn0028178,FBgn0035984,FBgn0060598,FBgn0060792,FBgn0061015	CG4035	
Sos	Dmel	FBgn0001965	FBgn0013235,FBgn0026802	CG7793	
Nprl2	Dmel	FBgn0030800		CG9104	
Nprl3	Dmel	FBgn0036397		CG8783	
PRAS40	Dmel	FBgn0267824	FBgn0001332,FBgn0010518,FBgn0033940	CG46146	CG10109
Tor	Dmel	FBgn0021796	FBgn0032466	CG5092	
Ilp3	Dmel	FBgn0044050	FBgn0036047	CG14167	
sev	Dmel	FBgn0003366	FBgn0022796,FBgn0026795,FBgn0026831,FBgn0026832	CG18085	
dpp	Dmel	FBgn0000490	FBgn0010065	CG9885	
bnl	Dmel	FBgn0014135	FBgn0010906,FBgn0013633	CG4608	
ATPsynD	Dmel	FBgn0016120		CG6030	
Src42A	Dmel	FBgn0264959	FBgn0004603,FBgn0010284,FBgn0014884,FBgn0021964,FBgn0022795,FBgn0024932,FBgn0033049	CG44128	CG7873,CG14471
srl	Dmel	FBgn0037248		CG9809	
arm	Dmel	FBgn0000117	FBgn0029069,FBgn0040191,FBgn0045040	CG11579	
dos	Dmel	FBgn0016794		CG1044	
S6k	Dmel	FBgn0283472	FBgn0015806,FBgn0010455,FBgn0011551,FBgn0004460	CG10539	
Ptth	Dmel	FBgn0013323	FBgn0031269	CG13687	
rl	Dmel	FBgn0003256	FBgn0005693,FBgn0039983,FBgn0042217,FBgn0047177	CG12559	CG18732
Pdk1	Dmel	FBgn0020386	FBgn0035098	CG1210	CG1201
Mipp2	Dmel	FBgn0026060	FBgn0026701,FBgn0029065	CG4317	
Cul1	Dmel	FBgn0015509	FBgn0020308,FBgn0022252	CG1877	
kis	Dmel	FBgn0266557	FBgn0062647,FBgn0086902,FBgn0010642,FBgn0010689,FBgn0010697,FBgn0010698,FBgn0021918,FBgn0026596,FBgn0031234,FBgn0031236,FBgn0046436,FBgn0063789,FBgn0021813,FBgn0001309	CG3696	CG3660,CG18326
Myd88	Dmel	FBgn0033402		CG2078	
clos	Dmel	FBgn0261016	FBgn0033432,FBgn0085393,FBgn0033433,FBgn0033435,FBgn0053479	CG42600	CG12928,CG34364,CG12927,CG1863,CG33479
Sik3	Dmel	FBgn0262103	FBgn0034376,FBgn0034378	CG42856	CG18604,CG15072
CG16908	Dmel	FBgn0037741		CG16908	
Hsc70-4	Dmel	FBgn0266599	FBgn0001219,FBgn0010802,FBgn0011400,FBgn0024549,FBgn0062154,FBgn0066308	CG4264	
Cat	Dmel	FBgn0000261	FBgn0011460,FBgn0026841	CG6871	
Raf	Dmel	FBgn0003079	FBgn0040149	CG2845	
slmb	Dmel	FBgn0283468	FBgn0260565,FBgn0267841,FBgn0023423,FBgn0016060,FBgn0023437,FBgn0063206,FBgn0067639	CG3412	
tor	Dmel	FBgn0003733		CG1389	
PCNA	Dmel	FBgn0005655	FBgn0002895,FBgn0003045,FBgn0004700,FBgn0010513,FBgn0010677	CG9193	
SelD	Dmel	FBgn0261270	FBgn0020615,FBgn0021903,FBgn0046452,FBgn0046453,FBgn0065403	CG8553	
AMPKalpha	Dmel	FBgn0023169	FBgn0004836,FBgn0029574	CG3051	
Atg9	Dmel	FBgn0034110		CG3615	
Wdr24	Dmel	FBgn0027518		CG7609	
Wdr59	Dmel	FBgn0032339		CG4705	
CG5110	Dmel	FBgn0032642	FBgn0047173	CG5110	
rictor	Dmel	FBgn0031006		CG8002	
Pdfr	Dmel	FBgn0260753	FBgn0040378,FBgn0029622,FBgn0046581,FBgn0046582,FBgn0082641	CG13758	
dome	Dmel	FBgn0043903	FBgn0019901,FBgn0027236,FBgn0028267,FBgn0028288,FBgn0028311,FBgn0028326,FBgn0028335,FBgn0028344,FBgn0031056	CG14226	
Dcr-2	Dmel	FBgn0034246		CG6493	
MESR4	Dmel	FBgn0034240	FBgn0043379,FBgn0043387	CG4903	
Akap200	Dmel	FBgn0027932	FBgn0061414,FBgn0062168,FBgn0062223	CG13388	
hppy	Dmel	FBgn0263395	FBgn0065486,FBgn0259477,FBgn0045883,FBgn0034421,FBgn0263255	CG7097	
CG5189	Dmel	FBgn0034350		CG5189	
shi	Dmel	FBgn0003392	FBgn0030705,FBgn0045942,FBgn0045943,FBgn0045944	CG18102	
Egfr	Dmel	FBgn0003731	FBgn0010599,FBgn0022793	CG10079	
ebi	Dmel	FBgn0263933	FBgn0023444,FBgn0021820,FBgn0085068	CG4063	
Pi3K21B	Dmel	FBgn0020622	FBgn0020262,FBgn0024844	CG2699	
Cdc37	Dmel	FBgn0011573	FBgn0004640	CG12019	
14-3-3zeta	Dmel	FBgn0004907	FBgn0010635,FBgn0019723,FBgn0023038,FBgn0046306,FBgn0064146	CG17870	
cathD	Dmel	FBgn0029093	FBgn0033227	CG1548	
wrd	Dmel	FBgn0042693	FBgn0038572,FBgn0038573,FBgn0047274,FBgn0062021	CG7913	CG7901
Mad	Dmel	FBgn0011648	FBgn0000105,FBgn0013945,FBgn0022270,FBgn0024356	CG12399	
Shc	Dmel	FBgn0015296	FBgn0035990	CG3715	
Tap42	Dmel	FBgn0051852	FBgn0032510	CG31852	CG6537
Dcp-1	Dmel	FBgn0010501	FBgn0010509	CG5370	
htl	Dmel	FBgn0010389	FBgn0004599,FBgn0022791	CG7223	
dl	Dmel	FBgn0260632	FBgn0000462,FBgn0025325,FBgn0260285	CG6667	
tup	Dmel	FBgn0003896	FBgn0002017,FBgn0015395	CG10619	
csw	Dmel	FBgn0000382	FBgn0004637,FBgn0026663,FBgn0029599,FBgn0066824,FBgn0066826,FBgn0066827	CG3954	
NFAT	Dmel	FBgn0030505	FBgn0043371,FBgn0043579	CG11172	
Lst8	Dmel	FBgn0264691	FBgn0086734,FBgn0030142	CG3004	
ed	Dmel	FBgn0000547	FBgn0022256,FBgn0031582,FBgn0031583,FBgn0031584	CG12676	CG16842,CG15424
Atg5	Dmel	FBgn0029943		CG1643	
btl	Dmel	FBgn0285896	FBgn0005592,FBgn0000436,FBgn0000654,FBgn0004412,FBgn0004420,FBgn0004600,FBgn0019834,FBgn0022794,FBgn0052134,FBgn0063611,FBgn0011339	CG32134	CG6714
Nup44A	Dmel	FBgn0033247		CG8722	
Tsc1	Dmel	FBgn0026317		CG6147	
tll	Dmel	FBgn0003720		CG1378	
put	Dmel	FBgn0003169	FBgn0000467,FBgn0004912,FBgn0004920,FBgn0010942,FBgn0011375	CG7904	
alph	Dmel	FBgn0086361	FBgn0084988,FBgn0043570,FBgn0039672	CG1906	
fs(1)M3	Dmel	FBgn0005390	FBgn0000816,FBgn0004681,FBgn0029829	CG4790	
mts	Dmel	FBgn0004177	FBgn0010514,FBgn0010703,FBgn0031953	CG7109	
Rheb	Dmel	FBgn0041191	FBgn0037343	CG1081	
ImpL2	Dmel	FBgn0001257		CG15009	
tkv	Dmel	FBgn0003716	FBgn0010572	CG14026	
Vha68-1	Dmel	FBgn0265262	FBgn0013354,FBgn0013355,FBgn0020368	CG12403	
gig	Dmel	FBgn0005198		CG6975	
Fbw5	Dmel	FBgn0031773		CG9144	
fs(1)N	Dmel	FBgn0004650	FBgn0000750,FBgn0000914,FBgn0024367	CG11411	
Tl	Dmel	FBgn0262473	FBgn0003717,FBgn0062707	CG5490	
tub	Dmel	FBgn0003882	FBgn0015226	CG10520	
hkb	Dmel	FBgn0261434	FBgn0086720,FBgn0001204,FBgn0014111	CG9768	
TfIIA-S	Dmel	FBgn0013347	FBgn0010326,FBgn0010327,FBgn0063013	CG5163	
ksr	Dmel	FBgn0015402	FBgn0011387	CG2899	
N	Dmel	FBgn0004647	FBgn0000311,FBgn0002916,FBgn0017616,FBgn0024967,FBgn0026804	CG3936	
CycE	Dmel	FBgn0010382	FBgn0001984,FBgn0010318,FBgn0015389,FBgn0022237	CG3938	
Akt1	Dmel	FBgn0010379	FBgn0010837,FBgn0013324,FBgn0017365	CG4006	
fog	Dmel	FBgn0000719	FBgn0069907,FBgn0069908,FBgn0069909	CG9559	CR41108,CR41109,CR41110
Socs36E	Dmel	FBgn0041184	FBgn0025963,FBgn0032667	CG15154	
mio	Dmel	FBgn0031399	FBgn0031400	CG7074	CG15384
cnk	Dmel	FBgn0286070	FBgn0021818,FBgn0044753,FBgn0063794,FBgn0024192	CG6556	
Sin1	Dmel	FBgn0033935		CG10105	
scyl	Dmel	FBgn0041094	FBgn0036151,FBgn0062166	CG7590	
ato	Dmel	FBgn0010433		CG7508	
drk	Dmel	FBgn0004638	FBgn0021869	CG6033	
RagA-B	Dmel	FBgn0037647		CG11968	
Gug	Dmel	FBgn0010825	FBgn0011373,FBgn0011523,FBgn0020427,FBgn0024868,FBgn0035897	CG6964	
Hsp83	Dmel	FBgn0001233	FBgn0004639,FBgn0010233,FBgn0011792,FBgn0016742,FBgn0024852,FBgn0044664	CG1242	
msn	Dmel	FBgn0010909	FBgn0010797,FBgn0024520,FBgn0035351	CG16973	
stumps	Dmel	FBgn0020299	FBgn0024898,FBgn0025779,FBgn0028088,FBgn0038245,FBgn0051317,FBgn0063634	CG31317	CG18485,CG3375
rept	Dmel	FBgn0040075	FBgn0010908,FBgn0036854,FBgn0044525	CG9750	
Atg1	Dmel	FBgn0260945	FBgn0010715,FBgn0036313,FBgn0062118,FBgn0064136,FBgn0044321	CG10967	
hid	Dmel	FBgn0003997	FBgn0010852	CG5123	
Thor	Dmel	FBgn0261560	FBgn0022073,FBgn0017459,FBgn0020516,FBgn0027067,FBgn0046442,FBgn0010616	CG8846	
Dsor1	Dmel	FBgn0010269		CG15793	
byn	Dmel	FBgn0011723	FBgn0014890	CG7260	
dlg1	Dmel	FBgn0001624	FBgn0010108,FBgn0027239,FBgn0027662,FBgn0028321,FBgn0029052,FBgn0030295,FBgn0066811,FBgn0066812,FBgn0066813	CG1725	CG1730
Btk29A	Dmel	FBgn0003502	FBgn0032011	CG8049	CG18355
Ras85D	Dmel	FBgn0003205	FBgn0011008,FBgn0011548	CG9375	
trk	Dmel	FBgn0003751		CG5619	
Pten	Dmel	FBgn0026379	FBgn0032201	CG5671	
chico	Dmel	FBgn0024248	FBgn0013449,FBgn0014169,FBgn0028483,FBgn0043507,FBgn0043508	CG5686	
chrb	Dmel	FBgn0036165	FBgn0025947,FBgn0046799	CG7533	
14-3-3epsilon	Dmel	FBgn0020238	FBgn0011329,FBgn0016739,FBgn0016743,FBgn0046456,FBgn0051196,FBgn0064146,FBgn0066007	CG31196	
svp	Dmel	FBgn0003651	FBgn0011337,FBgn0011492,FBgn0011510,FBgn0038010,FBgn0063263	CG11502	CG18158
Ilp8	Dmel	FBgn0036690		CG14059	
tsl	Dmel	FBgn0003867		CG6705	
Stat92E	Dmel	FBgn0016917	FBgn0010885,FBgn0011396,FBgn0015512	CG4257	
pnt	Dmel	FBgn0003118	FBgn0004060,FBgn0005657,FBgn0010925,FBgn0011309	CG17077	
spen	Dmel	FBgn0016977	FBgn0010537,FBgn0016056,FBgn0016624,FBgn0022059,FBgn0022080,FBgn0022115,FBgn0026182,FBgn0031230,FBgn0040065,FBgn0047291	CG18497	
Pi3K92E	Dmel	FBgn0015279	FBgn0014938	CG4141	
PIP4K	Dmel	FBgn0039924		CG17471	
aop	Dmel	FBgn0000097	FBgn0003123,FBgn0005623,FBgn0026827	CG3166	
slp1	Dmel	FBgn0003430	FBgn0010610	CG16738	
poly	Dmel	FBgn0086371	FBgn0014374,FBgn0010858,FBgn0002506,FBgn0004732,FBgn0023020,FBgn0038141	CG9829	
pont	Dmel	FBgn0040078	FBgn0028192,FBgn0037803,FBgn0061742	CG4003	
unk	Dmel	FBgn0004395		CG4620	
foxo	Dmel	FBgn0038197	FBgn0062059	CG3143	
bcd	Dmel	FBgn0000166	FBgn0040059,FBgn0014130,FBgn0014131,FBgn0015909,FBgn0015910,FBgn0015911,FBgn0015912	CG1034	
Lpin	Dmel	FBgn0263593	FBgn0033269,FBgn0062224,FBgn0044466	CG8709	
gcl	Dmel	FBgn0005695	FBgn0004886	CG8411	
fkh	Dmel	FBgn0000659	FBgn0015292	CG10002	
CG14812	Dmel	FBgn0026090	FBgn0062994	CG14812	
S	Dmel	FBgn0003310	FBgn0010102,FBgn0010674,FBgn0069199	CG4385	
Sesn	Dmel	FBgn0034897	FBgn0045816,FBgn0063233	CG11299	
grh	Dmel	FBgn0259211	FBgn0004586,FBgn0000572,FBgn0001136,FBgn0010628,FBgn0010683,FBgn0013964,FBgn0014968,FBgn0026798,FBgn0050111,FBgn0047195	CG42311	CG30111,CG5058
raptor	Dmel	FBgn0029840		CG4320	
Iml1	Dmel	FBgn0035227		CG12090	
Myc	Dmel	FBgn0262656	FBgn0000472,FBgn0028362,FBgn0066838,FBgn0028316,FBgn0040170	CG10798	
Rap1	Dmel	FBgn0004636	FBgn0003190,FBgn0003207,FBgn0045818	CG1956	
TBC1d7	Dmel	FBgn0039158	FBgn0063155	CG6182	
