"geneNames","geneIDs","feature","id","pval","qval"
"FBtr0072569","MSTRG.5675","transcript","19292",0,0
"FBtr0300727","MSTRG.5675","transcript","19291",1.36557432028894e-13,1.01482655612273e-09
"FBtr0071928","MSTRG.5204","transcript","17732",4.30923343675005e-07,0.00213493788568053
"FBtr0081780","MSTRG.8904","transcript","29846",3.10404025727351e-06,0.011533837585964
"FBtr0083330","MSTRG.10048","transcript","33579",1.53127221356186e-05,0.0424593573513903
"FBtr0084304","MSTRG.10688","transcript","35881",1.73837940097288e-05,0.0424593573513903
"FBtr0084456","MSTRG.10808","transcript","36262",1.99970060862364e-05,0.0424593573513903
"FBtr0300488","MSTRG.5509","transcript","18655",3.15638177925681e-05,0.0550577613744079
"FBtr0307049","MSTRG.12358","transcript","42181",3.33391544351525e-05,0.0550577613744079
"FBtr0100525","MSTRG.9540","transcript","31848",4.40724012216176e-05,0.0655048099356902
"FBtr0339180","MSTRG.8905","transcript","29849",5.91160485523545e-05,0.076279711378806
"FBtr0085172","MSTRG.11299","transcript","37870",6.15862569162129e-05,0.076279711378806
"FBtr0072625","MSTRG.5752","transcript","19522",7.10778990943295e-05,0.0812639087876169
"FBtr0085447","MSTRG.11482","transcript","38549",7.9269835139506e-05,0.0823632846606661
"FBtr0086625","MSTRG.4738","transcript","15991",8.31224698856214e-05,0.0823632846606661
"FBtr0078536","MSTRG.8290","transcript","27785",9.6890724984644e-05,0.0894814164033029
"MSTRG.4253.1","MSTRG.4253","transcript","14348",0.000102347041570083,0.0894814164033029
"FBtr0076196","MSTRG.6914","transcript","23460",0.000114604792738948,0.0943724529862254
"FBtr0086257","MSTRG.4914","transcript","16831",0.000135720773072778,0.0943724529862254
"FBtr0070115","MSTRG.11998","transcript","40834",0.000136224702222743,0.0943724529862254
"FBtr0085572","MSTRG.11598","transcript","38833",0.000143304429444657,0.0943724529862254
"FBtr0074282","MSTRG.13601","transcript","46957",0.000148042523670178,0.0943724529862254
"FBtr0080932","MSTRG.2053","transcript","6812",0.00015158449585273,0.0943724529862254
"FBtr0081901","MSTRG.9029","transcript","30242",0.000152387732736958,0.0943724529862254
"FBtr0079925","MSTRG.1264","transcript","4258",0.000165358681406547,0.0954998550891282
"FBtr0086701","MSTRG.4695","transcript","15834",0.000167058886652582,0.0954998550891282
"FBtr0076748","MSTRG.6551","transcript","22173",0.000190893083073629,0.105083107174939
"FBtr0303195","MSTRG.4959","transcript","16964",0.000216733379867162,0.109025138256602
"FBtr0299614","MSTRG.13353","transcript","45877",0.000237225529187146,0.109025138256602
"FBtr0081303","MSTRG.2349","transcript","7847",0.000248282489822338,0.109025138256602
"FBtr0077260","MSTRG.14080","transcript","48533",0.000256136860204315,0.109025138256602
"FBtr0070381","MSTRG.12162","transcript","41480",0.000259001788974533,0.109025138256602
"FBtr0080391","MSTRG.1638","transcript","5476",0.00026409893746604,0.109025138256602
"FBtr0070824","MSTRG.12502","transcript","42668",0.000273864265777801,0.109025138256602
"FBtr0079649","MSTRG.1128","transcript","3769",0.000277876120971188,0.109025138256602
"FBtr0088380","MSTRG.3437","transcript","11416",0.000278395575226797,0.109025138256602
"FBtr0077431","MSTRG.600","transcript","1861",0.000294837872486298,0.109025138256602
"FBtr0070756","MSTRG.12420","transcript","42420",0.00029916928808249,0.109025138256602
"FBtr0086666","MSTRG.4667","transcript","15729",0.000301154230013756,0.109025138256602
"FBtr0085772","MSTRG.11707","transcript","39222",0.000303370270236747,0.109025138256602
"FBtr0084461","MSTRG.10812","transcript","36274",0.000305245511231567,0.109025138256602
"FBtr0305122","MSTRG.11707","transcript","39218",0.000308084223022087,0.109025138256602
"FBtr0335046","MSTRG.14167","transcript","48819",0.000331723326968514,0.114660553691466
"FBtr0088256","MSTRG.3544","transcript","11971",0.000344499344816285,0.116370312772828
"FBtr0086225","MSTRG.4918","transcript","16846",0.000355719642826102,0.117490245584986
"FBtr0075801","MSTRG.7249","transcript","24548",0.000373872140977172,0.12080133981182
"FBtr0076766","MSTRG.6558","transcript","22195",0.000412709766082764,0.1232876855827
"MSTRG.14145.7","MSTRG.14145","transcript","48789",0.000413108002663587,0.1232876855827
"FBtr0087294","MSTRG.4253","transcript","14344",0.000421148718375619,0.1232876855827
"FBtr0082154","MSTRG.9230","transcript","30895",0.000422469257201019,0.1232876855827
"FBtr0100356","MSTRG.3023","transcript","9991",0.000423041913793831,0.1232876855827
"FBtr0086635","MSTRG.4730","transcript","15959",0.000443239531847439,0.126689791574009
"FBtr0074797","MSTRG.13969","transcript","48181",0.000496093573471912,0.138887806253267
"FBtr0080315","MSTRG.1594","transcript","5330",0.00051192280840695,0.138887806253267
"FBtr0099990","MSTRG.11514","transcript","38621",0.000513949360420485,0.138887806253267
"MSTRG.5657.26","MSTRG.5657","transcript","19176",0.000534324064434877,0.140865020435681
"FBtr0091930","MSTRG.6775","transcript","22939",0.00054905421882212,0.140865020435681
"FBtr0075279","MSTRG.7618","transcript","25803",0.000549698660113673,0.140865020435681
"FBtr0070099","MSTRG.11973","transcript","40720",0.000561843020133068,0.140868835051613
"FBtr0304931","MSTRG.2082","transcript","6893",0.000568669185433412,0.140868835051613
"FBtr0082267","MSTRG.9310","transcript","31176",0.00059242944022353,0.144348832295776
"FBtr0088307","MSTRG.3524","transcript","11871",0.00065248299430376,0.156417012005432
"FBtr0299968","MSTRG.846","transcript","2762",0.000675799715896708,0.159435098053536
"FBtr0100475","MSTRG.11992","transcript","40783",0.000721347960401686,0.163270622725913
"FBtr0113028","MSTRG.958","transcript","3146",0.000730817222426738,0.163270622725913
"FBtr0083273","MSTRG.9998","transcript","33452",0.000749494636011816,0.163270622725913
"FBtr0300559","MSTRG.11830","transcript","39863",0.000771259646562772,0.163270622725913
"FBtr0076945","MSTRG.6442","transcript","21756",0.000792156355264528,0.163270622725913
"MSTRG.51.1","MSTRG.51","transcript","64",0.000792695930076026,0.163270622725913
"FBtr0344786","MSTRG.1532","transcript","5022",0.000793428182797706,0.163270622725913
