#SUBMITTED ID,FBID_KEY,ANNOTATION_SYMBOL,CYTOGENETIC_MAP,EXPERIMENTAL_CYTOLOGY,EXPERIMENTAL_RECOMBINATION_DATA,EXPERIMENTAL_RECOMBINATION_LEFT_OF,EXPERIMENTAL_RECOMBINATION_NOTE,EXPERIMENTAL_RECOMBINATION_RIGHT_OF,FEATURE_TYPE,GO_BIOLOGICAL_PROCESS,GO_CELLULAR_COMPONENT,GO_MOLECULAR_FUNCTION,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,LOCATION_STRAND,MAPPED_FEATURES_MUTATIONS,NAME,RECOMBINATION_MAP,SYMBOL
FBgn0000043,FBgn0000043,CG12051,42A7-42A7,42A-42A; (determined by in situ hybridisation),2-55 <newline> 2-55.8,-,-,-,SO0000010:protein_coding_gene,cytoskeleton organization ; GO:0007010 | inferred from sequence or structural similarity <newline> mitotic cytokinesis ; GO:0000281 | inferred from mutant phenotype,actin filament ; GO:0005884 | inferred from sequence or structural similarity <newline> brahma complex ; GO:0035060 | inferred from direct assay,structural constituent of cytoskeleton ; GO:0005200 | inferred from sequence or structural similarity,2R,6015689,6013910,-1,-,Actin 42A,Feb-55,Act42A
FBgn0000052,FBgn0000052,CG9127,26B3-26B3,26B1-26B2; (determined by in situ hybridisation),2-17.7 <newline> 2- <newline> 2-19.5 <newline> 2-18,cl,Mapping based on 73 cl-wg recombinants. <newline> Maps to 2L.,wg,SO0000010:protein_coding_gene,'de novo' IMP biosynthetic process ; GO:0006189 | inferred from electronic annotation with InterPro:IPR010073 <newline> purine nucleotide biosynthetic process ; GO:0006164 | inferred from sequence or structural similarity with SGD:S000003293,cytoplasm ; GO:0005737 | inferred from biological aspect of ancestor with PANTHER:PTN000010058 <newline> cytoplasm ; GO:0005737 | inferred from sequence or structural similarity with SGD:S000003293,phosphoribosylformylglycinamidine synthase activity ; GO:0004642 | inferred from sequence or structural similarity with SGD:S000003293,2L,6046050,6041181,-1,-,Phosphoribosylformylglycinamidine synthase,18-Feb,Pfas
FBgn0000053,FBgn0000053,CG31628,27D4-27D4,27D-27D; (determined by in situ hybridisation),2-23.2 <newline> 2-24,-,-,-,SO0000010:protein_coding_gene,"'de novo' IMP biosynthetic process ; GO:0006189 | inferred from electronic annotation with InterPro:IPR004607, InterPro:IPR004733 <newline> purine nucleobase biosynthetic process ; GO:0009113 | inferred from electronic annotation with InterPro:IPR000115, InterPro:IPR020559, InterPro:IPR020560, InterPro:IPR020562 <newline> purine nucleobase biosynthetic process ; GO:0009113 | inferred by curator from GO:0004637,GO:0004641,GO:0004644",cytoplasm ; GO:0005737 | inferred from electronic annotation with InterPro:IPR004733 <newline> cytosol ; GO:0005829 | inferred from high throughput direct assay,"ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR011761, InterPro:IPR013815, InterPro:IPR013816 <newline> metal ion binding ; GO:0046872 | inferred from electronic annotation with InterPro:IPR011761 <newline> phosphoribosylformylglycinamidine cyclo-ligase activity ; GO:0004641 | inferred from direct assay <newline> phosphoribosylglycinamide formyltransferase activity ; GO:0004644 | inferred from direct assay <newline> phosphoribosylamine-glycine ligase activity ; GO:0004637 | inferred from direct assay",2L,7023898,7014623,-1,-,GART trifunctional enzyme,24-Feb,Gart
FBgn0000079,FBgn0000079,CG18730,53F12-53F12,54A1-54B1; (determined by in situ hybridisation) <newline> 54A-54A; (determined by in situ hybridisation),2-77.9 <newline> 1- <newline> 2-77.3 <newline> 2-81 <newline> 2-85.2,c,Mapping based on 5039 c-wt recombinants.,wt,SO0000010:protein_coding_gene,"carbohydrate metabolic process ; GO:0005975 | inferred from electronic annotation with InterPro:IPR006046, InterPro:IPR006047, InterPro:IPR006048, InterPro:IPR006589, InterPro:IPR013781 <newline> carbohydrate metabolic process ; GO:0005975 | traceable author statement",extracellular region ; GO:0005576 | inferred from high throughput direct assay,"cation binding ; GO:0043169 | inferred from electronic annotation with InterPro:IPR006046, InterPro:IPR006047, InterPro:IPR006048, InterPro:IPR006589 <newline> catalytic activity ; GO:0003824 | inferred from electronic annotation with InterPro:IPR006046, InterPro:IPR006047, InterPro:IPR006048, InterPro:IPR006589, InterPro:IPR015902 <newline> alpha-amylase activity ; GO:0004556 | traceable author statement <newline> calcium ion binding ; GO:0005509 | traceable author statement",2R,17120303,17118636,-1,-,Amylase proximal,Feb-81,Amy-p
FBgn0000153,FBgn0000153,CG7811,34D1-34D1,34D-34D; (determined by in situ hybridisation) <newline> 34D4-34D4,2-48.5 <newline> 2-48.5 +/- 0.2 <newline> 2-45.1 <newline> 2-49,-,-,rk <newline> elA <newline> NimA <newline> Pburs <newline> Pol32,SO0000010:protein_coding_gene,carboxylic acid metabolic process ; GO:0019752 | inferred from electronic annotation with InterPro:IPR002129 <newline> visual behavior ; GO:0007632 | inferred from mutant phenotype <newline> developmental pigmentation ; GO:0048066 | traceable author statement <newline> beta-alanine biosynthetic process ; GO:0019483 | traceable author statement <newline> uracil catabolic process ; GO:0006212 | traceable author statement,-,pyridoxal phosphate binding ; GO:0030170 | inferred from electronic annotation with InterPro:IPR002129 <newline> aspartate 1-decarboxylase activity ; GO:0004068 | inferred from mutant phenotype,2L,13823979,13821248,1,-,black,Feb-49,b
FBgn0000524,FBgn0000524,CG3929,6B1-6B2,6A-6A; (determined by in situ hybridisation),1-17.0 <newline> 1-17 <newline> 1-18.2,-,-,-,SO0000010:protein_coding_gene,positive regulation of Notch signaling pathway ; GO:0045747 | inferred from direct assay <newline> negative regulation of Notch signaling pathway ; GO:0045746 | inferred from direct assay <newline> imaginal disc-derived leg joint morphogenesis ; GO:0016348 | inferred from mutant phenotype <newline> Notch signaling pathway ; GO:0007219 | inferred from physical interaction with N <newline> Notch receptor processing ; GO:0007220 | inferred from mutant phenotype <newline> positive regulation of Notch signaling pathway ; GO:0045747 | traceable author statement <newline> wing disc development ; GO:0035220 | inferred from mutant phenotype <newline> negative regulation of Notch signaling pathway ; GO:0045746 | inferred from mutant phenotype <newline> endocytosis ; GO:0006897 | inferred from mutant phenotype <newline> protein ubiquitination ; GO:0016567 | inferred from direct assay <newline> positive regulation of Notch signaling pathway ; GO:0045747 | inferred from mutant phenotype <newline> Notch signaling pathway ; GO:0007219 | inferred from genetic interaction with N <newline> regulation of Notch signaling pathway ; GO:0008593 | inferred from genetic interaction with N,cytoplasm ; GO:0005737 | inferred from direct assay,"zinc ion binding ; GO:0008270 | inferred from electronic annotation with InterPro:IPR001841, InterPro:IPR018123 <newline> Notch binding ; GO:0005112 | inferred from physical interaction with UniProtKB:P07207 <newline> ubiquitin protein ligase activity ; GO:0061630 | inferred from direct assay <newline> zinc ion binding ; GO:0008270 | inferred from sequence model",X,6538575,6533999,1,-,deltex,17-Jan,dx
FBgn0000543,FBgn0000543,CG5714,62D4-62D4,-,3-1.3 <newline> 3-2 <newline> 3-4.2,ru,msn maps less than 1cM from ecd.,h,SO0000010:protein_coding_gene,"lymph gland development ; GO:0048542 | inferred from mutant phenotype <newline> molting cycle, chitin-based cuticle ; GO:0007591 | inferred from mutant phenotype <newline> instar larval development ; GO:0002168 | inferred from mutant phenotype <newline> germ-band shortening ; GO:0007390 | inferred from mutant phenotype <newline> Malpighian tubule morphogenesis ; GO:0007443 | inferred from mutant phenotype <newline> response to symbiont ; GO:0009608 | inferred from mutant phenotype inferred from genetic interaction with hop <newline> mRNA splicing, via spliceosome ; GO:0000398 | inferred from mutant phenotype <newline> Golgi organization ; GO:0007030 | inferred from mutant phenotype <newline> positive regulation of malate dehydrogenase (decarboxylating) (NADP+) activity ; GO:1903220 | inferred from mutant phenotype <newline> germ cell development ; GO:0007281 | inferred from mutant phenotype <newline> transcription from RNA polymerase II promoter ; GO:0006366 | inferred from biological aspect of ancestor with PANTHER:PTN000316625 <newline> mushroom body development ; GO:0016319 | inferred from mutant phenotype <newline> head involution ; GO:0008258 | inferred from mutant phenotype <newline> ecdysone biosynthetic process ; GO:0006697 | traceable author statement <newline> instar larval or pupal development ; GO:0002165 | traceable author statement <newline> chitin-based embryonic cuticle biosynthetic process ; GO:0008362 | inferred from mutant phenotype <newline> oogenesis ; GO:0048477 | inferred from mutant phenotype <newline> progression of morphogenetic furrow involved in compound eye morphogenesis ; GO:0007458 | inferred from mutant phenotype",nucleus ; GO:0005634 | inferred from biological aspect of ancestor with PANTHER:PTN000316625 <newline> cytoplasm ; GO:0005737 | inferred from direct assay,snRNP binding ; GO:0070990 | inferred from physical interaction with Prp8 inferred from physical interaction with CG12320 <newline> transcription coactivator activity ; GO:0003713 | inferred from biological aspect of ancestor with PANTHER:PTN000316625,3L,2265857,2263581,-1,-,ecdysoneless,2-Mar,ecd
FBgn0000592,FBgn0000592,CG6917,69A1-69A1,69A1-69A3; (determined by in situ hybridisation) <newline> 69A-69A; (determined by in situ hybridisation) <newline> 69A1-69A1; (determined by in situ hybridisation),3-35.9 <newline> 3- <newline> 3-36.0 <newline> 3-38 <newline> 3-30.9,h,Mapping based on 334 recombinants between h and th.,eyg <newline> Diap1,SO0000010:protein_coding_gene,"ovulation ; GO:0030728 | traceable author statement <newline> sperm storage ; GO:0046693 | traceable author statement <newline> sperm competition ; GO:0046692 | NOT traceable author statement <newline> regulation of female receptivity, post-mating ; GO:0046008 | traceable author statement <newline> pheromone biosynthetic process ; GO:0042811 | inferred from direct assay inferred from mutant phenotype <newline> multicellular organism reproduction ; GO:0032504 | inferred from high throughput expression pattern <newline> regulation of oviposition ; GO:0046662 | traceable author statement <newline> organic substance catabolic process ; GO:1901575 | inferred from direct assay <newline> courtship behavior ; GO:0007619 | inferred from mutant phenotype <newline> mating ; GO:0007618 | traceable author statement",extracellular space ; GO:0005615 | inferred from high throughput direct assay <newline> extracellular region ; GO:0005576 | inferred from direct assay,short-chain carboxylesterase activity ; GO:0034338 | inferred from direct assay <newline> carboxylic ester hydrolase activity ; GO:0052689 | inferred from direct assay,3L,12190705,12188818,1,regulatory_region FBsf0000435433 3L:12188684..12188835 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000435917 3L:12188373..12188835 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000435922 3L:12188575..12188835 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000436126 3L:12188543..12188835 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000436366 3L:12188265..12188835 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000436370 3L:12187644..12188835 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000436740 3L:12188425..12188835 evidence=Reporter construct (in vivo),Esterase 6,Mar-38,Est-6
FBgn0001104,FBgn0001104,CG10060,65D5-65D5,65C-65C; (determined by in situ hybridisation),3-18 <newline> 3-15.8,-,-,-,SO0000010:protein_coding_gene,G-protein coupled receptor signaling pathway ; GO:0007186 | inferred from mutant phenotype <newline> calcium-mediated signaling ; GO:0019722 | inferred from mutant phenotype <newline> asymmetric cell division ; GO:0008356 | inferred from mutant phenotype <newline> establishment of endothelial blood-brain barrier ; GO:0014045 | inferred from mutant phenotype <newline> asymmetric protein localization involved in cell fate determination ; GO:0045167 | inferred from mutant phenotype <newline> establishment of spindle orientation ; GO:0051294 | inferred from mutant phenotype <newline> asymmetric neuroblast division ; GO:0055059 | inferred from mutant phenotype <newline> ventral cord development ; GO:0007419 | inferred from mutant phenotype <newline> regulation of protein localization ; GO:0032880 | inferred from mutant phenotype <newline> axon ensheathment in central nervous system ; GO:0032291 | inferred from mutant phenotype <newline> cortical actin cytoskeleton organization ; GO:0030866 | inferred from mutant phenotype <newline> septate junction assembly ; GO:0019991 | inferred from mutant phenotype <newline> adenylate cyclase-modulating G-protein coupled receptor signaling pathway ; GO:0007188 | inferred from biological aspect of ancestor with PANTHER:PTN000026392 <newline> establishment of glial blood-brain barrier ; GO:0060857 | inferred from mutant phenotype,cell cortex ; GO:0005938 | traceable author statement <newline> apical cortex ; GO:0045179 | inferred from direct assay <newline> plasma membrane ; GO:0005886 | inferred from high throughput direct assay <newline> heterotrimeric G-protein complex ; GO:0005834 | inferred from biological aspect of ancestor with PANTHER:PTN000026392,GTP binding ; GO:0005525 | inferred from electronic annotation with InterPro:IPR001408 <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q9VCX1 <newline> protein binding ; GO:0005515 | inferred from physical interaction with loco <newline> protein binding ; GO:0005515 | inferred from physical interaction with pins <newline> G-protein coupled receptor binding ; GO:0001664 | inferred from biological aspect of ancestor with PANTHER:PTN000026392 <newline> GTPase activity ; GO:0003924 | inferred from biological aspect of ancestor with PANTHER:PTN000026392 <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q9W358 <newline> DNA binding ; GO:0003677 | inferred from direct assay <newline> G-protein beta/gamma-subunit complex binding ; GO:0031683 | inferred from biological aspect of ancestor with PANTHER:PTN000026392 <newline> signal transducer activity ; GO:0004871 | inferred from biological aspect of ancestor with PANTHER:PTN000026392,3L,6980044,6972750,-1,-,G protein alpha i subunit,18-Mar,Galphai
FBgn0001187,FBgn0001187,CG8094,51E7-51E7,51B-52E,2-74.5 +/- 0.003 <newline> 2-75.0 <newline> 2-75.4 <newline> 1- <newline> 2-74 <newline> 2-77.8,L,-,-,SO0000010:protein_coding_gene,carbohydrate phosphorylation ; GO:0046835 | inferred from electronic annotation with InterPro:IPR001312 <newline> glycolytic process ; GO:0006096 | inferred from biological aspect of ancestor with PANTHER:PTN000455350 <newline> cellular glucose homeostasis ; GO:0001678 | inferred from biological aspect of ancestor with PANTHER:PTN000455350 <newline> glucose homeostasis ; GO:0042593 | inferred from mutant phenotype,cytosol ; GO:0005829 | inferred from biological aspect of ancestor with PANTHER:PTN000455350,"ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR001312, InterPro:IPR022672, InterPro:IPR022673 <newline> glucose binding ; GO:0005536 | inferred from electronic annotation with InterPro:IPR001312 <newline> mannokinase activity ; GO:0019158 | inferred from biological aspect of ancestor with PANTHER:PTN000455350 <newline> fructokinase activity ; GO:0008865 | inferred from biological aspect of ancestor with PANTHER:PTN000455350 <newline> hexokinase activity ; GO:0004396 | inferred from direct assay <newline> glucokinase activity ; GO:0004340 | inferred from biological aspect of ancestor with PANTHER:PTN000455350",2R,15220329,15218837,-1,-,Hexokinase C,Feb-74,Hex-C
