"","FBgn","baseMean","log2FC","lfcSE","stat","pvalue","padj","X","spp","gname","v3","cyt","pos","chr","startp","stopp","QTL"
"13","FBgn0024293",6696.7189031901,1.85244701576932,0.296464206865025,70.9097726144537,1.45845914638604e-14,1.36242522105477e-11,26507,"Dmel","Spn43Ab","2-55","42F3-42F3","2R:7151662..7153642(-1)","2R",7151662,7153642,"LinDiscrA"
"38","FBgn0033377",1786.57821511746,0.746144435484209,0.154975869579324,59.5891931700094,3.53871536471407e-12,1.13089893129178e-09,28898,"Dmel","Pgm2a","2-60","45A6-45A7","2R:9107151..9109718(-1)","2R",9107151,9109718,"LinDiscrA"
"44","FBgn0033065",6075.37551352387,1.92983389621819,0.371527262474692,58.6281066541743,5.6326453580126e-12,1.64490430411044e-09,27751,"Dmel","Cyp6w1","2-55","42A12-42A12","2R:6173684..6176195(1)","2R",6173684,6176195,"LinDiscrA"
"45","FBgn0033366",2318.26042712266,2.00705022880665,0.348183564347946,58.0487875919862,7.45315548478774e-12,2.01135822682805e-09,27355,"Dmel","Ance-4","2-60","45A1-45A1","2R:9039728..9042142(-1)","2R",9039728,9042142,"LinDiscrA"
"94","FBgn0013307",2498.79616777947,1.76011999576107,0.326103911605848,47.065052212479,1.47807351965906e-09,1.90954519390847e-07,27332,"Dmel","Odc1","2-58","44A2-44A2","2R:8004824..8006672(1)","2R",8004824,8006672,"LinDiscrA"
"109","FBgn0033320",3267.90236776081,1.64327020666211,0.315438956014204,44.9857116295788,4.00324943148102e-09,4.46013404549592e-07,27465,"Dmel","CG8586","2-59","44E2-44E2","2R:8692796..8696245(-1)","2R",8692796,8696245,"LinDiscrA"
"139","FBgn0033096",17.973411940277,0.628252782997547,0.721046537510323,39.9587545941238,4.41427394485096e-08,3.8429279511903e-06,20496,"Dmel","Zip42C.1","2-55","42C6-42C6","2R:6716342..6717707(-1)","2R",6716342,6717707,"LinDiscrA"
"176","FBgn0033170",999.492348306983,0.768983074608519,0.243885291124873,36.5311873399122,2.24975826932875e-07,1.56399973444882e-05,26468,"Dmel","sPLA2","2-56","43C1-43C1","2R:7442864..7443827(1)","2R",7442864,7443827,"LinDiscrA"
"177","FBgn0002930",3611.40610422602,0.906116085523569,0.212445860275805,36.3590557953542,2.44100834022832e-07,1.67477995953292e-05,26504,"Dmel","nec","2-55","42F3-42F3","2R:7156477..7158241(-1)","2R",7156477,7158241,"LinDiscrA"
"180","FBgn0050431",1145.97775051031,1.88694957142838,0.378076712308986,36.1653365075983,2.67569162675948e-07,1.80519995085373e-05,3168,"Dmel","CG30431","2-55","42A13-42A13","2R:6202725..6205224(1)","2R",6202725,6205224,"LinDiscrA"
