"","FBgn","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","spp","gname","v3","cyt","pos","chr","startp","stopp","effect"
"98","FBgn0043576",92.893950389567,-3.16501302337902,0.507752017886128,36.1808824951065,1.39130130021695e-08,1.6445749246646e-06,27454,"Dmel","PGRP-SC1a","2-59","44E2-44E2","2R:8709733..8710320(1)","2R",8709733,8710320,"treat"
"141","FBgn0013307",2498.79616777947,0.947224282350045,0.179907102151904,32.2037948026908,1.01633015249437e-07,8.34976488403884e-06,27332,"Dmel","Odc1","2-58","44A2-44A2","2R:8004824..8006672(1)","2R",8004824,8006672,"treat"
"187","FBgn0033232",614.935929442721,-0.102775723618356,0.0400751922272339,29.3851364398413,4.16005140445793e-07,2.57700724434442e-05,21177,"Dmel","CG12159","2-57","43F1-43F1","2R:7915027..7916478(-1)","2R",7915027,7916478,"treat"
"207","FBgn0033377",1786.57821511746,-0.51255460663558,0.0952273937347479,28.2748519975767,7.24759472802646e-07,4.05585204490138e-05,28898,"Dmel","Pgm2a","2-60","45A6-45A7","2R:9107151..9109718(-1)","2R",9107151,9109718,"treat"
"220","FBgn0028473",8906.88204931592,0.329164070545591,0.0637535795176862,27.7482508291955,9.43069916343188e-07,4.95221047020977e-05,5948,"Dmel","Non1","2-60","45D2-45D3","2R:9396265..9398734(-1)","2R",9396265,9398734,"treat"
"283","FBgn0259226",79.7831563012412,0.544231545580559,0.109135346219332,25.0902210471104,3.56227731086123e-06,0.000145300775947241,27466,"Dmel","CG42326","2-59","44D3-44D3","2R:8573368..8584779(-1)","2R",8573368,8584779,"treat"
"293","FBgn0033268",1426.17074517094,0.689314299543686,0.138484718700786,24.9250832975254,3.86889489417425e-06,0.000152541906139854,27936,"Dmel","Obp44a","2-58","44B3-44B3","2R:8134170..8135315(-1)","2R",8134170,8135315,"treat"
"298","FBgn0033226",1805.72321726024,0.213004606195662,0.0514556265687067,24.8431343750553,4.03071335087411e-06,0.00015615981089139,27921,"Dmel","CG1882","2-57","43E18-43E18","2R:7812504..7815486(1)","2R",7812504,7815486,"treat"
"323","FBgn0033382",1675.95044022256,0.184761806412718,0.0384181303254376,24.1212042895571,5.78291807865798e-06,0.000207012213472854,27484,"Dmel","Hydr1","2-60","45A11-45A11","2R:9132480..9135453(1)","2R",9132480,9135453,"treat"
"327","FBgn0033327",97.1082585602966,-2.43836249435385,0.479612268172849,24.0168247588738,6.09274170651618e-06,0.000215177804659401,27458,"Dmel","PGRP-SC1b","2-59","44E2-44E2","2R:8713446..8715094(1)","2R",8713446,8715094,"treat"
"333","FBgn0014469",3233.57320974209,-0.356320815270336,0.0913844900887933,23.9220823878204,6.38830748548407e-06,0.000221563335065412,27095,"Dmel","Cyp4e2","2-59","44D1-44D1","2R:8444560..8447164(1)","2R",8444560,8447164,"treat"
"433","FBgn0010114",3050.02910022912,0.444984672154672,0.0963252892506214,21.3798970924177,2.27726900172334e-05,0.000607831431243391,21252,"Dmel","hig","2-60","45B7-45B8","2R:9227785..9247249(-1)","2R",9227785,9247249,"treat"
"555","FBgn0027561",1800.20804546407,0.157372581518327,0.0372761086836016,19.4915762883938,5.854071024107e-05,0.00121966832272042,27497,"Dmel","CG18659","2-60","45A9-45A10","2R:9123304..9132030(-1)","2R",9123304,9132030,"treat"
"583","FBgn0011286",1856.59009584057,0.551360427409823,0.130992852557095,19.1743288789044,6.86036759458101e-05,0.00136079620232237,21394,"Dmel","RyR","2-59","44F1-44F2","2R:8860364..8888097(1)","2R",8860364,8888097,"treat"
"644","FBgn0033413",2166.3724106413,0.109682581012065,0.0283713801764185,18.4775336063392,9.71973798468247e-05,0.00174563480332654,5189,"Dmel","prel","2-60","45D5-45D5","2R:9424087..9426107(1)","2R",9424087,9426107,"treat"
"716","FBgn0033249",238.07269472763,0.349170229892937,0.089016284679904,17.5746570456249,0.000152655238422843,0.00246632954238523,27343,"Dmel","CG11191","2-58","44A2-44A2","2R:8000490..8002120(-1)","2R",8000490,8002120,"treat"
"749","FBgn0033235",1350.27438529378,-0.0668154328262598,0.0435055553973725,17.1829189328894,0.000185684888935837,0.0028663967753059,21167,"Dmel","CG8728","2-57","43F3-43F4","2R:7936866..7939114(-1)","2R",7936866,7939114,"treat"
"752","FBgn0023171",414.697345069828,-0.0756548993281501,0.0424563270227374,17.1616382158378,0.00018767119147223,0.00288709572644663,21170,"Dmel","rnh1","2-57","43F2-43F2","2R:7931054..7932380(-1)","2R",7931054,7932380,"treat"
"755","FBgn0013308",134.384583537224,-0.39538558091358,0.11431085520226,17.1484837875439,0.000188909613306082,0.00289727356753509,27333,"Dmel","Odc2","2-58","44A2-44A2","2R:8007246..8009062(1)","2R",8007246,8009062,"treat"
"937","FBgn0029092",7129.88080979287,0.177861564630945,0.0486903540169747,15.3984360913596,0.000453181411536021,0.00559664549171991,27503,"Dmel","ced-6","2-60","45D7-45D8","2R:9434669..9444937(-1)","2R",9434669,9444937,"treat"
"946","FBgn0033215",72.8809584547286,0.591039985103825,0.151673678905775,15.3530202640221,0.000463589946705478,0.00567077713055571,31486,"Dmel","Dgat2","2-57","43E12-43E12","2R:7712578..7714182(1)","2R",7712578,7714182,"treat"
"963","FBgn0003074",11257.2709257595,-0.350877659038798,0.0923439226693896,15.2296603726849,0.000493084407631507,0.00592519686514874,27419,"Dmel","Pgi","2-59","44F6-44F6","2R:8910900..8914069(-1)","2R",8910900,8914069,"treat"
"1025","FBgn0001285",1229.80178765416,-1.09824328566537,0.278257032254881,14.8099813143633,0.000608209807632111,0.00686696141482493,27900,"Dmel","Jon44E","2-59","44E2-44E2","2R:8691448..8692844(1)","2R",8691448,8692844,"treat"
"1026","FBgn0033274",562.404926961951,0.211816820305846,0.0848834503183294,14.7921937289688,0.000613643225609177,0.00691222514079918,17538,"Dmel","CG14757","2-58","44B8-44B8","2R:8172364..8173613(-1)","2R",8172364,8173613,"treat"
"1043","FBgn0053774",451.235994033805,-0.198039255054435,0.0884900445250974,14.731950733305,0.000632408275625664,0.00701706653721043,23373,"Dmel","CG33774","2-60","45D3-45D3","2R:9399753..9400329(-1)","2R",9399753,9400329,"treat"
"1046","FBgn0266805",26.4496188551667,0.555639681302316,0.159087967956184,14.7068464284177,0.000640396389840274,0.00708534076400166,30539,"Dmel","lncRNA:CR45267","2-58","44A2-44A3","2R:8019176..8026595(1)","2R",8019176,8026595,"treat"
"1114","FBgn0033337",402.63415916462,0.108508548577829,0.0403201169238632,14.2179291589599,0.000817741259988532,0.00849570830108265,27319,"Dmel","CG8272","2-59","44F2-44F3","2R:8888404..8891401(-1)","2R",8888404,8891401,"treat"
"1123","FBgn0265310",45.2366427933191,-0.485809877766463,0.130460088750577,14.1703463126449,0.000837429768471835,0.0086305929163503,29452,"Dmel","lncRNA:CR44283","2-60","45B1-45B1","2R:9161484..9161998(1)","2R",9161484,9161998,"treat"
