SUBMITTED_ID,FBID_KEY,ANNOTATION_SYMBOL,CYTOGENETIC_MAP,EXPERIMENTAL_CYTOLOGY,EXPERIMENTAL_RECOMBINATION_DATA,EXPERIMENTAL_RECOMBINATION_LEFT_OF,EXPERIMENTAL_RECOMBINATION_RIGHT_OF,FEATURE_TYPE,GO_BIOLOGICAL_PROCESS,GO_CELLULAR_COMPONENT,GO_MOLECULAR_FUNCTION,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,LOCATION_STRAND,MAPPED_FEATURES_MUTATIONS,NAME,RECOMBINATION_MAP,SYMBOL
FBgn0000032,FBgn0000032,CG7899,99D1-99D1,99C5-99C7; (determined by in situ hybridisation) <newline> 99D-99D; (determined by in situ hybridisation) <newline> 99C-99C; (determined by in situ hybridisation),3-101.1 <newline> 3- <newline> 3-100 <newline> 3-97.4,ca,bv,SO0000010:protein_coding_gene,dephosphorylation ; GO:0016311 | inferred from sequence or structural similarity with HGNC:125 <newline> dephosphorylation ; GO:0016311 | inferred from direct assay,nucleus ; GO:0005634 | inferred from sequence or structural similarity with HGNC:125 <newline> extracellular exosome ; GO:0070062 | inferred from sequence or structural similarity with HGNC:125,acid phosphatase activity ; GO:0003993 | inferred from direct assay <newline> protein homodimerization activity ; GO:0042803 | inferred from physical interaction with Acph-1 <newline> acid phosphatase activity ; GO:0003993 | inferred from sequence or structural similarity with HGNC:125,3R,29993411,29991144,-1,-,Acid phosphatase 1,3-100,Acph-1
FBgn0000044,FBgn0000044,CG10067,57B5-57B5,57A-57A; (determined by in situ hybridisation) <newline> 57A-57C; (determined by in situ hybridisation) <newline> 57B-57B; (determined by in situ hybridisation),2-94--99 <newline> 2-92 <newline> 2-99.5,-,-,SO0000010:protein_coding_gene,"neuromuscular junction development, skeletal muscle fiber ; GO:0098529 | inferred from mutant phenotype <newline> cytoskeleton organization ; GO:0007010 | inferred from sequence or structural similarity <newline> mitotic cytokinesis ; GO:0000281 | inferred from mutant phenotype <newline> regulation of synapse organization ; GO:0050807 | inferred from mutant phenotype <newline> heart development ; GO:0007507 | non-traceable author statement",plasma membrane ; GO:0005886 | inferred from high throughput direct assay <newline> actin filament ; GO:0005884 | inferred from sequence or structural similarity,structural constituent of cytoskeleton ; GO:0005200 | inferred from sequence or structural similarity,2R,20946431,20944021,1,regulatory_region FBsf0000435019 2R:20943800..20943867 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000435979 2R:20943050..20944029 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000436352 2R:20943434..20944029 evidence=Reporter construct (in vivo),Actin 57B,Feb-92,Act57B
FBgn0000046,FBgn0000046,CG18290,87E11-87E11,87E-87E; (determined by in situ hybridisation) <newline> 87E9-87E12; (determined by in situ hybridisation),3-[53] <newline> 3-53 <newline> 3-50.9,-,-,SO0000010:protein_coding_gene,histone exchange ; GO:0043486 | inferred from direct assay <newline> histone acetylation ; GO:0016573 | inferred from direct assay <newline> cytoskeleton organization ; GO:0007010 | inferred from sequence or structural similarity,NuA4 histone acetyltransferase complex ; GO:0035267 | inferred from direct assay <newline> actin filament ; GO:0005884 | inferred from sequence or structural similarity,structural constituent of cytoskeleton ; GO:0005200 | inferred from sequence or structural similarity,3R,13428375,13425983,1,-,Actin 87E,Mar-53,Act87E
FBgn0000052,FBgn0000052,CG9127,26B3-26B3,26B1-26B2; (determined by in situ hybridisation),2-17.7 <newline> 2- <newline> 2-19.5 <newline> 2-18,cl,wg,SO0000010:protein_coding_gene,'de novo' IMP biosynthetic process ; GO:0006189 | inferred from electronic annotation with InterPro:IPR010073 <newline> purine nucleotide biosynthetic process ; GO:0006164 | inferred from sequence or structural similarity with SGD:S000003293,cytoplasm ; GO:0005737 | inferred from biological aspect of ancestor with PANTHER:PTN000010058 <newline> cytoplasm ; GO:0005737 | inferred from sequence or structural similarity with SGD:S000003293,phosphoribosylformylglycinamidine synthase activity ; GO:0004642 | inferred from sequence or structural similarity with SGD:S000003293,2L,6046050,6041181,-1,-,Phosphoribosylformylglycinamidine synthase,18-Feb,Pfas
FBgn0000053,FBgn0000053,CG31628,27D4-27D4,27D-27D; (determined by in situ hybridisation),2-23.2 <newline> 2-24,-,-,SO0000010:protein_coding_gene,"'de novo' IMP biosynthetic process ; GO:0006189 | inferred from electronic annotation with InterPro:IPR004607, InterPro:IPR004733 <newline> purine nucleobase biosynthetic process ; GO:0009113 | inferred from electronic annotation with InterPro:IPR000115, InterPro:IPR020559, InterPro:IPR020560, InterPro:IPR020562 <newline> purine nucleobase biosynthetic process ; GO:0009113 | inferred by curator from GO:0004637,GO:0004641,GO:0004644",cytoplasm ; GO:0005737 | inferred from electronic annotation with InterPro:IPR004733 <newline> cytosol ; GO:0005829 | inferred from high throughput direct assay,"ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR011761, InterPro:IPR013815, InterPro:IPR013816 <newline> metal ion binding ; GO:0046872 | inferred from electronic annotation with InterPro:IPR011761 <newline> phosphoribosylformylglycinamidine cyclo-ligase activity ; GO:0004641 | inferred from direct assay <newline> phosphoribosylglycinamide formyltransferase activity ; GO:0004644 | inferred from direct assay <newline> phosphoribosylamine-glycine ligase activity ; GO:0004637 | inferred from direct assay",2L,7023898,7014623,-1,-,GART trifunctional enzyme,24-Feb,Gart
FBgn0000083,FBgn0000083,CG5730,93B9-93B10,93B-93B <newline> 93B-93B; (determined by in situ hybridisation),3-70 <newline> 3-73.4,-,-,SO0000010:protein_coding_gene,"endosome transport via multivesicular body sorting pathway ; GO:0032509 | inferred from mutant phenotype <newline> maintenance of cell polarity ; GO:0030011 | inferred from mutant phenotype <newline> wing disc dorsal/ventral pattern formation ; GO:0048190 | inferred from genetic interaction with Bx, ap <newline> regulation of multivesicular body size involved in endosome transport ; GO:0010797 | inferred from mutant phenotype",endomembrane system ; GO:0012505 | inferred from direct assay <newline> cell cortex ; GO:0005938 | inferred from direct assay,"calcium ion binding ; GO:0005509 | inferred from electronic annotation with InterPro:IPR001464, InterPro:IPR018252, InterPro:IPR018502 <newline> spectrin binding ; GO:0030507 | inferred from physical interaction with kst <newline> actin binding ; GO:0003779 | inferred from sequence or structural similarity <newline> protein binding ; GO:0005515 | inferred from physical interaction with kst <newline> calcium-dependent phospholipid binding ; GO:0005544 | inferred from sequence or structural similarity with AnxB10",3R,21070917,21065241,1,-,Annexin B9,Mar-70,AnxB9
FBgn0000140,FBgn0000140,CG6875,96A19-96A20,96A-96A; (determined by in situ hybridisation) <newline> 96A20-96A20; (determined by in situ hybridisation),3-85.2 <newline> 3- <newline> 3-85 <newline> 3-84.5,hh,M(3)96C <newline> tx,SO0000010:protein_coding_gene,centrosome localization ; GO:0051642 | inferred from mutant phenotype <newline> oogenesis ; GO:0048477 | inferred from mutant phenotype <newline> female germ-line stem cell asymmetric division ; GO:0048132 | inferred from mutant phenotype <newline> establishment of meiotic spindle localization ; GO:0051295 | inferred from mutant phenotype <newline> establishment of mitotic spindle orientation ; GO:0000132 | inferred from mutant phenotype <newline> mitotic spindle organization ; GO:0007052 | inferred from mutant phenotype <newline> ovarian fusome organization ; GO:0030723 | inferred from mutant phenotype <newline> nuclear migration ; GO:0007097 | inferred from mutant phenotype <newline> microtubule cytoskeleton organization ; GO:0000226 | inferred from direct assay <newline> actin filament reorganization involved in cell cycle ; GO:0030037 | inferred from mutant phenotype <newline> spindle organization ; GO:0007051 | inferred from mutant phenotype <newline> kinetochore organization ; GO:0051383 | inferred from mutant phenotype <newline> astral microtubule nucleation ; GO:0030954 | inferred from mutant phenotype <newline> cystoblast division ; GO:0007282 | inferred from mutant phenotype <newline> brain morphogenesis ; GO:0048854 | inferred from mutant phenotype <newline> germarium-derived oocyte differentiation ; GO:0030706 | inferred from mutant phenotype <newline> microtubule-based process ; GO:0007017 | inferred from sequence or structural similarity,centrosome ; GO:0005813 | inferred from direct assay <newline> spindle pole ; GO:0000922 | inferred from direct assay <newline> microtubule organizing center ; GO:0005815 | inferred from direct assay <newline> microtubule associated complex ; GO:0005875 | inferred from sequence or structural similarity <newline> microtubule associated complex ; GO:0005875 | inferred from direct assay,microtubule binding ; GO:0008017 | inferred from direct assay <newline> microtubule binding ; GO:0008017 | inferred from sequence or structural similarity <newline> myosin light chain binding ; GO:0032027 | inferred from physical interaction with Mlc-c <newline> calmodulin binding ; GO:0005516 | inferred from direct assay,3R,24760513,24753849,1,-,abnormal spindle,Mar-85,asp
FBgn0000146,FBgn0000146,CG6137,32C1-32C1,32D-32D,2-39 <newline> 2-37.3 <newline> 2-44,P{NM}31E,-,SO0000010:protein_coding_gene,"karyosome formation ; GO:0030717 | traceable author statement <newline> positive regulation of nuclear-transcribed mRNA poly(A) tail shortening ; GO:0060213 | inferred from mutant phenotype <newline> positive regulation of innate immune response ; GO:0045089 | inferred from high throughput mutant phenotype <newline> RNA interference ; GO:0016246 | traceable author statement <newline> gene silencing by RNA ; GO:0031047 | inferred from mutant phenotype <newline> RNA interference ; GO:0016246 | inferred from mutant phenotype <newline> defense response to Gram-negative bacterium ; GO:0050829 | inferred from high throughput mutant phenotype <newline> pole cell formation ; GO:0007279 | inferred from genetic interaction with tud inferred from genetic interaction with vas <newline> regulation of pole plasm oskar mRNA localization ; GO:0007317 | inferred from mutant phenotype <newline> oogenesis ; GO:0048477 | traceable author statement <newline> mRNA splicing, via spliceosome ; GO:0000398 | inferred by curator from GO:0071011,GO:0071013 <newline> oogenesis ; GO:0048477 | inferred from high throughput mutant phenotype <newline> mitotic chromosome condensation ; GO:0007076 | inferred from mutant phenotype <newline> pole cell formation ; GO:0007279 | inferred from genetic interaction with osk <newline> regulation of oskar mRNA translation ; GO:0046011 | traceable author statement <newline> oocyte maturation ; GO:0001556 | inferred from mutant phenotype <newline> targeting of mRNA for destruction involved in RNA interference ; GO:0030423 | inferred from mutant phenotype <newline> negative regulation of transposition ; GO:0010529 | inferred from mutant phenotype <newline> chromatin silencing ; GO:0006342 | inferred from mutant phenotype <newline> positive regulation of oskar mRNA translation ; GO:0046012 | traceable author statement <newline> maintenance of pole plasm mRNA location ; GO:0046594 | traceable author statement <newline> pole plasm protein localization ; GO:0007318 | inferred from mutant phenotype <newline> regulation of translational initiation ; GO:0006446 | inferred from sequence or structural similarity with protein_id:AAC24323.1 <newline> positive regulation of oskar mRNA translation ; GO:0046012 | non-traceable author statement <newline> dorsal appendage formation ; GO:0046843 | inferred from mutant phenotype <newline> dorsal appendage formation ; GO:0046843 | inferred from high throughput mutant phenotype <newline> segmentation ; GO:0035282 | inferred from genetic interaction with nos",cytoplasm ; GO:0005737 | inferred from direct assay <newline> P granule ; GO:0043186 | inferred from direct assay <newline> catalytic step 2 spliceosome ; GO:0071013 | inferred from high throughput direct assay <newline> precatalytic spliceosome ; GO:0071011 | inferred from high throughput direct assay,RNA binding ; GO:0003723 | inferred from direct assay <newline> piRNA binding ; GO:0034584 | inferred from direct assay,2L,11001476,10997819,-1,insertion_site P{lacW}aub[sting-1] 2L:11001469..11001471 evidence=experimental,aubergine,Feb-44,aub
FBgn0000147,FBgn0000147,CG3068,87A3-87A3,-,3-53 <newline> 3-50.1 <newline> 3-51 <newline> 3-48.9,sens,Sb,SO0000010:protein_coding_gene,regulation of neurogenesis ; GO:0050767 | inferred from mutant phenotype <newline> regulation of cellular protein localization ; GO:1903827 | inferred from mutant phenotype <newline> establishment of spindle orientation ; GO:0051294 | inferred from mutant phenotype <newline> regulation of cytokinesis ; GO:0032465 | inferred from biological aspect of ancestor with PANTHER:PTN000681967 <newline> asymmetric protein localization involved in cell fate determination ; GO:0045167 | inferred from mutant phenotype <newline> centrosome separation ; GO:0051299 | inferred from mutant phenotype <newline> centrosome cycle ; GO:0007098 | inferred from mutant phenotype <newline> mitotic centrosome separation ; GO:0007100 | inferred from mutant phenotype <newline> peptidyl-serine phosphorylation ; GO:0018105 | inferred from direct assay <newline> symmetric cell division ; GO:0098725 | inferred from mutant phenotype <newline> regulation of protein localization to cell cortex ; GO:1904776 | inferred from mutant phenotype <newline> mitotic spindle organization ; GO:0007052 | inferred from biological aspect of ancestor with PANTHER:PTN000681967 <newline> pole cell formation ; GO:0007279 | inferred from mutant phenotype,"spindle pole centrosome ; GO:0031616 | inferred from biological aspect of ancestor with PANTHER:PTN000681967 <newline> cytoplasm ; GO:0005737 | inferred from direct assay <newline> spindle microtubule ; GO:0005876 | inferred from biological aspect of ancestor with PANTHER:PTN000681967 <newline> centrosome ; GO:0005813 | colocalizes_with inferred from direct assay <newline> spindle midzone ; GO:0051233 | inferred from biological aspect of ancestor with PANTHER:PTN000681967 <newline> condensed nuclear chromosome, centromeric region ; GO:0000780 | inferred from biological aspect of ancestor with PANTHER:PTN000681967 <newline> centrosome ; GO:0005813 | non-traceable author statement <newline> chromosome passenger complex ; GO:0032133 | inferred from biological aspect of ancestor with PANTHER:PTN000681967","ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR000719, InterPro:IPR002290, InterPro:IPR017441 <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q9VVR2 <newline> protein serine/threonine/tyrosine kinase activity ; GO:0004712 | inferred from direct assay <newline> protein serine/threonine kinase activity ; GO:0004674 | inferred from direct assay <newline> histone serine kinase activity ; GO:0035174 | inferred from biological aspect of ancestor with PANTHER:PTN000681967",3R,11964826,11963124,1,protein_binding_site FBsf0000160710 3R:11963137..11963155 bound_moiety=BEAF-32A-XP evidence=experimental <newline> protein_binding_site FBsf0000160711 3R:11963085..11963099 bound_moiety=BEAF-32B-XP evidence=experimental <newline> protein_binding_site FBsf0000160712 3R:11963107..11963126 bound_moiety=BEAF-32B-XP evidence=experimental,aurora A,Mar-51,aurA
FBgn0000153,FBgn0000153,CG7811,34D1-34D1,34D-34D; (determined by in situ hybridisation) <newline> 34D4-34D4,2-48.5 <newline> 2-48.5 +/- 0.2 <newline> 2-45.1 <newline> 2-49,-,rk <newline> elA <newline> NimA <newline> Pburs <newline> Pol32,SO0000010:protein_coding_gene,carboxylic acid metabolic process ; GO:0019752 | inferred from electronic annotation with InterPro:IPR002129 <newline> visual behavior ; GO:0007632 | inferred from mutant phenotype <newline> developmental pigmentation ; GO:0048066 | traceable author statement <newline> beta-alanine biosynthetic process ; GO:0019483 | traceable author statement <newline> uracil catabolic process ; GO:0006212 | traceable author statement,-,pyridoxal phosphate binding ; GO:0030170 | inferred from electronic annotation with InterPro:IPR002129 <newline> aspartate 1-decarboxylase activity ; GO:0004068 | inferred from mutant phenotype,2L,13823979,13821248,1,-,black,Feb-49,b
