"X.SUBMITTED.ID","ANNOTATION_SYMBOL","LOCATION_ARM","LOCATION_MAX","LOCATION_MIN","SYMBOL","coder"
"FBgn0028427","CG10504","3L",21219240,21216901,"Ilk","heads"
"FBgn0036805","CG4108","3L",18684061,18682895,"Chmp1","heads"
"FBgn0036945","CG6981","3L",20189779,20188522,"Ssk","heads"
"FBgn0036997","CG5955","3L",20469592,20466944,"CG5955","heads"
"FBgn0037146","CG7470","3L",21984606,21972002,"CG7470","heads"
"FBgn0250791","CG6625","3L",20316577,20313632,"alphaSnap","heads"
"FBgn0014863","CG1019","3R",7117732,7112850,"Mlp84B","heads"
"FBgn0037515","CG3066","3R",7763947,7759786,"Sp7","heads"
"FBgn0037612","CG8112","3R",8715263,8712933,"CG8112","heads"
"FBgn0037801","CG3999","3R",10255268,10251518,"CG3999","heads"
"FBgn0041707","CG1168","3R",5377975,5376780,"7B2","heads"
"FBgn0086359","CG3953","3R",10159134,10144668,"Invadolysin","heads"
"FBgn0028427","CG10504","3L",21219240,21216901,"Ilk","soma"
"FBgn0036805","CG4108","3L",18684061,18682895,"Chmp1","soma"
"FBgn0036945","CG6981","3L",20189779,20188522,"Ssk","soma"
"FBgn0036997","CG5955","3L",20469592,20466944,"CG5955","soma"
"FBgn0037146","CG7470","3L",21984606,21972002,"CG7470","soma"
"FBgn0250791","CG6625","3L",20316577,20313632,"alphaSnap","soma"
"FBgn0014863","CG1019","3R",7117732,7112850,"Mlp84B","soma"
"FBgn0037612","CG8112","3R",8715263,8712933,"CG8112","soma"
"FBgn0037801","CG3999","3R",10255268,10251518,"CG3999","soma"
"FBgn0041707","CG1168","3R",5377975,5376780,"7B2","soma"
"FBgn0086359","CG3953","3R",10159134,10144668,"Invadolysin","soma"
"FBgn0037515","CG3066","3R",7763947,7759786,"Sp7","ovaries"
